Timeline,en_dialogue,telugu_dialogue
"00:07:26,655 --> 00:07:27,988",We've lost tracking. We're blind here.,మేము ట్రాకింగ్ కోల్పోయాము. మేము ఇక్కడ గుడ్డిగా ఉన్నాము.
"00:07:28,115 --> 00:07:29,990",What's going on? I'm still with them.,ఏమి జరుగుతోంది? నేను ఇంకా వారితో ఉన్నాను.
"00:07:30,117 --> 00:07:32,201","Get me CCTV, satellite, anything !","నన్ను పొందండి cctv, ఉపగ్రహం, ఏదైనా!"
"00:08:22,169 --> 00:08:23,502",M: What was that?,M: అది ఏమిటి?
"00:08:24,087 --> 00:08:25,087",VW Beetles.,VW బీటిల్స్.
"00:08:25,672 --> 00:08:26,755",I think.,నేను అనుకుంటున్నాను.
"00:08:51,781 --> 00:08:54,366",Bond ! He's uncoupling the cars.,బాండ్! అతను కార్లను విడదీస్తున్నాడు.
"00:09:32,739 --> 00:09:34,156","M: 007, are you all right?","M: 007, మీరంతా బాగున్నారా?"
"00:09:34,658 --> 00:09:36,325",Just changing carriages.,క్యారేజీలను మార్చడం.
"00:09:38,203 --> 00:09:39,912",What's going on? Report!,ఏమి జరుగుతోంది? నివేదిక!
"00:09:40,038 --> 00:09:41,747","It's rather hard to explain, ma'am.","ఇది చాలా కష్టం వివరించడానికి, మామ్."
"00:09:41,998 --> 00:09:43,540",007's still in pursuit.,007 ఇంకా వెంబడించబడింది.
"00:10:48,231 --> 00:10:50,149",Looks like there isn't much more road.,అక్కడ కనిపిస్తోంది ఎక్కువ రహదారి కాదు.
"00:10:50,275 --> 00:10:52,234",I don't think I can go any further.,నేను అనుకోను ఇంకేమైనా వెళ్ళవచ్చు.
"00:11:26,770 --> 00:11:28,270",I may have a shot.,నాకు షాట్ ఉండవచ్చు.
"00:11:35,445 --> 00:11:36,612",It's not clean.,ఇది శుభ్రంగా లేదు.
"00:11:36,863 --> 00:11:38,364","Repeat, I do not have a clean shot.","పునరావృతం, నా దగ్గర లేదు క్లీన్ షాట్."
"00:11:45,789 --> 00:11:47,831",There's a tunnel ahead. I'm gonna lose them.,ముందుకు ఒక సొరంగం ఉంది. నేను వాటిని కోల్పోతాను.
"00:11:48,083 --> 00:11:49,625",Can you get into a better position?,మీరు ప్రవేశించగలరా? మంచి స్థానం?
"00:11:49,793 --> 00:11:51,335",Negative. There's no time.,ప్రతికూల. సమయం లేదు.
"00:11:53,421 --> 00:11:54,463",Take the shot.,షాట్ తీసుకోండి.
"00:11:56,424 --> 00:11:57,758",I said take the shot.,నేను షాట్ తీసుకోండి అన్నాను.
"00:11:59,386 --> 00:12:00,803",I can't! I may hit Bond.,నేను చేయలేను! నేను బాండ్ కొట్టవచ్చు.
"00:12:00,970 --> 00:12:02,137",Take the bloody shot!,బ్లడీ షాట్ తీసుకోండి!
"00:12:02,305 --> 00:12:03,305",(GUNSHOT),(తుపాకీ కాల్పులు
"00:12:25,370 --> 00:12:26,870",Agent down.,ఏజెంట్ డౌన్.
"00:13:14,252 --> 00:13:16,753",This is the end,ఇది ముగింపు
"00:13:18,840 --> 00:13:23,844",Hold your breath and count to ten,మీ శ్వాసను పట్టుకోండి మరియు పది వరకు లెక్కించండి
"00:13:25,346 --> 00:13:30,601",Feel the earth move and then,భూమి కదిలే అనుభూతి
"00:13:31,811 --> 00:13:37,858",Hear my heart burst again,నా హృదయం మళ్ళీ విన్నది
"00:13:39,402 --> 00:13:42,237",For this is the end,ఇది ముగింపు
"00:13:44,240 --> 00:13:49,286",I've drowned and dreamt this moment,నేను మునిగిపోయాను మరియు ఈ క్షణం కలలు కన్నారు
"00:13:50,705 --> 00:13:55,918","So overdue, I owe them","కాబట్టి మీరిన, నేను వారికి రుణపడి ఉన్నాను"
"00:13:57,504 --> 00:14:02,674","Swept away, I'm stolen","కొట్టుకుపోయింది, నేను దొంగిలించాను"
"00:14:05,094 --> 00:14:07,971",Let the sky fall,ఆకాశం పడిపోనివ్వండి
"00:14:08,097 --> 00:14:10,849",When it crumbles,అది విరిగిపోయినప్పుడు
"00:14:11,351 --> 00:14:14,186",We will stand tall,మేము ఎత్తుగా నిలబడతాము
"00:14:14,270 --> 00:14:16,605",And face it all together,మరియు ఇవన్నీ కలిసి ఎదుర్కోండి
"00:14:16,898 --> 00:14:19,066",At Skyfall,స్కైఫాల్ వద్ద
"00:14:23,404 --> 00:14:26,657",Skyfall is where we start,స్కైఫాల్ మేము ప్రారంభించే ప్రదేశం
"00:14:29,160 --> 00:14:33,121",A thousand miles and poles apart,వెయ్యి మైళ్ళు మరియు స్తంభాలు వేరుగా ఉంటాయి
"00:14:35,542 --> 00:14:39,711",Where worlds collide and days are dark,ప్రపంచాలు ide ీకొన్న చోట మరియు రోజులు చీకటిగా ఉన్నాయి
"00:14:39,796 --> 00:14:42,130",You may have my number,మీకు నా సంఖ్య ఉండవచ్చు
"00:14:42,257 --> 00:14:44,007",You can take my name,మీరు నా పేరు తీసుకోవచ్చు
"00:14:45,176 --> 00:14:49,721",But you'll never have my heart,కానీ మీరు నా హృదయాన్ని ఎప్పటికీ కలిగి ఉండరు
"00:15:11,911 --> 00:15:16,498",And face it all together At Skyfall,మరియు ఇవన్నీ కలిసి ఎదుర్కోండి స్కైఫాల్ వద్ద
"00:15:21,421 --> 00:15:24,172",Where you go I go,మీరు ఎక్కడికి వెళతారు నేను వెళ్తాను
"00:15:24,841 --> 00:15:27,384",What you see I see,మీరు చూసేది నేను చూస్తాను
"00:15:27,719 --> 00:15:32,889",I know I'd never be me without the security,నేను ఎప్పుడూ ఉండను భద్రత లేకుండా
"00:15:34,183 --> 00:15:37,227",Of your loving arms,మీ ప్రేమగల చేతులు
"00:15:37,645 --> 00:15:40,188",keeping me from harm,నన్ను హాని నుండి ఉంచడం
"00:15:40,481 --> 00:15:45,152",Put your hand in my hand and we'll stand,మీ చేతిలో మీ చేయి ఉంచండి మరియు మేము నిలబడతాము
"00:17:45,857 --> 00:17:48,233",It's like being summoned to the headmaster's study.,ఇది పిలిచినట్లుగా ఉంది ప్రధానోపాధ్యాయుల అధ్యయనానికి.
"00:17:48,359 --> 00:17:50,736",It's a new Chairman. Just standard procedure.,ఇది కొత్త ఛైర్మన్. ప్రామాణిక విధానం.
"00:17:50,862 --> 00:17:52,988",Bloody waste of my time is what I call it.,నా నెత్తుటి వ్యర్థాలు సమయం నేను పిలుస్తాను.
"00:17:53,156 --> 00:17:55,157",I'm sorry to have to deal with such,నన్ను క్షమించండి అలాంటి వాటిని ఎదుర్కోవటానికి
"00:17:55,283 --> 00:17:57,242",a delicate subject at our first encounter.,వద్ద సున్నితమైన విషయం మా మొదటి ఎన్‌కౌంటర్.
"00:17:59,996 --> 00:18:01,329","But, um. . .","కానీ, ఉమ్. . ."
"00:18:01,873 --> 00:18:03,665",I have to be frank with you.,నేను మీతో స్పష్టంగా ఉండాలి.
"00:18:03,833 --> 00:18:05,834",I think that would be a good idea.,నేను అనుకుంటున్నాను మంచి ఆలోచన అవుతుంది.
"00:18:08,880 --> 00:18:10,881",The Prime Minister's concerned.,ప్రధాని ఆందోళన.
"00:18:11,674 --> 00:18:14,509","Well, you can tell him my operatives are pursuing every avenue.","బాగా, మీరు అతనికి చెప్పగలరు నా ఆపరేటర్లు ప్రతి అవెన్యూని అనుసరిస్తోంది."
"00:18:14,677 --> 00:18:16,678",Have you considered pulling out the agents?,మీరు పరిగణించారా? ఏజెంట్లను బయటకు తీస్తున్నారా?
"00:18:16,763 --> 00:18:18,180",I've considered every option.,నేను ప్రతి ఎంపికను పరిగణించాను.
"00:18:18,264 --> 00:18:20,599","Forgive me, that sounds like an evasion.","నన్ను క్షమించు, అది ఎగవేతలా అనిపిస్తుంది."
"00:18:20,767 --> 00:18:22,684","Forgive me, but why am I here?","నన్ను క్షమించు, కానీ నేను ఇక్కడ ఎందుకు ఉన్నాను?"
"00:18:23,895 --> 00:18:27,773","Three months ago, you lost the computer drive containing the identity","మూడు నెలల క్రితం, మీరు ఓడిపోయారు కంప్యూటర్ డ్రైవ్ గుర్తింపును కలిగి ఉంటుంది"
"00:18:27,899 --> 00:18:30,358",of almost every NATO agent embedded in,దాదాపు ప్రతి నాటో ఏజెంట్ పొందుపరచబడింది
"00:18:30,485 --> 00:18:32,903",terrorist organizations across the globe.,ఉగ్రవాద సంస్థలు ప్రపంచవ్యాప్తంగా.
"00:18:33,529 --> 00:18:36,406","A list which, in the eyes of our allies, never existed.","జాబితా, మా మిత్రుల దృష్టిలో, ఎప్పుడూ ఉనికిలో లేదు."
"00:18:36,741 --> 00:18:40,410","So if you'll forgive me, I think you know why you're here.","కాబట్టి మీరు నన్ను క్షమించినట్లయితే, నేను మీకు తెలుసని అనుకుంటున్నాను మీరు ఇక్కడ ఎందుకు ఉన్నారు."
"00:18:40,578 --> 00:18:42,370","Are we to call this ""civilian oversight""?","మేము దీన్ని పిలవాలి ""పౌర పర్యవేక్షణ""?"
"00:18:42,580 --> 00:18:46,041","No, we're to call this ""retirement planning.""","లేదు, మేము పిలవాలి ఈ ""పదవీ విరమణ ప్రణాళిక."""
"00:18:47,752 --> 00:18:49,753",Your country has only the highest respect for you,మీ దేశం ఉంది అత్యధిక గౌరవం మాత్రమే మీ కోసం
"00:18:49,879 --> 00:18:51,880",and your many years of service.,మరియు మీ చాలా సంవత్సరాల సేవ.
"00:18:52,215 --> 00:18:53,799","When your current posting is completed,","మీ కరెంట్ ఉన్నప్పుడు పోస్టింగ్ పూర్తయింది,"
"00:18:53,883 --> 00:18:57,052",you'll be awarded GCMG with full honors.,మీకు అవార్డు లభిస్తుంది పూర్తి గౌరవాలతో జిసిఎంజి.
"00:18:58,554 --> 00:19:00,222",Congratulations.,అభినందనలు.
"00:19:01,057 --> 00:19:02,098",You're firing me.,మీరు నన్ను కాల్చారు.
"00:19:02,266 --> 00:19:04,643","No, ma'am, I'm here to oversee the transition period","లేదు, మామ్, నేను పర్యవేక్షించడానికి ఇక్కడ ఉన్నాను పరివర్తన కాలం"
"00:19:04,769 --> 00:19:07,479",leading to your voluntary retirement in two months' time.,మీకి దారితీస్తుంది స్వచ్ఛంద పదవీ విరమణ రెండు నెలల కాలంలో.
"00:19:07,897 --> 00:19:10,398","Your successor has yet to be appointed, so we'll be asking you. . .","మీ వారసుడు ఉన్నారు ఇంకా నియమించబడలేదు, కాబట్టి మేము మిమ్మల్ని అడుగుతాము. . ."
"00:19:10,566 --> 00:19:12,275","I'm not an idiot, Mallory.","నేను ఇడియట్ కాదు, మల్లోరీ."
"00:19:12,944 --> 00:19:15,070",I know I can't do this job forever,నేను చేయలేనని నాకు తెలుసు ఈ ఉద్యోగం ఎప్పటికీ
"00:19:15,404 --> 00:19:17,364",but I'll be damned if I'm going to leave the department,కానీ నేను హేయమైనవాడిని నేను వెళుతున్నట్లయితే విభాగాన్ని వదిలివేయండి
"00:19:17,490 --> 00:19:19,491",in worse shape than I found it.,అధ్వాన్నమైన ఆకారంలో నేను కనుగొన్న దానికంటే.
"00:19:19,659 --> 00:19:22,160","M, you've had a great run.","M, మీరు గొప్ప పరుగులు కలిగి ఉన్నారు."
"00:19:22,829 --> 00:19:24,287",You should leave with dignity.,మీరు గౌరవంగా బయలుదేరాలి.
"00:19:24,413 --> 00:19:27,582","Oh, to hell with dignity. I'll leave when the job's done.","ఓహ్, గౌరవంతో నరకానికి. నేను ఎప్పుడు బయలుదేరుతాను ఉద్యోగం పూర్తయింది."
"00:19:46,644 --> 00:19:47,811",Yes?,అవును?
"00:19:49,438 --> 00:19:50,480",Now?,ఇప్పుడు?
"00:19:52,441 --> 00:19:56,444","Ma'am, alert from Q-Branch. Someone's trying to decrypt the stolen hard drive.","మామ్, క్యూ-బ్రాంచ్ నుండి హెచ్చరిక. ఎవరో డీక్రిప్ట్ చేయడానికి ప్రయత్నిస్తున్నారు దొంగిలించబడిన హార్డ్ డ్రైవ్."
"00:19:56,863 --> 00:19:58,947",We're tracing the encryption signal.,మేము ట్రేసింగ్ చేస్తున్నాము ఎన్క్రిప్షన్ సిగ్నల్.
"00:19:59,490 --> 00:20:00,615",Localizing now.,ఇప్పుడు స్థానికీకరించడం.
"00:20:03,703 --> 00:20:05,120",Centering in the UK.,UK లో కేంద్రీకృతమై ఉంది.
"00:20:07,290 --> 00:20:08,540",London.,లండన్.
"00:20:08,875 --> 00:20:10,625",Get us back to base as soon as possible.,మమ్మల్ని తిరిగి బేస్ గా పొందండి వీలైనంత త్వరగా.
"00:20:17,967 --> 00:20:19,134",It's coming from Ml6.,ఇది ML6 నుండి వస్తోంది.
"00:20:19,302 --> 00:20:20,468",What?,ఏమిటి?
"00:20:20,553 --> 00:20:22,762",The data packet is linking to our network.,డేటా ప్యాకెట్ మా నెట్‌వర్క్‌కు లింక్ చేస్తోంది.
"00:20:23,472 --> 00:20:25,473",Correction. This is behind our firewall.,దిద్దుబాటు. ఇది మా ఫైర్‌వాల్ వెనుక ఉంది.
"00:20:26,142 --> 00:20:27,100",We should shut down.,మేము మూసివేయాలి.
"00:20:27,226 --> 00:20:28,184","No, track it.","లేదు, దాన్ని ట్రాక్ చేయండి."
"00:20:28,644 --> 00:20:30,395",We have to know where it's coming from.,మేము తెలుసుకోవాలి అది ఎక్కడ నుండి వస్తోంది.
"00:20:30,813 --> 00:20:32,314",Strip the headers. Trace the source.,శీర్షికలను స్ట్రిప్ చేయండి. మూలాన్ని కనుగొనండి.
"00:20:32,648 --> 00:20:34,357",How the hell did they get into our system?,వారు ఎలా నరకం చేసారు మా సిస్టమ్‌లోకి ప్రవేశించాలా?
"00:20:34,984 --> 00:20:36,318",Getting trace back now.,ఇప్పుడు ట్రేస్ తిరిగి పొందడం.
"00:20:41,240 --> 00:20:42,490",lt appears. . .,LT కనిపిస్తుంది. . .
"00:20:43,993 --> 00:20:45,577","lt appears to be your computer, ma'am.","LT కనిపిస్తుంది మీ కంప్యూటర్, మామ్."
"00:20:46,203 --> 00:20:47,329",Shut it down.,దాన్ని మూసివేయండి.
"00:20:48,164 --> 00:20:49,831",(TAUNTING MUSIC PLAYS),(లాంటింగ్ మ్యూజిక్ నాటకాలు)
"00:20:53,377 --> 00:20:54,502",What is this?,ఇది ఏమిటి?
"00:21:14,482 --> 00:21:15,482",(SIGHS),(నిట్టూర్పు)
"00:21:15,733 --> 00:21:17,859",For God's sake!,దేవుని కొరకు!
"00:21:19,904 --> 00:21:21,404",Just get out of the way!,మార్గం నుండి బయటపడండి!
"00:21:22,281 --> 00:21:24,032",Don't you recognize the car? Madam.,మీరు కారును గుర్తించలేదా? మేడమ్.
"00:21:24,367 --> 00:21:26,034",(EXPLOSION THUNDERS),(పేలుడు ఉరుములు)
"00:23:06,427 --> 00:23:08,636",CROWD (BUILDING IN VOLUME): Oh. . . !,క్రౌడ్ (వాల్యూమ్‌లో భవనం): ఓహ్. . . !
"00:23:54,600 --> 00:23:57,352",ANNOUNCER (OVER TV): This is CNN Breaking News.,అనౌన్సర్ (టీవీ ద్వారా): ఇది సిఎన్ఎన్ బ్రేకింగ్ న్యూస్.
"00:23:57,686 --> 00:24:00,021",Emergency crews are still attempting to assess,అత్యవసర సిబ్బంది ఇప్పటికీ ఉన్నారు అంచనా వేయడానికి ప్రయత్నిస్తోంది
"00:24:00,189 --> 00:24:02,524",the damage as investigators hunt for leads,నష్టం పరిశోధకులు లీడ్స్ కోసం వేటాడతారు
"00:24:02,691 --> 00:24:04,734",in what now appears to be a major,ఇప్పుడు దేనిలో మేజర్ గా కనిపిస్తుంది
"00:24:04,860 --> 00:24:06,945",terrorist attack in the heart of London.,ఉగ్రవాద దాడి లండన్ యొక్క గుండె.
"00:24:08,572 --> 00:24:11,783",No-one has yet claimed responsibility for what sources are calling,ఇంకా ఎవరికీ లేదు క్లెయిమ్ బాధ్యత ఏ మూలాలు పిలుస్తున్నాయి
"00:24:11,951 --> 00:24:16,204","a possible ""cyber-terrorist assault"" on the British Secret Service.","సాధ్యమయ్యే ""సైబర్-టెర్రరిస్ట్ దాడి"" బ్రిటిష్ సీక్రెట్ సర్వీస్‌లో."
"00:24:16,372 --> 00:24:18,581",Early reports from the scene indicate,నుండి ప్రారంభ నివేదికలు దృశ్యం సూచిస్తుంది
"00:24:18,707 --> 00:24:20,917","at least six dead, many more injured,","కనీసం ఆరుగురు చనిపోయారు, ఇంకా చాలా మంది గాయపడ్డారు,"
"00:24:21,127 --> 00:24:24,045",with victims being evacuated to local hospitals,బాధితులను ఖాళీ చేయడంతో స్థానిక ఆసుపత్రులకు
"00:24:24,130 --> 00:24:25,964",within minutes of the explosion.,నిమిషాల్లో పేలుడు.
"00:24:44,400 --> 00:24:46,151","It's time to go, ma'am.","ఇది వెళ్ళడానికి సమయం, మామ్."
"00:24:49,113 --> 00:24:51,406",I'm going to find whoever did this.,నేను కనుగొనబోతున్నాను ఎవరైతే ఇలా చేసారు.
"00:25:40,623 --> 00:25:42,373",Where the hell have you been?,మీరు ఎక్కడ ఉన్నారు?
"00:25:43,167 --> 00:25:45,126",Enjoying death.,మరణాన్ని ఆస్వాదిస్తున్నారు.
"00:25:46,462 --> 00:25:49,047",007 reporting for duty.,007 విధి కోసం రిపోర్టింగ్.
"00:25:56,472 --> 00:25:58,014",Why didn't you call?,మీరు ఎందుకు పిలవలేదు?
"00:25:58,474 --> 00:26:00,475",You didn't get the postcard?,మీకు పోస్ట్‌కార్డ్ రాలేదా?
"00:26:00,893 --> 00:26:02,727",You should try it some time. Get away from it all.,మీరు కొంత సమయం ప్రయత్నించాలి. అన్నింటికీ దూరంగా ఉండండి.
"00:26:02,853 --> 00:26:04,687",lt really lends perspective.,LT నిజంగా దృక్పథాన్ని ఇస్తుంది.
"00:26:05,314 --> 00:26:07,148","Ran out of drink where you were, did they?","పానీయం అయిపోయింది మీరు ఎక్కడ ఉన్నారు, వారు చేశారా?"
"00:26:07,358 --> 00:26:08,983",What was it you said?,మీరు ఏమి చెప్పారు?
"00:26:09,401 --> 00:26:11,486","""Take the bloody shot.""","""బ్లడీ షాట్ తీసుకోండి."""
"00:26:11,654 --> 00:26:13,029",I made a judgment call.,నేను తీర్పు కాల్ చేసాను.
"00:26:13,197 --> 00:26:15,657",You should have trusted me to finish the job.,మీరు నన్ను విశ్వసించాలి ఉద్యోగం పూర్తి చేయడానికి.
"00:26:15,824 --> 00:26:17,659",lt was the possibility of losing you,lt అవకాశం మిమ్మల్ని కోల్పోవడం
"00:26:17,826 --> 00:26:20,328",or the certainty of losing all those other agents.,లేదా ఓడిపోయే నిశ్చయత ఆ ఇతర ఏజెంట్లు.
"00:26:20,579 --> 00:26:23,331",I made the only decision I could and you know it.,నేను మాత్రమే చేశాను నేను చేయగలిగిన నిర్ణయం మరియు మీకు తెలుసు.
"00:26:24,375 --> 00:26:25,667",I think you lost your nerve.,మీరు మీ నాడిని కోల్పోయారని నేను భావిస్తున్నాను.
"00:26:25,834 --> 00:26:28,253","What do you expect, a bloody apology?","మీరు ఏమి ఆశించారు, నెత్తుటి క్షమాపణ?"
"00:26:28,671 --> 00:26:30,046",You know the rules of the game.,మీకు తెలుసు ఆట యొక్క నియమాలు.
"00:26:30,172 --> 00:26:31,589",You've been playing it long enough.,మీరు ఉన్నారు ఎక్కువసేపు ఆడటం.
"00:26:31,674 --> 00:26:32,715",We both have.,మేము ఇద్దరికీ ఉన్నాయి.
"00:26:33,676 --> 00:26:34,926",Maybe too long.,బహుశా చాలా పొడవుగా ఉండవచ్చు.
"00:26:35,761 --> 00:26:37,262",Speak for yourself.,మీ కోసం మాట్లాడండి.
"00:26:39,890 --> 00:26:41,849","Ronson didn't make it, did he?","రాన్సన్ దీన్ని చేయలేదు, చేశారా?"
"00:26:42,935 --> 00:26:44,018",No.,నటి
"00:26:47,356 --> 00:26:48,856",So this is it.,కాబట్టి ఇది.
"00:26:49,275 --> 00:26:51,276",We're both played out.,మేము ఇద్దరూ ఆడుతున్నాము.
"00:26:52,194 --> 00:26:54,404","Well, if you believe that, why did you come back?","బాగా, మీరు విశ్వసిస్తే, మీరు ఎందుకు తిరిగి వచ్చారు?"
"00:26:54,863 --> 00:26:56,197",Good question.,మంచి ప్రశ్న.
"00:26:57,950 --> 00:26:59,784",Because we're under attack.,ఎందుకంటే మేము దాడికి గురవుతున్నాము.
"00:27:01,704 --> 00:27:03,788",And you know we need you.,మరియు మాకు మీకు అవసరమని మీకు తెలుసు.
"00:27:08,043 --> 00:27:09,294","Well, I'm here.","బాగా, నేను ఇక్కడ ఉన్నాను."
"00:27:11,046 --> 00:27:14,632",You'll have to be debriefed and declared fit for active service.,మీరు వివరించబడాలి మరియు ఫిట్ గా ప్రకటించబడింది క్రియాశీల సేవ కోసం.
"00:27:15,217 --> 00:27:17,552","You can only return to duty when you've passed the tests,","మీరు మాత్రమే తిరిగి రావచ్చు మీరు ఉన్నప్పుడు విధి పరీక్షలను దాటింది,"
"00:27:17,720 --> 00:27:20,054",so take them seriously.,కాబట్టి వాటిని తీవ్రంగా పరిగణించండి.
"00:27:20,472 --> 00:27:22,640",And a shower might be in order.,మరియు షవర్ క్రమంలో ఉండవచ్చు.
"00:27:23,392 --> 00:27:24,892",I'll go home and change.,నేను ఇంటికి వెళ్లి మారుతాను.
"00:27:25,477 --> 00:27:29,063","Oh, we've sold your flat, put your things into storage.","ఓహ్, మేము మీ ఫ్లాట్‌ను విక్రయించాము, మీ వస్తువులను నిల్వలో ఉంచండి."
"00:27:30,107 --> 00:27:33,234",Standard procedure on the death of an unmarried employee,ప్రామాణిక విధానం మరణం మీద పెళ్లికాని ఉద్యోగి
"00:27:33,319 --> 00:27:35,611",with no next of kin.,బంధువుల తరువాత.
"00:27:35,738 --> 00:27:37,405",You should have called.,మీరు పిలిచి ఉండాలి.
"00:27:37,573 --> 00:27:39,282",I'll find a hotel.,నేను ఒక హోటల్ కనుగొంటాను.
"00:27:39,575 --> 00:27:41,909","Well, you're bloody well not sleeping here.","బాగా, మీరు నెత్తుటి బాగా ఇక్కడ నిద్రపోలేదు."
"00:28:09,813 --> 00:28:12,440","TANNER: The assailant hacked into the environmental control system,","టాన్నర్: దుండగుడు హ్యాక్ చేసాడు పర్యావరణంలోకి నియంత్రణ వ్యవస్థ,"
"00:28:12,524 --> 00:28:14,108",locked out the safety protocols,లాక్ అవుట్ భద్రతా ప్రోటోకాల్స్
"00:28:14,276 --> 00:28:17,612","and turned on the gas, all of which should have been impossible.","మరియు గ్యాస్ ఆన్, ఇవన్నీ ఉండాలి అసాధ్యం."
"00:28:17,946 --> 00:28:20,114","On top of that, they hacked into her files.","ఆ పైన, వారు ఆమె ఫైళ్ళలోకి హ్యాక్ చేశారు."
"00:28:20,657 --> 00:28:23,534","They knew her appointments, knew she'd be out of the building.","ఆమె నియామకాలు వారికి తెలుసు, ఆమె బయటికి వస్తుందని తెలుసు భవనం."
"00:28:23,660 --> 00:28:25,453",They weren't targeting her.,వారు ఆమెను లక్ష్యంగా చేసుకోలేదు.
"00:28:26,163 --> 00:28:28,039",They wanted her to see it.,వారు ఆమెను చూడాలని వారు కోరుకున్నారు.
