en_dialogue,Timeline,telugu_dialogue
Enough! Don't let me come there.,"00:04:39,947 --> 00:04:42,616",చాలు! నన్ను అక్కడికి రానివ్వకు.
He'll come out from behind those big rocks.,"00:04:42,950 --> 00:04:45,369",అతను ఆ పెద్ద రాళ్ల వెనుక నుండి బయటకు వస్తాడు.
There it is.,"00:04:45,577 --> 00:04:48,747",అక్కడ ఉంది.
There. Go get her!,"00:04:49,289 --> 00:04:50,799",అక్కడ. ఆమెను తీసుకురండి!
"Netejam, the mighty fisherman.","00:04:52,835 --> 00:04:54,920","నేతేజం, పరాక్రమమైన మత్స్యకారుడు."
There. Well done.,"00:04:55,087 --> 00:04:57,005",అక్కడ. బాగా చేసారు.
It's big. - At the stones.,"00:05:00,843 --> 00:05:03,345",ఇది పెద్దది. - రాళ్ల వద్ద.
Where you said.,"00:05:04,346 --> 00:05:05,931",మీరు ఎక్కడ చెప్పారు.
How tall is he? - He's this tall. -He's tall!,"00:05:05,973 --> 00:05:09,351",అతను ఎంత ఎత్తుగా ఉన్నాడు? - అతను చాలా పొడవుగా ఉన్నాడు. - అతను పొడవుగా ఉన్నాడు!
Time flies.,"00:05:09,393 --> 00:05:10,903",సమయం ఎగురుతుంది.
Like a dream.,"00:05:11,103 --> 00:05:12,813",కలలా.
"Kiri. -Brother, come on.","00:05:13,939 --> 00:05:15,433","కిరి. - సోదరుడు, రండి."
Come on.,"00:05:15,434 --> 00:05:17,276",రండి.
"Smile, you idiot.","00:05:17,526 --> 00:05:19,036","చిరునవ్వు, మూర్ఖుడు."
Like a night out.,"00:05:24,283 --> 00:05:25,776",ఒక రాత్రి లాగా.
Time without children.,"00:05:25,777 --> 00:05:27,287",పిల్లలు లేని కాలం.
But the problem with luck...,"00:05:59,026 --> 00:06:00,944",అయితే అదృష్టం సమస్య...
It can disappear in a split second.,"00:06:03,238 --> 00:06:05,115",ఇది స్ప్లిట్ సెకనులో అదృశ్యమవుతుంది.
A new star in the night.,"00:06:11,205 --> 00:06:13,373",రాత్రిపూట కొత్త నక్షత్రం.
That can only mean one thing.,"00:06:14,583 --> 00:06:16,835",అంటే ఒక్క విషయం మాత్రమే అర్థమవుతుంది.
Ships. They slow down.,"00:06:23,509 --> 00:06:25,761",ఓడలు. అవి వేగాన్ని తగ్గిస్తాయి.
And the Skymen are coming back.,"00:06:34,937 --> 00:06:37,022",మరియు స్కైమెన్ తిరిగి వస్తున్నారు.
Translated by: Bambula,"00:06:39,107 --> 00:06:44,404",అనువాదం: బంబుల
ONE YEAR LATER,"00:08:55,410 --> 00:08:59,540",ఒక సంవత్సరం తరువాత
Pulse 168.,"00:09:06,755 --> 00:09:08,265",పల్స్ 168.
Here it is.,"00:09:08,298 --> 00:09:09,842",ఇదిగో.
You are fine.,"00:09:09,925 --> 00:09:11,425",నువ్వు బాగున్నావు.
Just lie still.,"00:09:11,426 --> 00:09:12,936",ఇంకా పడుకో.
Keep calm.,"00:09:12,942 --> 00:09:14,452",ప్రశాంతంగా ఉండండి.
Yes. Pupillary reaction is good.,"00:09:15,597 --> 00:09:17,766",అవును. పపిల్లరీ రియాక్షన్ బాగుంది.
Get it out of his face.,"00:09:17,933 --> 00:09:19,443",అతని ముఖం నుండి దాన్ని తీసివేయండి.
Colonel...,"00:09:19,810 --> 00:09:21,320",కల్నల్...
can you hear me Colonel?,"00:09:21,395 --> 00:09:23,272",మీరు నా మాట వినగలరా కల్నల్?
"You must lie down, sir.","00:09:26,191 --> 00:09:27,776",మీరు పడుకోవాలి సార్.
Sedate him! -Get out of here.,"00:09:33,448 --> 00:09:35,576",అతనిని మట్టుపెట్టు! - ఇక్కడి నుండి వెళ్ళిపో.
Go Go! - Call security!,"00:09:35,701 --> 00:09:37,619",గో గో! - భద్రతకు కాల్ చేయండి!
Catch him! - Catch him!,"00:09:37,661 --> 00:09:39,171",అతన్ని పట్టుకో! - అతన్ని పట్టుకోండి!
Hold it! -Calm down!,"00:09:39,955 --> 00:09:41,707",పట్టుకో! - శాంతించండి!
"Colonel, stop! Colonel, it's me!","00:09:41,748 --> 00:09:44,334","కల్నల్, ఆపు! కల్నల్, ఇది నేనే!"
Corporal Waynfleet!,"00:09:44,668 --> 00:09:46,178",కార్పోరల్ వేన్‌ఫ్లీట్!
Lyle?,"00:09:49,715 --> 00:09:51,225",లైల్?
That's you? -Yes sir. And Zee Dog.,"00:09:52,384 --> 00:09:57,014",అది నువ్వేనా? -అవును సార్. మరియు జీ డాగ్.
And Fike...,"00:09:57,764 --> 00:09:59,641",మరియు ఫైక్ ...
I'm all right. Let me go.,"00:10:02,227 --> 00:10:03,737",నేను బాగానే ఉన్నాను. నన్ను వెళ్ళనివ్వండి.
I'm all right.,"00:10:04,229 --> 00:10:06,106",నేను బాగానే ఉన్నాను.
Well...,"00:10:26,543 --> 00:10:28,420",బాగా...
Isn't this horrible?,"00:10:29,004 --> 00:10:31,215",ఇది ఘోరం కాదా?
Get ready. Two minutes until landing on Pandora. Safe for Delta V.,"00:10:40,015 --> 00:10:45,103",సిద్ధంగా ఉండండి. ల్యాండింగ్ వరకు రెండు నిమిషాలు పండోర మీద. డెల్టా V కోసం సురక్షితం.
OK. Umbilical cord removed.,"00:10:46,104 --> 00:10:48,065",సరే. బొడ్డు తాడు తొలగించబడింది.
Oxygen saturation 89.,"00:10:48,524 --> 00:10:50,034",ఆక్సిజన్ సంతృప్తత 89.
"In case you haven't figured it out yet, you are Colonel Miles Quaritch.","00:10:51,527 --> 00:10:55,489","ఒకవేళ మీరు ఇంకా గుర్తించకపోతే, మీరు కల్నల్ మైల్స్ క్వారిచ్."
"Only younger, taller, bluer...","00:10:55,531 --> 00:10:58,033","యువకులు, పొడవు, నీలం..."
And not nearly as gorgeous.,"00:10:58,450 --> 00:11:00,369",మరియు దాదాపు అందమైన కాదు.
I'm going on a mission in two hours against a Na'vi stronghold.,"00:11:00,953 --> 00:11:04,540",నేను రెండు గంటల్లో మిషన్‌కు వెళ్తున్నాను Na'vi బలమైన కోటకు వ్యతిరేకంగా.
The heads thought it was smart to make a copy of this just in case.,"00:11:04,581 --> 00:11:09,336",తలలు తెలివిగా అనుకున్నారు కేవలం సందర్భంలో దీని కాపీని చేయడానికి.
"And if you're watching this, well...","00:11:09,628 --> 00:11:11,713",మరి ఇది చూస్తుంటే...
That means I pulled my paws.,"00:11:11,880 --> 00:11:13,966",అంటే నేను నా పాదాలను లాగాను.
"Parker, what should I say now?","00:11:15,968 --> 00:11:19,137","పార్కర్, నేను ఇప్పుడు ఏమి చెప్పాలి?"
Just remind him how this works.,"00:11:19,638 --> 00:11:21,557",ఇది ఎలా పని చేస్తుందో అతనికి గుర్తు చేయండి.
Here is.,"00:11:21,640 --> 00:11:23,150",ఇక్కడ ఉంది.
You see this? These are all your memories and personality.,"00:11:23,934 --> 00:11:26,562",మీరు దీన్ని చూస్తున్నారా? ఇవన్నీ మీ జ్ఞాపకాలు మరియు వ్యక్తిత్వం.
We're going to send this back to Earth where are you growing in the lab right now.,"00:11:26,770 --> 00:11:30,774",మేము దీన్ని తిరిగి భూమికి పంపబోతున్నాం మీరు ప్రస్తుతం ల్యాబ్‌లో ఎక్కడ పెరుగుతున్నారు.
"We're going to transfer this to you, and then...","00:11:30,816 --> 00:11:32,526","మేము దీన్ని మీకు బదిలీ చేయబోతున్నాము, ఆపై..."
Do I do this or do you? - Hurry up.,"00:11:32,609 --> 00:11:34,862",నేను దీన్ని చేస్తానా లేదా మీరు చేస్తారా? - త్వరపడండి.
"Anyway, the idea is to switch awareness of the most experienced operatives...","00:11:36,196 --> 00:11:41,785",ఎలాగైనా మారాలనే ఆలోచన ఉంది అత్యంత అనుభవజ్ఞులైన కార్యకర్తల అవగాహన...
"As Corporal Wainfleet is there,","00:11:41,827 --> 00:11:44,580","కార్పోరల్ వైన్‌ఫ్లీట్ ఉన్నందున,"
"and your humble narrator, into recombinant bodies.","00:11:44,621 --> 00:11:49,418","మరియు మీ వినయపూర్వకమైన కథకుడు, రీకాంబినెంట్ బాడీలలోకి."
"You're recombinant now, Colonel, filled with my memories and charm.","00:11:50,002 --> 00:11:54,298","మీరు ఇప్పుడు రీకాంబినెంట్, కల్నల్, నా జ్ఞాపకాలు మరియు ఆకర్షణతో నిండిపోయింది."
"You will not remember my death, because it hasn't happened yet,","00:11:55,257 --> 00:11:58,677",నా చావు నీకు గుర్తుండదు. ఎందుకంటే అది ఇంకా జరగలేదు
and won't.,"00:11:58,927 --> 00:12:00,437",మరియు కాదు.
That's right. -You bet.,"00:12:00,679 --> 00:12:02,189",అది నిజమే. - మీరు పందెం వేయండి.
"Whatever happened,","00:12:02,347 --> 00:12:03,891","ఏది జరిగినా,"
"if you are even a little clone of me, you will crave revenge.","00:12:04,850 --> 00:12:07,519","మీరు నాకు కొంచెం క్లోన్ అయితే, మీరు ప్రతీకారం తీర్చుకోవాలని కోరుకుంటారు."
And Jake Sully will be at the top of that list.,"00:12:07,936 --> 00:12:10,439",మరియు జేక్ సుల్లీ ఆ జాబితాలో అగ్రస్థానంలో ఉంటాడు.
"Remember, boy...","00:12:14,067 --> 00:12:15,577","గుర్తుంచుకో, అబ్బాయి ..."
A Marine cannot be defeated.,"00:12:15,777 --> 00:12:17,404",ఒక మెరైన్ ఓడించబడదు.
"They can kill us, but we will regroup in hell.","00:12:17,779 --> 00:12:21,658","వారు మనల్ని చంపగలరు, కానీ మేము నరకంలో తిరిగి సమూహం చేస్తాము."
Always loyal.,"00:12:23,076 --> 00:12:24,586",ఎల్లప్పుడూ విధేయులు.
"Ground team, move!","00:12:52,981 --> 00:12:54,491","గ్రౌండ్ జట్టు, తరలించు!"
Take this! Go!,"00:13:47,995 --> 00:13:49,830",దీన్ని తీసుకో! వెళ్ళు!
"Here we go. Two minutes, people. Here we go.","00:13:53,959 --> 00:13:56,003","ఇదిగో మనం. రెండు నిమిషాలు, ప్రజలు. ఇదిగో మనం."
"Bro, we gotta get down there. -By no means! Dad will skin us!","00:14:00,382 --> 00:14:04,178","బ్రో, మనం అక్కడ దిగాలి. -కాదు! నాన్న మనల్ని తొక్కేస్తాడు!"
Come on. Don't be lukewarm.,"00:14:04,636 --> 00:14:06,146",రండి. మోస్తరుగా ఉండకండి.
"Lo'ak! Come back here, you...","00:14:06,847 --> 00:14:08,724","లోక్! ఇక్కడికి తిరిగి రండి, మీరు..."
"We're taking the whole crate! We take frames for bullets, rocket launchers, stingers.","00:14:12,561 --> 00:14:15,898","మేము మొత్తం క్రేట్ తీసుకుంటున్నాము! మేము ఫ్రేమ్లను తీసుకుంటాము బుల్లెట్లు, రాకెట్ లాంచర్లు, స్టింగర్లు కోసం."
"Brother, let's go. Come on! - Lo'ak!","00:14:19,484 --> 00:14:20,994","బ్రదర్, వెళ్దాం. రా! - లోక్!"
"Okay, let's go!","00:14:21,021 --> 00:14:22,438","సరే, వెళ్దాం!"
Lo'ak!,"00:14:22,439 --> 00:14:23,946",లోక్!
Move! Take it!,"00:14:23,947 --> 00:14:25,457",తరలించు! తీసుకో!
"Take this weapon! Boy, go!","00:14:25,949 --> 00:14:27,492","ఈ ఆయుధాన్ని తీసుకో! అబ్బాయి, వెళ్ళు!"
You don't even know how to use it.,"00:14:30,162 --> 00:14:31,747",దీన్ని ఎలా ఉపయోగించాలో కూడా మీకు తెలియదు.
My dad taught me.,"00:14:32,706 --> 00:14:34,249",మా నాన్న నాకు నేర్పించారు.
A fighter jet is coming!,"00:14:42,007 --> 00:14:43,459",ఫైటర్ జెట్ వస్తోంది!
Retreat!,"00:14:43,460 --> 00:14:44,970",తిరోగమనం!
"Brother, come on!","00:14:50,766 --> 00:14:52,643","సోదరా, రండి!"
"Lo'ak, where are you?","00:15:01,902 --> 00:15:03,396","లోక్, మీరు ఎక్కడ ఉన్నారు?"
We don't care!,"00:15:03,397 --> 00:15:04,907",మేము పట్టించుకోము!
Easy easy. Are you OK?,"00:15:05,531 --> 00:15:07,041",సులభం సులభం. మీరు బాగున్నారా?
Yes. -Where's your brother?,"00:15:07,282 --> 00:15:08,792",అవును. - మీ సోదరుడు ఎక్కడ ఉన్నాడు?
There. -Where is he? Where?,"00:15:09,159 --> 00:15:10,669",అక్కడ. - అతను ఎక్కడ ఉన్నాడు? ఎక్కడ?
Get out of here! Go!,"00:15:10,674 --> 00:15:12,184",ఇక్కడి నుండి వెళ్ళిపో! వెళ్ళు!
Oh no.,"00:15:16,708 --> 00:15:18,585",అరెరే.
No no.,"00:15:19,878 --> 00:15:21,421",కాదు కాదు.
God.,"00:15:22,297 --> 00:15:24,216",దేవుడు.
Dad?,"00:15:28,929 --> 00:15:30,806",నాన్న?
"What are you doing here, boy? Where was your mind?","00:15:32,474 --> 00:15:34,726","మీరు ఇక్కడ ఏమి చేస్తున్నారు, అబ్బాయి? నీ మనసు ఎక్కడ ఉండేది?"
I'm sorry.,"00:15:35,853 --> 00:15:37,688",నన్ను క్షమించండి.
"I'm very sorry, sir.","00:15:38,564 --> 00:15:40,074",నన్ను క్షమించండి సార్.
You're not in Kansas anymore.,"00:15:43,694 --> 00:15:45,737",మీరు ఇప్పుడు కాన్సాస్‌లో లేరు.
Let's go to Pandora.,"00:15:47,072 --> 00:15:49,449",పండోరకి వెళ్దాం.
I know that everyone to themselves you are asking the same question.,"00:15:50,075 --> 00:15:55,205",ప్రతి ఒక్కరూ తమకు తాముగా అని నాకు తెలుసు మీరు అదే ప్రశ్న అడుగుతున్నారు.
Why so blue?,"00:15:58,000 --> 00:15:59,510",ఎందుకు అంత నీలం?
"Because of the sins of our past life,","00:16:03,672 --> 00:16:05,549","మన గత జన్మ పాపాల వల్ల,"
we are resurrected in form our enemy.,"00:16:05,757 --> 00:16:08,177",మేము రూపంలో పునరుత్థానం చేయబడాము మా శత్రువు.
"This gives us their size, strength, speed.","00:16:08,677 --> 00:16:12,598","ఇది వాటి పరిమాణాన్ని మాకు ఇస్తుంది, బలం, వేగం."
And with our training...,"00:16:12,973 --> 00:16:15,017",మరియు మా శిక్షణతో ...
It's a pretty potent mix.,"00:16:15,392 --> 00:16:17,227",ఇది చాలా శక్తివంతమైన మిక్స్.
Did we get the assignment yet? -You bet.,"00:16:18,812 --> 00:16:21,315",మాకు ఇంకా అసైన్‌మెంట్ వచ్చిందా? - మీరు పందెం వేయండి.
Our task is to find and kill,"00:16:22,107 --> 00:16:24,443",వెతికి చంపడమే మా పని
the leader of the Na'vi rebels.,"00:16:24,985 --> 00:16:27,446",నవీ తిరుగుబాటుదారుల నాయకుడు.
The one they call Toruk Makto.,"00:16:27,946 --> 00:16:30,824",వారు టోరుక్ మక్టో అని పిలుస్తారు.
Jake Sully. -That!,"00:16:31,742 --> 00:16:33,285",జేక్ సుల్లీ. -అది!
"Attack, attack!","00:16:41,877 --> 00:16:43,670","దాడి, దాడి!"
You're mine!,"00:16:44,004 --> 00:16:45,547",నువ్వు నావి!
Knock! Come on!,"00:16:45,756 --> 00:16:47,299",కొట్టు! రా!
I'm definitely faster when I'm blue. -You idiot. -Not seriously.,"00:16:47,716 --> 00:16:51,053",నేను నీలం రంగులో ఉన్నప్పుడు నేను ఖచ్చితంగా వేగంగా ఉంటాను. - మూర్ఖుడు. - సీరియస్‌గా కాదు.
And animals respect me more. They don't see me as a man.,"00:16:51,345 --> 00:16:54,264",మరియు జంతువులు నన్ను ఎక్కువగా గౌరవిస్తాయి. వాళ్ళు నన్ను మనిషిగా చూడరు.
Stop. You are a man?,"00:16:54,389 --> 00:16:56,266",ఆపు. నువ్వు మనిషివా?
They're coming!,"00:17:06,610 --> 00:17:08,120",వారు వస్తున్నారు!
"HIGH CAMP, OMATIKAY STREET","00:17:08,153 --> 00:17:11,281","హై క్యాంప్, ఒమాటికే స్ట్రీట్"
"They're coming! Run, Spider!","00:17:12,574 --> 00:17:14,576","వారు వస్తున్నారు! పరుగు, స్పైడర్!"
The warband is back!,"00:17:14,952 --> 00:17:16,912",వార్‌బ్యాండ్ తిరిగి వచ్చింది!
Come on. -Here we go. Come on.,"00:17:16,995 --> 00:17:19,665",రండి. -ఇదిగో మనం. రండి.
"Mum! - Tuk... -Mum. - Knock, Knock.","00:17:34,304 --> 00:17:37,349","అమ్మా! - తుక్... -అమ్మ. - కొట్టు, కొట్టు."
Choir!,"00:17:39,518 --> 00:17:41,028",బృందగానం!
You should be scouts.,"00:17:43,063 --> 00:17:44,606",మీరు స్కౌట్స్ అయి ఉండాలి.
"Notice the enemies, and report.","00:17:44,648 --> 00:17:46,142","శత్రువులను గమనించండి, మరియు నివేదిక."
From afar!,"00:17:46,143 --> 00:17:47,653",దూరం నుండి!
Does any of this sound familiar? Come here!,"00:17:47,985 --> 00:17:50,028",వీటిలో ఏదైనా తెలిసి ఉందా? ఇక్కడికి రా!
"Jesus. I'll give it to you two geniuses to complete the task,","00:17:50,362 --> 00:17:52,489","యేసు. నేను మీ ఇద్దరికీ ఇస్తాను పనిని పూర్తి చేయడానికి మేధావులు,"
and you disobey a direct order.,"00:17:52,573 --> 00:17:54,083",మరియు మీరు ప్రత్యక్ష ఆదేశానికి అవిధేయత చూపుతారు.
"Kiri, can you help grandma around the wounded? Please?","00:17:54,867 --> 00:17:57,703","కిరీ, నువ్వు బామ్మకి సహాయం చేయగలవా గాయపడిన వారి చుట్టూ? దయచేసి?"
"My brother is wounded. -It's fine. - Tuk, go with her. Come on. -Dad.","00:17:57,786 --> 00:18:01,540","నా సోదరుడు గాయపడ్డాడు. -ఇది బాగానే ఉంది. - తుక్, ఆమెతో వెళ్ళు. రండి. -నాన్న."
"Sir. I take full responsibility. - Yes, you take over. That's right.","00:18:01,790 --> 00:18:05,377","సర్. నేను పూర్తి బాధ్యత తీసుకుంటాను. - అవును, మీరు స్వాధీనం చేసుకోండి. అది నిజమే."
Because you are the older brother. You have to act accordingly.,"00:18:06,044 --> 00:18:08,380",ఎందుకంటే నువ్వు అన్నయ్యవి. దానికి అనుగుణంగా నడుచుకోవాలి.
MaJake.,"00:18:09,464 --> 00:18:11,049",మాజేక్.
"Your son is really bleeding. - Mother, it's okay. I...","00:18:11,175 --> 00:18:15,095","మీ కొడుకు నిజంగా రక్తస్రావం అవుతున్నాడు. - అమ్మా, ఫర్వాలేదు. నేను..."
"Go get it patched. Come on, willingly.","00:18:16,597 --> 00:18:18,724",దాన్ని అతుక్కోండి. ఇష్టపూర్వకంగా రండి.
You realize it's because of you your brother almost died.,"00:18:24,188 --> 00:18:27,107",ఇది మీ వల్ల అని మీరు గ్రహించారు మీ సోదరుడు దాదాపు చనిపోయాడు.
Yes sir.,"00:18:27,608 --> 00:18:29,118",అవును సార్.
You are punished. You are banned from flying for a month.,"00:18:30,819 --> 00:18:32,988",మీరు శిక్షించబడ్డారు. మీరు ఒక నెల పాటు ప్రయాణించకుండా నిషేధించబడ్డారు.
Take care of the spawn. For all of them. -Yes sir.,"00:18:33,405 --> 00:18:36,200",స్పాన్ యొక్క శ్రద్ధ వహించండి. వారందరికీ. -అవును సార్.
And get that shit off your face.,"00:18:36,283 --> 00:18:37,793",మరియు ఆ ఒంటిని మీ ముఖం నుండి తీసివేయండి.
You want a kiss on the scratch? - Give him this. -Okay.,"00:18:47,920 --> 00:18:49,922",మీకు స్క్రాచ్‌పై ముద్దు కావాలా? - ఇది అతనికి ఇవ్వండి. -సరే.
"I would use yala bark. - Here, drink. -Really? And who is Tsahik?","00:18:49,963 --> 00:18:54,593","నేను యాలాల బెరడు ఉపయోగిస్తాను. - ఇక్కడ, త్రాగండి. -నిజంగా? మరి సాహిక్ ఎవరు?"
You are... Move.,"00:18:55,469 --> 00:18:56,979",మీరు... తరలించు.
"you are, grandma, but the bark is better.","00:18:57,137 --> 00:18:59,890","మీరు, అమ్మమ్మ, కానీ బెరడు మంచిది."
It burns less.,"00:19:02,059 --> 00:19:03,569",ఇది తక్కువ మండుతుంది.
A mighty warrior.,"00:19:04,102 --> 00:19:05,612",ఒక పరాక్రమ యోధుడు.
What is it?,"00:19:13,028 --> 00:19:14,538",ఇది ఏమిటి?
Netejam and Lo'ak look up to you.,"00:19:16,615 --> 00:19:19,535",Netejam మరియు Lo'ak మీ కోసం ఎదురు చూస్తున్నారు.
It was hard for them.,"00:19:20,577 --> 00:19:22,454",అది వారికి కష్టమైంది.
I know.,"00:19:23,622 --> 00:19:25,132",నాకు తెలుసు.
You are very strict with them.,"00:19:26,917 --> 00:19:28,794",మీరు వారితో చాలా కఠినంగా ఉంటారు.
I am their father. That's my job.,"00:19:32,089 --> 00:19:34,007",నేను వాళ్ల నాన్నను. అది నా పని.
This is not a unit. This is family.,"00:19:35,467 --> 00:19:38,262",ఇది యూనిట్ కాదు. ఇది కుటుంబం.
I thought we were out of them.,"00:19:49,898 --> 00:19:51,608",మేము వాటి నుండి బయటపడ్డామని నేను అనుకున్నాను.
Hey buddy. How's it going? - Spiders.,"00:20:00,742 --> 00:20:02,578",హే మిత్రమా. ఎలా జరుగుతోంది? - సాలెపురుగులు.
Your face is mine.,"00:20:03,328 --> 00:20:04,838",నీ ముఖం నాది.
I'm here.,"00:20:04,872 --> 00:20:06,382",నేను ఇక్కడ ఉన్నాను.
Only for avatars. Go around!,"00:20:06,498 --> 00:20:08,375",అవతార్‌ల కోసం మాత్రమే. చుట్టూ తిరగండి!
Sorry.,"00:20:08,834 --> 00:20:10,293",క్షమించండి.
Yes. Those blue stripes they don't make you bigger bro.,"00:20:10,294 --> 00:20:12,754",అవును. ఆ నీలి గీతలు అవి నిన్ను పెద్దవిగా చేయవు సోదరా.
"Yes, I can still beat you up.","00:20:13,338 --> 00:20:14,882","అవును, నేను ఇంకా నిన్ను కొట్టగలను."
What a day. - Long.,"00:20:18,719 --> 00:20:20,429",ఏ రోజు. - పొడవైన.
"Really hilarious, folks. But you know what's really horrible?","00:20:23,599 --> 00:20:26,518","నిజంగా ఉల్లాసంగా ఉంది, జనాలు. అయితే అసలు భయంకరమైన విషయం ఏంటో తెలుసా?"
"You can breathe earth air for hours,","00:20:26,553 --> 00:20:28,312","మీరు ఊపిరి పీల్చుకోవచ్చు గంటల తరబడి భూమి గాలి,"
