en_dialogue,Timeline,telugu_dialogue
I thought Berkeley had the leading,"00:03:06,754 --> 00:03:08,756",నేను బర్కిలీ అనుకున్నాను ఆధిక్యాన్ని కలిగి ఉంది
theoretical physics department.,"00:03:08,789 --> 00:03:10,624",సైద్ధాంతిక భౌతిక శాస్త్ర విభాగం.
Yes. Once I built it.,"00:03:10,658 --> 00:03:13,228",అవును. ఒకసారి నేను దానిని నిర్మించాను.
But first I had to go to Europe.,"00:03:13,261 --> 00:03:14,863",అయితే ముందుగా యూరప్ వెళ్లాల్సి వచ్చింది.
I went to Cambridge to study under Patrick Blackett.,"00:03:14,896 --> 00:03:18,266",చదువుకోవడానికి కేంబ్రిడ్జ్ వెళ్లాను పాట్రిక్ బ్లాకెట్ ఆధ్వర్యంలో.
Were you happier there than in America?,"00:03:18,300 --> 00:03:20,902",మీరు సంతోషంగా ఉన్నారా అమెరికాలో కంటే అక్కడ?
- Happier? - Yes.,"00:03:20,936 --> 00:03:23,071",- సంతోషమా? - అవును.
(unsettling music playing),"00:03:23,105 --> 00:03:25,639",(అశాంతికరమైన సంగీతం ప్లే)
"No. No, I, uh...","00:03:27,042 --> 00:03:30,045","కాదు. కాదు, నేను, ఉహ్..."
"<i>I was homesick, um...</i>",,
emotionally immature...,"00:03:35,750 --> 00:03:37,718",మానసికంగా అపరిపక్వత...
<i>troubled by visions of a hidden universe.</i>,,
(soft blast),"00:03:44,059 --> 00:03:45,526",(సాఫ్ట్ బ్లాస్ట్)
(rumbling),"00:03:48,063 --> 00:03:50,832",(గర్జన)
Useless in the lab.,"00:03:55,070 --> 00:03:56,905",ల్యాబ్‌లో పనికిరాదు.
(glass shattering),"00:03:56,938 --> 00:03:58,539",(గాజు పగిలిపోవడం)
"Christ, Oppenheimer.","00:04:01,943 --> 00:04:04,046","క్రీస్తు, ఓపెన్‌హైమర్."
Have you had any sleep?,"00:04:04,079 --> 00:04:06,148",మీకు నిద్ర పట్టిందా?
Start again.,"00:04:07,949 --> 00:04:09,184",పునఃప్రారంభించండి.
"I need to go to the lecture, sir.","00:04:09,217 --> 00:04:11,719","నేను వెళ్ళాలి ఉపన్యాసం, సార్."
Why?,"00:04:11,752 --> 00:04:13,155",ఎందుకు?
It's Niels Bohr.,"00:04:13,188 --> 00:04:15,090",అది నీల్స్ బోర్.
"BLACKETT: Damn, completely forgot.","00:04:17,893 --> 00:04:19,593","బ్లాకెట్: పాడు, పూర్తిగా మర్చిపోయారు."
All right. (clears throat) Let's go.,"00:04:19,627 --> 00:04:21,830",అయితే సరే. (క్లియర్ చేస్తుంది గొంతు) వెళ్దాం.
"- Oh, no, not you, Oppenheimer. - (students laughing)","00:04:24,166 --> 00:04:26,077","- ఓహ్, లేదు, మీరు కాదు, ఓపెన్‌హైమర్. - (విద్యార్థులు నవ్వుతున్నారు)"
You finish coating those plates.,"00:04:26,101 --> 00:04:27,211",మీరు ఆ పలకలకు పూత పూయడం పూర్తి చేయండి.
STUDENT 1: You see them?,"00:04:27,235 --> 00:04:29,071",విద్యార్థి 1: మీరు వాటిని చూస్తున్నారా?
(students laughing),"00:04:29,104 --> 00:04:30,906",(విద్యార్థులు నవ్వుతున్నారు)
STUDENT 2: Don't forget to clean up!,"00:04:34,642 --> 00:04:36,610",విద్యార్థి 2: వద్దు శుభ్రం చేయడం మర్చిపో!
(cabinet door closes),"00:05:02,670 --> 00:05:04,139",(క్యాబినెట్ తలుపు మూసివేయబడుతుంది)
"BOHR: <i>Quantum physics is not a step forward,</i>",,
it is a new way to understand reality.,"00:05:11,745 --> 00:05:15,250",ఇది ఒక కొత్త మార్గం వాస్తవికతను అర్థం చేసుకోండి.
"Einstein's opened the door, now we are peering through,","00:05:15,283 --> 00:05:18,854","ఐన్స్టీన్ తలుపు తెరిచాడు, ఇప్పుడు మనం చూస్తున్నాము,"
seeing a world inside our world.,"00:05:18,887 --> 00:05:21,789",మన ప్రపంచం లోపల ఒక ప్రపంచాన్ని చూడటం.
A world of energy and paradox that not everyone can accept.,"00:05:21,823 --> 00:05:27,229",శక్తి మరియు పారడాక్స్ ప్రపంచం అందరూ అంగీకరించలేరు.
(unsettling music continues),"00:05:28,864 --> 00:05:31,867",(అశాంతికరమైన సంగీతం కొనసాగుతుంది)
- (music fades out) - (bell tolling),"00:05:57,791 --> 00:05:59,693",- (సంగీతం ఫేడ్ అవుట్) - (బెల్ టోల్లింగ్)
(indistinct chatter),"00:06:03,431 --> 00:06:05,200",(అస్పష్టమైన కబుర్లు)
"Yeah, definitely.","00:06:09,337 --> 00:06:10,771","అవును, ఖచ్చితంగా."
- (panting) - Are you all right?,"00:06:10,805 --> 00:06:12,174",- (ఊపిరి పీల్చుకోవడం) - నువ్వు బాగానే ఉన్నావు కదా?
"Niels, meet J. Robert Oppenheimer.","00:06:13,408 --> 00:06:15,243","నీల్స్, J ను కలవండి. రాబర్ట్ ఓపెన్‌హైమర్."
"BOHR: What's the ""J"" stand for?","00:06:15,277 --> 00:06:16,777","BOHR: ఏమిటి ""J"" స్టాండ్ అంటే?"
"Nothing, apparently.","00:06:16,811 --> 00:06:18,779","ఏమీ లేదు, స్పష్టంగా."
You were at my lecture.,"00:06:18,813 --> 00:06:19,915",మీరు నా ఉపన్యాసంలో ఉన్నారు.
You asked the only good question.,"00:06:19,948 --> 00:06:21,349",మీరు ఒక్కటే అడిగారు మంచి ప్రశ్న.
BLACKETT: No one's denying his insight.,"00:06:21,383 --> 00:06:23,118",బ్లాకెట్: ఎవరూ లేరు అతని అంతర్దృష్టిని తిరస్కరించడం.
It's his laboratory work that leaves a little to be desired.,"00:06:23,151 --> 00:06:25,229",ఇది అతని ప్రయోగశాల పని కావాల్సినంత కొద్దిగా ఆకులు.
(swallows) I heard you give the same lecture...,"00:06:25,253 --> 00:06:27,093",(మింగుతూ) నేను మీ మాట విన్నాను అదే ఉపన్యాసం ఇవ్వండి...
"At Harvard, yes, and you asked the same question.","00:06:27,122 --> 00:06:30,325","హార్వర్డ్‌లో, అవును, మరియు మీరు అదే ప్రశ్న అడిగాడు."
Why ask again?,"00:06:30,358 --> 00:06:31,459",మళ్లీ ఎందుకు అడగాలి?
Hadn't liked your answer.,"00:06:31,493 --> 00:06:33,094",మీ సమాధానం నచ్చలేదు.
Did you like it better yesterday?,"00:06:34,462 --> 00:06:36,198",మీకు నచ్చిందా నిన్న మంచిదా?
A lot.,"00:06:36,231 --> 00:06:37,499",చాలా.
You can lift the stone without being ready,"00:06:37,532 --> 00:06:39,434",మీరు రాయిని ఎత్తవచ్చు సిద్ధంగా లేకుండా
for the snake that's revealed.,"00:06:39,467 --> 00:06:41,836",బహిర్గతం చేసిన పాము కోసం.
Now it seems you're ready.,"00:06:41,870 --> 00:06:44,005",ఇప్పుడు మీరు సిద్ధంగా ఉన్నట్లు తెలుస్తోంది.
- But you don't enjoy the lab? - (continues panting),"00:06:44,039 --> 00:06:46,341",- అయితే మీరు ల్యాబ్‌ను ఆస్వాదించలేదా? - (పాటింగ్ కొనసాగుతుంది)
So get out of Cambridge with its beakers and potions.,"00:06:46,374 --> 00:06:49,244",కాబట్టి కేంబ్రిడ్జ్ నుండి బయటపడండి దాని చెంబులు మరియు పానీయాలు.
Go somewhere they let you think.,"00:06:49,277 --> 00:06:52,247","ఎక్కడికైనా వెళ్లండి, వారు మిమ్మల్ని ఆలోచించేలా చేస్తారు."
(whispers): Where?,"00:06:53,248 --> 00:06:54,883",(గుసగుసలు): ఎక్కడ?
Göttingen.,"00:06:55,517 --> 00:06:56,518",గోట్టింగెన్.
- Born? - Born.,"00:06:56,551 --> 00:06:58,486",- పుట్టిందా? - పుట్టింది.
"Get to Germany, study under Max Born.","00:06:58,520 --> 00:07:00,488","జర్మనీకి వెళ్లండి, మాక్స్ బోర్న్ కింద అధ్యయనం."
Learn the ways of theory.,"00:07:00,522 --> 00:07:03,158",సిద్ధాంతం యొక్క మార్గాలను తెలుసుకోండి.
I'll send word.,"00:07:03,191 --> 00:07:04,226",నేను మాట పంపుతాను.
(gasps),"00:07:04,259 --> 00:07:05,827",(ఊపిరి పీల్చుకోవడం)
- Wormhole. (exhales) - (apple clatters in trashcan),"00:07:05,860 --> 00:07:07,963",- వార్మ్హోల్. (నిశ్వాసలు) - (ట్రాష్‌కాన్‌లో ఆపిల్ చప్పుడు)
How's your mathematics?,"00:07:07,996 --> 00:07:09,364",మీ గణితం ఎలా ఉంది?
Not good enough for the physicist he wants to be.,"00:07:09,397 --> 00:07:11,366",కోసం సరిపోదు అతను భౌతిక శాస్త్రవేత్త కావాలనుకుంటున్నాడు.
Algebra's like sheet music.,"00:07:11,399 --> 00:07:13,969",బీజగణితం షీట్ మ్యూజిక్ లాంటిది.
"The important thing isn't ""Can you read music?""","00:07:14,002 --> 00:07:16,471","ముఖ్యమైన విషయం కాదు ""మీరు సంగీతం చదవగలరా?"""
"It's ""Can you hear it?""","00:07:16,504 --> 00:07:17,505","ఇది ""మీరు వినగలరా?"""
"Can you hear the music, Robert?","00:07:17,539 --> 00:07:20,842","మీరు సంగీతం వినగలరా, రాబర్ట్?"
"Yes, I can.","00:07:21,810 --> 00:07:23,378","అవును, నేను చేయగలను."
(classical music playing),"00:07:23,411 --> 00:07:25,947",(క్లాసికల్ మ్యూజిక్ ప్లే)
- (rumbling) - (metallic clinking),"00:07:28,116 --> 00:07:30,784",- (గర్జన) - (మెటాలిక్ క్లింక్)
(intense classical music continues),"00:08:09,958 --> 00:08:13,061",(తీవ్రమైన క్లాసికల్ సంగీతం కొనసాగుతుంది)
(music tempo increasing),"00:08:41,556 --> 00:08:43,358",(సంగీత టెంపో పెరుగుతోంది)
(music ends),"00:08:58,239 --> 00:08:59,074",(సంగీతం ముగుస్తుంది)
The senator from Wyoming.,"00:08:59,107 --> 00:09:00,608",వ్యోమింగ్ నుండి సెనేటర్.
"Admiral Strauss, I'm interested in your relationship","00:09:01,576 --> 00:09:04,045","అడ్మిరల్ స్ట్రాస్, నేను మీ సంబంధంపై ఆసక్తి"
with Dr. J. Robert Oppenheimer.,"00:09:04,079 --> 00:09:06,948",డాక్టర్ J. రాబర్ట్ ఓపెన్‌హైమర్‌తో.
You met him in 1947?,"00:09:06,981 --> 00:09:08,583",మీరు అతన్ని 1947లో కలిశారా?
Correct.,"00:09:08,616 --> 00:09:09,584",సరైన.
You were commissioner,"00:09:09,617 --> 00:09:11,386",మీరు కమిషనర్‌గా ఉన్నారు
of the Atomic Energy Commission?,"00:09:11,419 --> 00:09:12,987",అటామిక్ ఎనర్జీ కమిషన్ యొక్క?
"I was, but I-I actually met Robert in my capacity","00:09:13,021 --> 00:09:16,958","నేను ఉన్నాను, కానీ నేను-నేను నా హోదాలో రాబర్ట్‌ని కలిశాను"
as board member of the Institute for Advanced Study,"00:09:16,991 --> 00:09:19,661",యొక్క బోర్డు సభ్యునిగా ఇన్‌స్టిట్యూట్ ఫర్ అడ్వాన్స్‌డ్ స్టడీ
at Princeton because,"00:09:19,694 --> 00:09:21,496",ప్రిన్స్టన్ వద్ద ఎందుకంటే
"after the war, he was world-renowned","00:09:21,529 --> 00:09:24,165","యుద్ధం తరువాత, అతను ప్రపంచ ప్రఖ్యాతిగాంచింది"
"as the great man of physics, and I was determined","00:09:24,199 --> 00:09:26,601","భౌతిక శాస్త్రంలో గొప్ప వ్యక్తిగా, మరియు నేను నిశ్చయించుకున్నాను"
to get him to run the Institute.,"00:09:26,634 --> 00:09:29,337",అతనిని ఇన్‌స్టిట్యూట్‌ని నడపడానికి.
(birds chirping),"00:09:29,371 --> 00:09:31,473",(పక్షులు అరుపులు)
(soft music playing),"00:09:31,506 --> 00:09:34,175",(సాఫ్ట్ మ్యూజిక్ ప్లే)
Dr. Oppenheimer. An honor.,"00:09:38,513 --> 00:09:41,583",డా. ఓపెన్‌హీమర్. ఒక గౌరవం.
Mr. Strauss.,"00:09:41,616 --> 00:09:42,951",మిస్టర్ స్ట్రాస్.
"It's pronounced ""straws.""","00:09:42,984 --> 00:09:44,285","దీనిని ""స్ట్రాస్"" అని ఉచ్ఛరిస్తారు."
"ROBERT: Oh-ppenheimer, Oppenheimer.","00:09:45,186 --> 00:09:46,654","రాబర్ట్: ఓహ్-పెన్‌హైమర్, ఓపెన్‌హైమర్."
"Whatever way you say it, they know I'm Jewish.","00:09:46,688 --> 00:09:48,556","మీరు ఏ విధంగా చెప్పినా, నేను యూదుడినని వారికి తెలుసు."
(Strauss chuckles),"00:09:48,590 --> 00:09:50,058",(స్ట్రాస్ నవ్వుతూ)
I'm president of Temple Emanu-El in Manhattan.,"00:09:50,091 --> 00:09:52,694",నేను ఆలయ అధ్యక్షుడిని మాన్‌హట్టన్‌లో ఇమాను-ఎల్.
"""Straws"" is just the Southern pronunciation.","00:09:52,727 --> 00:09:54,996","""స్ట్రాస్"" కేవలం ది దక్షిణ ఉచ్చారణ."
"- Ah. - Anyway,","00:09:55,029 --> 00:09:56,064","- ఆహ్. - ఏమైనా,"
welcome to the Institute.,"00:09:56,097 --> 00:09:57,532",ఇన్స్టిట్యూట్‌కి స్వాగతం.
I think you could be very happy here.,"00:09:57,565 --> 00:09:59,200",మీరు చేయగలరని నేను అనుకుంటున్నాను ఇక్కడ చాలా సంతోషంగా ఉండండి.
"Yes, well, you'll love the commute.","00:09:59,234 --> 00:10:01,169","అవును, బాగా, మీరు చేస్తాము ప్రయాణాన్ని ప్రేమిస్తున్నాను."
The position comes with that house,"00:10:01,202 --> 00:10:02,537",స్థానం వస్తుంది ఆ ఇంటితో
for you and your wife,"00:10:02,570 --> 00:10:04,038",మీ కోసం మరియు మీ భార్య కోసం
"and your, is it two children?","00:10:04,072 --> 00:10:06,241","మరియు మీ, ఇద్దరు పిల్లలా?"
"Yes, two.","00:10:06,274 --> 00:10:07,075","అవును, రెండు."
I'm a great admirer of your work.,"00:10:07,108 --> 00:10:10,044",నేను గొప్ప అభిమానిని మీ పని.
"And you're a physicist by training, Mr. Strauss?","00:10:10,078 --> 00:10:12,280","మరియు మీరు భౌతిక శాస్త్రవేత్త శిక్షణ ద్వారా, Mr. స్ట్రాస్?"
"I'm sorry, uh, common room 4:00 tea.","00:10:12,313 --> 00:10:14,382","నన్ను క్షమించండి, అయ్యో, సాధారణ గది 4:00 టీ."
"No, I'm not trained in physics or anything else.","00:10:14,416 --> 00:10:17,185","లేదు, నేను శిక్షణ పొందలేదు భౌతిక శాస్త్రం లేదా మరేదైనా."
- I'm a self-made man. - Ah.,"00:10:17,218 --> 00:10:19,053",- నేను స్వీయ నిర్మిత మనిషిని. - ఆహ్.
- I can relate to that. - Really?,"00:10:19,087 --> 00:10:21,089",- నేను దానితో సంబంధం కలిగి ఉండగలను. - నిజంగా?
"Yes, my father was one.","00:10:21,122 --> 00:10:23,458","అవును, మా నాన్న ఒకరు."
And this would be your office.,"00:10:23,491 --> 00:10:27,061",మరియు ఇది మీ కార్యాలయం అవుతుంది.
I'm told he's there most afternoons.,"00:10:36,237 --> 00:10:38,173",అతను అక్కడ ఉన్నాడని నాకు చెప్పబడింది చాలా మధ్యాహ్నాలు.
"You know, I've always wondered","00:10:38,206 --> 00:10:40,308","మీకు తెలుసా, నేను ఎప్పుడూ ఆశ్చర్యపోతున్నాను"
why you didn't involve him in the Manhattan Project.,"00:10:40,341 --> 00:10:43,945",మీరు అతనిని ఎందుకు చేర్చుకోలేదు మాన్‌హాటన్ ప్రాజెక్ట్‌లో.
Greatest scientific mind of our time.,"00:10:44,712 --> 00:10:48,216",గొప్ప శాస్త్రీయమైనది మన కాలపు మనస్సు.
Of his time.,"00:10:48,249 --> 00:10:50,118",అతని కాలం.
Einstein published his Theory of Relativity,"00:10:50,151 --> 00:10:52,187",ఐన్స్టీన్ తన ప్రచురించాడు సాపేక్ష సిద్ధాంతం
more than 40 years ago now.,"00:10:52,220 --> 00:10:55,156",ఇప్పుడు 40 సంవత్సరాల క్రితం.
But never embraced the quantum world it revealed.,"00:10:56,224 --> 00:10:58,660",కానీ ఎప్పుడూ ఆలింగనం చేసుకోలేదు క్వాంటం వరల్డ్ అది వెల్లడించింది.
"""God doesn't play dice.""","00:10:58,693 --> 00:11:00,228","""దేవుడు పాచికలు ఆడడు."""
Precisely.,"00:11:00,261 --> 00:11:02,230",ఖచ్చితంగా.
"You never thought of studying physics formally, Mr. Strauss?","00:11:02,263 --> 00:11:05,066","నువ్వు ఎప్పుడూ చదువు గురించి ఆలోచించలేదు భౌతికశాస్త్రం అధికారికంగా, Mr. స్ట్రాస్?"
"Well, I had offers, but I chose to sell shoes.","00:11:05,099 --> 00:11:07,469","బాగా, నాకు ఆఫర్లు ఉన్నాయి, కానీ నేను బూట్లు అమ్మడానికి ఎంచుకున్నాను."
Lewis Strauss was once a lowly shoe salesman.,"00:11:07,502 --> 00:11:11,005",లూయిస్ స్ట్రాస్ ఒకప్పుడు ఒక తక్కువ షూ విక్రయదారుడు.
"No, just a shoe salesman.","00:11:11,773 --> 00:11:13,675","కాదు, కేవలం ఒక షూ సేల్స్‌మాన్."
Huh.,"00:11:13,708 --> 00:11:15,977",హుహ్.
- I'd love to introduce you. - No need.,"00:11:17,245 --> 00:11:20,014",- నేను మిమ్మల్ని పరిచయం చేయాలనుకుంటున్నాను. - అవసరం లేదు.
I have known him for years.,"00:11:21,115 --> 00:11:22,584",నాకు ఆయన చాలా ఏళ్లుగా తెలుసు.
(soft music continues),"00:11:29,157 --> 00:11:31,559",(మృదు సంగీతం కొనసాగుతుంది)
Albert.,"00:11:43,806 --> 00:11:45,507",ఆల్బర్ట్.
What was that? What did you say to him?,"00:11:50,111 --> 00:11:54,315",అది ఏమిటి? ఏమిటి మీరు అతనితో చెప్పారా?
"Oh, he's fine.","00:11:56,451 --> 00:11:57,485","ఓహ్, అతను బాగానే ఉన్నాడు."
"Mr. Strauss, there are things in my past","00:11:59,354 --> 00:12:02,657","మిస్టర్ స్ట్రాస్, అక్కడ నా గతంలోని విషయాలు"
you ought to be aware of.,"00:12:02,690 --> 00:12:04,192",మీరు తప్పక తెలుసుకోవాలి.
"Well, as chairman of the AEC,","00:12:04,225 --> 00:12:06,127","బాగా, AEC ఛైర్మన్‌గా,"
I have access to your security file.,"00:12:06,160 --> 00:12:07,629",నాకు యాక్సెస్ ఉంది మీ భద్రతా ఫైల్.
I've read it.,"00:12:07,662 --> 00:12:08,663",నేను చదివాను.
- You're not worried? - No.,"00:12:08,696 --> 00:12:10,265",- మీరు చింతించలేదా? - లేదు.
Why would I be worried after everything,"00:12:10,298 --> 00:12:11,675",నేను ఎందుకు ఆందోళన చెందుతాను ప్రతిదీ తర్వాత
you've done for your country?,"00:12:11,699 --> 00:12:13,167",మీరు మీ దేశం కోసం చేశారా?
"Well, times change, Mr. Strauss.","00:12:13,201 --> 00:12:14,669","బాగా, సమయం మారుతుంది, మిస్టర్ స్ట్రాస్."
"Well, the purpose of this institute","00:12:14,702 --> 00:12:16,538","బాగా, ప్రయోజనం ఈ ఇన్స్టిట్యూట్ యొక్క"
is to provide a haven for independent minds.,"00:12:16,571 --> 00:12:19,240",స్వర్గధామం అందించడమే స్వతంత్ర మనస్సుల కోసం.
That's you. You are the man for the job.,"00:12:20,174 --> 00:12:23,177",అది మీరే. మీరు ఉద్యోగం కోసం మనిషి.
"Well, then I'll consider it.","00:12:23,211 --> 00:12:25,814","బాగా, అప్పుడు నేను దానిని పరిశీలిస్తాను."
I'll see you at the AEC meeting tomorrow.,"00:12:25,848 --> 00:12:28,116",నేను మిమ్మల్ని అక్కడ చూస్తాను రేపు AEC సమావేశం.
(scoffs),"00:12:31,419 --> 00:12:32,487",(ఎగతాళి చేయడం)
This is one of the most prestigious,"00:12:32,520 --> 00:12:34,088",ఇది ఒకటి అత్యంత ప్రతిష్టాత్మకమైనది
appointments in the country.,"00:12:34,122 --> 00:12:35,858",దేశంలో నియామకాలు.
"Yes, with a great commute.","00:12:35,891 --> 00:12:38,092","అవును, గొప్ప ప్రయాణంతో."
That's why I'm considering it.,"00:12:38,126 --> 00:12:40,428",అందుకే ఆలోచిస్తున్నాను.
"SENATOR McGEE: <i>So, Dr. Oppenheimer brought</i>",,
<i>your attention to his past associations</i>,,
<i>before you appointed him?</i>,,
Yes.,"00:12:45,868 --> 00:12:47,302",అవును.
And it didn't concern you?,"00:12:47,335 --> 00:12:49,170",మరియు అది మీకు సంబంధించినది కాదా?
"Just then, I was entirely consumed","00:12:49,203 --> 00:12:50,738","అప్పుడే, నేను ఉన్నాను పూర్తిగా వినియోగించబడింది"
with what he must have said to Einstein to sour him on me.,"00:12:50,772 --> 00:12:54,542",అతను తప్పక చెప్పిన దానితో ఐన్‌స్టీన్‌కి నా మీద పుల్లనిచ్చాడు.
(laughter),"00:12:54,576 --> 00:12:57,078",(నవ్వు)
But later?,"00:12:58,146 --> 00:12:59,347",కానీ తర్వాతా?
"Well, we all know what happened later.","00:12:59,380 --> 00:13:01,316","సరే, మనందరికీ తెలుసు తరువాత ఏమి జరిగింది."
"ROBB: Doctor, your, uh... your time in Europe,","00:13:01,349 --> 00:13:03,718","రాబ్: డాక్టర్, మీ, ఉహ్... ఐరోపాలో మీ సమయం,"
