en_dialogue,Timeline,telugu_dialogue
(Banging),"00:06:04,594 --> 00:06:06,027",(బ్యాంగింగ్)
"<font color=""","00:06:08,074 --> 00:06:09,666",(పగుళ్లు)
"We're good... Just chill, boss.","00:06:09,754 --> 00:06:11,631","మేము బాగున్నాము... జస్ట్ చిల్, బాస్."
Brock: Make your turn.,"00:06:25,394 --> 00:06:27,225",బ్రాక్: మీ వంతు చేయండి.
"- Lewis: Cable out, Captain. - Make your turn.","00:06:27,314 --> 00:06:30,306","- లూయిస్: కేబుల్ అవుట్, కెప్టెన్. - మీ వంతు చేయండి."
"Brock, we're at the piano. You copy?","00:06:30,394 --> 00:06:32,703","బ్రాక్, మేము పియానో ​​వద్ద ఉన్నాము. మీరు కాపీ చేస్తారా?"
"Brock: <i>Okay, copy that.</i>",,
"Brock: Right there, that's it!","00:06:41,674 --> 00:06:44,108","బ్రాక్: అక్కడే, అంతే!"
- That's the bedroom door! - I see it... I see it.,"00:06:44,194 --> 00:06:47,266",- అది పడకగది తలుపు! - నేను చూస్తున్నాను... నేను చూస్తున్నాను.
We're in!,"00:06:55,754 --> 00:06:56,948",మేము ఉన్నాం!
"We're in, baby, we're there!","00:06:57,034 --> 00:06:59,753","మేము ఉన్నాము, బేబీ, మేము అక్కడ ఉన్నాము!"
Brock: That's Hockley's bed.,"00:06:59,834 --> 00:07:02,109",బ్రాక్: అది హాక్లీ బెడ్.
That's where the son of a bitch slept.,"00:07:02,194 --> 00:07:04,754",అక్కడే ఆడపిల్ల పడుకున్నాడు.
Lewis: Somebody left the water running.,"00:07:09,874 --> 00:07:12,593",లూయిస్: ఎవరో నీటిని వదిలారు.
Hold it. Go back to the right.,"00:07:12,674 --> 00:07:15,234",దాన్ని పట్టుకో. కుడివైపుకు తిరిగి వెళ్ళు.
That wardrobe door... Get closer.,"00:07:21,114 --> 00:07:23,753",ఆ వార్డ్ రోబ్ డోర్... దగ్గరికి వెళ్లు.
"- You smelling something, boss? - I wanna see what's under it.","00:07:23,834 --> 00:07:27,144","- మీరు ఏదో వాసన చూస్తున్నారా, బాస్? - నేను దాని కింద ఏముందో చూడాలనుకుంటున్నాను."
"Gimme my hands, man.","00:07:27,234 --> 00:07:28,667","నా చేతులు ఇవ్వండి, మనిషి."
All right...!,"00:07:33,834 --> 00:07:35,426",అయితే సరే...!
- Take it easy. It might come apart. - Okay.,"00:07:36,914 --> 00:07:40,509",- తేలికగా తీసుకోండి. అది విడిపోవచ్చు. - సరే.
"Go! Go, go, go!","00:07:40,594 --> 00:07:41,822",వెళ్ళండి! వెళ్లు వెళ్లు వెళ్లు!
"Flip it over, flip it over. Go.","00:07:41,914 --> 00:07:43,870","దాన్ని తిప్పండి, తిప్పండి. వెళ్ళండి."
"Keep going. Go, go, go.","00:07:43,954 --> 00:07:46,593",కొనసాగించండి. వెళ్లు వెళ్లు వెళ్లు.
Okay. Drop it.,"00:07:46,674 --> 00:07:47,823",సరే. వదిలిపెట్టు.
"Oh, baby, baby... Are you seeing this, boss?","00:07:56,354 --> 00:07:59,710","ఓ, బేబీ, బేబీ... మీరు ఇది చూస్తున్నారా, బాస్?"
"It's payday, boys.","00:08:01,714 --> 00:08:03,705","ఇది పేడే, అబ్బాయిలు."
(Cheering),"00:08:15,554 --> 00:08:17,545",(ఉల్లాసంగా)
Ka-ching!,"00:08:19,434 --> 00:08:21,186",కా-చింగ్!
"We did it, Bobby!","00:08:21,274 --> 00:08:22,912","మేము చేసాము, బాబీ!"
"Lewis: Oh, yeah! Who's the man!","00:08:22,994 --> 00:08:25,952","లూయిస్: ఓహ్, అవును! ఎవరు మనిషి!"
"Who's the best, baby?","00:08:26,034 --> 00:08:27,831","ఎవరు బెస్ట్, బేబీ?"
"Say it, say it.","00:08:27,914 --> 00:08:29,313","చెప్పు, చెప్పు."
"You are, Lewis.","00:08:29,394 --> 00:08:31,271","మీరు, లూయిస్."
(Loud buzzing),"00:08:31,354 --> 00:08:33,424",(బిగ్గరగా సందడి)
"- Bobby, my cigar. - Right here.","00:08:33,514 --> 00:08:35,470","- బాబీ, నా సిగార్. - ఇక్కడే."
"Okay, crack her open.","00:08:42,714 --> 00:08:44,784","సరే, ఆమెను తెరవండి."
- Let me get around. Hang on. - You getting it?,"00:08:46,794 --> 00:08:50,548",- నన్ను చుట్టుముట్టనివ్వండి. ఆగండి. - మీకు అర్థమైందా?
Shit.,"00:09:13,194 --> 00:09:15,071",షిట్.
No diamond.,"00:09:15,714 --> 00:09:17,432",వజ్రం లేదు.
"You know, boss,...","00:09:17,514 --> 00:09:19,391",మీకు తెలుసా బాస్...
"..the same thing happened to Geraldo, and his career never recovered.","00:09:19,474 --> 00:09:24,468","..గెరాల్డోకి అదే జరిగింది, మరియు అతని కెరీర్ ఎప్పుడూ కోలుకోలేదు."
Turn the camera off.,"00:09:26,234 --> 00:09:28,190",కెమెరాను ఆఫ్ చేయండి.
"Brock, the partners would like to know how it's going.","00:09:28,274 --> 00:09:32,426","బ్రాక్, భాగస్వాములు చేస్తారు అది ఎలా జరుగుతుందో తెలుసుకోవాలనుకుంటున్నాను."
"Hey, Dave. Barry. Hi. Look, it wasn't in the safe, but hey...","00:09:32,514 --> 00:09:36,302","హే, డేవ్. బారీ. హాయ్. చూడండి, అది సేఫ్‌లో లేదు, కానీ హే..."
..don't worry about it. There's plenty of places it could be.,"00:09:36,394 --> 00:09:40,273",.. దాని గురించి చింతించకండి. చాలా స్థలాలు ఉండవచ్చు.
"The floor debris, the mother's room...","00:09:40,354 --> 00:09:42,424","నేల శిధిలాలు, తల్లి గది..."
"- Purser's safe on ""C"" deck. - Jimmy Hoffa's briefcase.","00:09:42,514 --> 00:09:44,903","- ""C"" డెక్‌లో పర్స్సర్ సురక్షితంగా ఉంది. - జిమ్మీ హోఫా యొక్క బ్రీఫ్‌కేస్."
Brock: A dozen other places.,"00:09:44,994 --> 00:09:46,632","<font color="""
You've got to trust my instincts. I know we're close.,"00:09:46,714 --> 00:09:49,911",మీరు నా ప్రవృత్తిని విశ్వసించాలి. మేము దగ్గరగా ఉన్నామని నాకు తెలుసు.
We just got to go through a process of elimination.,"00:09:49,994 --> 00:09:53,430",మేము కేవలం ద్వారా వెళ్ళడానికి వచ్చింది తొలగింపు ప్రక్రియ.
Hang on a second.,"00:09:53,514 --> 00:09:55,505",ఒక్క క్షణం ఆగండి.
Let me see that.,"00:09:57,474 --> 00:09:59,465",అది నన్ను చూడనివ్వండి.
"We might have something here, guys.","00:09:59,514 --> 00:10:01,391","మేము ఇక్కడ ఏదో కలిగి ఉండవచ్చు, అబ్బాయిలు."
Where's the photo of the necklace?,"00:10:02,914 --> 00:10:05,508",నెక్లెస్ ఫోటో ఎక్కడ ఉంది?
- We'll call you right back. - Holy...,"00:10:05,554 --> 00:10:08,193",- మేము మీకు వెంటనే కాల్ చేస్తాము. - పవిత్ర...
I'll be goddamned.,"00:10:17,754 --> 00:10:19,745",నేను దేవుడవుతాను.
(TV) <i>Treasure hunter Brock Lovett</i> <i>is best known for finding Spanish gold...</i>,,
It's okay. I'll feed you in a minute.,"00:10:25,714 --> 00:10:28,547",పర్వాలేదు. ఒక్క నిమిషంలో నీకు ఆహారం ఇస్తాను.
<i>He's chartered a Russian sub to reach</i> <i>the most famous wreck of all: Titanic.</i>,,
<i>He's with us live via satellite from</i> <i>the Keldysh in the North Atlantic.</i>,,
"<i>- Hello, Brock.</i> <i>- Hello, Tracy.</i>",,
"<i>Everyone knows</i> <i>the stories of Titanic,...</i>",,
"<i>..the nobility,</i> <i>the band playing and all that.</i>",,
"<i>I'm interested in the untold stories,</i> <i>the secrets deep inside the hull.</i>",,
<i>We're using robot technology</i> <i>to go further into the wreck...</i>,,
<i>..than anybody's ever done before.</i>,,
<i>You're at the centre of a controversy...</i>,,
"<i>..over salvage rights, and ethics.</i> <i>Many are calling you a grave robber.</i>",,
"<i>Nobody called the recovery</i> <i>of King Tut ""grave robbing"".</i>",,
"- What is it? - Turn that up, dear.","00:11:06,754 --> 00:11:09,393","- ఇది ఏమిటి? - దానిని తిరగండి, ప్రియమైన."
<i>I have museum-trained experts here...</i>,,
<i>..making sure these relics</i> <i>are treated properly.</i>,,
<i>Look at this drawing</i> <i>we found just today.</i>,,
<i>A piece of paper that's been</i> <i>underwater for 84 years...</i>,,
<i>..and my team were able</i> <i>to preserve it intact.</i>,,
<i>Should this have remained unseen</i> <i>at the bottom of the ocean for eternity?</i>,,
Brock! There's a satellite call for you.,"00:11:34,714 --> 00:11:37,672",బ్రాక్! మీ కోసం శాటిలైట్ కాల్ ఉంది.
"Bobby, we're launching. You see these submersibles going in?","00:11:37,754 --> 00:11:41,588","బాబీ, మేము ప్రారంభిస్తున్నాము. ఈ సబ్‌మెర్సిబుల్స్ లోపలికి వెళ్తున్నాయని మీరు చూస్తున్నారా?"
"Trust me, buddy. You wanna take this call.","00:11:41,674 --> 00:11:44,234",నన్ను నమ్మండి మిత్రమా. మీరు ఈ కాల్ తీసుకోవాలనుకుంటున్నారు.
This better be good.,"00:11:45,474 --> 00:11:47,430",ఇది మంచిదైతే మంచిది.
You gotta speak up. She's kinda old.,"00:11:47,514 --> 00:11:50,472",నువ్వు మాట్లాడాలి. ఆమె కాస్త ముసలిది.
Great.,"00:11:50,554 --> 00:11:52,306",గొప్ప.
"This is Brock Lovett. How can I help you, Mrs...?","00:11:52,394 --> 00:11:55,466","ఇది బ్రాక్ లోవెట్. నేను మీకు ఎలా సహాయం చేయగలను, Mrs...?"
Calvert. Rose Calvert.,"00:11:55,554 --> 00:11:57,670",కాల్వెర్ట్. రోజ్ కాల్వెర్ట్.
Mrs Calvert?,"00:11:57,754 --> 00:11:59,551",శ్రీమతి కాల్వెర్ట్?
"I was just wondering if you'd found the ""Heart of the Ocean"", Mr Lovett.","00:11:59,634 --> 00:12:04,788","మీరు కనుగొన్నారా అని నేను ఆశ్చర్యపోతున్నాను ""హార్ట్ ఆఫ్ ది ఓషన్"", Mr లోవెట్."
I said you wanted to take the call.,"00:12:06,474 --> 00:12:08,704",మీరు కాల్ తీసుకోవాలనుకుంటున్నారని నేను చెప్పాను.
"All right. You have my attention, Rose.","00:12:10,754 --> 00:12:13,188","అయితే సరే. మీరు నా దృష్టిని కలిగి ఉన్నారు, రోజ్."
Can you tell us who the woman in the picture is?,"00:12:13,274 --> 00:12:16,186",ఆ మహిళ ఎవరో చెప్పగలరా చిత్రంలో ఉంది?
"Oh, yes.","00:12:16,274 --> 00:12:17,787",ఆ అవును.
The woman in the picture is me.,"00:12:17,874 --> 00:12:20,468",చిత్రంలో కనిపిస్తున్న స్త్రీ నేనే.
She's a goddamned liar! Some nutcase seeking money or publicity!,"00:12:35,434 --> 00:12:39,950",ఆమె అబద్ధాలకోరు! కొన్ని నట్కేస్ డబ్బు లేదా ప్రచారం కోసం చూస్తున్నారు!
"God only knows why! Like that Russian babe, Anaesthesia!","00:12:40,034 --> 00:12:43,743","ఎందుకో దేవుడికే తెలుసు! ఆ రష్యన్ పసికందులాగే, అనస్థీషియా!"
They're inbound!,"00:12:43,834 --> 00:12:45,825",వారు లోపలికి వచ్చారు!
Rose DeWitt Bukater died on Titanic when she was 17.,"00:12:50,274 --> 00:12:53,869",రోజ్ డెవిట్ బుకాటర్ టైటానిక్‌లో మరణించాడు ఆమె 17 సంవత్సరాల వయస్సులో ఉన్నప్పుడు.
Right.,"00:12:53,954 --> 00:12:55,228",కుడి.
"If she'd lived, she'd be over 100 by now.","00:12:55,314 --> 00:12:57,782","ఆమె జీవించి ఉంటే, ఆమె ఇప్పటికి 100 ఏళ్లు దాటి ఉండేది."
101 next month.,"00:12:57,874 --> 00:13:00,183",వచ్చే నెల 101.
So she's a very old goddamned liar!,"00:13:00,274 --> 00:13:03,186",కాబట్టి ఆమె చాలా పాత అబద్ధాలకోరు!
I've done the background on this woman...,"00:13:03,274 --> 00:13:06,107",నేను నేపథ్యం చేసాను ఈ మహిళపై...
..back to the '20s when she was working as an actress.,"00:13:06,194 --> 00:13:09,630",..తిరిగి '20లకి ఆమె నటిగా పని చేస్తున్నప్పుడు.
An actress!,"00:13:09,714 --> 00:13:11,147",ఒక నటి!
"There's your first clue, Sherlock! Her name was Rose Dawson back then.","00:13:11,234 --> 00:13:15,193","మీ మొదటి క్లూ ఉంది, షెర్లాక్! అప్పట్లో ఆమె పేరు రోజ్ డాసన్."
She marries a guy named Calvert. They move to Cedar Rapids and have kids.,"00:13:15,274 --> 00:13:20,507",ఆమె కల్వర్ట్ అనే వ్యక్తిని పెళ్లి చేసుకుంది. వారు సెడార్ రాపిడ్స్‌కు వెళ్లి పిల్లలను కలిగి ఉన్నారు.
"Now Calvert's dead, and Cedar Rapids, too.","00:13:20,594 --> 00:13:23,506","ఇప్పుడు కాల్వర్ట్ చనిపోయాడు, మరియు సెడార్ రాపిడ్స్ కూడా."
Everybody who knows about the diamond...,"00:13:23,594 --> 00:13:26,233",తెలిసిన ప్రతి ఒక్కరూ వజ్రం గురించి...
"..is supposed to be dead or on this boat, but she knows.","00:13:26,314 --> 00:13:28,225","..చనిపోయి ఉండాల్సింది లేదా ఈ పడవలో, కానీ ఆమెకు తెలుసు."
"Doesn't exactly travel light, does she?","00:13:40,674 --> 00:13:43,552","కాంతి సరిగ్గా ప్రయాణించదు, ఆమె చేస్తుందా?"
"Mrs Calvert, I'm Brock Lovett.","00:13:45,474 --> 00:13:47,544","శ్రీమతి కాల్వెర్ట్, నేను బ్రాక్ లోవెట్."
Welcome to the Keldysh.,"00:13:47,634 --> 00:13:49,625",Keldysh కు స్వాగతం.
Let's get her inside.,"00:13:51,154 --> 00:13:53,031",ఆమెను లోపలికి తీసుకుపోదాం.
"Hi, Ms Calvert.","00:13:53,074 --> 00:13:54,393","హాయ్, Ms కాల్వెర్ట్."
- Hi. - Welcome to the Keldysh.,"00:13:54,474 --> 00:13:56,669",- హాయ్. - Keldysh కు స్వాగతం.
Man: Hey.,"00:13:58,514 --> 00:13:59,993",మనిషి: హే.
Hey!,"00:14:00,074 --> 00:14:01,666",హే!
(Knocking),"00:14:06,074 --> 00:14:07,666",(తట్టడం)
Yes?,"00:14:07,714 --> 00:14:08,703",అవునా?
- Are your staterooms all right? - Very nice.,"00:14:08,754 --> 00:14:11,587",- మీ స్టేటరూమ్‌లు బాగానే ఉన్నాయా? - చాలా బాగుంది.
Have you met my granddaughter Lizzy?,"00:14:11,674 --> 00:14:14,632",మీరు నా మనవరాలు లిజ్జీని కలిశారా?
She takes care of me.,"00:14:14,714 --> 00:14:16,670",ఆమె నన్ను చూసుకుంటుంది.
We met just a few minutes ago.,"00:14:16,754 --> 00:14:19,268",మేము కొద్ది నిమిషాల క్రితం కలుసుకున్నాము.
"Remember, Nana? Up on deck?","00:14:19,354 --> 00:14:21,788",గుర్తుంది నానా? డెక్ పైకి?
"Rose: There, that's nice.","00:14:21,874 --> 00:14:24,308",గులాబీ: అది బాగుంది.
Have to have my pictures when I travel.,"00:14:24,394 --> 00:14:26,988",నేను ప్రయాణించేటప్పుడు నా చిత్రాలు ఉండాలి.
Is there anything you'd like?,"00:14:27,074 --> 00:14:29,542",మీరు కోరుకునేది ఏదైనా ఉందా?
Yes.,"00:14:31,154 --> 00:14:32,587",అవును.
I would like to see my drawing.,"00:14:32,674 --> 00:14:35,188",నేను నా డ్రాయింగ్ చూడాలనుకుంటున్నాను.
"Brock: Louis XVI wore a fabulous stone, the Blue Diamond of the Crown,...","00:14:47,354 --> 00:14:52,587","బ్రాక్: లూయిస్ XVI అద్భుతమైన రాయిని ధరించాడు, కిరీటం యొక్క బ్లూ డైమండ్,..."
..which disappeared in 1792.,"00:14:52,674 --> 00:14:55,586",..ఇది 1792లో కనుమరుగైంది.
"About that time old Louis lost everything, from the neck up.","00:14:55,674 --> 00:14:59,303",ఆ సమయంలో పాత లూయిస్ మెడ నుండి ప్రతిదీ కోల్పోయింది.
"The theory goes that the Crown Diamond was chopped, too.","00:14:59,394 --> 00:15:03,831",సిద్ధాంతం అలా వెళుతుంది క్రౌన్ డైమండ్ కూడా కత్తిరించబడింది.
"Recut into a heart shape that became known as ""The Heart of the Ocean"".","00:15:03,914 --> 00:15:07,987","గుండె ఆకారంలోకి మార్చండి ""ది హార్ట్ ఆఫ్ ది ఓషన్"" అని పిలుస్తారు."
Today it'd be worth more than the Hope Diamond.,"00:15:08,074 --> 00:15:10,349",ఈ రోజు అది మరింత విలువైనది హోప్ డైమండ్ కంటే.
"It was a dreadful, heavy thing.","00:15:10,434 --> 00:15:12,743","ఇది భయంకరమైన, భారమైన విషయం."
I only wore it this once.,"00:15:12,834 --> 00:15:15,587",నేను ఈ ఒక్కసారి మాత్రమే ధరించాను.
"You actually think this is you, Nana?","00:15:15,674 --> 00:15:17,869","నిజానికి ఇది మీరేనని మీరు అనుకుంటున్నారా, నానా?"
"It is me, dear.","00:15:17,954 --> 00:15:19,831","ఇది నేను, ప్రియమైన."
Wasn't I a dish?,"00:15:19,914 --> 00:15:21,905",నేను వంటకం కాదా?
I tracked it down through insurance records.,"00:15:23,274 --> 00:15:25,993",నేను దానిని ట్రాక్ చేసాను బీమా రికార్డుల ద్వారా.
An old claim that was settled under terms of absolute secrecy.,"00:15:26,074 --> 00:15:29,703",పరిష్కరించబడిన పాత వాదన సంపూర్ణ గోప్యత నిబంధనల ప్రకారం.
"Can you tell me who the claimant was, Rose?","00:15:29,794 --> 00:15:34,026","చెప్పగలరా హక్కుదారు ఎవరు, రోజ్?"
I imagine someone named Hockley.,"00:15:34,114 --> 00:15:36,230",నేను హాక్లీ అనే వ్యక్తిని ఊహించుకుంటాను.
"Nathan Hockley, that's right.","00:15:36,314 --> 00:15:38,544","నాథన్ హాక్లీ, అది నిజం."
Pittsburgh steel tycoon.,"00:15:38,634 --> 00:15:40,590",పిట్స్‌బర్గ్ స్టీల్ వ్యాపారవేత్త.
The claim was for a necklace his son Caledon bought his fiancée - you -,"00:15:40,674 --> 00:15:45,464",తన కుమారుడికి నెక్లెస్ కోసం దావా వేసింది కాలెడాన్ తన కాబోయే భార్యను కొన్నాడు - మీరు -
..a week before he sailed on Titanic.,"00:15:45,554 --> 00:15:48,387",.. అతను టైటానిక్‌లో ప్రయాణించడానికి ఒక వారం ముందు.
"It was filed right after the sinking,...","00:15:48,474 --> 00:15:51,227","ఇది మునిగిపోయిన వెంటనే దాఖలు చేయబడింది,..."
..so the diamond had to have gone down with the ship.,"00:15:51,314 --> 00:15:55,466",.. కాబట్టి వజ్రం ఉండవలసి వచ్చింది ఓడతో కిందకు పోయింది.
You see the date?,"00:15:56,914 --> 00:15:58,905",మీరు తేదీని చూశారా?
"""April 14, 1912.""","00:15:59,554 --> 00:16:01,510","""ఏప్రిల్ 14, 1912."""
"If your grandmother is who she says she is,...","00:16:01,594 --> 00:16:03,983","మీ అమ్మమ్మ అయితే ఆమె ఎవరో చెప్పింది,..."
..she was wearing the diamond the day the Titanic sank.,"00:16:04,074 --> 00:16:06,952",..ఆమె వజ్రం ధరించి ఉంది టైటానిక్ మునిగిన రోజు.
And that makes you my new best friend.,"00:16:07,034 --> 00:16:10,390",మరియు అది మిమ్మల్ని నా కొత్త బెస్ట్ ఫ్రెండ్‌గా చేస్తుంది.
These are some of the things we recovered from your stateroom.,"00:16:10,474 --> 00:16:14,911",ఇవి కొన్ని విషయాలు మేము మీ గది నుండి కోలుకున్నాము.
This was mine!,"00:16:16,834 --> 00:16:18,825",ఇది నాది!
How extraordinary!,"00:16:19,594 --> 00:16:21,550",ఎంత అసాధారణమైనది!
And it looks the same as it did the last time I saw it.,"00:16:21,634 --> 00:16:25,627",మరియు అది చేసినట్లుగానే కనిపిస్తుంది నేను చివరిసారి చూసాను.
The reflection has changed a bit.,"00:16:30,994 --> 00:16:33,383",ప్రతిబింబం కాస్త మారిపోయింది.
Are you ready to go back to Titanic?,"00:16:49,434 --> 00:16:51,902",మీరు టైటానిక్‌కి తిరిగి వెళ్లడానికి సిద్ధంగా ఉన్నారా?
"Okay, here we go. She hits the berg on the starboard side, right?","00:16:55,234 --> 00:16:59,512","సరే, ఇదిగోండి. ఆమె బెర్గ్ కొట్టింది స్టార్‌బోర్డ్ వైపు, సరియైనదా?"
"She bumps along, punching holes along the side, below the waterline.","00:16:59,594 --> 00:17:04,304","ఆమె రంధ్రాలు గుద్దుతూ, వెంట దూసుకుపోతుంది ప్రక్కన, వాటర్‌లైన్ క్రింద."
Then the forward compartments start to flood.,"00:17:04,394 --> 00:17:07,989",అప్పుడు ముందుకు కంపార్ట్మెంట్లు వరదలు ప్రారంభమవుతాయి.
"As the water rises, it spills over the watertight bulkheads...","00:17:08,074 --> 00:17:11,191","నీరు పెరగడంతో, అది చిందుతుంది నీరు చొరబడని బల్క్ హెడ్స్..."
"..which don't go any higher than ""E"" deck.","00:17:11,274 --> 00:17:13,868","..ఇవి ఏ మాత్రం పైకి వెళ్లవు ""E"" డెక్ కంటే."
"So now as the bow goes down, the stern rises up,...","00:17:13,954 --> 00:17:17,663","కాబట్టి ఇప్పుడు విల్లు క్రిందికి వెళుతున్నప్పుడు, దృఢమైన పైకి లేస్తుంది,..."
"..slow at first, then faster and faster,...","00:17:17,754 --> 00:17:20,109","..మొదట నెమ్మదిగా, అప్పుడు వేగంగా మరియు వేగంగా,..."
..until she's got her whole ass up in the air. A big ass.,"00:17:20,194 --> 00:17:23,630",.. ఆమె మొత్తం గాడిద పొందే వరకు గాలి లో. ఒక పెద్ద గాడిద.
"We're talking 20,000, 30,000 tons, okay?","00:17:23,714 --> 00:17:27,229","మేము 20,000, 30,000 టన్నులు మాట్లాడుతున్నాము, సరేనా?"
"The hull's not designed to deal with that pressure, so what happens?","00:17:27,314 --> 00:17:31,387","పొట్టు వ్యవహరించడానికి రూపొందించబడలేదు ఆ ఒత్తిడితో, ఏమి జరుగుతుంది?"
"She splits, right down to the keel, and the stern falls back level.","00:17:31,474 --> 00:17:36,707","ఆమె కీల్ వరకు విడిపోతుంది, మరియు దృఢమైన స్థాయి తిరిగి వస్తుంది."
As the bow sinks it pulls the stern vertical...,"00:17:36,794 --> 00:17:39,547",విల్లు మునిగినట్లే అది దృఢమైన నిలువుగా లాగుతుంది...
..and then finally detaches.,"00:17:39,634 --> 00:17:41,864",.. ఆపై చివరకు విడిపోతుంది.
"The stern section bobs there like a cork for a few minutes,...","00:17:41,954 --> 00:17:46,391","దృఢమైన విభాగం అక్కడ బాబ్స్ కొన్ని నిమిషాలు కార్క్ లాగా,..."
"..floods, and finally goes under about 2.20am.","00:17:46,474 --> 00:17:49,034",".. వరదలు, చివరకు కిందకు పోతాయి సుమారు 2.20am."
