Timeline,en_dialogue,bengali_dialogue
"00:03:43,834 --> 00:03:49,670","2 1/2 miles down, 3,821 meters.","2 1/2 মাইল নিচে, 3,821 মিটার।"
"00:03:49,754 --> 00:03:53,030",The pressure outside is 3 1/2 tons per square inch.,বাইরের চাপ প্রতি বর্গ ইঞ্চিতে 3 1/2 টন।
"00:03:53,114 --> 00:03:55,423",These windows are nine inches thick.,এই জানালাগুলো নয় ইঞ্চি পুরু।
"00:03:55,514 --> 00:03:59,348","If they go, it's sayonara in two microseconds.","যদি তারা যায়, এটা দুই মাইক্রোসেকেন্ডে সায়নারা।"
"00:03:59,434 --> 00:04:02,028",All right. Enough of that bullshit.,ঠিক আছে. যে বাজে কথা যথেষ্ট.
"00:04:15,194 --> 00:04:18,425",Put her down on the roof of the officers' quarters.,তাকে ছাদে নামিয়ে দাও অফিসারদের কোয়ার্টার।
"00:04:18,594 --> 00:04:19,709",Sure.,নিশ্চিত।
"00:04:19,794 --> 00:04:21,432","<i>Okay, Mir 2.</i>","<i>ঠিক আছে, মীর 2।</i>"
"00:04:21,514 --> 00:04:25,348",<i>We've landed on the grand staircase.</i> <i>You guys set to launch?</i>,<i>আমরা বিশাল সিঁড়িতে নেমেছি।</i> <i>আপনি কি লঞ্চ করতে সেট করেছেন?</i>
"00:04:25,434 --> 00:04:27,994","Yeah. Launching Dunkin now. Go, Charlie.","হ্যাঁ। ডানকিন এখন চালু হচ্ছে। যাও, চার্লি।"
"00:04:35,514 --> 00:04:37,823",- Tether out. - Tether out.,- টিদার আউট. - টিদার আউট.
"00:04:37,914 --> 00:04:41,907","Okay, Brock, we're dropping down along the hull.","ঠিক আছে, ব্রক, আমরা হুল বরাবর নিচে নামছি."
"00:04:43,034 --> 00:04:47,550","Roger that. Okay, drop down and go into the first-class gangway door.","রজার যে. ঠিক আছে, নেমে যান এবং যান প্রথম শ্রেণীর গ্যাংওয়ে দরজায়।"
"00:04:47,634 --> 00:04:51,593","I want you guys working the ""D"" deck, reception and the dining saloon.","আমি চাই তুমি ""D"" ডেকে কাজ কর, অভ্যর্থনা এবং ডাইনিং সেলুন।"
"00:04:51,674 --> 00:04:53,505",Copy that.,নকল কর ওটাকে.
"00:05:01,194 --> 00:05:03,230",- Now left. - I'm coming left.,- এখন বাম। - আমি বাম দিকে আসছি।
"00:05:10,354 --> 00:05:12,868",Brock: <i>Snoop Dog is on the move.</i>,ব্রক: <i>স্নুপ ডগ চলছে৷</i>৷
"00:05:12,954 --> 00:05:15,343",<i>We're headed down the stairwell.</i>,<i>আমরা সিঁড়ি বেয়ে নিচে নামছি।</i>
"00:05:17,234 --> 00:05:19,304","Okay, Lewis. Drop down to ""B"" deck.","ঠিক আছে, লুইস. ""বি"" ডেকে নেমে যান।"
"00:05:19,394 --> 00:05:20,622","Okay. ""A"" deck.","ঠিক আছে. ""এ"" ডেক।"
"00:05:20,714 --> 00:05:22,705","Lewis: Give me some rope, Captain.","লুইস: আমাকে কিছু দড়ি দাও, ক্যাপ্টেন।"
"00:05:22,794 --> 00:05:23,783","""B"" deck. Get in there.","""বি"" ডেক। সেখানে প্রবেশ করুন।"
"00:06:00,474 --> 00:06:02,704",Brock: Watch the doorframe.,ব্রক: দরজার ফ্রেম দেখুন।
"00:06:02,794 --> 00:06:04,512",I see it. I got it.,আমি এটা দেখি. আমি বুঝতে পেরেছি.
"00:06:04,594 --> 00:06:06,027",(Banging),(ঘটকানো)
"00:06:08,074 --> 00:06:09,666","<font color=""",(ক্র্যাকিং)
"00:06:09,754 --> 00:06:11,631","We're good... Just chill, boss.","আমরা ভালো আছি... একটু শান্ত হলাম, বস।"
"00:06:25,394 --> 00:06:27,225",Brock: Make your turn.,ব্রক: আপনার পালা করুন।
"00:06:27,314 --> 00:06:30,306","- Lewis: Cable out, Captain. - Make your turn.","- লুইস: কেবল আউট, ক্যাপ্টেন. - আপনার পালা করুন।"
"00:06:30,394 --> 00:06:32,703","Brock, we're at the piano. You copy?","ব্রক, আমরা পিয়ানোতে আছি। আপনি কপি?"
"00:06:32,794 --> 00:06:34,785","Brock: <i>Okay, copy that.</i>","ব্রক: <i>ঠিক আছে, কপি করুন।</i>"
"00:06:41,674 --> 00:06:44,108","Brock: Right there, that's it!","ব্রক: ঠিক আছে, এটা!"
"00:06:44,194 --> 00:06:47,266",- That's the bedroom door! - I see it... I see it.,- ওটা বেডরুমের দরজা! - আমি এটা দেখতে... আমি এটা দেখতে.
"00:06:55,754 --> 00:06:56,948",We're in!,ছিল!
"00:06:57,034 --> 00:06:59,753","We're in, baby, we're there!","আমরা আছি, বাবু, আমরা আছি!"
"00:06:59,834 --> 00:07:02,109",Brock: That's Hockley's bed.,ব্রক: ওটা হকলির বিছানা।
"00:07:02,194 --> 00:07:04,754",That's where the son of a bitch slept.,সেখানেই কুত্তার ছেলে ঘুমিয়েছিল।
"00:07:09,874 --> 00:07:12,593",Lewis: Somebody left the water running.,লুইস: কেউ পানি ছেড়ে দিয়েছে।
"00:07:12,674 --> 00:07:15,234",Hold it. Go back to the right.,এটা ধরো. ডানদিকে ফিরে যান।
"00:07:21,114 --> 00:07:23,753",That wardrobe door... Get closer.,ওই আলমারির দরজা... কাছে যাও।
"00:07:23,834 --> 00:07:27,144","- You smelling something, boss? - I wanna see what's under it.","- আপনি কিছু গন্ধ পাচ্ছেন, বস? - আমি দেখতে চাই এর নিচে কি আছে।"
"00:07:27,234 --> 00:07:28,667","Gimme my hands, man.","আমার হাত দাও, মানুষ."
"00:07:33,834 --> 00:07:35,426",All right...!,ঠিক আছে...!
"00:07:36,914 --> 00:07:40,509",- Take it easy. It might come apart. - Okay.,- এটা হাল্কা ভাবে নিন. এটা আলাদা হতে পারে. - ঠিক আছে.
"00:07:40,594 --> 00:07:41,822","Go! Go, go, go!",যাওয়া! যাও যাও যাও!
"00:07:41,914 --> 00:07:43,870","Flip it over, flip it over. Go.","এটা উল্টানো, এটা উপর উল্টানো. যাওয়া."
"00:07:43,954 --> 00:07:46,593","Keep going. Go, go, go.",চোলতে থাকা. যাও যাও যাও.
"00:07:46,674 --> 00:07:47,823",Okay. Drop it.,ঠিক আছে. ফেলে দাও.
"00:07:56,354 --> 00:07:59,710","Oh, baby, baby... Are you seeing this, boss?","ওহ, বাবু, বাবু... আপনি কি এটা দেখছেন, বস?"
"00:08:01,714 --> 00:08:03,705","It's payday, boys.","এটা বেতনের দিন, ছেলেরা."
"00:08:15,554 --> 00:08:17,545",(Cheering),(উল্লাস)
"00:08:19,434 --> 00:08:21,186",Ka-ching!,কা-চিং !
"00:08:21,274 --> 00:08:22,912","We did it, Bobby!","আমরা এটা করেছি, ববি!"
"00:08:22,994 --> 00:08:25,952","Lewis: Oh, yeah! Who's the man!","লুইস: ওহ, হ্যাঁ! লোকটা কে!"
"00:08:26,034 --> 00:08:27,831","Who's the best, baby?","কে সেরা, বাবু?"
"00:08:27,914 --> 00:08:29,313","Say it, say it.","বলুন, বলুন।"
"00:08:29,394 --> 00:08:31,271","You are, Lewis.","আপনি, লুইস."
"00:08:31,354 --> 00:08:33,424",(Loud buzzing),(জোরে গুঞ্জন)
"00:08:33,514 --> 00:08:35,470","- Bobby, my cigar. - Right here.","- ববি, আমার সিগার. - এখানেই."
"00:08:42,714 --> 00:08:44,784","Okay, crack her open.","ঠিক আছে, তার খোলা ফাটল."
"00:08:46,794 --> 00:08:50,548",- Let me get around. Hang on. - You getting it?,- আমাকে ঘুরতে দাও। লেগে থাকা. - পাচ্ছেন?
"00:09:13,194 --> 00:09:15,071",Shit.,ছিঃ।
"00:09:15,714 --> 00:09:17,432",No diamond.,হীরা নেই।
"00:09:17,514 --> 00:09:19,391","You know, boss,...","আপনি জানেন, বস,..."
"00:09:19,474 --> 00:09:24,468","..the same thing happened to Geraldo, and his career never recovered.",".. জেরাল্ডোর ক্ষেত্রেও একই ঘটনা ঘটেছে, এবং তার কর্মজীবন ফিরে আসেনি।"
"00:09:26,234 --> 00:09:28,190",Turn the camera off.,ক্যামেরা বন্ধ করুন।
"00:09:28,274 --> 00:09:32,426","Brock, the partners would like to know how it's going.","ব্রক, অংশীদারদের হবে এটা কেমন যাচ্ছে জানতে চাই।"
"00:09:32,514 --> 00:09:36,302","Hey, Dave. Barry. Hi. Look, it wasn't in the safe, but hey...","আরে, ডেভ. ব্যারি। ওহে. দেখুন, এটি নিরাপদে ছিল না, কিন্তু হে..."
"00:09:36,394 --> 00:09:40,273",..don't worry about it. There's plenty of places it could be.,.. এটা নিয়ে চিন্তা করবেন না। এটা হতে পারে অনেক জায়গা আছে.
"00:09:40,354 --> 00:09:42,424","The floor debris, the mother's room...","মেঝে ধ্বংসাবশেষ, মায়ের ঘর..."
"00:09:42,514 --> 00:09:44,903","- Purser's safe on ""C"" deck. - Jimmy Hoffa's briefcase.","- ""সি"" ডেকে পার্সারের নিরাপদ। - জিমি হোফার ব্রিফকেস।"
"00:09:44,994 --> 00:09:46,632",Brock: A dozen other places.,"<ফন্ট রঙ="""
"00:09:46,714 --> 00:09:49,911",You've got to trust my instincts. I know we're close.,আপনি আমার সহজাত বিশ্বাস আছে আছে. আমি জানি আমরা কাছাকাছি আছি।
"00:09:49,994 --> 00:09:53,430",We just got to go through a process of elimination.,আমরা শুধু মাধ্যমে যেতে আছে নির্মূল করার একটি প্রক্রিয়া।
"00:09:53,514 --> 00:09:55,505",Hang on a second.,এক মুহূর্ত অপেক্ষা কর.
"00:09:57,474 --> 00:09:59,465",Let me see that.,আমাকে দেখতে দাও.
"00:09:59,514 --> 00:10:01,391","We might have something here, guys.","আমরা এখানে কিছু থাকতে পারে, বলছি."
"00:10:02,914 --> 00:10:05,508",Where's the photo of the necklace?,নেকলেসের ছবি কোথায়?
"00:10:05,554 --> 00:10:08,193",- We'll call you right back. - Holy...,- আমরা আপনাকে এখুনি ফোন করব। - পবিত্র...
"00:10:17,754 --> 00:10:19,745",I'll be goddamned.,আমি অভিশাপিত হব.
"00:10:20,914 --> 00:10:25,624",(TV) <i>Treasure hunter Brock Lovett</i> <i>is best known for finding Spanish gold...</i>,(টিভি) <i>ট্রেজার হান্টার ব্রক লাভট</i> <i>স্প্যানিশ সোনা খোঁজার জন্য সবচেয়ে বেশি পরিচিত...</i>
"00:10:25,714 --> 00:10:28,547",It's okay. I'll feed you in a minute.,ঠিক আছে. আমি তোমাকে এক মিনিটের মধ্যে খাওয়াব।
"00:10:28,634 --> 00:10:33,628",<i>He's chartered a Russian sub to reach</i> <i>the most famous wreck of all: Titanic.</i>,<i>সে পৌঁছানোর জন্য একটি রাশিয়ান সাব চার্ট করেছে</i> <i>সবচেয়ে বিখ্যাত ধ্বংসাবশেষ: টাইটানিক।</i>
"00:10:33,714 --> 00:10:37,707",<i>He's with us live via satellite from</i> <i>the Keldysh in the North Atlantic.</i>,<i>সে স্যাটেলাইটের মাধ্যমে আমাদের সাথে থাকে</i> <i>উত্তর আটলান্টিকের কেল্ডিশ।</i>
"00:10:37,794 --> 00:10:40,308","<i>- Hello, Brock.</i> <i>- Hello, Tracy.</i>","<i>- হ্যালো, ব্রক।</i> <i>- হ্যালো, ট্রেসি।</i>"
"00:10:40,394 --> 00:10:43,192","<i>Everyone knows</i> <i>the stories of Titanic,...</i>","<i>সবাই জানে</i> <i>টাইটানিকের গল্প,...</i>"
"00:10:43,274 --> 00:10:46,550","<i>..the nobility,</i> <i>the band playing and all that.</i>","<i>..আভিজাত্য,</i> <i>ব্যান্ড বাজছে এবং সে সব।</i>"
"00:10:46,634 --> 00:10:50,912","<i>I'm interested in the untold stories,</i> <i>the secrets deep inside the hull.</i>","<i>আমি না বলা গল্পে আগ্রহী,</i> <i>হলের গভীরে গোপন রহস্য।</i>"
"00:10:50,994 --> 00:10:54,907",<i>We're using robot technology</i> <i>to go further into the wreck...</i>,<i>আমরা রোবট প্রযুক্তি ব্যবহার করছি</i> <i>আরো ধ্বংসস্তূপে যেতে...</i>
"00:10:54,994 --> 00:10:56,950",<i>..than anybody's ever done before.</i>,<i>..আগে যে কেউ করেনি।</i>
"00:10:57,034 --> 00:11:00,185",<i>You're at the centre of a controversy...</i>,<i>আপনি একটি বিতর্কের কেন্দ্রে আছেন...</i>
"00:11:00,274 --> 00:11:04,233","<i>..over salvage rights, and ethics.</i> <i>Many are calling you a grave robber.</i>","<i>..উপর উদ্ধারের অধিকার, এবং নৈতিকতা।</i> <i>অনেকে তোমাকে কবর ডাকাত বলছে।</i>"
"00:11:04,314 --> 00:11:06,669","<i>Nobody called the recovery</i> <i>of King Tut ""grave robbing"".</i>","<i>কেউ পুনরুদ্ধারকে ডাকেনি</i> <i>কিং টুটের ""কবর ডাকাতি""।</i>"
"00:11:06,754 --> 00:11:09,393","- What is it? - Turn that up, dear.","- এটা কি? - এটা চালু, প্রিয়."
"00:11:09,474 --> 00:11:12,227",<i>I have museum-trained experts here...</i>,<i>আমার এখানে যাদুঘর-প্রশিক্ষিত বিশেষজ্ঞ আছে...</i>
"00:11:12,314 --> 00:11:14,874",<i>..making sure these relics</i> <i>are treated properly.</i>,<i>..নিশ্চিত এই অবশেষগুলি</i> <i>সঠিকভাবে চিকিত্সা করা হয়।</i>
"00:11:14,954 --> 00:11:17,912",<i>Look at this drawing</i> <i>we found just today.</i>,<i>এই অঙ্কনটি দেখুন</i> <i>আমরা আজই খুঁজে পেয়েছি।</i>
"00:11:17,994 --> 00:11:21,509",<i>A piece of paper that's been</i> <i>underwater for 84 years...</i>,<i>এক টুকরো কাগজ যা করা হয়েছে</i> <i>84 বছর ধরে পানির নিচে...</i>
"00:11:21,594 --> 00:11:25,223",<i>..and my team were able</i> <i>to preserve it intact.</i>,<i>..এবং আমার দল সক্ষম হয়েছিল</i> <i>এটিকে অক্ষত রাখতে।</i>
"00:11:25,314 --> 00:11:30,183",<i>Should this have remained unseen</i> <i>at the bottom of the ocean for eternity?</i>,<i>এটি কি অদৃশ্য থেকে যাওয়া উচিত ছিল</i> <i>অনন্তকালের জন্য সমুদ্রের তলদেশে?</i>
"00:11:34,714 --> 00:11:37,672",Brock! There's a satellite call for you.,ব্রক ! আপনার জন্য একটি স্যাটেলাইট কল আছে।
"00:11:37,754 --> 00:11:41,588","Bobby, we're launching. You see these submersibles going in?","ববি, আমরা চালু করছি এই সাবমার্সিবলগুলো ঢুকতে দেখছেন?"
"00:11:41,674 --> 00:11:44,234","Trust me, buddy. You wanna take this call.","আমাকে বিশ্বাস করুন, বন্ধু. আপনি এই কল নিতে চান."
"00:11:45,474 --> 00:11:47,430",This better be good.,এই ভাল ভাল.
"00:11:47,514 --> 00:11:50,472",You gotta speak up. She's kinda old.,তোমাকে কথা বলতে হবে। সে কিছুটা বৃদ্ধ।
"00:11:50,554 --> 00:11:52,306",Great.,দারুণ।
"00:11:52,394 --> 00:11:55,466","This is Brock Lovett. How can I help you, Mrs...?","এই ব্রক লাভট. আমি কিভাবে আপনাকে সাহায্য করতে পারি, মিসেস...?"
"00:11:55,554 --> 00:11:57,670",Calvert. Rose Calvert.,কালভার্ট। রোজ কালভার্ট।
"00:11:57,754 --> 00:11:59,551",Mrs Calvert?,মিসেস ক্যালভার্ট?
"00:11:59,634 --> 00:12:04,788","I was just wondering if you'd found the ""Heart of the Ocean"", Mr Lovett.","আমি শুধু ভাবছিলাম আপনি খুঁজে পেয়েছেন কিনা ""সাগরের হৃদয়"", মিঃ লাভট।"
"00:12:06,474 --> 00:12:08,704",I said you wanted to take the call.,আমি বললাম তুমি ফোনটা নিতে চাও।
"00:12:10,754 --> 00:12:13,188","All right. You have my attention, Rose.","ঠিক আছে. আপনি আমার মনোযোগ আছে, রোজ."
"00:12:13,274 --> 00:12:16,186",Can you tell us who the woman in the picture is?,বলতে পারেন কে মহিলাটি ছবিতে আছে?
"00:12:16,274 --> 00:12:17,787","Oh, yes.",হ্যাঁ.
"00:12:17,874 --> 00:12:20,468",The woman in the picture is me.,ছবির মহিলাটি আমি।
"00:12:35,434 --> 00:12:39,950",She's a goddamned liar! Some nutcase seeking money or publicity!,সে একজন মিথ্যাবাদী! কিছু নাটকেস অর্থ বা প্রচার চাই!
"00:12:40,034 --> 00:12:43,743","God only knows why! Like that Russian babe, Anaesthesia!",কেন আল্লাহই জানেন! সেই রুশ বাবুর মতো অ্যানাস্থেসিয়া!
"00:12:43,834 --> 00:12:45,825",They're inbound!,তারা অন্তর্মুখী!
"00:12:50,274 --> 00:12:53,869",Rose DeWitt Bukater died on Titanic when she was 17.,রোজ ডিউইট বুকাটার টাইটানিকের উপর মারা যান যখন তার বয়স ছিল 17।
"00:12:53,954 --> 00:12:55,228",Right.,ঠিক।
"00:12:55,314 --> 00:12:57,782","If she'd lived, she'd be over 100 by now.","যদি সে বেঁচে থাকত, এখন তার বয়স 100-এর বেশি হবে।"
"00:12:57,874 --> 00:13:00,183",101 next month.,পরের মাসে 101।
"00:13:00,274 --> 00:13:03,186",So she's a very old goddamned liar!,তাই সে অনেক পুরানো মিথ্যাবাদী!
"00:13:03,274 --> 00:13:06,107",I've done the background on this woman...,আমি ব্যাকগ্রাউন্ড করেছি এই মহিলার উপর...
"00:13:06,194 --> 00:13:09,630",..back to the '20s when she was working as an actress.,..20 এর দশকে ফিরে যান যখন তিনি অভিনেত্রী হিসেবে কাজ করছিলেন।
"00:13:09,714 --> 00:13:11,147",An actress!,একজন অভিনেত্রী!
"00:13:11,234 --> 00:13:15,193","There's your first clue, Sherlock! Her name was Rose Dawson back then.","আপনার প্রথম সূত্র আছে, শার্লক! তখন তার নাম ছিল রোজ ডসন।"
"00:13:15,274 --> 00:13:20,507",She marries a guy named Calvert. They move to Cedar Rapids and have kids.,সে ক্যালভার্ট নামের একজনকে বিয়ে করে। তারা সিডার র‌্যাপিডসে চলে যায় এবং বাচ্চা হয়।
"00:13:20,594 --> 00:13:23,506","Now Calvert's dead, and Cedar Rapids, too.","এখন কালভার্ট মারা গেছে, এবং সিডার র‌্যাপিডসও।"
"00:13:23,594 --> 00:13:26,233",Everybody who knows about the diamond...,যারা জানে সবাই হীরা সম্পর্কে...
"00:13:26,314 --> 00:13:28,225","..is supposed to be dead or on this boat, but she knows.","..মৃত হওয়ার কথা বা এই নৌকায়, কিন্তু সে জানে।"
"00:13:40,674 --> 00:13:43,552","Doesn't exactly travel light, does she?","ঠিক আলো ভ্রমণ করে না, সে কি?"
"00:13:45,474 --> 00:13:47,544","Mrs Calvert, I'm Brock Lovett.","মিসেস ক্যালভার্ট, আমি ব্রক লাভট।"
"00:13:47,634 --> 00:13:49,625",Welcome to the Keldysh.,কেল্ডিশে স্বাগতম।
"00:13:51,154 --> 00:13:53,031",Let's get her inside.,আসুন তাকে ভিতরে নিয়ে আসি।
"00:13:53,074 --> 00:13:54,393","Hi, Ms Calvert.","হাই, মিসেস ক্যালভার্ট।"
"00:13:54,474 --> 00:13:56,669",- Hi. - Welcome to the Keldysh.,- ওহে. - কেলডিশে স্বাগতম।
"00:13:58,514 --> 00:13:59,993",Man: Hey.,লোক: আরে।
"00:14:00,074 --> 00:14:01,666",Hey!,আরে!
"00:14:06,074 --> 00:14:07,666",(Knocking),(নকিং)
"00:14:07,714 --> 00:14:08,703",Yes?,হ্যাঁ?
"00:14:08,754 --> 00:14:11,587",- Are your staterooms all right? - Very nice.,- তোমার স্টেটরুম ঠিক আছে তো? - খুব সুন্দর.
"00:14:11,674 --> 00:14:14,632",Have you met my granddaughter Lizzy?,আপনি কি আমার নাতনী লিজির সাথে দেখা করেছেন?
"00:14:14,714 --> 00:14:16,670",She takes care of me.,সে আমার যত্ন নেয়।
"00:14:16,754 --> 00:14:19,268",We met just a few minutes ago.,আমরা মাত্র কয়েক মিনিট আগে দেখা.
"00:14:19,354 --> 00:14:21,788","Remember, Nana? Up on deck?","মনে আছে, নানা? ডেকের উপরে?"
"00:14:21,874 --> 00:14:24,308","Rose: There, that's nice.","গোলাপ: আছে, এটা চমৎকার."
"00:14:24,394 --> 00:14:26,988",Have to have my pictures when I travel.,আমি যখন ভ্রমণ করি তখন আমার ছবি থাকতে হবে।
"00:14:27,074 --> 00:14:29,542",Is there anything you'd like?,আপনি চান কিছু আছে?
"00:14:31,154 --> 00:14:32,587",Yes.,হ্যাঁ.
"00:14:32,674 --> 00:14:35,188",I would like to see my drawing.,আমি আমার অঙ্কন দেখতে চাই.
"00:14:47,354 --> 00:14:52,587","Brock: Louis XVI wore a fabulous stone, the Blue Diamond of the Crown,...","ব্রক: লুই XVI একটি কল্পিত পাথর পরতেন, মুকুটের নীল হীরা,..."
"00:14:52,674 --> 00:14:55,586",..which disappeared in 1792.,..যা 1792 সালে অদৃশ্য হয়ে যায়।
"00:14:55,674 --> 00:14:59,303","About that time old Louis lost everything, from the neck up.","প্রায় সেই সময়ের বুড়ো লুই সবকিছু হারিয়েছে, ঘাড় থেকে"
"00:14:59,394 --> 00:15:03,831","The theory goes that the Crown Diamond was chopped, too.",তত্ত্ব যে যায় ক্রাউন ডায়মন্ডটিও কাটা হয়েছিল।
"00:15:03,914 --> 00:15:07,987","Recut into a heart shape that became known as ""The Heart of the Ocean"".","একটি হার্ট আকৃতিতে recut যে পরিণত ""সাগরের হৃদয়"" নামে পরিচিত।"
"00:15:08,074 --> 00:15:10,349",Today it'd be worth more than the Hope Diamond.,আজ এটা আরো মূল্যবান হবে হোপ ডায়মন্ডের চেয়ে।
"00:15:10,434 --> 00:15:12,743","It was a dreadful, heavy thing.","এটি একটি ভয়ঙ্কর, ভারী জিনিস ছিল।"
"00:15:12,834 --> 00:15:15,587",I only wore it this once.,আমি এটি শুধুমাত্র একবার এটি পরা.
"00:15:15,674 --> 00:15:17,869","You actually think this is you, Nana?","তুমি আসলে ভাবছ এই তুমি, নানা?"
"00:15:17,954 --> 00:15:19,831","It is me, dear.","এটা আমি, প্রিয়."
"00:15:19,914 --> 00:15:21,905",Wasn't I a dish?,আমি কি থালা ছিলাম না?
"00:15:23,274 --> 00:15:25,993",I tracked it down through insurance records.,আমি এটা ট্র্যাক ডাউন বীমা রেকর্ডের মাধ্যমে।
"00:15:26,074 --> 00:15:29,703",An old claim that was settled under terms of absolute secrecy.,একটি পুরানো দাবি যে নিষ্পত্তি করা হয়েছে পরম গোপনীয়তার শর্তে।
"00:15:29,794 --> 00:15:34,026","Can you tell me who the claimant was, Rose?","তুমি কি আমাকে বলতে পার দাবীদার কে ছিল, রোজ?"
"00:15:34,114 --> 00:15:36,230",I imagine someone named Hockley.,আমি হকলি নামের একজনকে কল্পনা করি।
"00:15:36,314 --> 00:15:38,544","Nathan Hockley, that's right.","নাথান হকলি, এটা ঠিক।"
"00:15:38,634 --> 00:15:40,590",Pittsburgh steel tycoon.,পিটসবার্গ ইস্পাত টাইকুন।
"00:15:40,674 --> 00:15:45,464",The claim was for a necklace his son Caledon bought his fiancée - you -,তার ছেলের গলায় হারের দাবি ছিল ক্যালেডন তার বাগদত্তাকে কিনেছে - আপনি -
"00:15:45,554 --> 00:15:48,387",..a week before he sailed on Titanic.,..এক সপ্তাহ আগে তিনি টাইটানিক জাহাজে চড়েছিলেন।
"00:15:48,474 --> 00:15:51,227","It was filed right after the sinking,...","এটি ডুবে যাওয়ার পরেই দায়ের করা হয়েছিল,..."
"00:15:51,314 --> 00:15:55,466",..so the diamond had to have gone down with the ship.,..তাই হীরা থাকতেই হত জাহাজের সাথে নেমে গেছে।
"00:15:56,914 --> 00:15:58,905",You see the date?,তারিখটা দেখেছ?
"00:15:59,554 --> 00:16:01,510","""April 14, 1912.""","""14 এপ্রিল, 1912।"""
"00:16:01,594 --> 00:16:03,983","If your grandmother is who she says she is,...",যদি তোমার দাদী সে কে বলে সে...
"00:16:04,074 --> 00:16:06,952",..she was wearing the diamond the day the Titanic sank.,.. সে হীরা পরা ছিল যেদিন টাইটানিক ডুবেছিল।
"00:16:07,034 --> 00:16:10,390",And that makes you my new best friend.,এবং এটি আপনাকে আমার নতুন সেরা বন্ধু করে তোলে।
"00:16:10,474 --> 00:16:14,911",These are some of the things we recovered from your stateroom.,এগুলো কিছু বিষয় আমরা আপনার স্টেটরুম থেকে উদ্ধার করেছি।
"00:16:16,834 --> 00:16:18,825",This was mine!,এই আমার ছিল!
"00:16:19,594 --> 00:16:21,550",How extraordinary!,কি অসাধারণ!
"00:16:21,634 --> 00:16:25,627",And it looks the same as it did the last time I saw it.,এবং এটি দেখতে যেমন ছিল তেমনই শেষবার আমি এটা দেখেছি।
"00:16:30,994 --> 00:16:33,383",The reflection has changed a bit.,প্রতিফলন কিছুটা বদলেছে।
"00:16:49,434 --> 00:16:51,902",Are you ready to go back to Titanic?,আপনি টাইটানিক ফিরে যেতে প্রস্তুত?
"00:16:55,234 --> 00:16:59,512","Okay, here we go. She hits the berg on the starboard side, right?","ঠিক আছে, এখানে আমরা যেতে. সে বার্গ হিট স্টারবোর্ডের দিকে, তাই না?"
"00:16:59,594 --> 00:17:04,304","She bumps along, punching holes along the side, below the waterline.","তিনি বরাবর bumps, খোঁচা গর্ত পাশ বরাবর, জলরেখার নীচে।"
"00:17:04,394 --> 00:17:07,989",Then the forward compartments start to flood.,তারপর সামনের বগিগুলো বন্যা শুরু
"00:17:08,074 --> 00:17:11,191","As the water rises, it spills over the watertight bulkheads...",পানি বাড়ার সাথে সাথে ছিটকে যায় জলরোধী বাল্কহেডস...
"00:17:11,274 --> 00:17:13,868","..which don't go any higher than ""E"" deck.","..যা কোন উচ্চ যেতে না ""ই"" ডেকের চেয়ে।"
"00:17:13,954 --> 00:17:17,663","So now as the bow goes down, the stern rises up,...","তাই এখন যেমন ধনুক নেমে যায়, কড়াকড়ি উঠে যায়,..."
"00:17:17,754 --> 00:17:20,109","..slow at first, then faster and faster,...","..প্রথমে ধীরে, তারপর দ্রুত এবং দ্রুত,..."
