Timeline,en_dialogue,bengali_dialogue
"00:08:47,527 --> 00:08:49,069","Chin up, okay?","চিন আপ, ঠিক আছে?"
"00:09:02,208 --> 00:09:03,667","Watch it, jerk!","দেখো, জারক!"
"00:09:14,387 --> 00:09:16,305",Dr. Connors. Sorry.,ড। দুঃখিত।
"00:09:16,473 --> 00:09:18,015","Where were you headed, Parker?",কোথায় গেলেন পার্কার?
"00:09:18,224 --> 00:09:19,475",To your class.,আপনার ক্লাসে।
"00:09:19,643 --> 00:09:21,477",My class is over.,আমার ক্লাস শেষ হয়।
"00:09:21,645 --> 00:09:23,854",See me standing here?,আমাকে এখানে দাঁড়িয়ে দেখুন?
"00:09:24,022 --> 00:09:27,816",I'm sorry. I'm trying. I wanna be here.,আমি দুঃখিত. আমি চেষ্টা করছি. আমি এখানে থাকতে চাই।
"00:09:27,984 --> 00:09:29,318",Then be here.,তারপর এখানে থাকুন।
"00:09:30,695 --> 00:09:32,154","Look at you, Peter.","তোমাকে দেখ, পিটার।"
"00:09:32,697 --> 00:09:37,034",Your grades have been steadily declining. You're late for class.,আপনার গ্রেড অবিরাম হয়েছে পড়ন্ত। আপনি ক্লাসের জন্য দেরি হয়ে গেছে।
"00:09:37,202 --> 00:09:40,079",You always appear exhausted.,আপনি সবসময় ক্লান্ত প্রদর্শিত।
"00:09:41,539 --> 00:09:43,582",Your paper on fusion is still overdue.,ফিউশন আপনার কাগজ এখনও বিলম্বিত।
"00:09:43,750 --> 00:09:46,919",I know. I'm planning to write it on Dr. Otto Octavius.,আমি জানি. আমি এটা লিখতে পরিকল্পনা করছি অটো অক্টাভিয়াস ডা।
"00:09:47,087 --> 00:09:50,255",Planning is not a major at this university.,পরিকল্পনা একটি প্রধান নয় এই বিশ্ববিদ্যালয়ে।
"00:09:53,593 --> 00:09:55,594",Octavius is a friend of mine.,অক্টাভিয়াস আমার বন্ধু।
"00:09:55,929 --> 00:09:57,930","Better do your research, Parker.","ভাল আপনার গবেষণা, পার্কার।"
"00:09:58,264 --> 00:10:01,433","Get it done, or I'm failing you.","এটা সম্পন্ন করুন, অথবা আমি আপনাকে ব্যর্থ করছি।"
"00:10:22,789 --> 00:10:24,957",Surprise!,বিস্ময়!
"00:10:25,125 --> 00:10:27,042","Well, say something.","আচ্ছা, কিছু বলো"
"00:10:27,210 --> 00:10:28,460",What's the occasion?,উপলক্ষটা কি?
"00:10:28,628 --> 00:10:31,213","Really, Peter. It's your birthday!","সত্যিই, পিটার। এটা তোমার জন্মদিন!"
"00:10:31,756 --> 00:10:34,550",Whether you want to remember it or not.,তুমি যা চাও এটা মনে রাখা বা না।
"00:10:34,926 --> 00:10:38,220","He lives in another reality. Don't you, Pete?","তিনি অন্য বাস্তবতা বাস। না, পিট?"
"00:10:38,388 --> 00:10:40,305","-Hi, M.j. -Hi.","- হাই, এম। জে। -Hi।"
"00:10:40,807 --> 00:10:42,182","-Hey, buddy. -Hey.",-ওহে বন্ধু. -Hey।
"00:10:42,350 --> 00:10:43,600","Long time, no see.",অনেক দিন ধরে দেখা নেই.
"00:10:44,477 --> 00:10:47,646",So how's the play? I read a great review.,সুতরাং খেলা কিভাবে? আমি একটি মহান পর্যালোচনা পড়া।
"00:10:47,814 --> 00:10:49,481",It's going fine. lt's going good.,এটা ঠিক যাচ্ছে। ভালো লেগেছে।
"00:10:49,649 --> 00:10:50,941",She's brilliant in it.,তিনি এটা উজ্জ্বল।
"00:10:51,109 --> 00:10:52,776",Harry sent me roses.,হ্যারি আমাকে গোলাপ পাঠিয়েছে।
"00:10:52,944 --> 00:10:55,487","So where you been, pal? You don't return my calls.",তাহলে তুমি কোথায় ছিলে? আপনি আমার কল ফিরে না।
"00:10:56,990 --> 00:10:58,824",I've been busy.,আমি ব্যস্ত ছিলাম.
"00:10:58,992 --> 00:11:02,578",Taking pictures of Spider-Man? How's the bug these days?,স্পাইডার-ম্যান ছবি তোলা? কিভাবে এই দিন বাগ?
"00:11:02,746 --> 00:11:04,705","The less you see of that man, the better.","আপনি যে মানুষ কম দেখতে, ভাল।"
"00:11:04,873 --> 00:11:08,333","Now, let's all go into the other room and have something to eat.","এখন, সব অন্য কক্ষ মধ্যে যান এবং কিছু খেতে আছে।"
"00:11:08,501 --> 00:11:09,793",I'll get the hors d'oeuvres.,আমি ঘোড়া d'oeuvres পাবেন।
"00:11:09,961 --> 00:11:12,087",So how are things going at Oscorp?,সুতরাং ওসকর্পে কীভাবে চলছে?
"00:11:12,255 --> 00:11:15,132",They're great. I'm head of Special Projects.,তারা মহৎ. আমি বিশেষ প্রকল্প প্রধান।
"00:11:15,300 --> 00:11:17,509",We're about to make a breakthrough on fusion.,আমরা তৈরি করতে চলেছি ফিউশন একটি breakthrough।
"00:11:17,677 --> 00:11:21,805","How lovely, Harry. Your father would be so proud, rest his soul.","কত সুন্দর, হ্যারি। আপনার বাবা তাই গর্বিত হবে, তার আত্মা বিশ্রাম।"
"00:11:21,973 --> 00:11:23,265",Thank you.,ধন্যবাদ.
"00:11:23,683 --> 00:11:27,436","We're actually funding one of your idols, Pete. Otto Octavius.","আমরা আসলে অর্থায়ন করছি আপনার মূর্তি এক, পিট। Otto Octavius।"
"00:11:27,604 --> 00:11:30,022",-l'm writing a paper on him. -You want to meet him?,আমি তাকে একটি কাগজ লিখছি। তুমি কি তাকে দেখা করতে চাও?
"00:11:30,190 --> 00:11:31,482",You'd introduce me?,আপনি আমাকে পরিচয় করিয়ে দিবেন?
"00:11:31,649 --> 00:11:34,860",You bet. Octavius is gonna put Oscorp on the map...,আপনি বাজি। Octavius ​​হয় ওসকর্পকে মানচিত্রে রাখবে ...
"00:11:35,028 --> 00:11:37,029",...in a way my father never even dreamed of.,... একটি উপায় আমার বাবা এমনকি স্বপ্নেও না।
"00:11:37,197 --> 00:11:39,156","M.j., could you give me a hand?","এম। জে।, তুমি কি আমাকে হাত দিতে পার?"
"00:11:41,534 --> 00:11:43,118","She's waiting for you, pal.","সে তোমার জন্য অপেক্ষা করছে, বাবা।"
"00:11:43,828 --> 00:11:45,037",What do you mean?,আপনি কি বোঝাতে চেয়েছেন?
"00:11:45,205 --> 00:11:47,706",The way she looks at you or doesn't look at you.,তিনি আপনাকে দেখায় উপায় অথবা আপনি তাকান না।
"00:11:48,249 --> 00:11:49,625",However you want to look at it.,তবে আপনি এটি তাকান করতে চান।
"00:11:49,959 --> 00:11:52,127",I don't have time for girls right now.,আমি এখন মেয়েদের জন্য সময় নেই।
"00:11:52,295 --> 00:11:53,629","Why, are you dead?",কেন তুমি মারা গেছো?
"00:11:53,797 --> 00:11:55,297",I've been kind of busy.,আমি ব্যস্ত ধরনের হয়েছে।
"00:11:55,548 --> 00:11:57,174",Taking pictures of your friend?,আপনার বন্ধু ছবি গ্রহণ?
"00:11:58,635 --> 00:12:00,177",Could we get off that subject?,আমরা যে বিষয় বন্ধ পেতে পারি?
"00:12:00,678 --> 00:12:03,680","I want us to be friends, Harry. I want us to trust each other.","আমি আমাদের বন্ধু হতে চাই, হ্যারি। আমি আমাদের একে অপরের বিশ্বাস করতে চান।"
"00:12:03,848 --> 00:12:05,474",Then be honest with me.,তারপর আমার সাথে সৎ হতে।
"00:12:05,975 --> 00:12:08,352","If you knew who he was, would you tell me?","যদি আপনি জানতেন তিনি কে ছিলেন, তুমি কি আমাকে বলবে?"
"00:12:31,960 --> 00:12:33,460",May.,থাকুক।
"00:12:33,628 --> 00:12:35,170","Oh, what, Ben?","ওহ, কি, বেন?"
"00:12:36,506 --> 00:12:38,465",Wait.,অপেক্ষা করুন।
"00:12:38,675 --> 00:12:40,092","-Aunt May. -Oh, my.",আন্ট মে। -আহারে.
"00:12:40,510 --> 00:12:45,722","Oh, Peter. Oh, for a second there, I thought I was years ago.","ওহ, পিটার। ওহ, এক সেকেন্ডের জন্য, আমি ভেবেছিলাম আমি অনেক বছর আগে।"
"00:12:47,934 --> 00:12:49,852","Everybody's gone, aren't they?","সবাই চলে গেছে, তাই না?"
"00:12:50,311 --> 00:12:51,979",Did they have a good time?,তারা কি একটি ভাল সময় আছে?
"00:12:52,480 --> 00:12:53,730",I'm sure they did.,আমি নিশ্চিত তারা কি।
"00:12:55,567 --> 00:12:59,403",-You okay? -Of course. But you go home.,-তুমি ঠিক আছ? -অবশ্যই. কিন্তু আপনি বাড়িতে যান।
"00:13:00,029 --> 00:13:05,200",And be careful. l don't like that scooter thing you drive around.,এবং সতর্কতা অবলম্বন করা। আমি এটা পছন্দ করি না আপনি প্রায় ড্রাইভ স্কুটার জিনিস।
"00:13:05,952 --> 00:13:07,161",I'm worried about you.,আমি আপনার সম্পর্কে চিন্তিত.
"00:13:07,579 --> 00:13:12,541",You're so alone. And l saw the letter from the bank.,তুমি খুব একা এবং আমি ব্যাংক থেকে চিঠি দেখেছি।
"00:13:12,709 --> 00:13:15,169","Oh, my. You did?",আহারে. তুমি করেছ?
"00:13:15,670 --> 00:13:17,004","Oh, well.",আচ্ছা ভালো.
"00:13:17,172 --> 00:13:18,589",So?,তাই?
"00:13:19,174 --> 00:13:20,841",I'm a little behind.,আমি একটু পিছনে আছি।
"00:13:21,843 --> 00:13:23,552",Everybody is.,সকলেই.
"00:13:24,220 --> 00:13:27,222","Anyway, I don't want to talk about it anymore.","যাইহোক, আমি চাই না আর এটা সম্পর্কে কথা বলতে।"
"00:13:27,390 --> 00:13:31,101","I'm tired, and you better start back home.","আমি ক্লান্ত, এবং আপনি ভাল বাড়িতে ফিরে শুরু।"
"00:13:32,896 --> 00:13:35,397","Here, kiddo. Happy birthday.","এখানে, kiddo। শুভ জন্মদিন."
"00:13:35,773 --> 00:13:37,399",You need it more than I do.,আপনি এটা আমার চেয়ে আরো প্রয়োজন।
"00:13:37,567 --> 00:13:40,068","-No, I can't take that from you. -Yes, you can!","- না, আমি আপনার কাছ থেকে এটা নিতে পারছি না। -হ্যা, তুমি পারো!"
"00:13:40,236 --> 00:13:42,279",You can take this money from me.,আপনি আমার কাছ থেকে এই টাকা নিতে পারেন।
"00:13:42,447 --> 00:13:45,199","For God's sake, it's not much. Now, take it!","ঈশ্বরের জন্য, এটা অনেক না। এখন, এটা গ্রহণ!"
"00:13:45,366 --> 00:13:47,868",And don't you dare leave it here.,এবং আপনি এটা এখানে ছেড়ে সাহস না।
"00:13:48,036 --> 00:13:49,953","Oh, l'm sorry.","ওহ, আমি দুঃখিত।"
"00:13:51,164 --> 00:13:54,708",It's just that l miss your uncle Ben so much.,এটা শুধু যে আমি মিস আপনার মামা বেন অনেক।
"00:13:56,836 --> 00:14:01,757",Can you believe that it's two years next month since he was taken?,আপনি এটা দুই বছর বিশ্বাস করতে পারেন পরের মাসে তাকে নিয়ে যাওয়া হলো?
"00:14:04,093 --> 00:14:06,303",I think to myself at times...,আমি মাঝে মাঝে নিজেকে মনে করি ...
"00:14:07,472 --> 00:14:11,767","...were I to face the one responsible for what happened, l'd....","... আমি দায়ী এক মুখোমুখি ছিল কি ঘটেছিল, আমি ...."
"00:14:12,810 --> 00:14:14,853","Oh, l don't know what l'd do.","ওহ, আমি জানি না কি করবো।"
"00:14:21,402 --> 00:14:22,986",Now...,এখন ...
"00:14:24,906 --> 00:14:27,616",...you better take the rest of your cake home.,... আপনি ভাল নিতে আপনার পিষ্টক হোম বাকি।
"00:14:44,008 --> 00:14:46,176",Hey. You're still here.,আরে। আপনি এখনও এখানে আছেন।
"00:14:47,261 --> 00:14:48,929",I saw your billboard on Bleecker.,আমি ব্লিকার আপনার বিলবোর্ড দেখেছি।
"00:14:49,138 --> 00:14:52,391",Isn't it funny? I'm really kind of embarrassed.,এটা মজার না? আমি সত্যিই বিব্রত বোধ করছি।
"00:14:52,558 --> 00:14:56,645",Don't be. lt's nice. I get to see you every day now.,হতে হবে না। লেট এর চমৎকার। আমি এখন আপনি প্রতিদিন দেখতে পাবেন।
"00:14:59,357 --> 00:15:01,692","I liked seeing you tonight, Peter.","আমি তোমাকে আজ রাতে দেখেছিলাম, পিটার।"
"00:15:03,945 --> 00:15:05,696","Oh, boy, yeah.","ওহ, ছেলে, হ্যাঁ।"
"00:15:06,322 --> 00:15:09,282","""Oh, boy, yeah"" what?","""ওহ, ছেলে, হাঁ"" কি?"
"00:15:13,788 --> 00:15:15,455",Nothing.,কিছুই নেই।
"00:15:19,711 --> 00:15:21,670",Do you want to say something?,আপনি কি কিছু বলতে চান?
"00:15:27,677 --> 00:15:29,261",I...,আমি ...
"00:15:35,184 --> 00:15:36,476",...was...,... ছিল ...
"00:15:37,478 --> 00:15:40,731",...wondering if you're still in the Village.,... আপনি এখনও যদি ভাবছি গ্রামে.
"00:15:49,866 --> 00:15:51,908",You're such a mystery.,আপনি যেমন একটি রহস্য।
"00:16:02,170 --> 00:16:03,962",Peter.,পিটার।
"00:16:05,381 --> 00:16:06,882",What?,কি?
"00:16:11,888 --> 00:16:13,597",Happy birthday.,শুভ জন্মদিন.
"00:16:22,273 --> 00:16:24,441",I'm seeing somebody now.,আমি এখন কাউকে দেখছি।
"00:16:25,068 --> 00:16:27,444","You mean, like a boyfriend?",আপনি একটি প্রেমিক মত মানে?
"00:16:27,612 --> 00:16:30,280","Well, like I like him.","আচ্ছা, আমি তাকে পছন্দ করি।"
"00:16:38,081 --> 00:16:41,333","That's good, you know? Companionship....","এটা ভাল, তুমি জানো? সাহচর্য্য ...."
"00:16:43,044 --> 00:16:44,711",May be more than that.,যে বেশী হতে পারে।
"00:16:45,797 --> 00:16:47,380",More?,আরো?
"00:16:48,091 --> 00:16:49,549",I don't know.,আমি জানি না।
"00:16:50,885 --> 00:16:53,095",I'm coming to see your play tomorrow night.,আমি আপনার খেলা দেখতে আসছি আগামীকাল রাত.
"00:16:56,140 --> 00:16:59,101",-You're coming? -l'll be there.,-তুমি আসছ? আমি সেখানে থাকব।
"00:17:00,103 --> 00:17:01,770",Don't disappoint me.,আমাকে হতাশ করবেন না।
"00:17:03,231 --> 00:17:04,898",I won't.,আমি করবো না
"00:17:19,080 --> 00:17:20,622",Rent.,ভাড়া।
"00:17:24,460 --> 00:17:27,129","-Hi. -Hi. What's ""hi""?","-Hi। -Hi। ""হাই"" কি?"
"00:17:27,296 --> 00:17:28,797",Can l spend it?,আমি কি এটা ব্যয় করতে পারি?
"00:17:29,549 --> 00:17:31,466",I have a paycheck due this week and--,আমি এই সপ্তাহে একটি paycheck আছে এবং--
"00:17:31,634 --> 00:17:34,970",-You're a month late again. Again. -l promise as soon as--,- আপনি আবার দেরী একটি মাস। আবার। শীঘ্রই হিসাবে প্রতিশ্রুতি -
"00:17:35,263 --> 00:17:38,640","If promises were crackers, my daughter would be fat.","প্রতিশ্রুতি ক্র্যাকার্স ছিল, আমার মেয়ে চর্বি হবে।"
"00:17:39,225 --> 00:17:43,728","I'm really sorry, Mr. Ditkovitch. All I got is this 20 for the rest of the week.","আমি সত্যিই দুঃখিত, মি। ডিটকভিচ। সব আমি এই সপ্তাহ বাকি জন্য 20 পেয়েছিলাম।"
"00:17:44,397 --> 00:17:45,939","""Sorry"" doesn't pay the rent.","""দুঃখিত"" ভাড়া পরিশোধ না।"
"00:17:46,107 --> 00:17:50,986",And don't try to sneak past me. I have ears like a cat and eyes like a rodent.,এবং আমার অতীতের ছিঁচকে চোর চেষ্টা করবেন না। আমার আছে একটি বিড়াল মত একটি বিড়াল এবং চোখ মত কান।
"00:17:52,655 --> 00:17:55,532","-Thanks, Mr. Ditkovitch. -Hi, Pete.","ধন্যবাদ, মি। ডিটকভিচ। - হাই, পিট।"
"00:18:42,371 --> 00:18:43,955",Hello?,হ্যালো?
"00:18:51,339 --> 00:18:53,048",Rent?,ভাড়া?
"00:18:58,137 --> 00:19:00,513",Doctor? Mr. Osborn's here.,ডক্টর? মিঃ ওসবার্ন এখানে।
"00:19:00,681 --> 00:19:04,559","Nobel Prize, Otto. Nobel Prize. And we'll all be rich.","নোবেল পুরস্কার, ওটো। নোবেল পুরস্কার. এবং আমরা সবাই সমৃদ্ধ হবে।"
"00:19:04,894 --> 00:19:06,519","It's not about the prizes, Harry.","এটা পুরস্কারের কথা না, হ্যারি।"
"00:19:06,687 --> 00:19:08,480",But you need money. You need Oscorp.,কিন্তু আপনি টাকা প্রয়োজন। আপনি Oscorp প্রয়োজন।
"00:19:08,648 --> 00:19:09,940",Who do we have here?,আমরা এখানে আছে কে?
"00:19:10,107 --> 00:19:11,858",This is my good friend I called you about.,এই আমার ভাল বন্ধু আমি তোমাকে ডেকেছি।
"00:19:12,026 --> 00:19:13,693",He got me through high-school science.,তিনি আমাকে মাধ্যমে পেয়েছিলাম উচ্চ বিদ্যালয় বিজ্ঞান।
"00:19:13,861 --> 00:19:16,863","Peter Parker, sir. I'm writing a paper on you for--","পিটার পার্কার, স্যার। আমি আপনার জন্য একটি কাগজ লিখছি -"
"00:19:17,031 --> 00:19:18,448",I know what you're doing here...,আমি জানি তুমি এখানে কি করছ
"00:19:18,616 --> 00:19:20,909",...but l don't have time to talk to students now.,... কিন্তু আমার সময় নেই এখন ছাত্রদের সাথে কথা বলতে।
"00:19:21,869 --> 00:19:23,703","But Oscorp pays the bills, so....","কিন্তু ওসকর্প বিল পরিশোধ করে, তাই ...."
"00:19:23,871 --> 00:19:26,206",That's why I have to take off. Board meeting.,এজন্যই আমাকে নিতে হবে। বোর্ড মিটিং.
"00:19:26,374 --> 00:19:29,751",But my job is done here. Got you two geniuses together.,কিন্তু আমার কাজ এখানে সম্পন্ন করা হয়। আপনি একসাথে দুটি geniuses পেয়েছিলাম।
"00:19:29,919 --> 00:19:34,506","Good luck tomorrow, Otto. Nobel Prize. We'll see you in Sweden!","গুড লাক আগামীকাল, Otto। নোবেল পুরস্কার. আমরা আপনাকে সুইডেন দেখতে হবে!"
"00:19:37,218 --> 00:19:38,718","Interesting fellow, your friend.","আকর্ষণীয় সহকর্মী, আপনার বন্ধু।"
