Timeline,en_dialogue,bengali_dialogue
"00:04:52,835 --> 00:04:54,920","Netejam, the mighty fisherman.","নেতাজাম, পরাক্রমশালী জেলে।"
"00:04:55,087 --> 00:04:57,005",There. Well done.,সেখানে। ভালো হয়েছে।
"00:05:00,843 --> 00:05:03,345",It's big. - At the stones.,এটা বড়. - পাথরে।
"00:05:04,346 --> 00:05:05,931",Where you said.,যেখানে আপনি বলেছেন।
"00:05:05,973 --> 00:05:09,351",How tall is he? - He's this tall. -He's tall!,সে কত লম্বা? - সে এত লম্বা। -সে লম্বা!
"00:05:09,393 --> 00:05:10,903",Time flies.,সময় উড়ে যায়।
"00:05:11,103 --> 00:05:12,813",Like a dream.,স্বপ্নের মতো।
"00:05:13,939 --> 00:05:15,433","Kiri. -Brother, come on.","কিরি। -ভাই, চলো।"
"00:05:15,434 --> 00:05:17,276",Come on.,চলো।
"00:05:17,526 --> 00:05:19,036","Smile, you idiot.","হাসো, বোকা।"
"00:05:24,283 --> 00:05:25,776",Like a night out.,রাতের আউটের মতো।
"00:05:25,777 --> 00:05:27,287",Time without children.,সন্তান ছাড়া সময়।
"00:05:59,026 --> 00:06:00,944",But the problem with luck...,কিন্তু ভাগ্য নিয়ে সমস্যা...
"00:06:03,238 --> 00:06:05,115",It can disappear in a split second.,এটি একটি বিভক্ত সেকেন্ডে অদৃশ্য হয়ে যেতে পারে।
"00:06:11,205 --> 00:06:13,373",A new star in the night.,রাতে একটি নতুন তারা।
"00:06:14,583 --> 00:06:16,835",That can only mean one thing.,এর অর্থ কেবল একটি জিনিস হতে পারে।
"00:06:23,509 --> 00:06:25,761",Ships. They slow down.,জাহাজ। তারা মন্থর হয়।
"00:06:34,937 --> 00:06:37,022",And the Skymen are coming back.,আর স্কাইম্যানরা ফিরে আসছে।
"00:06:39,107 --> 00:06:44,404",Translated by: Bambula,অনুবাদকঃ বাম্বুলা
"00:08:55,410 --> 00:08:59,540",ONE YEAR LATER,এক বছর পরে
"00:09:06,755 --> 00:09:08,265",Pulse 168.,পালস 168।
"00:09:08,298 --> 00:09:09,842",Here it is.,এখানে এটা আছে.
"00:09:09,925 --> 00:09:11,425",You are fine.,আপনি ভালো আছেন।
"00:09:11,426 --> 00:09:12,936",Just lie still.,শুধু শুয়ে থাকো।
"00:09:12,942 --> 00:09:14,452",Keep calm.,শান্ত থাকুন।
"00:09:15,597 --> 00:09:17,766",Yes. Pupillary reaction is good.,হ্যাঁ। পিউপিলারি প্রতিক্রিয়া ভাল।
"00:09:17,933 --> 00:09:19,443",Get it out of his face.,ওর মুখ থেকে বের করে দাও।
"00:09:19,810 --> 00:09:21,320",Colonel...,কর্নেল...
"00:09:21,395 --> 00:09:23,272",can you hear me Colonel?,তুমি কি আমাকে শুনতে পাও কর্নেল?
"00:09:26,191 --> 00:09:27,776","You must lie down, sir.","আপনাকে শুতে হবে, স্যার।"
"00:09:33,448 --> 00:09:35,576",Sedate him! -Get out of here.,তাকে শান্ত করা! - যাও এখান থেকে।
"00:09:35,701 --> 00:09:37,619",Go Go! - Call security!,গো গো! - কল নিরাপত্তা!
"00:09:37,661 --> 00:09:39,171",Catch him! - Catch him!,তাকে ধর! - তাকে ধর!
"00:09:39,955 --> 00:09:41,707",Hold it! -Calm down!,ধর! -শান্ত হও!
"00:09:41,748 --> 00:09:44,334","Colonel, stop! Colonel, it's me!","কর্নেল, থামো! কর্নেল, আমি!"
"00:09:44,668 --> 00:09:46,178",Corporal Waynfleet!,কর্পোরাল ওয়েনফ্লিট!
"00:09:49,715 --> 00:09:51,225",Lyle?,লাইল?
"00:09:52,384 --> 00:09:57,014",That's you? -Yes sir. And Zee Dog.,ওটা তুমি? -হ্যাঁ স্যার। আর জি ডগ।
"00:09:57,764 --> 00:09:59,641",And Fike...,এবং ফাইক...
"00:10:02,227 --> 00:10:03,737",I'm all right. Let me go.,আমি ঠিক আছি। আমাকে যেতে দাও.
"00:10:04,229 --> 00:10:06,106",I'm all right.,আমি ঠিক আছি।
"00:10:26,543 --> 00:10:28,420",Well...,আচ্ছা...
"00:10:29,004 --> 00:10:31,215",Isn't this horrible?,এটা কি ভয়ংকর নয়?
"00:10:40,015 --> 00:10:45,103",Get ready. Two minutes until landing on Pandora. Safe for Delta V.,প্রস্তুত হও। অবতরণের দুই মিনিট বাকি প্যান্ডোরায় ডেল্টা ভি এর জন্য নিরাপদ।
"00:10:46,104 --> 00:10:48,065",OK. Umbilical cord removed.,ঠিক আছে। আম্বিলিকাল কর্ড সরানো হয়েছে।
"00:10:48,524 --> 00:10:50,034",Oxygen saturation 89.,অক্সিজেন স্যাচুরেশন 89.
"00:10:51,527 --> 00:10:55,489","In case you haven't figured it out yet, you are Colonel Miles Quaritch.","যদি আপনি এখনও এটি খুঁজে না পান, আপনি কর্নেল মাইলস কোয়ারিচ।"
"00:10:55,531 --> 00:10:58,033","Only younger, taller, bluer...","শুধু ছোট, লম্বা, নীল..."
"00:10:58,450 --> 00:11:00,369",And not nearly as gorgeous.,এবং প্রায় হিসাবে চমত্কার না.
"00:11:00,953 --> 00:11:04,540",I'm going on a mission in two hours against a Na'vi stronghold.,আমি দুই ঘন্টার মধ্যে একটি মিশনে যাচ্ছি একটি Na'vi দুর্গ বিরুদ্ধে.
"00:11:04,581 --> 00:11:09,336",The heads thought it was smart to make a copy of this just in case.,মাথা বুদ্ধিমান ভেবেছিল শুধুমাত্র ক্ষেত্রে এই একটি কপি করতে.
"00:11:09,628 --> 00:11:11,713","And if you're watching this, well...","এবং যদি আপনি এটি দেখছেন, ভাল ..."
"00:11:11,880 --> 00:11:13,966",That means I pulled my paws.,তার মানে আমি আমার থাবা টেনেছি।
"00:11:15,968 --> 00:11:19,137","Parker, what should I say now?","পার্কার, আমি এখন কি বলব?"
"00:11:19,638 --> 00:11:21,557",Just remind him how this works.,শুধু তাকে মনে করিয়ে দিন এটা কিভাবে কাজ করে।
"00:11:21,640 --> 00:11:23,150",Here is.,এখানে আছে.
"00:11:23,934 --> 00:11:26,562",You see this? These are all your memories and personality.,আপনি এই দেখতে? এই সব আপনার স্মৃতি এবং ব্যক্তিত্ব.
"00:11:26,770 --> 00:11:30,774",We're going to send this back to Earth where are you growing in the lab right now.,আমরা এটি পৃথিবীতে ফেরত পাঠাতে যাচ্ছি আপনি এখন ল্যাবে কোথায় বেড়ে উঠছেন।
"00:11:30,816 --> 00:11:32,526","We're going to transfer this to you, and then...","আমরা এটি আপনার কাছে স্থানান্তর করতে যাচ্ছি, এবং তারপর..."
"00:11:32,609 --> 00:11:34,862",Do I do this or do you? - Hurry up.,আমি কি এটা করব নাকি তুমি করবা? - তাড়াতাড়ি কর।
"00:11:36,196 --> 00:11:41,785","Anyway, the idea is to switch awareness of the most experienced operatives...","যাইহোক, ধারণা সুইচ করা হয় সবচেয়ে অভিজ্ঞ অপারেটিভদের সচেতনতা..."
"00:11:41,827 --> 00:11:44,580","As Corporal Wainfleet is there,","যেহেতু কর্পোরাল ওয়েইনফ্লিট আছে,"
"00:11:44,621 --> 00:11:49,418","and your humble narrator, into recombinant bodies.","এবং আপনার নম্র বর্ণনাকারী, রিকম্বিন্যান্ট বডিতে।"
"00:11:50,002 --> 00:11:54,298","You're recombinant now, Colonel, filled with my memories and charm.","আপনি এখন রিকম্বিন্যান্ট, কর্নেল, আমার স্মৃতি এবং কবজ দিয়ে ভরা।"
"00:11:55,257 --> 00:11:58,677","You will not remember my death, because it hasn't happened yet,","আমার মৃত্যু তোমার মনে থাকবে না, কারণ এটি এখনও ঘটেনি,"
"00:11:58,927 --> 00:12:00,437",and won't.,এবং হবে না।
"00:12:00,679 --> 00:12:02,189",That's right. -You bet.,এটা ঠিক। -তুমি বাজি ধর।
"00:12:02,347 --> 00:12:03,891","Whatever happened,","যাই হোক,"
"00:12:04,850 --> 00:12:07,519","if you are even a little clone of me, you will crave revenge.","আপনি যদি আমার সামান্য ক্লোন হন, তুমি প্রতিশোধ নিতে চাইবে।"
"00:12:07,936 --> 00:12:10,439",And Jake Sully will be at the top of that list.,আর সেই তালিকার শীর্ষে থাকবেন জেক সুলি।
"00:12:14,067 --> 00:12:15,577","Remember, boy...",মনে রেখো ছেলে...
"00:12:15,777 --> 00:12:17,404",A Marine cannot be defeated.,একজন মেরিনকে পরাজিত করা যায় না।
"00:12:17,779 --> 00:12:21,658","They can kill us, but we will regroup in hell.","তারা আমাদের হত্যা করতে পারে, কিন্তু আমরা জাহান্নামে পুনর্গঠন করব।"
"00:12:23,076 --> 00:12:24,586",Always loyal.,সর্বদা অনুগত।
"00:12:52,981 --> 00:12:54,491","Ground team, move!","গ্রাউন্ড টিম, সরে!"
"00:13:47,995 --> 00:13:49,830",Take this! Go!,এই নাও! যাও!
"00:13:53,959 --> 00:13:56,003","Here we go. Two minutes, people. Here we go.","এই আমরা যাই. দুই মিনিট, মানুষ. এই আমরা যাই."
"00:14:00,382 --> 00:14:04,178","Bro, we gotta get down there. -By no means! Dad will skin us!","ভাই, আমাদের সেখানে নামতে হবে। -কোন ভাবেই না! বাবা আমাদের চামড়া দেবে!"
"00:14:04,636 --> 00:14:06,146",Come on. Don't be lukewarm.,চলো। উষ্ণ হবেন না।
"00:14:06,847 --> 00:14:08,724","Lo'ak! Come back here, you...","লোআক! এখানে ফিরে এসো, তুমি..."
"00:14:12,561 --> 00:14:15,898","We're taking the whole crate! We take frames for bullets, rocket launchers, stingers.","আমরা পুরো ক্রেট নিচ্ছি! আমরা ফ্রেম নিতে বুলেট, রকেট লঞ্চার, স্টিংগারের জন্য।"
"00:14:19,484 --> 00:14:20,994","Brother, let's go. Come on! - Lo'ak!","ভাই, চলুন। এসো! -লোক!"
"00:14:21,021 --> 00:14:22,438","Okay, let's go!","ঠিক আছে, চলুন!"
"00:14:22,439 --> 00:14:23,946",Lo'ak!,লোআক!
"00:14:23,947 --> 00:14:25,457",Move! Take it!,সরান! নাও!
"00:14:25,949 --> 00:14:27,492","Take this weapon! Boy, go!","এই অস্ত্র নাও! ছেলে, যাও!"
"00:14:30,162 --> 00:14:31,747",You don't even know how to use it.,আপনি এমনকি এটি কিভাবে ব্যবহার করতে জানেন না.
"00:14:32,706 --> 00:14:34,249",My dad taught me.,আমার বাবা আমাকে শিখিয়েছেন।
"00:14:42,007 --> 00:14:43,459",A fighter jet is coming!,একটা ফাইটার জেট আসছে!
"00:14:43,460 --> 00:14:44,970",Retreat!,পশ্চাদপসরণ!
"00:14:50,766 --> 00:14:52,643","Brother, come on!","ভাই, আসুন!"
"00:15:01,902 --> 00:15:03,396","Lo'ak, where are you?","Lo'ak, আপনি কোথায়?"
"00:15:03,397 --> 00:15:04,907",We don't care!,আমরা পাত্তা দিই না!
"00:15:05,531 --> 00:15:07,041",Easy easy. Are you OK?,সহজ সহজ. আপনি ঠিক আছেন?
"00:15:07,282 --> 00:15:08,792",Yes. -Where's your brother?,হ্যাঁ। -তোমার ভাই কোথায়?
"00:15:09,159 --> 00:15:10,669",There. -Where is he? Where?,সেখানে। -সে কোথায়? কোথায়?
"00:15:10,674 --> 00:15:12,184",Get out of here! Go!,এখান থেকে যাও! যাও!
"00:15:16,708 --> 00:15:18,585",Oh no.,আরে না।
"00:15:19,878 --> 00:15:21,421",No no.,না না।
"00:15:22,297 --> 00:15:24,216",God.,ঈশ্বর
"00:15:28,929 --> 00:15:30,806",Dad?,বাবা?
"00:15:32,474 --> 00:15:34,726","What are you doing here, boy? Where was your mind?","তুমি এখানে কি করছ, ছেলে? তোমার মন কোথায় ছিল?"
"00:15:35,853 --> 00:15:37,688",I'm sorry.,আমি দুঃখিত
"00:15:38,564 --> 00:15:40,074","I'm very sorry, sir.","আমি খুব দুঃখিত, স্যার."
"00:15:43,694 --> 00:15:45,737",You're not in Kansas anymore.,আপনি আর কানসাসে নেই।
"00:15:47,072 --> 00:15:49,449",Let's go to Pandora.,চলো প্যান্ডোরায় যাই।
"00:15:50,075 --> 00:15:55,205",I know that everyone to themselves you are asking the same question.,সেটা আমি সবাই নিজের কাছে জানি আপনি একই প্রশ্ন জিজ্ঞাসা করছেন।
"00:15:58,000 --> 00:15:59,510",Why so blue?,এত নীল কেন?
"00:16:03,672 --> 00:16:05,549","Because of the sins of our past life,","আমাদের অতীত জীবনের পাপের কারণে,"
"00:16:05,757 --> 00:16:08,177",we are resurrected in form our enemy.,আমরা আকারে পুনরুত্থিত হয় আমাদের শত্রু।
"00:16:08,677 --> 00:16:12,598","This gives us their size, strength, speed.","এটি আমাদের তাদের আকার দেয়, শক্তি, গতি।"
"00:16:12,973 --> 00:16:15,017",And with our training...,এবং আমাদের প্রশিক্ষণের সাথে...
"00:16:15,392 --> 00:16:17,227",It's a pretty potent mix.,এটি একটি চমত্কার শক্তিশালী মিশ্রণ.
"00:16:18,812 --> 00:16:21,315",Did we get the assignment yet? -You bet.,আমরা কি এখনও অ্যাসাইনমেন্ট পেয়েছি? -তুমি বাজি ধর।
"00:16:22,107 --> 00:16:24,443",Our task is to find and kill,আমাদের কাজ খুঁজে বের করা এবং হত্যা করা
"00:16:24,985 --> 00:16:27,446",the leader of the Na'vi rebels.,নাভি বিদ্রোহীদের নেতা।
"00:16:27,946 --> 00:16:30,824",The one they call Toruk Makto.,যাকে তারা তোরুক মাকতো বলে।
"00:16:31,742 --> 00:16:33,285",Jake Sully. -That!,জেক সুলি। -তাই !
"00:16:41,877 --> 00:16:43,670","Attack, attack!","আক্রমণ, আক্রমণ!"
"00:16:44,004 --> 00:16:45,547",You're mine!,তুমি আমার!
"00:16:45,756 --> 00:16:47,299",Knock! Come on!,নক ! এসো!
"00:16:47,716 --> 00:16:51,053",I'm definitely faster when I'm blue. -You idiot. -Not seriously.,আমি নীল যখন আমি স্পষ্টভাবে দ্রুত করছি. -তুমি বোকা। - সিরিয়াসলি না।
"00:16:51,345 --> 00:16:54,264",And animals respect me more. They don't see me as a man.,এবং পশুরা আমাকে বেশি সম্মান করে। তারা আমাকে মানুষ হিসেবে দেখে না।
"00:16:54,389 --> 00:16:56,266",Stop. You are a man?,থামো। আপনি একজন মানুষ?
"00:17:06,610 --> 00:17:08,120",They're coming!,তারা আসছে!
"00:17:08,153 --> 00:17:11,281","HIGH CAMP, OMATIKAY STREET","হাই ক্যাম্প, ওমাটিক স্ট্রিট"
"00:17:12,574 --> 00:17:14,576","They're coming! Run, Spider!","তারা আসছে! দৌড়াও, মাকড়সা!"
"00:17:14,952 --> 00:17:16,912",The warband is back!,যুদ্ধবন্দি ফিরে এসেছে!
"00:17:16,995 --> 00:17:19,665",Come on. -Here we go. Come on.,চলো। -এই যে আমরা যাই। চলো।
"00:17:34,304 --> 00:17:37,349","Mum! - Tuk... -Mum. - Knock, Knock.","মা! - টুক... -আম্মু। - নক, নক।"
"00:17:39,518 --> 00:17:41,028",Choir!,গায়কদল !
"00:17:43,063 --> 00:17:44,606",You should be scouts.,আপনার স্কাউট হওয়া উচিত।
"00:17:44,648 --> 00:17:46,142","Notice the enemies, and report.","শত্রুদের লক্ষ্য করুন, এবং রিপোর্ট।"
"00:17:46,143 --> 00:17:47,653",From afar!,দূর থেকে!
"00:17:47,985 --> 00:17:50,028",Does any of this sound familiar? Come here!,এই পরিচিত শব্দ কোন? এখানে আসুন!
"00:17:50,362 --> 00:17:52,489","Jesus. I'll give it to you two geniuses to complete the task,","যীশু। আমি তোমাদের দুজনকে দেব কাজটি সম্পন্ন করার জন্য প্রতিভা,"
"00:17:52,573 --> 00:17:54,083",and you disobey a direct order.,এবং আপনি একটি সরাসরি আদেশ অমান্য.
"00:17:54,867 --> 00:17:57,703","Kiri, can you help grandma around the wounded? Please?","কিরি, তুমি কি দিদিমাকে সাহায্য করতে পারো? আহত চারপাশে? প্লিজ?"
"00:17:57,786 --> 00:18:01,540","My brother is wounded. -It's fine. - Tuk, go with her. Come on. -Dad.","আমার ভাই আহত হয়েছে। -এটা ভালো। - টুক, তার সাথে যাও। চলো। -বাবা।"
"00:18:01,790 --> 00:18:05,377","Sir. I take full responsibility. - Yes, you take over. That's right.","স্যার। আমি সম্পূর্ণ দায়িত্ব নিচ্ছি। -হ্যাঁ, তুমি দখল কর। এটা ঠিক।"
"00:18:06,044 --> 00:18:08,380",Because you are the older brother. You have to act accordingly.,কারণ তুমি বড় ভাই। সে অনুযায়ী কাজ করতে হবে।
"00:18:09,464 --> 00:18:11,049",MaJake.,মাজেকে।
"00:18:11,175 --> 00:18:15,095","Your son is really bleeding. - Mother, it's okay. I...","আপনার ছেলের সত্যিই রক্তপাত হচ্ছে। - মা, ঠিক আছে। আমি..."
"00:18:16,597 --> 00:18:18,724","Go get it patched. Come on, willingly.",এটা প্যাচ পেতে যান. স্বেচ্ছায় এসো।
"00:18:24,188 --> 00:18:27,107",You realize it's because of you your brother almost died.,তুমি বুঝতে পারো এটা তোমার কারণে তোমার ভাই প্রায় মারা গেছে।
"00:18:27,608 --> 00:18:29,118",Yes sir.,হ্যাঁ স্যার।
"00:18:30,819 --> 00:18:32,988",You are punished. You are banned from flying for a month.,তুমি শাস্তিপ্রাপ্ত। আপনাকে এক মাসের জন্য বিমান চালানো নিষিদ্ধ করা হয়েছে।
"00:18:33,405 --> 00:18:36,200",Take care of the spawn. For all of them. -Yes sir.,স্পনের যত্ন নিন। তাদের সবার জন্য। -হ্যাঁ স্যার।
"00:18:36,283 --> 00:18:37,793",And get that shit off your face.,এবং আপনার মুখ থেকে যে বিষ্ঠা সরান.
"00:18:47,920 --> 00:18:49,922",You want a kiss on the scratch? - Give him this. -Okay.,আপনি স্ক্র্যাচ উপর একটি চুম্বন চান? - ওকে এটা দাও। -ঠিক আছে।
"00:18:49,963 --> 00:18:54,593","I would use yala bark. - Here, drink. -Really? And who is Tsahik?","আমি ইয়ালার ছাল ব্যবহার করব। - এখানে, পান করুন। -সত্যি? এবং Tsahik কে?"
"00:18:55,469 --> 00:18:56,979",You are... Move.,তুমি... সরান।
"00:18:57,137 --> 00:18:59,890","you are, grandma, but the bark is better.","তুমি দাদি, কিন্তু ছাল ভালো।"
"00:19:02,059 --> 00:19:03,569",It burns less.,এটা কম পোড়া।
"00:19:04,102 --> 00:19:05,612",A mighty warrior.,একজন পরাক্রমশালী যোদ্ধা।
"00:19:13,028 --> 00:19:14,538",What is it?,এটা কি?
"00:19:16,615 --> 00:19:19,535",Netejam and Lo'ak look up to you.,নেতাজাম এবং লো'ক আপনার দিকে তাকিয়ে আছেন।
"00:19:20,577 --> 00:19:22,454",It was hard for them.,এটা তাদের জন্য কঠিন ছিল.
"00:19:23,622 --> 00:19:25,132",I know.,আমি জানি।
"00:19:26,917 --> 00:19:28,794",You are very strict with them.,আপনি তাদের সাথে খুব কঠোর।
"00:19:32,089 --> 00:19:34,007",I am their father. That's my job.,আমি তাদের বাবা। এটাই আমার কাজ।
"00:19:35,467 --> 00:19:38,262",This is not a unit. This is family.,এটি একটি ইউনিট নয়। এই পরিবার.
"00:19:49,898 --> 00:19:51,608",I thought we were out of them.,আমি ভেবেছিলাম আমরা তাদের বাইরে।
"00:20:00,742 --> 00:20:02,578",Hey buddy. How's it going? - Spiders.,আরে দোস্ত। কেমন চলছে? - মাকড়সা।
"00:20:03,328 --> 00:20:04,838",Your face is mine.,তোমার মুখটা আমার।
"00:20:04,872 --> 00:20:06,382",I'm here.,আমি এখানে আছি।
"00:20:06,498 --> 00:20:08,375",Only for avatars. Go around!,শুধুমাত্র অবতারদের জন্য। চারপাশে যান!
"00:20:08,834 --> 00:20:10,293",Sorry.,দুঃখিত।
"00:20:10,294 --> 00:20:12,754",Yes. Those blue stripes they don't make you bigger bro.,হ্যাঁ। সেই নীল ফিতে তারা আপনাকে বড় করে না ভাই।
"00:20:13,338 --> 00:20:14,882","Yes, I can still beat you up.","হ্যাঁ, আমি এখনও তোমাকে মারতে পারি।"
"00:20:18,719 --> 00:20:20,429",What a day. - Long.,কি একটা দিন। - লম্বা।
"00:20:23,599 --> 00:20:26,518","Really hilarious, folks. But you know what's really horrible?","সত্যিই হাস্যকর, লোকেরা. কিন্তু আপনি কি সত্যিই ভয়ঙ্কর জানেন?"
"00:20:26,553 --> 00:20:28,312","You can breathe earth air for hours,","আপনি শ্বাস নিতে পারেন ঘন্টার জন্য পৃথিবীর বাতাস,"
"00:20:28,687 --> 00:20:31,023",and I can inhale yours air for ten seconds.,এবং আমি আপনার শ্বাস নিতে পারি দশ সেকেন্ডের জন্য বাতাস।
"00:20:31,064 --> 00:20:33,317","Yes, Monkey, that's really awful.","হ্যাঁ, বানর, এটা সত্যিই ভয়ঙ্কর।"
"00:20:33,734 --> 00:20:35,244",For you.,তোমার জন্য।
"00:20:41,700 --> 00:20:43,194","Bye, Max. - Hi, kids.","বাই, ম্যাক্স - হাই, বাচ্চারা।"
"00:20:43,195 --> 00:20:44,654","Bye. What's up, Max?","বিদায়। কি খবর, ম্যাক্স?"
"00:20:44,655 --> 00:20:46,165","What's up, Norm?","কি খবর, নর্ম?"
"00:20:51,460 --> 00:20:53,003",Hi Mom.,হাই মা।
"00:21:03,055 --> 00:21:07,142",Maybe I'm just going crazy here but I see actual proof,হয়তো আমি এখানে পাগল হয়ে যাচ্ছি কিন্তু আমি বাস্তব প্রমাণ দেখতে
"00:21:07,476 --> 00:21:11,522",systematic response on a global level.,পদ্ধতিগত প্রতিক্রিয়া বৈশ্বিক স্তরে।
"00:21:12,022 --> 00:21:13,532",Can not...,পারে না...
"00:21:14,274 --> 00:21:17,069","I will not use the term ""intelligence."" It is...","আমি ""বুদ্ধিমত্তা"" শব্দটি ব্যবহার করব না। এটা..."
