Timeline,en_dialogue,bengali_dialogue
"00:02:13,168 --> 00:02:15,736",Are they really going to ask about it?,তারা কি সত্যিই যাচ্ছে? এটা সম্পর্কে জিজ্ঞাসা করতে?
"00:02:15,770 --> 00:02:17,873",- It was years ago. - Four years ago...,- এটা বছর আগে ছিল. - চার বছর আগে...
"00:02:17,906 --> 00:02:18,941",Five.,পাঁচ.
"00:02:19,808 --> 00:02:21,542",Oppenheimer still divides America.,ওপেনহাইমার এখনও আমেরিকাকে বিভক্ত করে।
"00:02:21,575 --> 00:02:23,946",The committee is gonna want to know where you stood.,কমিটি চাইবে আপনি কোথায় দাঁড়িয়েছেন তা জানতে।
"00:02:23,979 --> 00:02:26,081",Senator Thurmond asked me to say,সেনেটর থারমন্ড আমাকে বলতে বললেন
"00:02:26,114 --> 00:02:27,950",not to feel that you're on trial.,এটা অনুভব না করা আপনি বিচারে আছেন।
"00:02:27,983 --> 00:02:31,519","Oh, funny, I didn't till you just said that.","ওহ, মজার, আমি না যতক্ষণ না আপনি শুধু বলেছেন।"
"00:02:31,552 --> 00:02:33,155","- Really, Mr. Strauss... - It's Admiral.","- সত্যিই, মিস্টার স্ট্রস... - এটা অ্যাডমিরাল."
"00:02:33,188 --> 00:02:36,124","Um, Admiral Strauss. This is a formality.","উম, অ্যাডমিরাল স্ট্রস। এটা একটা আনুষ্ঠানিকতা।"
"00:02:36,158 --> 00:02:38,659",President Eisenhower has asked you to be in his cabinet.,প্রেসিডেন্ট আইজেনহাওয়ার প্রশ্ন করেছেন আপনি তার মন্ত্রিসভায় থাকবেন।
"00:02:38,693 --> 00:02:40,561",Senate really has no choice but to confirm you.,সেনেট সত্যিই কোন আছে পছন্দ কিন্তু আপনাকে নিশ্চিত করতে.
"00:02:40,594 --> 00:02:42,831",And if they bring up Oppenheimer?,আর যদি আনে ওপেনহাইমার?
"00:02:42,864 --> 00:02:45,233","When they bring up Oppenheimer, you answer honestly.","যখন তারা ওপেনহাইমারকে তুলে আনে, আপনি সৎভাবে উত্তর দিন।"
"00:02:45,267 --> 00:02:47,668",No senator can deny you did your duty.,কোন সিনেটর অস্বীকার করতে পারে না আপনি আপনার দায়িত্ব পালন করেছেন।
"00:02:47,702 --> 00:02:49,838",It'll be uncomfortable. (chuckles awkwardly),এটা অস্বস্তিকর হবে. (বিশ্রীভাবে হাসে)
"00:02:53,108 --> 00:02:54,742",(clamoring),(চিৎকার করে)
"00:02:56,945 --> 00:02:59,647",ROGER ROBB: Why did you leave the United States?,রজার রব: কেন আপনি মার্কিন যুক্তরাষ্ট্র ছেড়ে?
"00:03:01,749 --> 00:03:05,153","I, uh... I wanted to study the new physics.","আমি, উহ... আমি চেয়েছিলাম নতুন পদার্থবিদ্যা অধ্যয়ন."
"00:03:05,187 --> 00:03:06,721",GRAY: Was there nowhere here?,গ্রে: এখানে কোথাও ছিল না?
"00:03:06,754 --> 00:03:08,756",I thought Berkeley had the leading,আমি বার্কলে ভেবেছিলাম নেতৃস্থানীয় ছিল
"00:03:08,789 --> 00:03:10,624",theoretical physics department.,তাত্ত্বিক পদার্থবিদ্যা বিভাগ।
"00:03:10,658 --> 00:03:13,228",Yes. Once I built it.,হ্যাঁ. একবার আমি এটি নির্মাণ করেছি।
"00:03:13,261 --> 00:03:14,863",But first I had to go to Europe.,তবে প্রথমে আমাকে ইউরোপ যেতে হয়েছিল।
"00:03:14,896 --> 00:03:18,266",I went to Cambridge to study under Patrick Blackett.,কেমব্রিজে গিয়েছিলাম পড়াশোনা করতে প্যাট্রিক ব্ল্যাকেটের অধীনে।
"00:03:18,300 --> 00:03:20,902",Were you happier there than in America?,আপনি কি সুখী ছিল আমেরিকার চেয়ে সেখানে?
"00:03:20,936 --> 00:03:23,071",- Happier? - Yes.,- সুখী? - হ্যাঁ.
"00:03:23,105 --> 00:03:25,639",(unsettling music playing),(অস্থির সঙ্গীত বাজানো)
"00:03:27,042 --> 00:03:30,045","No. No, I, uh...","না। না, আমি, উহ..."
"00:03:33,048 --> 00:03:34,883","<i>I was homesick, um...</i>","<i>আমি হোমসিক ছিলাম, উম...</i>"
"00:03:35,750 --> 00:03:37,718",emotionally immature...,মানসিকভাবে অপরিণত...
"00:03:38,887 --> 00:03:44,026",<i>troubled by visions of a hidden universe.</i>,<i>দর্শন দ্বারা সমস্যা একটি লুকানো মহাবিশ্বের।</i>
"00:03:44,059 --> 00:03:45,526",(soft blast),(নরম বিস্ফোরণ)
"00:03:48,063 --> 00:03:50,832",(rumbling),(গড়গড় করে)
"00:03:55,070 --> 00:03:56,905",Useless in the lab.,ল্যাবে অকেজো।
"00:03:56,938 --> 00:03:58,539",(glass shattering),(কাঁচ ভেঙে যাওয়া)
"00:04:01,943 --> 00:04:04,046","Christ, Oppenheimer.","খ্রিস্ট, ওপেনহাইমার।"
"00:04:04,079 --> 00:04:06,148",Have you had any sleep?,তোমার কি কোনো ঘুম হয়েছে?
"00:04:07,949 --> 00:04:09,184",Start again.,আবার শুরু.
"00:04:09,217 --> 00:04:11,719","I need to go to the lecture, sir.","আমাকে যেতে হবে বক্তৃতা, স্যার।"
"00:04:11,752 --> 00:04:13,155",Why?,কেন?
"00:04:13,188 --> 00:04:15,090",It's Niels Bohr.,এটা নিলস বোর।
"00:04:17,893 --> 00:04:19,593","BLACKETT: Damn, completely forgot.","ব্ল্যাকেট: অভিশাপ, পুরোপুরি ভুলে গেছি."
"00:04:19,627 --> 00:04:21,830",All right. (clears throat) Let's go.,ঠিক আছে. (সাফ করে গলা) চল যাই।
"00:04:24,166 --> 00:04:26,077","- Oh, no, not you, Oppenheimer. - (students laughing)","- ওহ, না, তুমি না, ওপেনহাইমার। - (শিক্ষার্থীরা হাসছে)"
"00:04:26,101 --> 00:04:27,211",You finish coating those plates.,আপনি এই প্লেট লেপ শেষ.
"00:04:27,235 --> 00:04:29,071",STUDENT 1: You see them?,ছাত্র 1: আপনি তাদের দেখতে?
"00:04:29,104 --> 00:04:30,906",(students laughing),(শিক্ষার্থীরা হাসছে)
"00:04:34,642 --> 00:04:36,610",STUDENT 2: Don't forget to clean up!,ছাত্র 2: না পরিষ্কার করতে ভুলবেন না!
"00:05:02,670 --> 00:05:04,139",(cabinet door closes),(মন্ত্রিসভা দরজা বন্ধ)
"00:05:07,775 --> 00:05:11,712","BOHR: <i>Quantum physics is not a step forward,</i>","BOHR: <i>কোয়ান্টাম পদার্থবিদ্যা এক ধাপ এগিয়ে নয়,</i>"
"00:05:11,745 --> 00:05:15,250",it is a new way to understand reality.,এটি একটি নতুন উপায় বাস্তবতা বুঝতে।
"00:05:15,283 --> 00:05:18,854","Einstein's opened the door, now we are peering through,","আইনস্টাইন দরজা খুললেন, এখন আমরা তাকাচ্ছি,"
"00:05:18,887 --> 00:05:21,789",seeing a world inside our world.,আমাদের বিশ্বের ভিতরে একটি পৃথিবী দেখা।
"00:05:21,823 --> 00:05:27,229",A world of energy and paradox that not everyone can accept.,শক্তি এবং প্যারাডক্স একটি বিশ্ব যা সবাই মেনে নিতে পারে না।
"00:05:28,864 --> 00:05:31,867",(unsettling music continues),(অস্থির সঙ্গীত চলতে থাকে)
"00:05:57,791 --> 00:05:59,693",- (music fades out) - (bell tolling),- (সঙ্গীত বিবর্ণ হয়ে যায়) - (বেল টোলিং)
"00:06:03,431 --> 00:06:05,200",(indistinct chatter),(অস্পষ্ট বকবক)
"00:06:09,337 --> 00:06:10,771","Yeah, definitely.",হাঁ অবশ্যই.
"00:06:10,805 --> 00:06:12,174",- (panting) - Are you all right?,- (হাঁপাচ্ছে) - তুমি কি ঠিক আছ?
"00:06:13,408 --> 00:06:15,243","Niels, meet J. Robert Oppenheimer.","নিলস, জে. রবার্ট ওপেনহাইমার।"
"00:06:15,277 --> 00:06:16,777","BOHR: What's the ""J"" stand for?","BOHR: কি ""জে"" এর জন্য দাঁড়াবে?"
"00:06:16,811 --> 00:06:18,779","Nothing, apparently.","কিছুই না, দৃশ্যত।"
"00:06:18,813 --> 00:06:19,915",You were at my lecture.,আপনি আমার লেকচারে ছিলেন।
"00:06:19,948 --> 00:06:21,349",You asked the only good question.,আপনি শুধুমাত্র জিজ্ঞাসা ভাল প্রশ্ন.
"00:06:21,383 --> 00:06:23,118",BLACKETT: No one's denying his insight.,ব্ল্যাকেট: কারো নয় তার অন্তর্দৃষ্টি অস্বীকার.
"00:06:23,151 --> 00:06:25,229",It's his laboratory work that leaves a little to be desired.,এটা তার গবেষণাগার কাজ যে কাঙ্খিত হতে সামান্য ছেড়ে.
"00:06:25,253 --> 00:06:27,093",(swallows) I heard you give the same lecture...,(গিলে) আমি তোমার কথা শুনেছি একই বক্তৃতা দাও...
"00:06:27,122 --> 00:06:30,325","At Harvard, yes, and you asked the same question.","হার্ভার্ডে, হ্যাঁ, এবং আপনি একই প্রশ্ন জিজ্ঞাসা."
"00:06:30,358 --> 00:06:31,459",Why ask again?,আবার জিজ্ঞাসা কেন?
"00:06:31,493 --> 00:06:33,094",Hadn't liked your answer.,আপনার উত্তর পছন্দ হয়নি.
"00:06:34,462 --> 00:06:36,198",Did you like it better yesterday?,আপনি এটা পছন্দ করেছেন গতকাল ভাল?
"00:06:36,231 --> 00:06:37,499",A lot.,অনেক.
"00:06:37,532 --> 00:06:39,434",You can lift the stone without being ready,পাথর তুলতে পারেন প্রস্তুত না হয়ে
"00:06:39,467 --> 00:06:41,836",for the snake that's revealed.,যে সাপটি প্রকাশিত হয়েছে তার জন্য।
"00:06:41,870 --> 00:06:44,005",Now it seems you're ready.,এখন মনে হচ্ছে আপনি প্রস্তুত।
"00:06:44,039 --> 00:06:46,341",- But you don't enjoy the lab? - (continues panting),- কিন্তু আপনি ল্যাব উপভোগ করেন না? - (হাঁপাতে থাকে)
"00:06:46,374 --> 00:06:49,244",So get out of Cambridge with its beakers and potions.,তাই নিয়ে কেমব্রিজ থেকে বেরিয়ে পড়ুন এর beakers এবং ঔষধ.
"00:06:49,277 --> 00:06:52,247",Go somewhere they let you think.,কোথাও যান তারা আপনাকে ভাবতে দেয়।
"00:06:53,248 --> 00:06:54,883",(whispers): Where?,(ফিসফিস করে): কোথায়?
"00:06:55,517 --> 00:06:56,518",Göttingen.,গোটিংজেন
"00:06:56,551 --> 00:06:58,486",- Born? - Born.,- জন্মেছে? - জন্ম।
"00:06:58,520 --> 00:07:00,488","Get to Germany, study under Max Born.","জার্মানিতে যাও, ম্যাক্স বর্ন অধীনে অধ্যয়ন."
"00:07:00,522 --> 00:07:03,158",Learn the ways of theory.,তত্ত্বের উপায় শিখুন।
"00:07:03,191 --> 00:07:04,226",I'll send word.,আমি কথা পাঠাবো।
"00:07:04,259 --> 00:07:05,827",(gasps),(হাঁপা)
"00:07:05,860 --> 00:07:07,963",- Wormhole. (exhales) - (apple clatters in trashcan),- ওয়ার্মহোল। (নিঃশ্বাস ছাড়ে) - (আবর্জনার পাত্রে আপেলের শব্দ)
"00:07:07,996 --> 00:07:09,364",How's your mathematics?,তোমার গণিত কেমন আছে?
"00:07:09,397 --> 00:07:11,366",Not good enough for the physicist he wants to be.,জন্য যথেষ্ট ভাল না তিনি হতে চান পদার্থবিদ.
"00:07:11,399 --> 00:07:13,969",Algebra's like sheet music.,বীজগণিত শীট সঙ্গীত মত.
"00:07:14,002 --> 00:07:16,471","The important thing isn't ""Can you read music?""","গুরুত্বপূর্ণ বিষয় না ""তুমি কি গান পড়তে পারো?"""
"00:07:16,504 --> 00:07:17,505","It's ""Can you hear it?""","এটা ""আপনি শুনতে পাচ্ছেন?"""
"00:07:17,539 --> 00:07:20,842","Can you hear the music, Robert?","আপনি কি গান শুনতে পাচ্ছেন, রবার্ট?"
"00:07:21,810 --> 00:07:23,378","Yes, I can.",হ্যা আমি পারি.
"00:07:23,411 --> 00:07:25,947",(classical music playing),(শাস্ত্রীয় সঙ্গীত বাজানো)
"00:07:28,116 --> 00:07:30,784",- (rumbling) - (metallic clinking),- (গড়গড় করে) - (ধাতু ক্লিঙ্কিং)
"00:08:09,958 --> 00:08:13,061",(intense classical music continues),(তীব্র শাস্ত্রীয় সঙ্গীত চলতে থাকে)
"00:08:41,556 --> 00:08:43,358",(music tempo increasing),(সঙ্গীতের গতি বাড়ছে)
"00:08:58,239 --> 00:08:59,074",(music ends),(সঙ্গীত শেষ)
"00:08:59,107 --> 00:09:00,608",The senator from Wyoming.,ওয়াইমিং থেকে সিনেটর.
"00:09:01,576 --> 00:09:04,045","Admiral Strauss, I'm interested in your relationship","অ্যাডমিরাল স্ট্রস, আমি আপনার সম্পর্কের প্রতি আগ্রহী"
"00:09:04,079 --> 00:09:06,948",with Dr. J. Robert Oppenheimer.,ডঃ জে. রবার্ট ওপেনহাইমারের সাথে।
"00:09:06,981 --> 00:09:08,583",You met him in 1947?,আপনি 1947 সালে তার সাথে দেখা করেছিলেন?
"00:09:08,616 --> 00:09:09,584",Correct.,সঠিক।
"00:09:09,617 --> 00:09:11,386",You were commissioner,আপনি কমিশনার ছিলেন
"00:09:11,419 --> 00:09:12,987",of the Atomic Energy Commission?,পারমাণবিক শক্তি কমিশনের?
"00:09:13,021 --> 00:09:16,958","I was, but I-I actually met Robert in my capacity","আমি ছিলাম, কিন্তু আমি-আমি আসলে আমার ক্ষমতায় রবার্টের সাথে দেখা হয়েছিল"
"00:09:16,991 --> 00:09:19,661",as board member of the Institute for Advanced Study,বোর্ড সদস্য হিসাবে ইনস্টিটিউট ফর অ্যাডভান্সড স্টাডি
"00:09:19,694 --> 00:09:21,496",at Princeton because,প্রিন্সটনে কারণ
"00:09:21,529 --> 00:09:24,165","after the war, he was world-renowned","যুদ্ধের পরে, তিনি বিশ্ববিখ্যাত ছিল"
"00:09:24,199 --> 00:09:26,601","as the great man of physics, and I was determined","পদার্থবিজ্ঞানের মহান ব্যক্তি হিসাবে, এবং আমি স্থির ছিল"
"00:09:26,634 --> 00:09:29,337",to get him to run the Institute.,তাকে ইনস্টিটিউট পরিচালনা করার জন্য।
"00:09:29,371 --> 00:09:31,473",(birds chirping),(পাখির কিচিরমিচির)
"00:09:31,506 --> 00:09:34,175",(soft music playing),(নরম সঙ্গীত বাজানো)
"00:09:38,513 --> 00:09:41,583",Dr. Oppenheimer. An honor.,ডঃ ওপেনহাইমার। সন্মান.
"00:09:41,616 --> 00:09:42,951",Mr. Strauss.,মিঃ স্ট্রস।
"00:09:42,984 --> 00:09:44,285","It's pronounced ""straws.""","এটি ""স্ট্র"" উচ্চারিত হয়।"
"00:09:45,186 --> 00:09:46,654","ROBERT: Oh-ppenheimer, Oppenheimer.","রবার্ট: ওহ-পেনহাইমার, ওপেনহাইমার।"
"00:09:46,688 --> 00:09:48,556","Whatever way you say it, they know I'm Jewish.","যেভাবেই বলুন না কেন, তারা জানে আমি ইহুদি।"
"00:09:48,590 --> 00:09:50,058",(Strauss chuckles),(স্ট্রস হাসছে)
"00:09:50,091 --> 00:09:52,694",I'm president of Temple Emanu-El in Manhattan.,আমি মন্দিরের সভাপতি ম্যানহাটনে ইমানু-এল।
"00:09:52,727 --> 00:09:54,996","""Straws"" is just the Southern pronunciation.","""খড়"" শুধু দক্ষিণী উচ্চারণ।"
"00:09:55,029 --> 00:09:56,064","- Ah. - Anyway,","- আহ। - যাই হোক,"
"00:09:56,097 --> 00:09:57,532",welcome to the Institute.,ইনস্টিটিউটে স্বাগতম।
"00:09:57,565 --> 00:09:59,200",I think you could be very happy here.,আমি মনে করি আপনি পারেন এখানে খুব খুশি হও।
"00:09:59,234 --> 00:10:01,169","Yes, well, you'll love the commute.","হ্যাঁ, ভাল, আপনি হবে যাতায়াত ভালবাসি"
"00:10:01,202 --> 00:10:02,537",The position comes with that house,অবস্থান আসে সেই বাড়ির সাথে
"00:10:02,570 --> 00:10:04,038",for you and your wife,আপনার এবং আপনার স্ত্রীর জন্য
"00:10:04,072 --> 00:10:06,241","and your, is it two children?","এবং আপনার, এটা কি দুটি বাচ্চা?"
"00:10:06,274 --> 00:10:07,075","Yes, two.","হ্যাঁ, দুই."
"00:10:07,108 --> 00:10:10,044",I'm a great admirer of your work.,আমি একজন মহান ভক্ত আপনার কাজের।
"00:10:10,078 --> 00:10:12,280","And you're a physicist by training, Mr. Strauss?","এবং আপনি একজন পদার্থবিদ প্রশিক্ষণের মাধ্যমে, মিস্টার স্ট্রস?"
"00:10:12,313 --> 00:10:14,382","I'm sorry, uh, common room 4:00 tea.","আমি দুঃখিত, আহ, কমন রুম 4:00 চা।"
"00:10:14,416 --> 00:10:17,185","No, I'm not trained in physics or anything else.","না, আমি প্রশিক্ষিত নই পদার্থবিদ্যা বা অন্য কিছু।"
"00:10:17,218 --> 00:10:19,053",- I'm a self-made man. - Ah.,- আমি একজন স্ব-নির্মিত মানুষ। - আহ।
"00:10:19,087 --> 00:10:21,089",- I can relate to that. - Really?,- আমি বুঝতে পেরেছি. - সত্যি?
"00:10:21,122 --> 00:10:23,458","Yes, my father was one.","হ্যাঁ, আমার বাবা একজন ছিলেন।"
"00:10:23,491 --> 00:10:27,061",And this would be your office.,এবং এটি আপনার অফিস হবে.
"00:10:36,237 --> 00:10:38,173",I'm told he's there most afternoons.,আমাকে বলা হয়েছে সে সেখানে আছে বেশিরভাগ বিকেলে।
"00:10:38,206 --> 00:10:40,308","You know, I've always wondered","আপনি জানেন, আমি সবসময় বিস্মিত করেছি"
"00:10:40,341 --> 00:10:43,945",why you didn't involve him in the Manhattan Project.,কেন তুমি তাকে জড়ালে না ম্যানহাটন প্রকল্পে।
"00:10:44,712 --> 00:10:48,216",Greatest scientific mind of our time.,সর্বশ্রেষ্ঠ বৈজ্ঞানিক আমাদের সময়ের মন।
"00:10:48,249 --> 00:10:50,118",Of his time.,তার সময়ের।
"00:10:50,151 --> 00:10:52,187",Einstein published his Theory of Relativity,আইনস্টাইন তার প্রকাশ করেন আপেক্ষিক তত্ত্ব
"00:10:52,220 --> 00:10:55,156",more than 40 years ago now.,এখন 40 বছরেরও বেশি আগে।
"00:10:56,224 --> 00:10:58,660",But never embraced the quantum world it revealed.,কিন্তু কখনোই আলিঙ্গন করেননি কোয়ান্টাম বিশ্বের এটি প্রকাশ.
"00:10:58,693 --> 00:11:00,228","""God doesn't play dice.""","""ঈশ্বর পাশা খেলেন না।"""
"00:11:00,261 --> 00:11:02,230",Precisely.,অবিকল।
"00:11:02,263 --> 00:11:05,066","You never thought of studying physics formally, Mr. Strauss?","পড়ালেখার কথা কখনো ভাবিনি পদার্থবিদ্যা আনুষ্ঠানিকভাবে, মিঃ স্ট্রস?"
"00:11:05,099 --> 00:11:07,469","Well, I had offers, but I chose to sell shoes.","ওয়েল, আমার অফার ছিল, কিন্তু আমি জুতা বিক্রি করার জন্য বেছে নিলাম।"
"00:11:07,502 --> 00:11:11,005",Lewis Strauss was once a lowly shoe salesman.,লুইস স্ট্রস একবার ছিলেন একজন নিচু জুতা বিক্রেতা।
"00:11:11,773 --> 00:11:13,675","No, just a shoe salesman.","না, শুধু একজন জুতা বিক্রেতা।"
"00:11:13,708 --> 00:11:15,977",Huh.,হুহ.
"00:11:17,245 --> 00:11:20,014",- I'd love to introduce you. - No need.,- আমি আপনার সাথে পরিচয় করিয়ে দিতে চাই। - দরকার নেই.
"00:11:21,115 --> 00:11:22,584",I have known him for years.,আমি তাকে বছরের পর বছর ধরে চিনি।
"00:11:29,157 --> 00:11:31,559",(soft music continues),(মৃদু সঙ্গীত চলতে থাকে)
"00:11:43,806 --> 00:11:45,507",Albert.,আলবার্ট।
"00:11:50,111 --> 00:11:54,315",What was that? What did you say to him?,ঐটা কি ছিল? কি তুমি কি তাকে বলেছিলে?
"00:11:56,451 --> 00:11:57,485","Oh, he's fine.","ওহ, সে ভালো আছে।"
"00:11:59,354 --> 00:12:02,657","Mr. Strauss, there are things in my past","মিঃ স্ট্রস, সেখানে আমার অতীতের জিনিস"
"00:12:02,690 --> 00:12:04,192",you ought to be aware of.,আপনার সচেতন হওয়া উচিত।
"00:12:04,225 --> 00:12:06,127","Well, as chairman of the AEC,","ওয়েল, AEC চেয়ারম্যান হিসাবে,"
"00:12:06,160 --> 00:12:07,629",I have access to your security file.,আমি অ্যাক্সেস আছে আপনার নিরাপত্তা ফাইল।
"00:12:07,662 --> 00:12:08,663",I've read it.,আমি এটা পড়েছি.
"00:12:08,696 --> 00:12:10,265",- You're not worried? - No.,- তুমি চিন্তিত নও? - না।
"00:12:10,298 --> 00:12:11,675",Why would I be worried after everything,কেন আমি চিন্তিত হবে সবকিছু পরে
"00:12:11,699 --> 00:12:13,167",you've done for your country?,আপনি কি আপনার দেশের জন্য করেছেন?
"00:12:13,201 --> 00:12:14,669","Well, times change, Mr. Strauss.","ঠিক আছে, সময় বদলে যায়, মিঃ স্ট্রস।"
"00:12:14,702 --> 00:12:16,538","Well, the purpose of this institute","ভাল, উদ্দেশ্য এই ইনস্টিটিউটের"
"00:12:16,571 --> 00:12:19,240",is to provide a haven for independent minds.,একটি আশ্রয় প্রদান করা হয় স্বাধীন মনের জন্য।
"00:12:20,174 --> 00:12:23,177",That's you. You are the man for the job.,সেটা তুমি. তুমি কাজের জন্য মানুষ.
"00:12:23,211 --> 00:12:25,814","Well, then I'll consider it.","ওয়েল, তারপর আমি এটা বিবেচনা করব."
"00:12:25,848 --> 00:12:28,116",I'll see you at the AEC meeting tomorrow.,আমি আপনার সাথে দেখা হবে আগামীকাল এইসি সভা।
"00:12:31,419 --> 00:12:32,487",(scoffs),(ঠাট্টা)
"00:12:32,520 --> 00:12:34,088",This is one of the most prestigious,এই এক সবচেয়ে মর্যাদাপূর্ণ
"00:12:34,122 --> 00:12:35,858",appointments in the country.,দেশে নিয়োগ।
"00:12:35,891 --> 00:12:38,092","Yes, with a great commute.","হ্যাঁ, একটি দুর্দান্ত যাতায়াত সহ।"
"00:12:38,126 --> 00:12:40,428",That's why I'm considering it.,সেজন্য আমি এটা বিবেচনা করছি।
"00:12:40,461 --> 00:12:42,230","SENATOR McGEE: <i>So, Dr. Oppenheimer brought</i>","সেনেটর ম্যাকজি: <i>তাই, ডঃ ওপেনহাইমার আনেন</i>"
"00:12:42,263 --> 00:12:44,666",<i>your attention to his past associations</i>,<i>আপনার মনোযোগ তার অতীত সমিতি</i>
"00:12:44,699 --> 00:12:45,834",<i>before you appointed him?</i>,<i>আপনি তাকে নিয়োগ করার আগে?</i>
"00:12:45,868 --> 00:12:47,302",Yes.,হ্যাঁ.
"00:12:47,335 --> 00:12:49,170",And it didn't concern you?,এবং এটা আপনি উদ্বেগ না?
"00:12:49,203 --> 00:12:50,738","Just then, I was entirely consumed","ঠিক তখনই, আমি ছিলাম সম্পূর্ণরূপে গ্রাস"
"00:12:50,772 --> 00:12:54,542",with what he must have said to Einstein to sour him on me.,সে যা বলেছে তার সাথে আইনস্টাইনের কাছে তাকে আমার উপর টক করার জন্য।
"00:12:54,576 --> 00:12:57,078",(laughter),(হাসি)
"00:12:58,146 --> 00:12:59,347",But later?,কিন্তু পরে?
"00:12:59,380 --> 00:13:01,316","Well, we all know what happened later.","ওয়েল, আমরা সবাই জানি পরে কি হয়েছে।"
"00:13:01,349 --> 00:13:03,718","ROBB: Doctor, your, uh... your time in Europe,","রব: ডাক্তার, আপনার, আহ... ইউরোপে আপনার সময়,"
"00:13:03,751 --> 00:13:05,320",you seemed to meet with a wide range,তুমি দেখা করছো একটি বিস্তৃত পরিসীমা সঙ্গে
"00:13:05,353 --> 00:13:06,788",of other countries' physicists.,অন্যান্য দেশের পদার্থবিদদের।
"00:13:06,822 --> 00:13:07,823","Yes, that's right.","হ্যা, তা ঠিক."
"00:13:07,856 --> 00:13:10,124",Any Russians?,কোন রাশিয়ান?
"00:13:11,192 --> 00:13:12,627",None that spring to mind.,কোনটা যে মনে বসন্ত.
"00:13:12,660 --> 00:13:15,563",If you'll just allow me to continue with my statement...,যদি আপনি আমাকে অনুমতি দেন আমার বক্তব্য চালিয়ে যান...
"00:13:15,597 --> 00:13:18,566","Mr. Robb, you'll have ample opportunity to cross-examine.","মিঃ রব, আপনি যথেষ্ট হবে জেরা করার সুযোগ।"
"00:13:20,803 --> 00:13:23,738","ROBERT: After Göttingen, I moved on to Leiden in Holland","রবার্ট: গটিংজেনের পরে, আই হল্যান্ডের লেইডেনে চলে যান"
"00:13:23,771 --> 00:13:26,809",<i>where I first met Isidor Rabi.</i>,<i>যেখানে আমি ইসিডোর রাবির সাথে প্রথম দেখা করি।</i>
