Timeline,en_dialogue,hindi_dialogue
"00:08:13,827 --> 00:08:15,661","All right, Mr. Jameson.","बिलकुल ठीक, मिस्टर जेमिसन।"
"00:08:17,372 --> 00:08:19,540","It stinks. Robbie, there's your page one.","इससे बदबू आती है। रोबी, आपका पेज एक है।"
"00:08:19,708 --> 00:08:21,333","""Masked Menace Terrorizes Town.""","""नकाबपोश खतरे ने शहर को आतंकित कर दिया।"""
"00:08:21,501 --> 00:08:23,085","I told you, he's not a menace.","मैंने तुमसे कहा था, वह कोई ख़तरा नहीं है।"
"00:08:23,253 --> 00:08:24,837",-l told you-- -l'll take care of it.,-मैंने तुमसे कहा था-- -मैं इसका ख्याल रखूंगा.
"00:08:25,005 --> 00:08:26,672",-l'll give you 150. -Three hundred.,-मैं तुम्हें 150 दूंगा. -तीन सौ।
"00:08:27,048 --> 00:08:28,340",That's outrageous.,यह अपमानजनक है.
"00:08:28,508 --> 00:08:30,467",Done. Give this to the girl.,हो गया। इसे लड़की को दे दो.
"00:08:30,635 --> 00:08:31,844",Thank you. Bye-bye.,धन्यवाद। अलविदा।
"00:08:32,304 --> 00:08:33,804",Hi.,नमस्ते।
"00:08:34,014 --> 00:08:35,472","Hey, Pete.","अरे, पीट."
"00:08:38,435 --> 00:08:42,271",I don't think this covers the advance I gave you a couple weeks ago.,मुझे नहीं लगता कि यह अग्रिम राशि को कवर करता है मैंने आपको कुछ हफ़्ते पहले दिया था।
"00:08:42,606 --> 00:08:44,565",-Right. -Sorry.,-सही। -क्षमा मांगना।
"00:08:45,775 --> 00:08:47,026",Hey.,अरे।
"00:08:47,527 --> 00:08:49,069","Chin up, okay?","ठुड्डी ऊपर करो, ठीक है?"
"00:09:02,208 --> 00:09:03,667","Watch it, jerk!","इसे देखो, झटका!"
"00:09:14,387 --> 00:09:16,305",Dr. Connors. Sorry.,डॉ. कॉनर्स. क्षमा मांगना।
"00:09:16,473 --> 00:09:18,015","Where were you headed, Parker?","आप कहाँ जा रहे थे, पार्कर?"
"00:09:18,224 --> 00:09:19,475",To your class.,अपनी कक्षा के लिए.
"00:09:19,643 --> 00:09:21,477",My class is over.,मेरी क्लास ख़त्म हो गयी है.
"00:09:21,645 --> 00:09:23,854",See me standing here?,मुझे यहाँ खड़ा देखो?
"00:09:24,022 --> 00:09:27,816",I'm sorry. I'm trying. I wanna be here.,मुझे माफ़ करें। मैं प्रयासरत हूं। मैं यहीं रहना चाहता हूं.
"00:09:27,984 --> 00:09:29,318",Then be here.,तो फिर यहीं रहो.
"00:09:30,695 --> 00:09:32,154","Look at you, Peter.","तुम देखो, पीटर."
"00:09:32,697 --> 00:09:37,034",Your grades have been steadily declining. You're late for class.,आपके ग्रेड लगातार बेहतर रहे हैं अस्वीकृत करना। तुम्हें कक्षा के लिए देर हो गई है.
"00:09:37,202 --> 00:09:40,079",You always appear exhausted.,आप हमेशा थके हुए नजर आते हैं.
"00:09:41,539 --> 00:09:43,582",Your paper on fusion is still overdue.,फ़्यूज़न पर आपका पेपर अभी भी विलंबित है।
"00:09:43,750 --> 00:09:46,919",I know. I'm planning to write it on Dr. Otto Octavius.,मुझे पता है। मैं इसे लिखने की योजना बना रहा हूं डॉ. ओटो ऑक्टेवियस पर।
"00:09:47,087 --> 00:09:50,255",Planning is not a major at this university.,योजना बनाना कोई बड़ी बात नहीं है इस विश्वविद्यालय में.
"00:09:53,593 --> 00:09:55,594",Octavius is a friend of mine.,ऑक्टेवियस मेरा एक मित्र है.
"00:09:55,929 --> 00:09:57,930","Better do your research, Parker.","बेहतर होगा कि आप अपना शोध करें, पार्कर।"
"00:09:58,264 --> 00:10:01,433","Get it done, or I'm failing you.","इसे पूरा करो, नहीं तो मैं तुम्हें असफल कर रहा हूँ।"
"00:10:22,789 --> 00:10:24,957",Surprise!,आश्चर्य!
"00:10:25,125 --> 00:10:27,042","Well, say something.","अच्छा, कुछ तो बोलो."
"00:10:27,210 --> 00:10:28,460",What's the occasion?,क्या अवसर है?
"00:10:28,628 --> 00:10:31,213","Really, Peter. It's your birthday!","सचमुच, पीटर। आपा जन्मदिन है!"
"00:10:31,756 --> 00:10:34,550",Whether you want to remember it or not.,अगर आप चाहें तो याद रखना या न रखना.
"00:10:34,926 --> 00:10:38,220","He lives in another reality. Don't you, Pete?","वह एक और वास्तविकता में रहता है. क्या तुम नहीं, पीट?"
"00:10:38,388 --> 00:10:40,305","-Hi, M.j. -Hi.","-हाय, एम.जे. -नमस्ते।"
"00:10:40,807 --> 00:10:42,182","-Hey, buddy. -Hey.",-हे यार। -अरे।
"00:10:42,350 --> 00:10:43,600","Long time, no see.",बहुत दिनों से मुलाकात नहीं हुई।
"00:10:44,477 --> 00:10:47,646",So how's the play? I read a great review.,तो नाटक कैसा है? मैंने एक बेहतरीन समीक्षा पढ़ी.
"00:10:47,814 --> 00:10:49,481",It's going fine. lt's going good.,ठीक चल रहा है। यह अच्छा चल रहा है.
"00:10:49,649 --> 00:10:50,941",She's brilliant in it.,वह इसमें शानदार है।
"00:10:51,109 --> 00:10:52,776",Harry sent me roses.,हैरी ने मुझे गुलाब भेजे।
"00:10:52,944 --> 00:10:55,487","So where you been, pal? You don't return my calls.","तो तुम कहाँ थे, दोस्त? आप मेरी कॉल का जवाब नहीं देते."
"00:10:56,990 --> 00:10:58,824",I've been busy.,मैं व्यस्त हो गया हूँ।
"00:10:58,992 --> 00:11:02,578",Taking pictures of Spider-Man? How's the bug these days?,स्पाइडर-मैन की तस्वीरें ले रहे हैं? इन दिनों बग कैसा है?
"00:11:02,746 --> 00:11:04,705","The less you see of that man, the better.","आप उस आदमी को उतना ही कम देखेंगे, बेहतर।"
"00:11:04,873 --> 00:11:08,333","Now, let's all go into the other room and have something to eat.",अब चलो सब दूसरे कमरे में चलते हैं और खाने के लिए कुछ है.
"00:11:08,501 --> 00:11:09,793",I'll get the hors d'oeuvres.,मुझे हॉर्स डी'ओवरेस मिलेगा।
"00:11:09,961 --> 00:11:12,087",So how are things going at Oscorp?,तो ऑस्कॉर्प में चीज़ें कैसी चल रही हैं?
"00:11:12,255 --> 00:11:15,132",They're great. I'm head of Special Projects.,वे महान हैं। मैं विशेष परियोजनाओं का प्रमुख हूं.
"00:11:15,300 --> 00:11:17,509",We're about to make a breakthrough on fusion.,हम बनाने वाले हैं संलयन पर एक सफलता.
"00:11:17,677 --> 00:11:21,805","How lovely, Harry. Your father would be so proud, rest his soul.","कितना प्यारा है, हैरी! आपके पिता बहुत गर्व होगा, उसकी आत्मा को शांति दो।"
"00:11:21,973 --> 00:11:23,265",Thank you.,धन्यवाद।
"00:11:23,683 --> 00:11:27,436","We're actually funding one of your idols, Pete. Otto Octavius.","हम वास्तव में फंडिंग कर रहे हैं आपके आदर्शों में से एक, पीट। ओटो ऑक्टेवियस."
"00:11:27,604 --> 00:11:30,022",-l'm writing a paper on him. -You want to meet him?,-मैं उस पर एक पेपर लिख रहा हूं। -तुम उससे मिलना चाहते हो?
"00:11:30,190 --> 00:11:31,482",You'd introduce me?,आप मेरा परिचय कराएँगे?
"00:11:31,649 --> 00:11:34,860",You bet. Octavius is gonna put Oscorp on the map...,बिलकुल। ऑक्टेवियस है ऑस्कॉर्प को मानचित्र पर लाऊंगा...
"00:11:35,028 --> 00:11:37,029",...in a way my father never even dreamed of.,...एक तरह से मेरे पिता कभी सपने में भी नहीं सोचा था.
"00:11:37,197 --> 00:11:39,156","M.j., could you give me a hand?","एम.जे., क्या आप मुझे एक हाथ दे सकते हैं?"
"00:11:41,534 --> 00:11:43,118","She's waiting for you, pal.","वह तुम्हारा इंतज़ार कर रही है, दोस्त।"
"00:11:43,828 --> 00:11:45,037",What do you mean?,आपका क्या मतलब है?
"00:11:45,205 --> 00:11:47,706",The way she looks at you or doesn't look at you.,जिस तरह से वह आपको देखती है या आपकी ओर नहीं देखता.
"00:11:48,249 --> 00:11:49,625",However you want to look at it.,हालाँकि आप इसे देखना चाहते हैं.
"00:11:49,959 --> 00:11:52,127",I don't have time for girls right now.,मेरे पास अभी लड़कियों के लिए समय नहीं है।
"00:11:52,295 --> 00:11:53,629","Why, are you dead?","क्यों, क्या तुम मर गये?"
"00:11:53,797 --> 00:11:55,297",I've been kind of busy.,मैं कुछ ज्यादा ही व्यस्त हो गया हूं.
"00:11:55,548 --> 00:11:57,174",Taking pictures of your friend?,अपने मित्र की तस्वीरें ले रहे हैं?
"00:11:58,635 --> 00:12:00,177",Could we get off that subject?,क्या हम उस विषय से हट सकते हैं?
"00:12:00,678 --> 00:12:03,680","I want us to be friends, Harry. I want us to trust each other.","मैं चाहता हूं कि हम दोस्त बनें, हैरी। मैं चाहता हूं कि हम एक-दूसरे पर भरोसा करें।"
"00:12:03,848 --> 00:12:05,474",Then be honest with me.,तो फिर मेरे साथ ईमानदार रहो.
"00:12:05,975 --> 00:12:08,352","If you knew who he was, would you tell me?","यदि आप जानते कि वह कौन था, आप मुझे बता सकते हैं?"
"00:12:31,960 --> 00:12:33,460",May.,मई।
"00:12:33,628 --> 00:12:35,170","Oh, what, Ben?","ओह, क्या, बेन?"
"00:12:36,506 --> 00:12:38,465",Wait.,इंतज़ार।
"00:12:38,675 --> 00:12:40,092","-Aunt May. -Oh, my.",-चाची मई. -अरे बाप रे।
"00:12:40,510 --> 00:12:45,722","Oh, Peter. Oh, for a second there, I thought I was years ago.","ओह, पीटर. ओह, वहाँ एक सेकंड के लिए, मैंने सोचा कि मैं वर्षों पहले था।"
"00:12:47,934 --> 00:12:49,852","Everybody's gone, aren't they?","सब चले गए, है ना?"
"00:12:50,311 --> 00:12:51,979",Did they have a good time?,क्या उनका वक्त अच्छा गुजरा?
"00:12:52,480 --> 00:12:53,730",I'm sure they did.,मुझे यकीन है कि उन्होंने ऐसा किया था।
"00:12:55,567 --> 00:12:59,403",-You okay? -Of course. But you go home.,-आप ठीक हैं? -बिल्कुल। लेकिन तुम घर जाओ.
"00:13:00,029 --> 00:13:05,200",And be careful. l don't like that scooter thing you drive around.,और सावधान रहें. मुझे वह पसंद नहीं है स्कूटर वह चीज़ है जिसे आप चारों ओर चलाते हैं।
"00:13:05,952 --> 00:13:07,161",I'm worried about you.,मैं तुम्हारे बारे में चिंतित हूँ।
"00:13:07,579 --> 00:13:12,541",You're so alone. And l saw the letter from the bank.,तुम बहुत अकेले हो. और मैंने बैंक से पत्र देखा।
"00:13:12,709 --> 00:13:15,169","Oh, my. You did?",अरे बाप रे। तुमने किया?
"00:13:15,670 --> 00:13:17,004","Oh, well.",ओह अच्छा।
"00:13:17,172 --> 00:13:18,589",So?,इसलिए?
"00:13:19,174 --> 00:13:20,841",I'm a little behind.,मैं थोड़ा पीछे हूं.
"00:13:21,843 --> 00:13:23,552",Everybody is.,सबको है।
"00:13:24,220 --> 00:13:27,222","Anyway, I don't want to talk about it anymore.","वैसे भी, मैं नहीं चाहता इसके बारे में अब और बात करने के लिए."
"00:13:27,390 --> 00:13:31,101","I'm tired, and you better start back home.","मैं थक गया हूं, और बेहतर होगा कि आप घर वापस लौटना शुरू कर दें।"
"00:13:32,896 --> 00:13:35,397","Here, kiddo. Happy birthday.","यहाँ, बच्चे। जन्मदिन की शुभकामनाएँ।"
"00:13:35,773 --> 00:13:37,399",You need it more than I do.,तुम्हें इसकी मुझसे ज़्यादा ज़रूरत है।
"00:13:37,567 --> 00:13:40,068","-No, I can't take that from you. -Yes, you can!","-नहीं, मैं यह आपसे नहीं ले सकता। -हाँ तुम कर सकते हो!"
"00:13:40,236 --> 00:13:42,279",You can take this money from me.,आप ये पैसे मुझसे ले सकते हैं.
"00:13:42,447 --> 00:13:45,199","For God's sake, it's not much. Now, take it!","भगवान के लिए, यह ज़्यादा नहीं है। अब, इसे ले लो!"
"00:13:45,366 --> 00:13:47,868",And don't you dare leave it here.,और इसे यहां छोड़ने की हिम्मत मत करना.
"00:13:48,036 --> 00:13:49,953","Oh, l'm sorry.","ओह, मुझे क्षमा करें."
"00:13:51,164 --> 00:13:54,708",It's just that l miss your uncle Ben so much.,यह बस इतना है कि मुझे याद आती है आपके चाचा बेन बहुत ज्यादा.
"00:13:56,836 --> 00:14:01,757",Can you believe that it's two years next month since he was taken?,क्या आप यकीन कर सकते हैं कि दो साल हो गये अगले महीने जब से उसे ले जाया गया?
"00:14:04,093 --> 00:14:06,303",I think to myself at times...,मैं कभी-कभी मन ही मन सोचता हूं...
"00:14:07,472 --> 00:14:11,767","...were I to face the one responsible for what happened, l'd....","...क्या मुझे जिम्मेदार व्यक्ति का सामना करना पड़ा? जो हुआ उसके लिए, मैं...."
"00:14:12,810 --> 00:14:14,853","Oh, l don't know what l'd do.","ओह, मुझे नहीं पता कि मैं क्या करूँगा।"
"00:14:21,402 --> 00:14:22,986",Now...,अब...
"00:14:24,906 --> 00:14:27,616",...you better take the rest of your cake home.,... बेहतर होगा कि आप ले लें आपके केक का बाकी हिस्सा घर आ गया।
"00:14:44,008 --> 00:14:46,176",Hey. You're still here.,अरे। तुम अभी भी यहाँ हो।
"00:14:47,261 --> 00:14:48,929",I saw your billboard on Bleecker.,मैंने ब्लीकर पर आपका बिलबोर्ड देखा।
"00:14:49,138 --> 00:14:52,391",Isn't it funny? I'm really kind of embarrassed.,क्या यह हास्यास्पद नहीं है? मैं सचमुच बहुत शर्मिंदा हूं।
"00:14:52,558 --> 00:14:56,645",Don't be. lt's nice. I get to see you every day now.,मत बनो. यह अच्छा है. अब मैं तुम्हें हर दिन देखता हूं।
"00:14:59,357 --> 00:15:01,692","I liked seeing you tonight, Peter.","आज रात तुम्हें देखकर मुझे अच्छा लगा, पीटर।"
"00:15:03,945 --> 00:15:05,696","Oh, boy, yeah.","ओह, लड़के, हाँ।"
"00:15:06,322 --> 00:15:09,282","""Oh, boy, yeah"" what?","""ओह, लड़के, हाँ"" क्या?"
"00:15:13,788 --> 00:15:15,455",Nothing.,कुछ नहीं।
"00:15:19,711 --> 00:15:21,670",Do you want to say something?,आप कुछ कहना चाहता हूँ?
"00:15:27,677 --> 00:15:29,261",I...,मैं...
"00:15:35,184 --> 00:15:36,476",...was...,...था...
"00:15:37,478 --> 00:15:40,731",...wondering if you're still in the Village.,...सोच रहा हूँ कि क्या आप अभी भी हैं गांव में।
"00:15:49,866 --> 00:15:51,908",You're such a mystery.,तुम बहुत रहस्यमय हो.
"00:16:02,170 --> 00:16:03,962",Peter.,पीटर.
"00:16:05,381 --> 00:16:06,882",What?,क्या?
"00:16:11,888 --> 00:16:13,597",Happy birthday.,जन्मदिन की शुभकामनाएँ।
"00:16:22,273 --> 00:16:24,441",I'm seeing somebody now.,मैं अब किसी को देख रहा हूं।
"00:16:25,068 --> 00:16:27,444","You mean, like a boyfriend?","तुम्हारा मतलब है, एक प्रेमी की तरह?"
"00:16:27,612 --> 00:16:30,280","Well, like I like him.","खैर, जैसे मैं उसे पसंद करता हूं।"
"00:16:38,081 --> 00:16:41,333","That's good, you know? Companionship....","यह अच्छा है, तुम्हें पता है? साहचर्य...."
"00:16:43,044 --> 00:16:44,711",May be more than that.,उससे भी ज्यादा हो सकता है.
"00:16:45,797 --> 00:16:47,380",More?,अधिक?
"00:16:48,091 --> 00:16:49,549",I don't know.,मुझें नहीं पता।
"00:16:50,885 --> 00:16:53,095",I'm coming to see your play tomorrow night.,मैं आपका नाटक देखने आ रहा हूं कल रात।
"00:16:56,140 --> 00:16:59,101",-You're coming? -l'll be there.,-आप आ रहे हो? -मैं वहाँ रहूँगा.
"00:17:00,103 --> 00:17:01,770",Don't disappoint me.,मुझे निराश मत करो.
"00:17:03,231 --> 00:17:04,898",I won't.,मैं नहीं करूंगा.
"00:17:19,080 --> 00:17:20,622",Rent.,किराया।
"00:17:24,460 --> 00:17:27,129","-Hi. -Hi. What's ""hi""?","-नमस्ते। -नमस्ते। ""हाय"" क्या है?"
"00:17:27,296 --> 00:17:28,797",Can l spend it?,क्या मैं इसे खर्च कर सकता हूँ?
"00:17:29,549 --> 00:17:31,466",I have a paycheck due this week and--,इस सप्ताह मेरा वेतन चेक देय है और--
"00:17:31,634 --> 00:17:34,970",-You're a month late again. Again. -l promise as soon as--,-आप फिर एक महीने लेट हो गए। दोबारा। -मैं जल्द से जल्द वादा करता हूँ--
"00:17:35,263 --> 00:17:38,640","If promises were crackers, my daughter would be fat.","अगर वादे पटाखे होते, मेरी बेटी मोटी होगी."
"00:17:39,225 --> 00:17:43,728","I'm really sorry, Mr. Ditkovitch. All I got is this 20 for the rest of the week.","मुझे सचमुच खेद है, मिस्टर डिटकोविच। सभी शेष सप्ताह के लिए मुझे यह 20 मिला है।"
"00:17:44,397 --> 00:17:45,939","""Sorry"" doesn't pay the rent.","""क्षमा करें"" किराया नहीं देता।"
"00:17:46,107 --> 00:17:50,986",And don't try to sneak past me. I have ears like a cat and eyes like a rodent.,और मेरे पास से चोरी छुपे निकलने की कोशिश मत करो. मेरे पास है कान बिल्ली जैसे और आँखें चूहे जैसी।
"00:17:52,655 --> 00:17:55,532","-Thanks, Mr. Ditkovitch. -Hi, Pete.","-धन्यवाद, श्रीमान डिटकोविच। -हाय, पीट."
"00:18:42,371 --> 00:18:43,955",Hello?,नमस्ते?
"00:18:51,339 --> 00:18:53,048",Rent?,किराया?
"00:18:58,137 --> 00:19:00,513",Doctor? Mr. Osborn's here.,चिकित्सक? श्री ओसबोर्न यहाँ हैं।
"00:19:00,681 --> 00:19:04,559","Nobel Prize, Otto. Nobel Prize. And we'll all be rich.","नोबेल पुरस्कार, ओटो। नोबेल पुरस्कार। और हम सब अमीर हो जायेंगे."
"00:19:04,894 --> 00:19:06,519","It's not about the prizes, Harry.","यह पुरस्कारों के बारे में नहीं है, हैरी।"
"00:19:06,687 --> 00:19:08,480",But you need money. You need Oscorp.,लेकिन आपको पैसे की जरूरत है. आपको ऑस्कॉर्प की आवश्यकता है।
"00:19:08,648 --> 00:19:09,940",Who do we have here?,हमारे यहाँ कौन है?
"00:19:10,107 --> 00:19:11,858",This is my good friend I called you about.,ये मेरा अच्छा दोस्त है मैंने तुम्हारे बारे में फोन किया था.
"00:19:12,026 --> 00:19:13,693",He got me through high-school science.,उसने मुझे पास कर लिया हाई स्कूल विज्ञान.
"00:19:13,861 --> 00:19:16,863","Peter Parker, sir. I'm writing a paper on you for--","पीटर पार्कर, सर. मैं आपके लिए एक पेपर लिख रहा हूं--"
"00:19:17,031 --> 00:19:18,448",I know what you're doing here...,मुझे पता है तुम यहाँ क्या कर रहे हो...
"00:19:18,616 --> 00:19:20,909",...but l don't have time to talk to students now.,...लेकिन मेरे पास समय नहीं है अब छात्रों से बात करने के लिए.
"00:19:21,869 --> 00:19:23,703","But Oscorp pays the bills, so....","लेकिन ऑस्कॉर्प बिलों का भुगतान करता है, इसलिए...."
"00:19:23,871 --> 00:19:26,206",That's why I have to take off. Board meeting.,इसलिए मुझे उतारना होगा.' बोर्ड बैठक।
"00:19:26,374 --> 00:19:29,751",But my job is done here. Got you two geniuses together.,लेकिन मेरा काम यहीं हो गया. आप दोनों प्रतिभाओं को एक साथ मिला।
"00:19:29,919 --> 00:19:34,506","Good luck tomorrow, Otto. Nobel Prize. We'll see you in Sweden!","कल के लिए शुभकामनाएँ, ओटो। नोबेल पुरस्कार। हम आपसे स्वीडन में मिलेंगे!"
"00:19:37,218 --> 00:19:38,718","Interesting fellow, your friend.","दिलचस्प साथी, आपका दोस्त।"
