en_dialogue,Timeline,hindi_dialogue
not to feel that you're on trial.,"00:02:26,114 --> 00:02:27,950",ऐसा महसूस न करना आप पर मुकदमा चल रहा है.
"Oh, funny, I didn't till you just said that.","00:02:27,983 --> 00:02:31,519","ओह, मज़ाकिया, मैंने नहीं किया जब तक आपने अभी ऐसा नहीं कहा।"
"- Really, Mr. Strauss... - It's Admiral.","00:02:31,552 --> 00:02:33,155","- सचमुच, श्रीमान स्ट्रॉस... - यह एडमिरल है।"
"Um, Admiral Strauss. This is a formality.","00:02:33,188 --> 00:02:36,124","उम्म, एडमिरल स्ट्रॉस। यह एक औपचारिकता है."
President Eisenhower has asked you to be in his cabinet.,"00:02:36,158 --> 00:02:38,659",राष्ट्रपति आइजनहावर ने पूछा है आप उनके मंत्रिमंडल में शामिल हों.
Senate really has no choice but to confirm you.,"00:02:38,693 --> 00:02:40,561",सीनेट के पास वास्तव में नहीं है विकल्प लेकिन आपकी पुष्टि करने के लिए।
And if they bring up Oppenheimer?,"00:02:40,594 --> 00:02:42,831",और अगर वे लाते हैं ओपेनहाइमर ऊपर?
"When they bring up Oppenheimer, you answer honestly.","00:02:42,864 --> 00:02:45,233","जब वे ओपेनहाइमर को सामने लाते हैं, आप ईमानदारी से जवाब दीजिए."
No senator can deny you did your duty.,"00:02:45,267 --> 00:02:47,668",कोई भी सीनेटर इनकार नहीं कर सकता तुमने अपना कर्तव्य निभाया.
It'll be uncomfortable. (chuckles awkwardly),"00:02:47,702 --> 00:02:49,838",यह असुविधाजनक होगा. (अजीब ढंग से हँसता है)
(clamoring),"00:02:53,108 --> 00:02:54,742",(चिल्लाते हुए)
ROGER ROBB: Why did you leave the United States?,"00:02:56,945 --> 00:02:59,647",रोजर रॉब: आपने ऐसा क्यों किया? संयुक्त राज्य अमेरिका छोड़ें?
"I, uh... I wanted to study the new physics.","00:03:01,749 --> 00:03:05,153","मैं, उह... मैं चाहता था नई भौतिकी का अध्ययन करें."
GRAY: Was there nowhere here?,"00:03:05,187 --> 00:03:06,721",ग्रे: क्या यहाँ कहीं नहीं था?
I thought Berkeley had the leading,"00:03:06,754 --> 00:03:08,756",मैंने सोचा बर्कले अग्रणी था
theoretical physics department.,"00:03:08,789 --> 00:03:10,624",सैद्धांतिक भौतिकी विभाग.
Yes. Once I built it.,"00:03:10,658 --> 00:03:13,228",हाँ। एक बार मैंने इसे बनाया था।
But first I had to go to Europe.,"00:03:13,261 --> 00:03:14,863",लेकिन पहले मुझे यूरोप जाना था.
I went to Cambridge to study under Patrick Blackett.,"00:03:14,896 --> 00:03:18,266",मैं पढ़ने के लिए कैम्ब्रिज गया पैट्रिक ब्लैकेट के अधीन।
Were you happier there than in America?,"00:03:18,300 --> 00:03:20,902",क्या आप अधिक खुश थे? अमेरिका की तुलना में वहाँ?
- Happier? - Yes.,"00:03:20,936 --> 00:03:23,071",- अधिक खुश? - हाँ।
(unsettling music playing),"00:03:23,105 --> 00:03:25,639",(अस्थिर संगीत बजना)
"No. No, I, uh...","00:03:27,042 --> 00:03:30,045","नहीं, नहीं, मैं, उह..."
"<i>I was homesick, um...</i>",,
emotionally immature...,"00:03:35,750 --> 00:03:37,718",भावनात्मक रूप से अपरिपक्व...
<i>troubled by visions of a hidden universe.</i>,,
(soft blast),"00:03:44,059 --> 00:03:45,526",(नरम विस्फोट)
(rumbling),"00:03:48,063 --> 00:03:50,832",(गड़गड़ाहट)
Useless in the lab.,"00:03:55,070 --> 00:03:56,905",प्रयोगशाला में बेकार.
(glass shattering),"00:03:56,938 --> 00:03:58,539",(कांच टूटना)
"Christ, Oppenheimer.","00:04:01,943 --> 00:04:04,046","क्राइस्ट, ओपेनहाइमर।"
Have you had any sleep?,"00:04:04,079 --> 00:04:06,148",क्या आपको नींद आयी?
Start again.,"00:04:07,949 --> 00:04:09,184",फिर से शुरू करें।
"I need to go to the lecture, sir.","00:04:09,217 --> 00:04:11,719","मुझे जाने की ज़रूरत है व्याख्यान, सर."
Why?,"00:04:11,752 --> 00:04:13,155",क्यों?
It's Niels Bohr.,"00:04:13,188 --> 00:04:15,090",यह नील्स बोह्र है।
"BLACKETT: Damn, completely forgot.","00:04:17,893 --> 00:04:19,593","ब्लैकेट: लानत है, पूरी तरह भूल गया।"
All right. (clears throat) Let's go.,"00:04:19,627 --> 00:04:21,830",ठीक है। (साफ़ कर देता है गला)चलो चलें।
"- Oh, no, not you, Oppenheimer. - (students laughing)","00:04:24,166 --> 00:04:26,077","- ओह, नहीं, आप नहीं, ओपेनहाइमर। - (छात्र हंसते हुए)"
You finish coating those plates.,"00:04:26,101 --> 00:04:27,211",आप उन प्लेटों पर कोटिंग करना समाप्त करें।
STUDENT 1: You see them?,"00:04:27,235 --> 00:04:29,071",छात्र 1: आप उन्हें देखते हैं?
(students laughing),"00:04:29,104 --> 00:04:30,906",(छात्र हंसते हुए)
STUDENT 2: Don't forget to clean up!,"00:04:34,642 --> 00:04:36,610",छात्र 2: मत करो सफ़ाई करना भूल जाओ!
(cabinet door closes),"00:05:02,670 --> 00:05:04,139",(कैबिनेट का दरवाज़ा बंद हो जाता है)
"BOHR: <i>Quantum physics is not a step forward,</i>",,
it is a new way to understand reality.,"00:05:11,745 --> 00:05:15,250",यह एक नया तरीका है वास्तविकता को समझें.
"Einstein's opened the door, now we are peering through,","00:05:15,283 --> 00:05:18,854","आइंस्टाइन ने दरवाज़ा खोला, अब हम झाँक रहे हैं,"
seeing a world inside our world.,"00:05:18,887 --> 00:05:21,789",हमारी दुनिया के अंदर एक दुनिया देखना।
A world of energy and paradox that not everyone can accept.,"00:05:21,823 --> 00:05:27,229",ऊर्जा और विरोधाभास की दुनिया जिसे हर कोई स्वीकार नहीं कर सकता.
(unsettling music continues),"00:05:28,864 --> 00:05:31,867",(अस्थिर संगीत जारी है)
- (music fades out) - (bell tolling),"00:05:57,791 --> 00:05:59,693",- (संगीत फीका पड़ जाता है) - (घंटी बजाना)
(indistinct chatter),"00:06:03,431 --> 00:06:05,200",(अस्पष्ट बातचीत)
"Yeah, definitely.","00:06:09,337 --> 00:06:10,771",हां निश्चित रूप से।
- (panting) - Are you all right?,"00:06:10,805 --> 00:06:12,174",- (हांफते हुए) - तुम ठीक हो?
"Niels, meet J. Robert Oppenheimer.","00:06:13,408 --> 00:06:15,243","नील्स, जे से मिलें। रॉबर्ट ओपेनहाइमर."
"BOHR: What's the ""J"" stand for?","00:06:15,277 --> 00:06:16,777","बोह्र: क्या है ""जे"" का मतलब क्या है?"
"Nothing, apparently.","00:06:16,811 --> 00:06:18,779",जाहिरा तौर पर कुछ भी नहीं.
You were at my lecture.,"00:06:18,813 --> 00:06:19,915",आप मेरे व्याख्यान में थे.
You asked the only good question.,"00:06:19,948 --> 00:06:21,349",आपने ही पूछा अच्छा प्रश्न।
BLACKETT: No one's denying his insight.,"00:06:21,383 --> 00:06:23,118",ब्लैकेट: किसी का नहीं उसकी अंतर्दृष्टि को नकारना।
It's his laboratory work that leaves a little to be desired.,"00:06:23,151 --> 00:06:25,229",यह उनकी प्रयोगशाला का काम है वांछित होने के लिए थोड़ा सा छोड़ देता है।
(swallows) I heard you give the same lecture...,"00:06:25,253 --> 00:06:27,093",(निगल) मैंने तुम्हें सुना वही व्याख्यान दो...
"At Harvard, yes, and you asked the same question.","00:06:27,122 --> 00:06:30,325","हार्वर्ड में, हाँ, और आप वही प्रश्न पूछा."
Why ask again?,"00:06:30,358 --> 00:06:31,459",दोबारा क्यों पूछें?
Hadn't liked your answer.,"00:06:31,493 --> 00:06:33,094",आपका उत्तर पसंद नहीं आया.
Did you like it better yesterday?,"00:06:34,462 --> 00:06:36,198",क्या आपको यह पसंद आया कल बेहतर था?
A lot.,"00:06:36,231 --> 00:06:37,499",बहुत।
You can lift the stone without being ready,"00:06:37,532 --> 00:06:39,434",आप पत्थर उठा सकते हैं बिना तैयार हुए
for the snake that's revealed.,"00:06:39,467 --> 00:06:41,836",उस साँप के लिए जो प्रकट हुआ है।
Now it seems you're ready.,"00:06:41,870 --> 00:06:44,005",अब ऐसा लगता है कि आप तैयार हैं.
- But you don't enjoy the lab? - (continues panting),"00:06:44,039 --> 00:06:46,341",- लेकिन आपको लैब में मजा नहीं आता? - (हांफना जारी रखता है)
So get out of Cambridge with its beakers and potions.,"00:06:46,374 --> 00:06:49,244",इसलिए कैम्ब्रिज से बाहर निकलें इसके बीकर और औषधि.
Go somewhere they let you think.,"00:06:49,277 --> 00:06:52,247",कहीं जाओ जहां वे तुम्हें सोचने दें।
(whispers): Where?,"00:06:53,248 --> 00:06:54,883",(फुसफुसाते हुए): कहाँ?
Göttingen.,"00:06:55,517 --> 00:06:56,518",गौटिंगेन.
- Born? - Born.,"00:06:56,551 --> 00:06:58,486",- जन्म? - जन्म।
"Get to Germany, study under Max Born.","00:06:58,520 --> 00:07:00,488","जर्मनी जाओ, मैक्स बॉर्न के अधीन अध्ययन।"
Learn the ways of theory.,"00:07:00,522 --> 00:07:03,158",सिद्धांत के तरीके सीखें.
I'll send word.,"00:07:03,191 --> 00:07:04,226",मैं संदेश भेजूंगा.
(gasps),"00:07:04,259 --> 00:07:05,827",(हांफते हुए)
- Wormhole. (exhales) - (apple clatters in trashcan),"00:07:05,860 --> 00:07:07,963",- वर्महोल. (साँस छोड़ते हुए) - (सेब कूड़ेदान में खड़खड़ाता है)
How's your mathematics?,"00:07:07,996 --> 00:07:09,364",आपका गणित कैसा है?
Not good enough for the physicist he wants to be.,"00:07:09,397 --> 00:07:11,366",के लिए पर्याप्त अच्छा नहीं है वह भौतिक विज्ञानी बनना चाहता है।
Algebra's like sheet music.,"00:07:11,399 --> 00:07:13,969",बीजगणित शीट संगीत की तरह है।
"The important thing isn't ""Can you read music?""","00:07:14,002 --> 00:07:16,471","महत्वपूर्ण बात यह नहीं है ""यदि आप संगीत पढ़ सकते हैं?"""
"It's ""Can you hear it?""","00:07:16,504 --> 00:07:17,505","यह है ""क्या आप इसे सुन सकते हैं?"""
"Can you hear the music, Robert?","00:07:17,539 --> 00:07:20,842","क्या आप संगीत सुन सकते हैं, रॉबर्ट?"
"Yes, I can.","00:07:21,810 --> 00:07:23,378",हाँ मैं कर सकता हूं।
(classical music playing),"00:07:23,411 --> 00:07:25,947",(शास्त्रीय संगीत बज रहा है)
- (rumbling) - (metallic clinking),"00:07:28,116 --> 00:07:30,784",- (बड़बड़ाते हुए) - (धात्विक खनक)
(intense classical music continues),"00:08:09,958 --> 00:08:13,061",(गहन शास्त्रीय संगीत जारी है)
(music tempo increasing),"00:08:41,556 --> 00:08:43,358",(संगीत की गति बढ़ रही है)
(music ends),"00:08:58,239 --> 00:08:59,074",(संगीत समाप्त होता है)
The senator from Wyoming.,"00:08:59,107 --> 00:09:00,608",व्योमिंग से सीनेटर.
"Admiral Strauss, I'm interested in your relationship","00:09:01,576 --> 00:09:04,045","एडमिरल स्ट्रॉस, मैं हूं आपके रिश्ते में दिलचस्पी है"
with Dr. J. Robert Oppenheimer.,"00:09:04,079 --> 00:09:06,948",डॉ. जे. रॉबर्ट ओपेनहाइमर के साथ।
You met him in 1947?,"00:09:06,981 --> 00:09:08,583",आप उनसे 1947 में मिले थे?
Correct.,"00:09:08,616 --> 00:09:09,584",सही।
You were commissioner,"00:09:09,617 --> 00:09:11,386",आप कमिश्नर थे
of the Atomic Energy Commission?,"00:09:11,419 --> 00:09:12,987",परमाणु ऊर्जा आयोग का?
"I was, but I-I actually met Robert in my capacity","00:09:13,021 --> 00:09:16,958","मैं था, लेकिन वास्तव में मैं-मैं मैं अपनी हैसियत से रॉबर्ट से मिला"
as board member of the Institute for Advanced Study,"00:09:16,991 --> 00:09:19,661",के बोर्ड सदस्य के रूप में उन्नत अध्ययन संस्थान
at Princeton because,"00:09:19,694 --> 00:09:21,496",प्रिंसटन में क्योंकि
"after the war, he was world-renowned","00:09:21,529 --> 00:09:24,165","युद्ध के बाद, वह विश्वविख्यात था"
"as the great man of physics, and I was determined","00:09:24,199 --> 00:09:26,601","भौतिकी के महान व्यक्ति के रूप में, और मैं दृढ़ था"
to get him to run the Institute.,"00:09:26,634 --> 00:09:29,337",उसे संस्थान चलाने के लिए प्रेरित करना।
(birds chirping),"00:09:29,371 --> 00:09:31,473",(चहकते पक्षी)
(soft music playing),"00:09:31,506 --> 00:09:34,175",(हल्का संगीत बज रहा है)
Dr. Oppenheimer. An honor.,"00:09:38,513 --> 00:09:41,583",डॉ. ओपेनहाइमर। सम्मान।
Mr. Strauss.,"00:09:41,616 --> 00:09:42,951",श्री स्ट्रॉस.
"It's pronounced ""straws.""","00:09:42,984 --> 00:09:44,285","इसका उच्चारण ""तिनके"" होता है।"
"ROBERT: Oh-ppenheimer, Oppenheimer.","00:09:45,186 --> 00:09:46,654","रॉबर्ट: ओह-पेनहाइमर, ओपेनहाइमर."
"Whatever way you say it, they know I'm Jewish.","00:09:46,688 --> 00:09:48,556","चाहे आप इसे किसी भी तरह से कहें, वे जानते हैं कि मैं यहूदी हूं।"
(Strauss chuckles),"00:09:48,590 --> 00:09:50,058",(स्ट्रॉस हँसते हैं)
I'm president of Temple Emanu-El in Manhattan.,"00:09:50,091 --> 00:09:52,694",मैं मंदिर का अध्यक्ष हूं मैनहट्टन में इमानु-एल।
"""Straws"" is just the Southern pronunciation.","00:09:52,727 --> 00:09:54,996","""तिनके"" बस है दक्षिणी उच्चारण."
"- Ah. - Anyway,","00:09:55,029 --> 00:09:56,064","- आह. - फिर भी,"
welcome to the Institute.,"00:09:56,097 --> 00:09:57,532",संस्थान में आपका स्वागत है.
I think you could be very happy here.,"00:09:57,565 --> 00:09:59,200",मुझे लगता है आप कर सकते हैं यहाँ बहुत खुश रहो.
"Yes, well, you'll love the commute.","00:09:59,234 --> 00:10:01,169","हाँ, ठीक है, आप करेंगे आवागमन पसंद है."
The position comes with that house,"00:10:01,202 --> 00:10:02,537",पद आता है उस घर के साथ
for you and your wife,"00:10:02,570 --> 00:10:04,038",आपके और आपकी पत्नी के लिए
"and your, is it two children?","00:10:04,072 --> 00:10:06,241","और आपके, क्या ये दो बच्चे हैं?"
"Yes, two.","00:10:06,274 --> 00:10:07,075","हाँ, दो."
I'm a great admirer of your work.,"00:10:07,108 --> 00:10:10,044",मैं बहुत बड़ा प्रशंसक हूं आपके काम का.
"And you're a physicist by training, Mr. Strauss?","00:10:10,078 --> 00:10:12,280","और आप एक भौतिक विज्ञानी हैं प्रशिक्षण से, श्रीमान स्ट्रॉस?"
"I'm sorry, uh, common room 4:00 tea.","00:10:12,313 --> 00:10:14,382","मुझे खेद है, उह, कॉमन रूम 4:00 चाय।"
"No, I'm not trained in physics or anything else.","00:10:14,416 --> 00:10:17,185","नहीं, मैं इसमें प्रशिक्षित नहीं हूं भौतिकी या कुछ और।"
- I'm a self-made man. - Ah.,"00:10:17,218 --> 00:10:19,053",- मैं एक स्व-निर्मित व्यक्ति हूं। - आह.
- I can relate to that. - Really?,"00:10:19,087 --> 00:10:21,089",- मेरे द्वारा वह बात समझी जा सकती है। - वास्तव में?
"Yes, my father was one.","00:10:21,122 --> 00:10:23,458","हाँ, मेरे पिता एक थे।"
And this would be your office.,"00:10:23,491 --> 00:10:27,061",और यह आपका कार्यालय होगा.
I'm told he's there most afternoons.,"00:10:36,237 --> 00:10:38,173",मुझे बताया गया है कि वह वहाँ है अधिकांश दोपहर.
"You know, I've always wondered","00:10:38,206 --> 00:10:40,308","तुम्हें पता है, मुझे हमेशा आश्चर्य होता है"
why you didn't involve him in the Manhattan Project.,"00:10:40,341 --> 00:10:43,945",आपने उसे शामिल क्यों नहीं किया? मैनहट्टन परियोजना में.
Greatest scientific mind of our time.,"00:10:44,712 --> 00:10:48,216",महानतम वैज्ञानिक हमारे समय का मन.
Of his time.,"00:10:48,249 --> 00:10:50,118",अपने समय का.
Einstein published his Theory of Relativity,"00:10:50,151 --> 00:10:52,187",आइंस्टीन ने उसका प्रकाशन किया सापेक्षता के सिद्धांत
more than 40 years ago now.,"00:10:52,220 --> 00:10:55,156",अब से 40 वर्ष से अधिक पहले।
But never embraced the quantum world it revealed.,"00:10:56,224 --> 00:10:58,660",लेकिन कभी गले नहीं लगाया इससे क्वांटम दुनिया का पता चला।
"""God doesn't play dice.""","00:10:58,693 --> 00:11:00,228","""भगवान पासा नहीं खेलते।"""
Precisely.,"00:11:00,261 --> 00:11:02,230",एकदम सही।
"You never thought of studying physics formally, Mr. Strauss?","00:11:02,263 --> 00:11:05,066","आपने कभी पढ़ाई के बारे में नहीं सोचा भौतिकी औपचारिक रूप से, श्री स्ट्रॉस?"
"Well, I had offers, but I chose to sell shoes.","00:11:05,099 --> 00:11:07,469","ख़ैर, मेरे पास प्रस्ताव थे, लेकिन मैंने जूते बेचना चुना."
Lewis Strauss was once a lowly shoe salesman.,"00:11:07,502 --> 00:11:11,005",लुईस स्ट्रॉस एक बार थे एक नीच जूता विक्रेता.
"No, just a shoe salesman.","00:11:11,773 --> 00:11:13,675","नहीं, सिर्फ एक जूता विक्रेता।"
Huh.,"00:11:13,708 --> 00:11:15,977",हुंह.
- I'd love to introduce you. - No need.,"00:11:17,245 --> 00:11:20,014",- मुझे आपका परिचय कराना अच्छा लगेगा। - कोई ज़रुरत नहीं है।
I have known him for years.,"00:11:21,115 --> 00:11:22,584",मैं उन्हें वर्षों से जानता हूं.
(soft music continues),"00:11:29,157 --> 00:11:31,559",(मधुर संगीत जारी है)
Albert.,"00:11:43,806 --> 00:11:45,507",अल्बर्ट.
What was that? What did you say to him?,"00:11:50,111 --> 00:11:54,315",वह क्या था? क्या क्या तुमने उससे कहा?
"Oh, he's fine.","00:11:56,451 --> 00:11:57,485","ओह, वह ठीक है."
"Mr. Strauss, there are things in my past","00:11:59,354 --> 00:12:02,657","श्री स्ट्रॉस, वहाँ ये मेरे अतीत की बातें हैं"
you ought to be aware of.,"00:12:02,690 --> 00:12:04,192",आपको जागरूक होना चाहिए.
"Well, as chairman of the AEC,","00:12:04,225 --> 00:12:06,127","खैर, एईसी के अध्यक्ष के रूप में,"
I have access to your security file.,"00:12:06,160 --> 00:12:07,629",मेरी पहुंच है आपकी सुरक्षा फ़ाइल.
I've read it.,"00:12:07,662 --> 00:12:08,663",मैंने इसे पढ़ा है.
- You're not worried? - No.,"00:12:08,696 --> 00:12:10,265",- तुम्हें चिंता नहीं है? - नहीं।
Why would I be worried after everything,"00:12:10,298 --> 00:12:11,675",मुझे क्यों चिंता होगी सब कुछ के बाद
you've done for your country?,"00:12:11,699 --> 00:12:13,167",आपने अपने देश के लिए क्या किया है?
"Well, times change, Mr. Strauss.","00:12:13,201 --> 00:12:14,669","ख़ैर, समय बदलता है, मिस्टर स्ट्रॉस।"
"Well, the purpose of this institute","00:12:14,702 --> 00:12:16,538","खैर, उद्देश्य इस संस्थान के"
is to provide a haven for independent minds.,"00:12:16,571 --> 00:12:19,240",एक आश्रय प्रदान करना है स्वतंत्र दिमाग के लिए.
That's you. You are the man for the job.,"00:12:20,174 --> 00:12:23,177",यह आप हैं। तुम हो नौकरी के लिए आदमी.
"Well, then I'll consider it.","00:12:23,211 --> 00:12:25,814","अच्छा, फिर मैं इस पर विचार करूंगा।"
I'll see you at the AEC meeting tomorrow.,"00:12:25,848 --> 00:12:28,116",मैं तुम्हें यहां मिलूंगा एईसी की बैठक कल.
(scoffs),"00:12:31,419 --> 00:12:32,487",(उपहास)
This is one of the most prestigious,"00:12:32,520 --> 00:12:34,088",यह इनमें से एक है सबसे प्रतिष्ठित
appointments in the country.,"00:12:34,122 --> 00:12:35,858",देश में नियुक्तियाँ.
"Yes, with a great commute.","00:12:35,891 --> 00:12:38,092","हाँ, शानदार आवागमन के साथ।"
That's why I'm considering it.,"00:12:38,126 --> 00:12:40,428",इसलिए मैं इस पर विचार कर रहा हूं.
"SENATOR McGEE: <i>So, Dr. Oppenheimer brought</i>",,
<i>your attention to his past associations</i>,,
<i>before you appointed him?</i>,,
Yes.,"00:12:45,868 --> 00:12:47,302",हाँ।
And it didn't concern you?,"00:12:47,335 --> 00:12:49,170",और इसका आपको कोई सरोकार नहीं था?
"Just then, I was entirely consumed","00:12:49,203 --> 00:12:50,738","तभी, मैं था पूरी तरह से भस्म"
with what he must have said to Einstein to sour him on me.,"00:12:50,772 --> 00:12:54,542",उसने जो कहा होगा उससे आइंस्टाइन को मुझ पर गुस्सा दिलाने के लिए।
(laughter),"00:12:54,576 --> 00:12:57,078",(हँसी)
But later?,"00:12:58,146 --> 00:12:59,347",लेकिन बाद में?
"Well, we all know what happened later.","00:12:59,380 --> 00:13:01,316","ख़ैर, हम सब जानते हैं बाद में क्या हुआ."
"ROBB: Doctor, your, uh... your time in Europe,","00:13:01,349 --> 00:13:03,718","रॉब: डॉक्टर, आपका, उह... यूरोप में आपका समय,"
you seemed to meet with a wide range,"00:13:03,751 --> 00:13:05,320",तुम मिलते लग रहे थे एक विस्तृत श्रृंखला के साथ
of other countries' physicists.,"00:13:05,353 --> 00:13:06,788",अन्य देशों के भौतिकविदों की.
"Yes, that's right.","00:13:06,822 --> 00:13:07,823",हाँ यह सही है।
Any Russians?,"00:13:07,856 --> 00:13:10,124",कोई रूसी?
None that spring to mind.,"00:13:11,192 --> 00:13:12,627",कोई भी ऐसा नहीं जो दिमाग में आए।
If you'll just allow me to continue with my statement...,"00:13:12,660 --> 00:13:15,563",यदि आप मुझे अनुमति दें तो मेरा कथन जारी रखें...
"Mr. Robb, you'll have ample opportunity to cross-examine.","00:13:15,597 --> 00:13:18,566","मिस्टर रॉब, आपके पास पर्याप्त होगा जिरह करने का अवसर."
"ROBERT: After Göttingen, I moved on to Leiden in Holland","00:13:20,803 --> 00:13:23,738","रॉबर्ट: गौटिंगेन के बाद, मैं हॉलैंड में लीडेन चले गए"
<i>where I first met Isidor Rabi.</i>,,
(clears throat) Excuse me.,"00:13:26,842 --> 00:13:29,344",(गला साफ करते हुए) क्षमा करें।
(grunts),"00:13:29,377 --> 00:13:30,478",(ग्रसित होकर)
(sighs),"00:13:32,380 --> 00:13:33,247",(आह)
"A Yank, lecturing on the new physics?","00:13:33,281 --> 00:13:35,617","एक यांक, व्याख्यान दे रहा है नई भौतिकी पर?"
This I have to hear.,"00:13:35,650 --> 00:13:36,718",ये मुझे सुनना है.
I'm an American myself.,"00:13:36,751 --> 00:13:38,786",मैं खुद एक अमेरिकी हूं.
How surprising.,"00:13:38,821 --> 00:13:40,321",कितना आश्चर्य है.
Um...,"00:13:40,355 --> 00:13:41,422",उम्म...
Let me know if you need any help with the English.,"00:13:41,456 --> 00:13:43,725",यदि आपको आवश्यकता हो तो मुझे बताएं अंग्रेजी में कोई मदद.
(scattered laughter),"00:13:45,259 --> 00:13:48,162",(बिखरी हुई हँसी)
(speaking Dutch),"00:13:50,732 --> 00:13:53,401",(डच भाषी)
"Wait, what's he saying?","00:13:57,705 --> 00:13:59,674","रुको, वह क्या कह रहा है?"
(door opens),"00:14:02,777 --> 00:14:05,279",(दरवाजा खुलता है)
(Rabi grunts),"00:14:07,850 --> 00:14:09,283",(रबी गुर्राता है)
"No, thank you.","00:14:10,218 --> 00:14:11,252",नहीं धन्यवाद।
It's a long way to Zurich.,"00:14:11,285 --> 00:14:13,254",यह ज्यूरिख तक एक लंबा रास्ता है।
"You get any skinnier, we're gonna lose you","00:14:13,287 --> 00:14:14,927","आपको कोई भी पतला मिलता है, हम तुम्हें खो देंगे"
between the seat cushions.,"00:14:14,957 --> 00:14:16,791",सीट कुशन के बीच.
I'm Rabi.,"00:14:16,825 --> 00:14:17,860",मैं रबी हूं.
Oppenheimer.,"00:14:17,893 --> 00:14:19,260",ओपेनहाइमर.
I caught your lecture on molecules.,"00:14:19,293 --> 00:14:21,329",मैंने तुम्हारा पकड़ा अणुओं पर व्याख्यान.
