en_dialogue,Timeline,hindi_dialogue
This better be good.,"00:11:45,474 --> 00:11:47,430",यह बेहतर होगा।
You gotta speak up. She's kinda old.,"00:11:47,514 --> 00:11:50,472",आपको बात करनी होगी। वह थोड़ी पुरानी है।
Great.,"00:11:50,554 --> 00:11:52,306",महान।
"This is Brock Lovett. How can I help you, Mrs...?","00:11:52,394 --> 00:11:55,466","यह ब्रॉक लवेट है। मैं आपकी मदद कैसे कर सकता हूं, श्रीमती ...?"
Calvert. Rose Calvert.,"00:11:55,554 --> 00:11:57,670",Calvert। गुलाब Calvert।
Mrs Calvert?,"00:11:57,754 --> 00:11:59,551",श्रीमान Calvert?
"I was just wondering if you'd found the ""Heart of the Ocean"", Mr Lovett.","00:11:59,634 --> 00:12:04,788","मैं बस सोच रहा था कि क्या आपको मिलेगा ""हार्ट ऑफ़ द ओशन"", श्री लेटेट।"
I said you wanted to take the call.,"00:12:06,474 --> 00:12:08,704",मैंने कहा कि आप कॉल लेना चाहते थे।
"All right. You have my attention, Rose.","00:12:10,754 --> 00:12:13,188","ठीक है। आपका ध्यान है, गुलाब।"
Can you tell us who the woman in the picture is?,"00:12:13,274 --> 00:12:16,186",क्या आप हमें बता सकते हैं कि महिला कौन है तस्वीर में है?
"Oh, yes.","00:12:16,274 --> 00:12:17,787",अरे हाँ।
The woman in the picture is me.,"00:12:17,874 --> 00:12:20,468",तस्वीर में महिला मुझे है।
She's a goddamned liar! Some nutcase seeking money or publicity!,"00:12:35,434 --> 00:12:39,950",वह एक देवदार झूठा है! कुछ नटकेस पैसे या प्रचार की तलाश!
"God only knows why! Like that Russian babe, Anaesthesia!","00:12:40,034 --> 00:12:43,743","भगवान केवल जानता है क्यों! उस रूसी बेब की तरह, संज्ञाहरण!"
They're inbound!,"00:12:43,834 --> 00:12:45,825",वे अंदरूनी हैं!
Rose DeWitt Bukater died on Titanic when she was 17.,"00:12:50,274 --> 00:12:53,869",गुलाब डेविट बुकेटर टाइटैनिक पर निधन हो गया जब वह 17 वर्ष की थी।
Right.,"00:12:53,954 --> 00:12:55,228",सही।
"If she'd lived, she'd be over 100 by now.","00:12:55,314 --> 00:12:57,782","अगर वह रहती, तो वह अब तक 100 से अधिक होगी।"
101 next month.,"00:12:57,874 --> 00:13:00,183",101 अगले महीने।
So she's a very old goddamned liar!,"00:13:00,274 --> 00:13:03,186",तो वह एक बहुत पुरानी देवता झूठा है!
I've done the background on this woman...,"00:13:03,274 --> 00:13:06,107",मैंने पृष्ठभूमि की है इस महिला पर ...
..back to the '20s when she was working as an actress.,"00:13:06,194 --> 00:13:09,630",.. 20 के लिए वापस जब वह एक अभिनेत्री के रूप में काम कर रही थी।
An actress!,"00:13:09,714 --> 00:13:11,147",एक अभिनेत्री!
"There's your first clue, Sherlock! Her name was Rose Dawson back then.","00:13:11,234 --> 00:13:15,193","आपका पहला सुराग है, शेरलॉक! उसके नाम पर रोज़ डॉसन था।"
She marries a guy named Calvert. They move to Cedar Rapids and have kids.,"00:13:15,274 --> 00:13:20,507",वह कैल्वर्ट नाम के एक लड़के से शादी करती है। वे सीडर रैपिड्स में जाते हैं और बच्चे होते हैं।
"Now Calvert's dead, and Cedar Rapids, too.","00:13:20,594 --> 00:13:23,506","अब Calvert के मृत, और सीडर रैपिड्स भी।"
Everybody who knows about the diamond...,"00:13:23,594 --> 00:13:26,233",हर कोई जो जानता है हीरा के बारे में ...
"..is supposed to be dead or on this boat, but she knows.","00:13:26,314 --> 00:13:28,225","..is मृत होना चाहिए या इस नाव पर, लेकिन वह जानता है।"
"Doesn't exactly travel light, does she?","00:13:40,674 --> 00:13:43,552","बिल्कुल प्रकाश यात्रा नहीं करता है, क्या वो?"
"Mrs Calvert, I'm Brock Lovett.","00:13:45,474 --> 00:13:47,544","श्रीमती Calvert, मैं ब्रॉक Lovett हूँ।"
Welcome to the Keldysh.,"00:13:47,634 --> 00:13:49,625",Keldysh में आपका स्वागत है।
Let's get her inside.,"00:13:51,154 --> 00:13:53,031",चलो उसे अंदर ले आओ।
"Hi, Ms Calvert.","00:13:53,074 --> 00:13:54,393","हाय, एमएस Calvert।"
- Hi. - Welcome to the Keldysh.,"00:13:54,474 --> 00:13:56,669",- नमस्ते। - Keldysh में आपका स्वागत है।
Man: Hey.,"00:13:58,514 --> 00:13:59,993",पुरुष: अरे।
Hey!,"00:14:00,074 --> 00:14:01,666",अरे!
(Knocking),"00:14:06,074 --> 00:14:07,666",(हटाना)
Yes?,"00:14:07,714 --> 00:14:08,703",हाँ?
- Are your staterooms all right? - Very nice.,"00:14:08,754 --> 00:14:11,587",- क्या आपका स्टैटरूम ठीक है? - बहुत अच्छा।
Have you met my granddaughter Lizzy?,"00:14:11,674 --> 00:14:14,632",क्या तुमने मेरी पोती लिज़ी से मुलाकात की है?
She takes care of me.,"00:14:14,714 --> 00:14:16,670",वह मेरा ख्याल रखती है।
We met just a few minutes ago.,"00:14:16,754 --> 00:14:19,268",हम बस कुछ ही मिनट पहले मिले थे।
"Remember, Nana? Up on deck?","00:14:19,354 --> 00:14:21,788","याद है, नाना? डेक पर ऊपर?"
"Rose: There, that's nice.","00:14:21,874 --> 00:14:24,308","गुलाब: वहां, यह अच्छा है।"
Have to have my pictures when I travel.,"00:14:24,394 --> 00:14:26,988",जब मैं यात्रा करता हूं तो मेरी तस्वीरें लेनी पड़ती है।
Is there anything you'd like?,"00:14:27,074 --> 00:14:29,542",क्या आप कुछ भी चाहते हैं?
Yes.,"00:14:31,154 --> 00:14:32,587",हाँ।
I would like to see my drawing.,"00:14:32,674 --> 00:14:35,188",मैं अपना चित्र देखना चाहता हूं।
"Brock: Louis XVI wore a fabulous stone, the Blue Diamond of the Crown,...","00:14:47,354 --> 00:14:52,587","ब्रॉक: लुई XVI एक शानदार पत्थर पहना था, क्राउन का ब्लू डायमंड, ..."
..which disappeared in 1792.,"00:14:52,674 --> 00:14:55,586",.. जो 17 9 2 में गायब हो गया।
"About that time old Louis lost everything, from the neck up.","00:14:55,674 --> 00:14:59,303",उस समय के बारे में पुरानी लुई गर्दन से सब कुछ खो दिया।
"The theory goes that the Crown Diamond was chopped, too.","00:14:59,394 --> 00:15:03,831",सिद्धांत यह है कि क्राउन डायमंड भी कटा हुआ था।
"Recut into a heart shape that became known as ""The Heart of the Ocean"".","00:15:03,914 --> 00:15:07,987","एक दिल के आकार में शुरू हुआ जो बन गया ""महासागर का दिल"" के रूप में जाना जाता है।"
Today it'd be worth more than the Hope Diamond.,"00:15:08,074 --> 00:15:10,349",आज यह और अधिक मूल्यवान होगा होप डायमंड की तुलना में।
"It was a dreadful, heavy thing.","00:15:10,434 --> 00:15:12,743","यह एक भयानक, भारी बात थी।"
I only wore it this once.,"00:15:12,834 --> 00:15:15,587",मैंने केवल इसे एक बार पहना था।
"You actually think this is you, Nana?","00:15:15,674 --> 00:15:17,869","आप वास्तव में सोचते हैं कि यह आप हैं, नाना?"
"It is me, dear.","00:15:17,954 --> 00:15:19,831","यह मैं हूँ, प्रिय।"
Wasn't I a dish?,"00:15:19,914 --> 00:15:21,905",क्या मैं एक पकवान नहीं था?
I tracked it down through insurance records.,"00:15:23,274 --> 00:15:25,993",मैंने इसे ट्रैक किया बीमा रिकॉर्ड के माध्यम से।
An old claim that was settled under terms of absolute secrecy.,"00:15:26,074 --> 00:15:29,703",एक पुराना दावा जो बस गया था पूर्ण गोपनीयता के तहत।
"Can you tell me who the claimant was, Rose?","00:15:29,794 --> 00:15:34,026","क्या तुम मुझे बता सकते हो दावेदार कौन था, गुलाब?"
I imagine someone named Hockley.,"00:15:34,114 --> 00:15:36,230",मुझे लगता है कि हॉकी नाम का कोई व्यक्ति है।
"Nathan Hockley, that's right.","00:15:36,314 --> 00:15:38,544","नाथन होकी, यह सही है।"
Pittsburgh steel tycoon.,"00:15:38,634 --> 00:15:40,590",पिट्सबर्ग स्टील टाइकून।
The claim was for a necklace his son Caledon bought his fiancée - you -,"00:15:40,674 --> 00:15:45,464",दावा उनके बेटे के हार के लिए था कैलेडॉन ने अपनी मंगेतर खरीदी - आप -
..a week before he sailed on Titanic.,"00:15:45,554 --> 00:15:48,387",.. टाइटैनिक पर जाने से पहले एक हफ्ते पहले।
"It was filed right after the sinking,...","00:15:48,474 --> 00:15:51,227","यह डूबने के ठीक बाद दायर किया गया था, ..."
..so the diamond had to have gone down with the ship.,"00:15:51,314 --> 00:15:55,466",.. तो हीरा होना था जहाज के साथ नीचे चला गया।
You see the date?,"00:15:56,914 --> 00:15:58,905",आप तारीख देखते हैं?
"""April 14, 1912.""","00:15:59,554 --> 00:16:01,510","""14 अप्रैल, 1 9 12।"""
"If your grandmother is who she says she is,...","00:16:01,594 --> 00:16:03,983","अगर आपकी दादी वह कहती है कि वह कौन है, ..."
..she was wearing the diamond the day the Titanic sank.,"00:16:04,074 --> 00:16:06,952",.. वह हीरा पहन रही थी उस दिन टाइटैनिक डूब गया।
And that makes you my new best friend.,"00:16:07,034 --> 00:16:10,390",और यह आपको मेरा नया सबसे अच्छा दोस्त बनाता है।
These are some of the things we recovered from your stateroom.,"00:16:10,474 --> 00:16:14,911",ये कुछ चीजें हैं हम आपके stateroom से बरामद किया।
This was mine!,"00:16:16,834 --> 00:16:18,825",यह मेरा था!
How extraordinary!,"00:16:19,594 --> 00:16:21,550",कितना असाधारण!
And it looks the same as it did the last time I saw it.,"00:16:21,634 --> 00:16:25,627",और ऐसा लगता है जैसा उसने किया था आखिरी बार मैंने इसे देखा।
The reflection has changed a bit.,"00:16:30,994 --> 00:16:33,383",प्रतिबिंब थोड़ा बदल गया है।
Are you ready to go back to Titanic?,"00:16:49,434 --> 00:16:51,902",क्या आप टाइटैनिक वापस जाने के लिए तैयार हैं?
"Okay, here we go. She hits the berg on the starboard side, right?","00:16:55,234 --> 00:16:59,512","ठीक है, हम यहाँ जाते हैं। वह बर्ग हिट करती है स्टारबोर्ड की तरफ, है ना?"
"She bumps along, punching holes along the side, below the waterline.","00:16:59,594 --> 00:17:04,304","वह छेद छिद्रण के साथ टक्कर लगी है तरफ के नीचे, पानी के नीचे।"
Then the forward compartments start to flood.,"00:17:04,394 --> 00:17:07,989",फिर आगे के डिब्बे बाढ़ शुरू करो।
"As the water rises, it spills over the watertight bulkheads...","00:17:08,074 --> 00:17:11,191","जैसे ही पानी उगता है, यह फैलता है वाटरटाइट थोकहेड ..."
"..which don't go any higher than ""E"" deck.","00:17:11,274 --> 00:17:13,868",".. जो किसी भी उच्च नहीं जाते हैं ""ई"" डेक से।"
"So now as the bow goes down, the stern rises up,...","00:17:13,954 --> 00:17:17,663","तो अब धनुष नीचे चला जाता है, कठोर उगता है, ..."
"..slow at first, then faster and faster,...","00:17:17,754 --> 00:17:20,109",".. पहले धीमा, फिर तेज़ और तेज़, ..."
..until she's got her whole ass up in the air. A big ass.,"00:17:20,194 --> 00:17:23,630",..जब तक वह उसे पूरा गधा मिला है ऊपर हवा में। एक बड़ा गधा
"We're talking 20,000, 30,000 tons, okay?","00:17:23,714 --> 00:17:27,229","हम 20,000, 30,000 टन बात कर रहे हैं, ठीक है?"
"The hull's not designed to deal with that pressure, so what happens?","00:17:27,314 --> 00:17:31,387","हल करने के लिए डिजाइन नहीं किया गया है उस दबाव के साथ, तो क्या होता है?"
"She splits, right down to the keel, and the stern falls back level.","00:17:31,474 --> 00:17:36,707","वह विभाजित होती है, ठीक नीचे कील तक, और कठोर वापस स्तर गिर जाता है।"
As the bow sinks it pulls the stern vertical...,"00:17:36,794 --> 00:17:39,547",धनुष सिंक के रूप में यह कठोर लंबवत खींचता है ...
..and then finally detaches.,"00:17:39,634 --> 00:17:41,864",..और अंततः अलग हो जाता है।
"The stern section bobs there like a cork for a few minutes,...","00:17:41,954 --> 00:17:46,391","वहां कठोर खंड बोब्स कुछ मिनट के लिए एक कॉर्क की तरह, ..."
"..floods, and finally goes under about 2.20am.","00:17:46,474 --> 00:17:49,034","..floods, और अंत में नीचे चला जाता है लगभग 2.20 बजे"
Two hours and 40 minutes after the collision.,"00:17:49,114 --> 00:17:52,504",दो घंटे और 40 मिनट टकराव के बाद।
"The bow section planes away, landing about half a mile away,...","00:17:52,594 --> 00:17:57,110","धनुष अनुभाग दूर विमानों, आधा मील दूर लैंडिंग, ..."
"..going 20, 30 knots when it hits the ocean floor.","00:17:57,194 --> 00:18:00,231",".. 20, 30 समुद्री मील जा रहा है जब यह समुद्र तल पर हिट करता है।"
"Pretty cool, huh?","00:18:02,794 --> 00:18:04,546","बहुत अच्छा, हुह?"
"Thank you for that fine forensic analysis, Mr Bodine.","00:18:04,634 --> 00:18:09,754","उस ठीक के लिए धन्यवाद फोरेंसिक विश्लेषण, श्री बोडिन।"
"Of course, the experience of it was... somewhat different.","00:18:09,834 --> 00:18:15,466","बेशक, इसका अनुभव था ... जरा हटके।"
Will you share it with us?,"00:18:15,554 --> 00:18:17,988",क्या आप इसे हमारे साथ साझा करेंगे?
- I'm taking her to rest. - No.,"00:19:10,394 --> 00:19:12,783",- मैं उसे आराम करने के लिए ले जा रहा हूँ। - नहीं।
"- Come on, Nana. - No!","00:19:12,874 --> 00:19:14,865","- चलो, नाना। - नहीं!"
Tape recorder.,"00:19:19,274 --> 00:19:21,265",टेप रिकॉर्डर।
"Tell us, Rose.","00:19:22,594 --> 00:19:24,585","हमें बताओ, गुलाब।"
It's been 84 years.,"00:19:26,674 --> 00:19:28,630",यह 84 साल हो गया है।
Try to remember anything.,"00:19:28,714 --> 00:19:30,625",कुछ भी याद रखने की कोशिश करो।
Anything at all.,"00:19:30,714 --> 00:19:32,227",कुछ भी।
"Do you want to hear this or not, Mr Lovett?","00:19:32,314 --> 00:19:35,943","क्या आप यह सुनना चाहते हैं या नहीं, श्री लवेट?"
It's been 84 years...,"00:19:39,954 --> 00:19:42,946",यह 84 साल हो गया है ...
..and I can still smell the fresh paint.,"00:19:43,674 --> 00:19:47,269",..और मैं अभी भी ताजा पेंट गंध कर सकता हूं।
The china had never been used.,"00:19:49,274 --> 00:19:51,868",चीन का कभी इस्तेमाल नहीं किया गया था।
The sheets had never been slept in.,"00:19:52,754 --> 00:19:55,222",चादरें कभी सो नहीं गई थीं।
"Titanic was called ""The Ship of Dreams"".","00:19:56,794 --> 00:20:00,184","टाइटैनिक कहा जाता था ""सपने का जहाज""।"
And it was.,"00:20:02,074 --> 00:20:04,065",और वो यह था।
It really was.,"00:20:04,194 --> 00:20:06,185",यह वास्तव में था।
All third-class passengers...,"00:20:33,474 --> 00:20:36,193",सभी तीसरे श्रेणी के यात्रियों ...
"..with a forward berth,...","00:20:36,274 --> 00:20:38,310",.. आगे के बर्थ के साथ ...
"..this way, please. This queue. Right here.","00:20:38,394 --> 00:20:41,466",..कृपया इस तरफ। यह कतार यहीं।
"Big boat, uh?","00:20:41,554 --> 00:20:42,782","बड़ी नाव, ओह?"
"- Daddy, it's a ship. - You're right.","00:20:42,874 --> 00:20:45,104","- पिताजी, यह एक जहाज है। - आप सही हे।"
