Timeline,en_dialogue,hindi_dialogue
"00:18:23,895 --> 00:18:27,773","Three months ago, you lost the computer drive containing the identity","तीन महीने पहले, तुम हार गए कंप्यूटर ड्राइव पहचान से युक्त"
"00:18:27,899 --> 00:18:30,358",of almost every NATO agent embedded in,लगभग हर नाटो एजेंट में एम्बेडेड
"00:18:30,485 --> 00:18:32,903",terrorist organizations across the globe.,आतंकवादी संगठन दुनिया भर में।
"00:18:33,529 --> 00:18:36,406","A list which, in the eyes of our allies, never existed.","एक सूची जो, हमारे सहयोगियों की नजर में, कभी भी मौजूद नहीं।"
"00:18:36,741 --> 00:18:40,410","So if you'll forgive me, I think you know why you're here.","इसलिए यदि आप मुझे क्षमा करेंगे, मुझे लगता है तुम्हें पता है तुम यहाँ क्यों हो"
"00:18:40,578 --> 00:18:42,370","Are we to call this ""civilian oversight""?","क्या हम इसे कहते हैं ""नागरिक निरीक्षण""?"
"00:18:42,580 --> 00:18:46,041","No, we're to call this ""retirement planning.""","नहीं, हमें फोन करना है यह ""सेवानिवृत्ति योजना।"""
"00:18:47,752 --> 00:18:49,753",Your country has only the highest respect for you,अपना देश है केवल सर्वोच्च सम्मान तुम्हारे लिए
"00:18:49,879 --> 00:18:51,880",and your many years of service.,और आपका कई वर्षों की सेवा।
"00:18:52,215 --> 00:18:53,799","When your current posting is completed,","जब आपका करंट पोस्टिंग पूरी हो गई है,"
"00:18:53,883 --> 00:18:57,052",you'll be awarded GCMG with full honors.,आपको सम्मानित किया जाएगा पूरे सम्मान के साथ GCMG।
"00:18:58,554 --> 00:19:00,222",Congratulations.,बधाई हो।
"00:19:01,057 --> 00:19:02,098",You're firing me.,तुम मुझे निकाल रहे हो।
"00:19:02,266 --> 00:19:04,643","No, ma'am, I'm here to oversee the transition period","नहीं, महोदया, मैं यहां देखरेख करने के लिए हूं संक्रमण काल"
"00:19:04,769 --> 00:19:07,479",leading to your voluntary retirement in two months' time.,आपके लिए अग्रणी स्वैच्छिक सेवानिवृत्ति दो महीने के समय में।
"00:19:07,897 --> 00:19:10,398","Your successor has yet to be appointed, so we'll be asking you. . .","आपके उत्तराधिकारी हैं अभी तक नियुक्त, तो हम आपसे पूछेंगे। । ।"
"00:19:10,566 --> 00:19:12,275","I'm not an idiot, Mallory.","मैं कोई बेवकूफ नहीं हूं, मैलोरी।"
"00:19:12,944 --> 00:19:15,070",I know I can't do this job forever,मुझे पता है मैं नहीं कर सकता यह काम हमेशा के लिए
"00:19:15,404 --> 00:19:17,364",but I'll be damned if I'm going to leave the department,लेकिन मैं शापित हो जाऊंगा अगर मैं जा रहा हूँ विभाग छोड़ दें
"00:19:17,490 --> 00:19:19,491",in worse shape than I found it.,बदतर हालत में जितना मैंने पाया।
"00:19:19,659 --> 00:19:22,160","M, you've had a great run.","एम, आपने शानदार रन बनाए।"
"00:19:22,829 --> 00:19:24,287",You should leave with dignity.,आपको गरिमा के साथ छोड़ना चाहिए।
"00:19:24,413 --> 00:19:27,582","Oh, to hell with dignity. I'll leave when the job's done.","ओह, गरिमा के साथ नरक में। कब निकलूंगा काम हो गया।"
"00:19:46,644 --> 00:19:47,811",Yes?,हाँ?
"00:19:49,438 --> 00:19:50,480",Now?,अभी?
"00:19:52,441 --> 00:19:56,444","Ma'am, alert from Q-Branch. Someone's trying to decrypt the stolen hard drive.","क्यू-ब्रांच से अलर्ट मैम, किसी को डिक्रिप्ट करने की कोशिश कर रहा है चोरी हार्ड ड्राइव।"
"00:19:56,863 --> 00:19:58,947",We're tracing the encryption signal.,हम ट्रेस कर रहे हैं एन्क्रिप्शन सिग्नल।
"00:19:59,490 --> 00:20:00,615",Localizing now.,अब स्थानीयकरण।
"00:20:03,703 --> 00:20:05,120",Centering in the UK.,ब्रिटेन में केंद्रित।
"00:20:07,290 --> 00:20:08,540",London.,लंडन।
"00:20:08,875 --> 00:20:10,625",Get us back to base as soon as possible.,हमें बेस पर वापस लाएं जितनी जल्दी हो सके।
"00:20:17,967 --> 00:20:19,134",It's coming from Ml6.,यह Ml6 से आ रहा है।
"00:20:19,302 --> 00:20:20,468",What?,क्या?
"00:20:20,553 --> 00:20:22,762",The data packet is linking to our network.,डेटा पैकेट है हमारे नेटवर्क से लिंक करना।
"00:20:23,472 --> 00:20:25,473",Correction. This is behind our firewall.,भूल सुधार। यह हमारे फ़ायरवॉल के पीछे है।
"00:20:26,142 --> 00:20:27,100",We should shut down.,हमें बंद करना चाहिए।
"00:20:27,226 --> 00:20:28,184","No, track it.","नहीं, इसे ट्रैक करें।"
"00:20:28,644 --> 00:20:30,395",We have to know where it's coming from.,हमें जानना है यह कहां से आ रहा है
"00:20:30,813 --> 00:20:32,314",Strip the headers. Trace the source.,हेडर स्ट्रिप करें। स्रोत का पता लगाएं।
"00:20:32,648 --> 00:20:34,357",How the hell did they get into our system?,उन्होंने कैसे किया? हमारे सिस्टम में जाओ?
"00:20:34,984 --> 00:20:36,318",Getting trace back now.,अब वापस ट्रेस हो रही है।
"00:20:41,240 --> 00:20:42,490",lt appears. . .,लेफ्टिनेंट दिखाई देता है। । ।
"00:20:43,993 --> 00:20:45,577","lt appears to be your computer, ma'am.","लेफ्टिनेंट प्रतीत होता है आपका कंप्यूटर, मैम।"
"00:20:46,203 --> 00:20:47,329",Shut it down.,बंद कर दो।
"00:20:48,164 --> 00:20:49,831",(TAUNTING MUSIC PLAYS),(संगीत संगीत खेल)
"00:20:53,377 --> 00:20:54,502",What is this?,यह क्या है?
"00:21:14,482 --> 00:21:15,482",(SIGHS),(विलाप)
"00:21:15,733 --> 00:21:17,859",For God's sake!,भगवान के लिए!
"00:21:19,904 --> 00:21:21,404",Just get out of the way!,बस रास्ते से हट जाओ!
"00:21:22,281 --> 00:21:24,032",Don't you recognize the car? Madam.,क्या आप कार को नहीं पहचानते हैं? महोदया।
"00:21:24,367 --> 00:21:26,034",(EXPLOSION THUNDERS),(विस्तार सूत्र)
"00:23:06,427 --> 00:23:08,636",CROWD (BUILDING IN VOLUME): Oh. . . !,CROWD (वोल्यूम में निर्माण): ओह। । । !
"00:23:54,600 --> 00:23:57,352",ANNOUNCER (OVER TV): This is CNN Breaking News.,एंकर (कभी टीवी): यह सीएनएन ब्रेकिंग न्यूज है।
"00:23:57,686 --> 00:24:00,021",Emergency crews are still attempting to assess,आपातकालीन दल अभी भी हैं मूल्यांकन करने का प्रयास
"00:24:00,189 --> 00:24:02,524",the damage as investigators hunt for leads,के रूप में नुकसान जांचकर्ता लीड के लिए शिकार करते हैं
"00:24:02,691 --> 00:24:04,734",in what now appears to be a major,अब में क्या एक प्रमुख प्रतीत होता है
"00:24:04,860 --> 00:24:06,945",terrorist attack in the heart of London.,में आतंकवादी हमला लंदन का दिल।
"00:24:08,572 --> 00:24:11,783",No-one has yet claimed responsibility for what sources are calling,अभी तक किसी ने नहीं जिम्मेदारी का दावा किया क्या स्रोतों के लिए बुला रहे हैं
"00:24:11,951 --> 00:24:16,204","a possible ""cyber-terrorist assault"" on the British Secret Service.","संभव है ""साइबर आतंकवादी हमला"" ब्रिटिश सीक्रेट सर्विस पर।"
"00:24:16,372 --> 00:24:18,581",Early reports from the scene indicate,से प्रारंभिक रिपोर्ट दृश्य इंगित करता है
"00:24:18,707 --> 00:24:20,917","at least six dead, many more injured,","कम से कम छह मृत, कई और घायल,"
"00:24:21,127 --> 00:24:24,045",with victims being evacuated to local hospitals,पीड़ितों को निकाला जा रहा है स्थानीय अस्पतालों के लिए
"00:24:24,130 --> 00:24:25,964",within minutes of the explosion.,कुछ ही मिनटों में विस्फोट की।
"00:24:44,400 --> 00:24:46,151","It's time to go, ma'am.","जाने का समय हो गया, मैडम।"
"00:24:49,113 --> 00:24:51,406",I'm going to find whoever did this.,मैं खोजने जा रहा हूं जिसने भी ऐसा किया।
"00:25:40,623 --> 00:25:42,373",Where the hell have you been?,आप अब तक कहां रहे?
"00:25:43,167 --> 00:25:45,126",Enjoying death.,मृत्यु का आनंद लेना।
"00:25:46,462 --> 00:25:49,047",007 reporting for duty.,007 ड्यूटी के लिए रिपोर्टिंग।
"00:25:56,472 --> 00:25:58,014",Why didn't you call?,आपने फोन क्यों नहीं किया?
"00:25:58,474 --> 00:26:00,475",You didn't get the postcard?,आपको पोस्टकार्ड नहीं मिला?
"00:26:00,893 --> 00:26:02,727",You should try it some time. Get away from it all.,कभी - कभी आपको इसकी कोशिश करनी चाहिए। इस सबसे दूर चले जाओ।
"00:26:02,853 --> 00:26:04,687",lt really lends perspective.,लेफ्टिनेंट वास्तव में परिप्रेक्ष्य उधार देता है।
"00:26:05,314 --> 00:26:07,148","Ran out of drink where you were, did they?","शराब पीकर भागा तुम कहाँ थे, क्या उन्होंने"
"00:26:07,358 --> 00:26:08,983",What was it you said?,यह तुमने क्या कहा था?
"00:26:09,401 --> 00:26:11,486","""Take the bloody shot.""","""खूनी गोली ले लो।"""
"00:26:11,654 --> 00:26:13,029",I made a judgment call.,मैंने एक निर्णय लिया।
"00:26:13,197 --> 00:26:15,657",You should have trusted me to finish the job.,आपको मुझ पर भरोसा करना चाहिए था काम खत्म करने के लिए।
"00:26:15,824 --> 00:26:17,659",lt was the possibility of losing you,लेफ्टिनेंट संभावना थी तुम्हें खोने का
"00:26:17,826 --> 00:26:20,328",or the certainty of losing all those other agents.,या खोने की निश्चितता उन सभी अन्य एजेंटों।
"00:26:20,579 --> 00:26:23,331",I made the only decision I could and you know it.,मैंने ही बनाया निर्णय मैं कर सकता था और आप इसे जानते हैं।
"00:26:24,375 --> 00:26:25,667",I think you lost your nerve.,मुझे लगता है कि आपने अपना तंत्रिका खो दिया है।
"00:26:25,834 --> 00:26:28,253","What do you expect, a bloody apology?","आप क्या उम्मीद करते हैं, एक खूनी माफी?"
"00:26:28,671 --> 00:26:30,046",You know the rules of the game.,तुम्हे पता हैं खेल के नियम।
"00:26:30,172 --> 00:26:31,589",You've been playing it long enough.,तुम हो गए इसे काफी लंबे समय तक खेलना।
"00:26:31,674 --> 00:26:32,715",We both have.,हम दोनों के पास है।
"00:26:33,676 --> 00:26:34,926",Maybe too long.,शायद बहुत लंबा।
"00:26:35,761 --> 00:26:37,262",Speak for yourself.,अपने लिए आवाज उठाएं।
"00:26:39,890 --> 00:26:41,849","Ronson didn't make it, did he?","रॉनसन ने इसे नहीं बनाया, क्या उसने?"
"00:26:42,935 --> 00:26:44,018",No.,नहीं।
"00:26:47,356 --> 00:26:48,856",So this is it.,तो यही है।
"00:26:49,275 --> 00:26:51,276",We're both played out.,हम दोनों खेल चुके हैं।
"00:26:52,194 --> 00:26:54,404","Well, if you believe that, why did you come back?","यदि आप मानते हैं कि, तुम वापस क्यों आए?"
"00:26:54,863 --> 00:26:56,197",Good question.,अच्छा प्रश्न।
"00:26:57,950 --> 00:26:59,784",Because we're under attack.,क्योंकि हम पर हमला हो रहा है।
"00:27:01,704 --> 00:27:03,788",And you know we need you.,और आप जानते हैं कि हमें आपकी जरूरत है।
"00:27:08,043 --> 00:27:09,294","Well, I'm here.","खैर, मैं यहाँ हूँ।"
"00:27:11,046 --> 00:27:14,632",You'll have to be debriefed and declared fit for active service.,आपको डेब्यू करना पड़ेगा और फिट घोषित किया गया सक्रिय सेवा के लिए।
"00:27:15,217 --> 00:27:17,552","You can only return to duty when you've passed the tests,","तुम ही लौट सकते हो ड्यूटी करने के लिए जब आप परीक्षण पारित कर दिया,"
"00:27:17,720 --> 00:27:20,054",so take them seriously.,इसलिए उन्हें गंभीरता से लें।
"00:27:20,472 --> 00:27:22,640",And a shower might be in order.,और एक शॉवर क्रम में हो सकता है।
"00:27:23,392 --> 00:27:24,892",I'll go home and change.,मैं घर जाकर बदलूंगा।
"00:27:25,477 --> 00:27:29,063","Oh, we've sold your flat, put your things into storage.","ओह, हमने आपका फ्लैट बेच दिया है, अपनी चीजों को स्टोरेज में रखें।"
"00:27:30,107 --> 00:27:33,234",Standard procedure on the death of an unmarried employee,मानक प्रक्रिया की मृत्यु पर एक अविवाहित कर्मचारी
"00:27:33,319 --> 00:27:35,611",with no next of kin.,परिजनों के आगे नहीं।
"00:27:35,738 --> 00:27:37,405",You should have called.,आपको बुलाना चाहिए था।
"00:27:37,573 --> 00:27:39,282",I'll find a hotel.,मुझे एक होटल मिलेगा।
"00:27:39,575 --> 00:27:41,909","Well, you're bloody well not sleeping here.","अच्छा, तुम खूनी हो यहाँ नींद नहीं आ रही है।"
"00:28:09,813 --> 00:28:12,440","TANNER: The assailant hacked into the environmental control system,","TANNER: हमलावर ने हैक किया पर्यावरण में नियंत्रण प्रणाली,"
"00:28:12,524 --> 00:28:14,108",locked out the safety protocols,बाहर ताला लगाना सुरक्षा प्रोटोकॉल
"00:28:14,276 --> 00:28:17,612","and turned on the gas, all of which should have been impossible.","और गैस चालू कर दी, जो सभी को चाहिए असंभव हो गया है।"
"00:28:17,946 --> 00:28:20,114","On top of that, they hacked into her files.","उसके ऊपर, उन्होंने उसकी फाइलों को हैक कर लिया।"
"00:28:20,657 --> 00:28:23,534","They knew her appointments, knew she'd be out of the building.","वे उसकी नियुक्तियों को जानते थे, पता था कि वह बाहर होगी इमारत का।"
"00:28:23,660 --> 00:28:25,453",They weren't targeting her.,वे उसे निशाना नहीं बना रहे थे।
"00:28:26,163 --> 00:28:28,039",They wanted her to see it.,वे उसे देखना चाहते थे।
"00:28:29,458 --> 00:28:30,750","Where are we, Tanner?","हम, टान्नर कहाँ हैं?"
"00:28:30,876 --> 00:28:32,168",New digs.,नया खोदता है।
"00:28:40,052 --> 00:28:43,221","The old building was declared ""strategically vulnerable"".","पुराना भवन घोषित हो गया ""रणनीतिक रूप से कमजोर""।"
"00:28:43,555 --> 00:28:45,473",That's putting it mildly.,वह हल्के से डाल रहा है।
"00:28:45,641 --> 00:28:48,976",He was able to breach the most secure computer system in Britain.,वह करने में सक्षम था सबसे सुरक्षित तोड़ो ब्रिटेन में कंप्यूटर प्रणाली।
"00:28:49,061 --> 00:28:50,853",So we're on war footing now.,तो हम अभी युद्धस्तर पर हैं।
"00:28:51,688 --> 00:28:53,856",This was part of Churchill's bunker.,का हिस्सा था चर्चिल का बंकर।
"00:28:54,316 --> 00:28:55,566",We're still discovering tunnels,अब भी थे सुरंगों की खोज
"00:28:55,692 --> 00:28:56,984",dating back to the 1 8th Century.,पुरानी तारीख पर 1 8 वीं शताब्दी।
"00:28:57,152 --> 00:28:59,487","Quite fascinating, if it wasn't for the rats.","काफी आकर्षक, अगर यह चूहों के लिए नहीं था।"
"00:28:59,696 --> 00:29:01,155",When do I see M?,मुझे एम कब दिखाई देता है?
"00:29:01,240 --> 00:29:04,700","Tomorrow you'll see M and Mallory, too, if you're lucky.","कल आप देखेंगे एम और मैलोरी, भी, यदि आप भाग्यशाली हुए।"
"00:29:04,827 --> 00:29:05,993",Who's Mallory?,कौन है मलोरी?
"00:29:06,161 --> 00:29:08,830",The new Chairman of the Intelligence and Security Committee.,नए अध्यक्ष इंटेलिजेंस का और सुरक्षा समिति।
"00:29:08,914 --> 00:29:09,997",Charming man. I think you and he,आकर्षक आदमी। मुझे लगता है कि आप और वह
"00:29:10,082 --> 00:29:11,499",are really going to hit it off.,सच हैं यह हिट करने के लिए जा रहा है।
"00:29:13,752 --> 00:29:15,753",Welcome to the new Ml6.,नए Ml6 में आपका स्वागत है।
"00:29:32,229 --> 00:29:34,897","We've attempted to trace the computer message, but","हमने ट्रेस करने का प्रयास किया है कंप्यूटर संदेश, लेकिन"
"00:29:35,065 --> 00:29:38,025","it was sent by an asymmetrical security algorithm,","यह एक विषम द्वारा भेजा गया था सुरक्षा एल्गोरिथ्म,"
"00:29:38,193 --> 00:29:39,694",which bounced the signal all over the globe,जिसने सिग्नल को बाउंस कर दिया दुनिया भर में
"00:29:39,778 --> 00:29:41,779",through over a thousand different servers.,के उपर से एक हजार अलग सर्वर।
"00:29:41,864 --> 00:29:43,573","And now that they've accessed M's codes,","और अब है कि वे है पहुंच एम के कोड,"
"00:29:43,699 --> 00:29:46,367",it's only a matter of time before they're able to decrypt the list.,यह केवल समय की बात है सक्षम होने से पहले सूची को डिक्रिप्ट करने के लिए।
"00:29:46,452 --> 00:29:48,953",Q-Branch have been analyzing the picture but so far nothing.,Q- ब्रांच रही है तस्वीर का विश्लेषण लेकिन अब तक कुछ नहीं।
"00:29:49,621 --> 00:29:52,373",The general feeling is it's probably someone from her past.,सामान्य भावना है यह शायद कोई है उसके अतीत से।
