Timeline,en_dialogue,tamil_dialogue
"00:04:17,341 --> 00:04:18,466",Just get clear!,தெளிவு பெறுங்கள்!
"00:04:20,427 --> 00:04:22,053","Tanner, which way?","டேனர், எந்த வழி?"
"00:04:22,179 --> 00:04:23,846",Keep going. I can direct you from here.,தொடருங்கள். நான் உங்களை இங்கிருந்து வழிநடத்த முடியும்.
"00:04:23,972 --> 00:04:25,514",You both know what's at stake here.,உங்கள் இருவருக்கும் தெரியும் இங்கே என்ன ஆபத்தில் உள்ளது.
"00:04:25,641 --> 00:04:27,183",We can't afford to lose that list.,எங்களால் கொடுக்க முடியாது அந்த பட்டியலை இழக்க.
"00:04:27,309 --> 00:04:28,309","Yes, ma'am.","ஆம், ஐயா."
"00:04:58,215 --> 00:04:59,465",EVE: Where are they now?,ஈவ்: அவர்கள் இப்போது எங்கே?
"00:04:59,549 --> 00:05:02,009",They appear to be on the rooftops of the Grand Bazaar.,அவர்கள் தோன்றும் கூரைகளில் இருக்கும் கிராண்ட் பஜாரின்.
"00:05:54,062 --> 00:05:56,272",Take a left. There's a bridge. You can cut him off.,இடதுபுறம் எடுத்துக் கொள்ளுங்கள். ஒரு பாலம் இருக்கிறது. நீங்கள் அவரை வெட்டலாம்.
"00:06:27,345 --> 00:06:28,554","Down, sir!","கீழே, ஐயா!"
"00:06:28,972 --> 00:06:30,473",(TRAIN HORN BLARING),(ரயில் ஹார்ன் ப்ளேரிங்)
"00:06:48,533 --> 00:06:50,409","What happened? They're on the train, ma'am.","என்ன நடந்தது? அவர்கள் ரயிலில் இருக்கிறார்கள், ஐயா."
"00:06:50,494 --> 00:06:51,702",What do you mean on the train?,ரயிலில் நீங்கள் என்ன சொல்கிறீர்கள்?
"00:06:51,828 --> 00:06:53,079","I mean, they're on top of a train.","அதாவது, அவர்கள் ஒரு ரயிலின் மேல் இருக்கிறார்கள்."
"00:06:53,205 --> 00:06:54,622","Well, get after them, for God's sake!","சரி, அவர்களைப் பின்தொடருங்கள், கடவுளின் பொருட்டு!"
"00:07:25,195 --> 00:07:26,529",She's going out of range.,அவள் எல்லைக்கு வெளியே போகிறாள்.
"00:07:26,655 --> 00:07:27,988",We've lost tracking. We're blind here.,நாங்கள் கண்காணிப்பை இழந்துவிட்டோம். நாங்கள் இங்கே பார்வையற்றவர்கள்.
"00:07:28,115 --> 00:07:29,990",What's going on? I'm still with them.,என்ன நடக்கிறது? நான் இன்னும் அவர்களுடன் இருக்கிறேன்.
"00:07:30,117 --> 00:07:32,201","Get me CCTV, satellite, anything !","எனக்கு சிசிடிவி எடுத்து, செயற்கைக்கோள், எதையும்!"
"00:08:22,169 --> 00:08:23,502",M: What was that?,எம்: அது என்ன?
"00:08:24,087 --> 00:08:25,087",VW Beetles.,VW வண்டுகள்.
"00:08:25,672 --> 00:08:26,755",I think.,நான் நினைக்கிறேன்.
"00:08:51,781 --> 00:08:54,366",Bond ! He's uncoupling the cars.,பத்திரம் ! அவர் கார்களை அவிழ்த்து விடுகிறார்.
"00:09:32,739 --> 00:09:34,156","M: 007, are you all right?","எம்: 007, நலமா?"
"00:09:34,658 --> 00:09:36,325",Just changing carriages.,வெறும் வண்டிகளை மாற்றுவது.
"00:09:38,203 --> 00:09:39,912",What's going on? Report!,என்ன நடக்கிறது? அறிக்கை!
"00:09:40,038 --> 00:09:41,747","It's rather hard to explain, ma'am.","மாறாக கடினமானது விளக்க, ஐயா."
"00:09:41,998 --> 00:09:43,540",007's still in pursuit.,007 இன்னும் தேடலில் உள்ளது.
"00:10:48,231 --> 00:10:50,149",Looks like there isn't much more road.,அங்கே தெரிகிறது அதிக சாலை இல்லை.
"00:10:50,275 --> 00:10:52,234",I don't think I can go any further.,நான் நினைக்கவில்லை மேலும் செல்ல முடியும்.
"00:11:26,770 --> 00:11:28,270",I may have a shot.,எனக்கு ஒரு ஷாட் இருக்கலாம்.
"00:11:35,445 --> 00:11:36,612",It's not clean.,அது சுத்தமாக இல்லை.
"00:11:36,863 --> 00:11:38,364","Repeat, I do not have a clean shot.","மீண்டும் செய்யவும், என்னிடம் இல்லை ஒரு சுத்தமான ஷாட்."
"00:11:45,789 --> 00:11:47,831",There's a tunnel ahead. I'm gonna lose them.,முன்னால் ஒரு சுரங்கப்பாதை உள்ளது. நான் அவர்களை இழக்கிறேன்.
"00:11:48,083 --> 00:11:49,625",Can you get into a better position?,உள்ளே நுழைய முடியுமா ஒரு சிறந்த நிலை?
"00:11:49,793 --> 00:11:51,335",Negative. There's no time.,எதிர்மறை. நேரமில்லை.
"00:11:53,421 --> 00:11:54,463",Take the shot.,ஷாட் எடு.
"00:11:56,424 --> 00:11:57,758",I said take the shot.,ஷாட் எடு என்றேன்.
"00:11:59,386 --> 00:12:00,803",I can't! I may hit Bond.,என்னால் முடியாது! நான் பாண்டை அடிக்கலாம்.
"00:12:00,970 --> 00:12:02,137",Take the bloody shot!,இரத்தக்களரி ஷாட் எடு!
"00:12:02,305 --> 00:12:03,305",(GUNSHOT),(துப்பாக்கி சூடு)
"00:12:25,370 --> 00:12:26,870",Agent down.,முகவர் கீழே.
"00:13:14,252 --> 00:13:16,753",This is the end,இதுவே முடிவு
"00:13:18,840 --> 00:13:23,844",Hold your breath and count to ten,உங்கள் மூச்சைப் பிடித்துக் கொள்ளுங்கள் மற்றும் பத்து வரை எண்ணுங்கள்
"00:13:25,346 --> 00:13:30,601",Feel the earth move and then,பூமி அசைவதை உணருங்கள்
"00:13:31,811 --> 00:13:37,858",Hear my heart burst again,என் இதயம் மீண்டும் வெடிப்பதைக் கேளுங்கள்
"00:13:39,402 --> 00:13:42,237",For this is the end,இதுவே முடிவு
"00:13:44,240 --> 00:13:49,286",I've drowned and dreamt this moment,நான் மூழ்கிவிட்டேன் இந்த தருணத்தை கனவு கண்டேன்
"00:13:50,705 --> 00:13:55,918","So overdue, I owe them","எனவே தாமதமாக, நான் அவர்களுக்கு கடன்பட்டிருக்கிறேன்"
"00:13:57,504 --> 00:14:02,674","Swept away, I'm stolen","அடித்துச் செல்லப்பட்டது, நான் திருடப்பட்டேன்"
"00:14:05,094 --> 00:14:07,971",Let the sky fall,வானம் விழட்டும்
"00:14:08,097 --> 00:14:10,849",When it crumbles,அது நொறுங்கும் போது
"00:14:11,351 --> 00:14:14,186",We will stand tall,தலை நிமிர்ந்து நிற்போம்
"00:14:14,270 --> 00:14:16,605",And face it all together,மற்றும் அனைத்தையும் ஒன்றாக எதிர்கொள்ளுங்கள்
"00:14:16,898 --> 00:14:19,066",At Skyfall,ஸ்கைஃபாலில்
"00:14:23,404 --> 00:14:26,657",Skyfall is where we start,ஸ்கைஃபால் நாம் தொடங்கும் இடம்
"00:14:29,160 --> 00:14:33,121",A thousand miles and poles apart,ஆயிரம் மைல்கள் மற்றும் துருவங்களைத் தவிர
"00:14:35,542 --> 00:14:39,711",Where worlds collide and days are dark,உலகங்கள் மோதும் இடம் மற்றும் நாட்கள் இருண்டவை
"00:14:39,796 --> 00:14:42,130",You may have my number,என் நம்பர் உங்களிடம் இருக்கலாம்
"00:14:42,257 --> 00:14:44,007",You can take my name,நீங்கள் என் பெயரை எடுத்துக் கொள்ளலாம்
"00:14:45,176 --> 00:14:49,721",But you'll never have my heart,ஆனால் உனக்கு என் இதயம் இருக்காது
"00:15:11,911 --> 00:15:16,498",And face it all together At Skyfall,மற்றும் அனைத்தையும் ஒன்றாக எதிர்கொள்ளுங்கள் ஸ்கைஃபாலில்
"00:15:21,421 --> 00:15:24,172",Where you go I go,நீங்கள் எங்கு செல்கிறீர்கள் நான் செல்கிறேன்
"00:15:24,841 --> 00:15:27,384",What you see I see,நீங்கள் பார்ப்பதை நான் பார்க்கிறேன்
"00:15:27,719 --> 00:15:32,889",I know I'd never be me without the security,நான் ஒருபோதும் நானாக இருக்க மாட்டேன் என்று எனக்குத் தெரியும் பாதுகாப்பு இல்லாமல்
"00:15:34,183 --> 00:15:37,227",Of your loving arms,உங்கள் அன்பான கரங்களில்
"00:15:37,645 --> 00:15:40,188",keeping me from harm,என்னை பாதிப்பிலிருந்து காக்கிறது
"00:15:40,481 --> 00:15:45,152",Put your hand in my hand and we'll stand,உன் கையை என் கையில் வை நாங்கள் நிற்போம்
"00:17:45,857 --> 00:17:48,233",It's like being summoned to the headmaster's study.,வரவழைக்கப்பட்டது போல் இருக்கிறது தலைமை ஆசிரியர் படிப்புக்கு.
"00:17:48,359 --> 00:17:50,736",It's a new Chairman. Just standard procedure.,இது ஒரு புதிய தலைவர். வெறும் நிலையான நடைமுறை.
"00:17:50,862 --> 00:17:52,988",Bloody waste of my time is what I call it.,என் இரத்தக் கழிவு நேரம் நான் அதை அழைக்கிறேன்.
"00:17:53,156 --> 00:17:55,157",I'm sorry to have to deal with such,நான் வருந்துகிறேன் போன்றவற்றை சமாளிக்க
"00:17:55,283 --> 00:17:57,242",a delicate subject at our first encounter.,ஒரு நுட்பமான பொருள் எங்கள் முதல் சந்திப்பு.
"00:17:59,996 --> 00:18:01,329","But, um. . .","ஆனால், உம். . ."
"00:18:01,873 --> 00:18:03,665",I have to be frank with you.,நான் உங்களுடன் வெளிப்படையாக இருக்க வேண்டும்.
"00:18:03,833 --> 00:18:05,834",I think that would be a good idea.,என்று நினைக்கிறேன் ஒரு நல்ல யோசனையாக இருக்கும்.
"00:18:08,880 --> 00:18:10,881",The Prime Minister's concerned.,பிரதமரின் கவலை.
"00:18:11,674 --> 00:18:14,509","Well, you can tell him my operatives are pursuing every avenue.","சரி, நீங்கள் அவரிடம் சொல்லலாம் என் செயல்பாட்டாளர்கள் ஒவ்வொரு வழியையும் தொடர்கிறது."
"00:18:14,677 --> 00:18:16,678",Have you considered pulling out the agents?,சிந்தித்துப் பார்த்தீர்களா முகவர்களை வெளியேற்றுவதா?
"00:18:16,763 --> 00:18:18,180",I've considered every option.,நான் ஒவ்வொரு விருப்பத்தையும் பரிசீலித்தேன்.
"00:18:18,264 --> 00:18:20,599","Forgive me, that sounds like an evasion.","என்னை மன்னியுங்கள், அது ஒரு ஏய்ப்பு போல் தெரிகிறது."
"00:18:20,767 --> 00:18:22,684","Forgive me, but why am I here?","என்னை மன்னியுங்கள், ஆனால் நான் ஏன் இங்கே இருக்கிறேன்?"
"00:18:23,895 --> 00:18:27,773","Three months ago, you lost the computer drive containing the identity","மூன்று மாதங்களுக்கு முன்பு, நீங்கள் இழந்தீர்கள் கணினி இயக்கி அடையாளத்தை கொண்டுள்ளது"
"00:18:27,899 --> 00:18:30,358",of almost every NATO agent embedded in,கிட்டத்தட்ட ஒவ்வொரு நேட்டோ முகவர் உட்பொதிக்கப்பட்டார்
"00:18:30,485 --> 00:18:32,903",terrorist organizations across the globe.,பயங்கரவாத அமைப்புகள் உலகம் முழுவதும்.
"00:18:33,529 --> 00:18:36,406","A list which, in the eyes of our allies, never existed.","ஒரு பட்டியல், நமது நட்பு நாடுகளின் பார்வையில் இருந்ததில்லை."
"00:18:36,741 --> 00:18:40,410","So if you'll forgive me, I think you know why you're here.","எனவே நீங்கள் என்னை மன்னித்தால், உங்களுக்குத் தெரியும் என்று நினைக்கிறேன் நீ ஏன் இங்கே இருக்கிறாய்."
"00:18:40,578 --> 00:18:42,370","Are we to call this ""civilian oversight""?","இதை நாம் அழைப்போமா ""பொதுமக்கள் மேற்பார்வை""?"
"00:18:42,580 --> 00:18:46,041","No, we're to call this ""retirement planning.""","இல்லை, நாங்கள் அழைக்கிறோம் இந்த ""ஓய்வு திட்டமிடல்."""
"00:18:47,752 --> 00:18:49,753",Your country has only the highest respect for you,உங்கள் நாட்டில் உள்ளது மிக உயர்ந்த மரியாதை மட்டுமே உங்களுக்காக
"00:18:49,879 --> 00:18:51,880",and your many years of service.,மற்றும் உங்கள் பல வருட சேவை.
"00:18:52,215 --> 00:18:53,799","When your current posting is completed,","உங்கள் தற்போதைய போது இடுகை முடிந்தது,"
"00:18:53,883 --> 00:18:57,052",you'll be awarded GCMG with full honors.,உங்களுக்கு விருது வழங்கப்படும் முழு மரியாதையுடன் ஜி.சி.எம்.ஜி.
"00:18:58,554 --> 00:19:00,222",Congratulations.,வாழ்த்துகள்.
"00:19:01,057 --> 00:19:02,098",You're firing me.,என்னை நீக்குகிறாய்.
"00:19:02,266 --> 00:19:04,643","No, ma'am, I'm here to oversee the transition period","இல்லை, ஐயா, நான் மேற்பார்வை செய்ய வந்துள்ளேன் மாற்றம் காலம்"
"00:19:04,769 --> 00:19:07,479",leading to your voluntary retirement in two months' time.,உங்களுக்கு வழிவகுக்கும் விருப்ப ஓய்வு இரண்டு மாதங்களில்.
"00:19:07,897 --> 00:19:10,398","Your successor has yet to be appointed, so we'll be asking you. . .",உங்கள் வாரிசு உள்ளது இன்னும் நியமிக்கப்படவில்லை எனவே நாங்கள் உங்களிடம் கேட்போம். . .
"00:19:10,566 --> 00:19:12,275","I'm not an idiot, Mallory.","நான் ஒரு முட்டாள் அல்ல, மல்லோரி."
"00:19:12,944 --> 00:19:15,070",I know I can't do this job forever,என்னால் முடியாது என்று எனக்குத் தெரியும் இந்த வேலை என்றென்றும்
"00:19:15,404 --> 00:19:17,364",but I'll be damned if I'm going to leave the department,ஆனால் நான் கெட்டுவிடுவேன் நான் போகிறேன் என்றால் துறையை விட்டு வெளியேறு
"00:19:17,490 --> 00:19:19,491",in worse shape than I found it.,மோசமான நிலையில் நான் கண்டுபிடித்ததை விட.
"00:19:19,659 --> 00:19:22,160","M, you've had a great run.","எம், நீங்கள் நன்றாக ஓடிவிட்டீர்கள்."
"00:19:22,829 --> 00:19:24,287",You should leave with dignity.,கண்ணியத்துடன் வெளியேற வேண்டும்.
"00:19:24,413 --> 00:19:27,582","Oh, to hell with dignity. I'll leave when the job's done.","ஓ, கண்ணியத்துடன் நரகத்திற்கு. நான் எப்போ போறேன் வேலை முடிந்தது."
"00:19:46,644 --> 00:19:47,811",Yes?,ஆம்?
"00:19:49,438 --> 00:19:50,480",Now?,இப்போது?
"00:19:52,441 --> 00:19:56,444","Ma'am, alert from Q-Branch. Someone's trying to decrypt the stolen hard drive.","மேடம், கியூ-பிராஞ்சில் இருந்து எச்சரிக்கை. யாரோ டிக்ரிப்ட் செய்ய முயற்சிக்கிறார்கள் திருடப்பட்ட வன்."
"00:19:56,863 --> 00:19:58,947",We're tracing the encryption signal.,நாங்கள் கண்டுபிடித்து வருகிறோம் குறியாக்க சமிக்ஞை.
"00:19:59,490 --> 00:20:00,615",Localizing now.,இப்போது உள்ளூர்மயமாக்கல்.
"00:20:03,703 --> 00:20:05,120",Centering in the UK.,இங்கிலாந்தில் மையம்.
"00:20:07,290 --> 00:20:08,540",London.,லண்டன்.
"00:20:08,875 --> 00:20:10,625",Get us back to base as soon as possible.,எங்களை மீண்டும் தளத்திற்கு கொண்டு வாருங்கள் கூடிய விரைவில்.
"00:20:17,967 --> 00:20:19,134",It's coming from Ml6.,இது Ml6 இலிருந்து வருகிறது.
"00:20:19,302 --> 00:20:20,468",What?,என்ன?
"00:20:20,553 --> 00:20:22,762",The data packet is linking to our network.,தரவு தொகுப்பு ஆகும் எங்கள் நெட்வொர்க்குடன் இணைக்கிறது.
"00:20:23,472 --> 00:20:25,473",Correction. This is behind our firewall.,திருத்தம். இது எங்கள் ஃபயர்வாலுக்குப் பின்னால் உள்ளது.
"00:20:26,142 --> 00:20:27,100",We should shut down.,நாம் மூட வேண்டும்.
"00:20:27,226 --> 00:20:28,184","No, track it.","இல்லை, அதைக் கண்காணிக்கவும்."
"00:20:28,644 --> 00:20:30,395",We have to know where it's coming from.,நாம் தெரிந்து கொள்ள வேண்டும் அது எங்கிருந்து வருகிறது.
"00:20:30,813 --> 00:20:32,314",Strip the headers. Trace the source.,தலைப்புகளை அகற்றவும். மூலத்தைக் கண்டறியவும்.
"00:20:32,648 --> 00:20:34,357",How the hell did they get into our system?,அவர்கள் எப்படி செய்தார்கள் எங்கள் அமைப்பில் நுழையவா?
"00:20:34,984 --> 00:20:36,318",Getting trace back now.,இப்போது தடயத்தைத் திரும்பப் பெறுகிறோம்.
"00:20:41,240 --> 00:20:42,490",lt appears. . .,அது தோன்றுகிறது. . .
"00:20:43,993 --> 00:20:45,577","lt appears to be your computer, ma'am.","அது தெரிகிறது உங்கள் கணினி, மேடம்."
"00:20:46,203 --> 00:20:47,329",Shut it down.,அதை மூடு.
"00:20:48,164 --> 00:20:49,831",(TAUNTING MUSIC PLAYS),(இசை நாடகங்களை அவமதித்தல்)
"00:20:53,377 --> 00:20:54,502",What is this?,இது என்ன?
"00:21:14,482 --> 00:21:15,482",(SIGHS),(SIGHS)
"00:21:15,733 --> 00:21:17,859",For God's sake!,கடவுளின் பொருட்டு!
"00:21:19,904 --> 00:21:21,404",Just get out of the way!,வழியை விட்டு வெளியேறு!
"00:21:22,281 --> 00:21:24,032",Don't you recognize the car? Madam.,காரை அடையாளம் தெரியவில்லையா? மேடம்.
"00:21:24,367 --> 00:21:26,034",(EXPLOSION THUNDERS),(வெடிப்பு இடி)
"00:23:06,427 --> 00:23:08,636",CROWD (BUILDING IN VOLUME): Oh. . . !,கூட்டம் (தொகுதியில் பில்டிங்): ஓ . . !
"00:23:54,600 --> 00:23:57,352",ANNOUNCER (OVER TV): This is CNN Breaking News.,அறிவிப்பாளர் (தொலைக்காட்சியில்): இது சிஎன்என் பிரேக்கிங் நியூஸ்.
"00:23:57,686 --> 00:24:00,021",Emergency crews are still attempting to assess,அவசரகால குழுக்கள் இன்னும் உள்ளன மதிப்பிட முயற்சிக்கிறது
"00:24:00,189 --> 00:24:02,524",the damage as investigators hunt for leads,என சேதம் புலனாய்வாளர்கள் தடங்களைத் தேடுகிறார்கள்
"00:24:02,691 --> 00:24:04,734",in what now appears to be a major,இப்போது என்ன பிரதானமாகத் தெரிகிறது
"00:24:04,860 --> 00:24:06,945",terrorist attack in the heart of London.,பயங்கரவாத தாக்குதல் லண்டனின் இதயம்.
"00:24:08,572 --> 00:24:11,783",No-one has yet claimed responsibility for what sources are calling,இதுவரை யாரும் இல்லை பொறுப்பேற்றார் என்ன ஆதாரங்கள் அழைக்கப்படுகின்றன
"00:24:11,951 --> 00:24:16,204","a possible ""cyber-terrorist assault"" on the British Secret Service.","ஒரு சாத்தியம் ""சைபர்-தீவிரவாத தாக்குதல்"" பிரிட்டிஷ் இரகசிய சேவையில்."
"00:24:16,372 --> 00:24:18,581",Early reports from the scene indicate,இருந்து ஆரம்ப அறிக்கைகள் காட்சி குறிப்பிடுகிறது
"00:24:18,707 --> 00:24:20,917","at least six dead, many more injured,","குறைந்தது ஆறு பேர் இறந்தனர் மேலும் பலர் காயமடைந்தனர்,"
"00:24:21,127 --> 00:24:24,045",with victims being evacuated to local hospitals,பாதிக்கப்பட்டவர்கள் வெளியேற்றப்பட்டனர் உள்ளூர் மருத்துவமனைகளுக்கு
"00:24:24,130 --> 00:24:25,964",within minutes of the explosion.,நிமிடங்களுக்குள் வெடிப்பு.
"00:24:44,400 --> 00:24:46,151","It's time to go, ma'am.",செல்ல நேரமாகிவிட்டது ஐயா.
"00:24:49,113 --> 00:24:51,406",I'm going to find whoever did this.,நான் கண்டுபிடிக்கப் போகிறேன் இதை யார் செய்தாலும்.
"00:25:40,623 --> 00:25:42,373",Where the hell have you been?,நீங்கள் எங்கே இருந்தீர்கள்?
"00:25:43,167 --> 00:25:45,126",Enjoying death.,மரணத்தை அனுபவிக்கிறார்கள்.
"00:25:46,462 --> 00:25:49,047",007 reporting for duty.,007 பணிக்கு அறிக்கை.
"00:25:56,472 --> 00:25:58,014",Why didn't you call?,ஏன் அழைக்கவில்லை?
"00:25:58,474 --> 00:26:00,475",You didn't get the postcard?,உங்களுக்கு அஞ்சல் அட்டை கிடைக்கவில்லையா?
"00:26:00,893 --> 00:26:02,727",You should try it some time. Get away from it all.,நீங்கள் சிறிது நேரம் முயற்சி செய்ய வேண்டும். எல்லாவற்றிலிருந்தும் விலகி விடுங்கள்.
"00:26:02,853 --> 00:26:04,687",lt really lends perspective.,இது உண்மையில் முன்னோக்கை அளிக்கிறது.
"00:26:05,314 --> 00:26:07,148","Ran out of drink where you were, did they?","குடிப்பழக்கம் தீர்ந்துவிட்டது நீங்கள் எங்கே இருந்தீர்கள், இல்லையா?"
"00:26:07,358 --> 00:26:08,983",What was it you said?,நீங்கள் என்ன சொன்னீர்கள்?
"00:26:09,401 --> 00:26:11,486","""Take the bloody shot.""","""இரத்தம் தோய்ந்த ஷாட் எடு."""
"00:26:11,654 --> 00:26:13,029",I made a judgment call.,நான் ஒரு தீர்ப்பை அழைத்தேன்.
"00:26:13,197 --> 00:26:15,657",You should have trusted me to finish the job.,நீங்கள் என்னை நம்பியிருக்க வேண்டும் வேலையை முடிக்க.
"00:26:15,824 --> 00:26:17,659",lt was the possibility of losing you,அது சாத்தியமாக இருந்தது உன்னை இழப்பதில்
"00:26:17,826 --> 00:26:20,328",or the certainty of losing all those other agents.,அல்லது இழப்பது உறுதி மற்ற அனைத்து முகவர்கள்.
"00:26:20,579 --> 00:26:23,331",I made the only decision I could and you know it.,நான் மட்டும் செய்தேன் என்னால் முடிந்த முடிவு அது உனக்கு தெரியும்.
"00:26:24,375 --> 00:26:25,667",I think you lost your nerve.,நீங்கள் உங்கள் நரம்புகளை இழந்துவிட்டீர்கள் என்று நினைக்கிறேன்.
"00:26:25,834 --> 00:26:28,253","What do you expect, a bloody apology?","நீங்கள் என்ன எதிர்பார்க்கிறீர்கள், இரத்தக்களரி மன்னிப்பு?"
"00:26:28,671 --> 00:26:30,046",You know the rules of the game.,உங்களுக்கு தெரியும் விளையாட்டின் விதிகள்.
"00:26:30,172 --> 00:26:31,589",You've been playing it long enough.,நீங்கள் இருந்திருக்கிறீர்கள் போதுமான நேரம் விளையாடுகிறேன்.
"00:26:31,674 --> 00:26:32,715",We both have.,நாங்கள் இருவரும் வைத்திருக்கிறோம்.
"00:26:33,676 --> 00:26:34,926",Maybe too long.,மிக நீண்டதாக இருக்கலாம்.
"00:26:35,761 --> 00:26:37,262",Speak for yourself.,நீங்களே பேசுங்கள்.
"00:26:39,890 --> 00:26:41,849","Ronson didn't make it, did he?","ரான்சன் அதைச் செய்யவில்லை, இல்லையா?"
"00:26:42,935 --> 00:26:44,018",No.,இல்லை
"00:26:47,356 --> 00:26:48,856",So this is it.,எனவே இதுதான்.
"00:26:49,275 --> 00:26:51,276",We're both played out.,நாங்கள் இருவரும் விளையாடி விட்டோம்.
"00:26:52,194 --> 00:26:54,404","Well, if you believe that, why did you come back?","சரி, நீங்கள் அதை நம்பினால், நீ ஏன் திரும்பி வந்தாய்?"
"00:26:54,863 --> 00:26:56,197",Good question.,நல்ல கேள்வி.
"00:26:57,950 --> 00:26:59,784",Because we're under attack.,ஏனென்றால் நாங்கள் தாக்குதலுக்கு உள்ளாகிறோம்.
"00:27:01,704 --> 00:27:03,788",And you know we need you.,எங்களுக்கு நீங்கள் தேவை என்று உங்களுக்குத் தெரியும்.
"00:27:08,043 --> 00:27:09,294","Well, I'm here.","சரி, நான் இங்கே இருக்கிறேன்."
"00:27:11,046 --> 00:27:14,632",You'll have to be debriefed and declared fit for active service.,நீங்கள் விளக்கமளிக்கப்பட வேண்டும் மற்றும் பொருத்தமாக அறிவிக்கப்பட்டது செயலில் சேவைக்காக.
"00:27:15,217 --> 00:27:17,552","You can only return to duty when you've passed the tests,","நீங்கள் மட்டுமே திரும்ப முடியும் நீங்கள் இருக்கும் போது கடமைக்கு சோதனைகளில் தேர்ச்சி,"
"00:27:17,720 --> 00:27:20,054",so take them seriously.,எனவே அவற்றை தீவிரமாக எடுத்துக் கொள்ளுங்கள்.
"00:27:20,472 --> 00:27:22,640",And a shower might be in order.,மற்றும் ஒரு மழை ஒழுங்காக இருக்கலாம்.
"00:27:23,392 --> 00:27:24,892",I'll go home and change.,நான் வீட்டுக்குப் போய் மாற்றிக் கொள்கிறேன்.
"00:27:25,477 --> 00:27:29,063","Oh, we've sold your flat, put your things into storage.","ஓ, நாங்கள் உங்கள் குடியிருப்பை விற்றுவிட்டோம், உங்கள் பொருட்களை சேமிப்பில் வைக்கவும்."
"00:27:30,107 --> 00:27:33,234",Standard procedure on the death of an unmarried employee,நிலையான நடைமுறை இறப்பு மீது ஒரு திருமணமாகாத ஊழியர்
"00:27:33,319 --> 00:27:35,611",with no next of kin.,உறவினர்கள் யாரும் இல்லாமல்.
"00:27:35,738 --> 00:27:37,405",You should have called.,நீங்கள் அழைத்திருக்க வேண்டும்.
"00:27:37,573 --> 00:27:39,282",I'll find a hotel.,நான் ஒரு ஹோட்டலைக் கண்டுபிடிப்பேன்.
"00:27:39,575 --> 00:27:41,909","Well, you're bloody well not sleeping here.","சரி, நீங்கள் இரத்தம் தோய்ந்தவர் சரி இங்கே தூங்கவில்லை."
