Timeline,en_dialogue,tamil_dialogue
"00:10:22,789 --> 00:10:24,957",Surprise!,ஆச்சரியம்!
"00:10:25,125 --> 00:10:27,042","Well, say something.","சரி, ஏதாவது சொல்லுங்கள்."
"00:10:27,210 --> 00:10:28,460",What's the occasion?,என்ன சந்தர்ப்பம்?
"00:10:28,628 --> 00:10:31,213","Really, Peter. It's your birthday!","உண்மையில், பீட்டர். இது உங்கள் பிறந்தநாள்!"
"00:10:31,756 --> 00:10:34,550",Whether you want to remember it or not.,நீங்கள் விரும்பினாலும் சரி அதை நினைவில் கொள்ள வேண்டுமா இல்லையா.
"00:10:34,926 --> 00:10:38,220","He lives in another reality. Don't you, Pete?","அவர் வேறொரு யதார்த்தத்தில் வாழ்கிறார். இல்லையா, பீட்?"
"00:10:38,388 --> 00:10:40,305","-Hi, M.j. -Hi.","- வணக்கம், எம்.ஜே. -வணக்கம்."
"00:10:40,807 --> 00:10:42,182","-Hey, buddy. -Hey.","- ஏய், நண்பா. -ஏய்."
"00:10:42,350 --> 00:10:43,600","Long time, no see.",நெடு நாட்களாக பார்க்க வில்லை.
"00:10:44,477 --> 00:10:47,646",So how's the play? I read a great review.,அப்புறம் எப்படி நாடகம்? அருமையான விமர்சனம் படித்தேன்.
"00:10:47,814 --> 00:10:49,481",It's going fine. lt's going good.,நன்றாகப் போகிறது. நன்றாகப் போகிறது.
"00:10:49,649 --> 00:10:50,941",She's brilliant in it.,அவள் அதில் புத்திசாலி.
"00:10:51,109 --> 00:10:52,776",Harry sent me roses.,ஹாரி எனக்கு ரோஜாக்களை அனுப்பினார்.
"00:10:52,944 --> 00:10:55,487","So where you been, pal? You don't return my calls.","நீங்கள் எங்கே இருந்தீர்கள், நண்பரே? என் அழைப்புகளை நீங்கள் திருப்பி அனுப்பவில்லை."
"00:10:56,990 --> 00:10:58,824",I've been busy.,நான் பிஸியாக இருந்தேன்.
"00:10:58,992 --> 00:11:02,578",Taking pictures of Spider-Man? How's the bug these days?,ஸ்பைடர் மேனின் படங்களை எடுக்கிறீர்களா? இந்த நாட்களில் பிழை எப்படி இருக்கிறது?
"00:11:02,746 --> 00:11:04,705","The less you see of that man, the better.","அந்த மனிதனை நீங்கள் குறைவாகப் பார்க்கிறீர்கள், சிறந்த."
"00:11:04,873 --> 00:11:08,333","Now, let's all go into the other room and have something to eat.","இப்போது, ​​அனைவரும் மற்ற அறைக்குள் செல்வோம் மற்றும் ஏதாவது சாப்பிட வேண்டும்."
"00:11:08,501 --> 00:11:09,793",I'll get the hors d'oeuvres.,நான் ஹார்ஸ் டி'ஓயூவ்ரஸைப் பெறுவேன்.
"00:11:09,961 --> 00:11:12,087",So how are things going at Oscorp?,ஆஸ்கார்ப்பில் விஷயங்கள் எப்படி நடக்கிறது?
"00:11:12,255 --> 00:11:15,132",They're great. I'm head of Special Projects.,அவர்கள் மிகவும் அருமையானவர்கள். நான் சிறப்புத் திட்டங்களின் தலைவர்.
"00:11:15,300 --> 00:11:17,509",We're about to make a breakthrough on fusion.,நாங்கள் உருவாக்க உள்ளோம் இணைவில் ஒரு திருப்புமுனை.
"00:11:17,677 --> 00:11:21,805","How lovely, Harry. Your father would be so proud, rest his soul.","எவ்வளவு அருமை, ஹாரி. உங்கள் தந்தை மிகவும் பெருமையாக இருக்கும், அவரது ஆன்மா சாந்தியடையும்."
"00:11:21,973 --> 00:11:23,265",Thank you.,நன்றி.
"00:11:23,683 --> 00:11:27,436","We're actually funding one of your idols, Pete. Otto Octavius.","நாங்கள் உண்மையில் நிதியளிக்கிறோம் உங்கள் சிலைகளில் ஒன்று, பீட். ஓட்டோ ஆக்டேவியஸ்."
"00:11:27,604 --> 00:11:30,022",-l'm writing a paper on him. -You want to meet him?,- நான் அவரைப் பற்றி ஒரு காகிதத்தை எழுதுகிறேன். - நீங்கள் அவரை சந்திக்க விரும்புகிறீர்களா?
"00:11:30,190 --> 00:11:31,482",You'd introduce me?,நீங்கள் என்னை அறிமுகப்படுத்துவீர்களா?
"00:11:31,649 --> 00:11:34,860",You bet. Octavius is gonna put Oscorp on the map...,நீங்கள் பந்தயம் கட்டுகிறீர்கள். ஆக்டேவியஸ் ஆகும் ஆஸ்கார்ப்பை வரைபடத்தில் வைக்கப் போகிறேன்...
"00:11:35,028 --> 00:11:37,029",...in a way my father never even dreamed of.,ஒரு விதத்தில் என் அப்பா கனவில் கூட நினைத்ததில்லை.
"00:11:37,197 --> 00:11:39,156","M.j., could you give me a hand?","எம்.ஜே., எனக்கு ஒரு கை கொடுக்க முடியுமா?"
"00:11:41,534 --> 00:11:43,118","She's waiting for you, pal.","அவள் உனக்காக காத்திருக்கிறாள், நண்பா."
"00:11:43,828 --> 00:11:45,037",What do you mean?,நீங்கள் என்ன சொல்கிறீர்கள்?
"00:11:45,205 --> 00:11:47,706",The way she looks at you or doesn't look at you.,அவள் உன்னைப் பார்க்கும் விதம் அல்லது உன்னை பார்க்கவில்லை.
"00:11:48,249 --> 00:11:49,625",However you want to look at it.,இருப்பினும் நீங்கள் அதைப் பார்க்க வேண்டும்.
"00:11:49,959 --> 00:11:52,127",I don't have time for girls right now.,எனக்கு இப்போது பெண்களுக்கு நேரமில்லை.
"00:11:52,295 --> 00:11:53,629","Why, are you dead?","ஏன், நீங்கள் இறந்துவிட்டீர்களா?"
"00:11:53,797 --> 00:11:55,297",I've been kind of busy.,நான் கொஞ்சம் பிஸியாக இருந்தேன்.
"00:11:55,548 --> 00:11:57,174",Taking pictures of your friend?,உங்கள் நண்பரின் படங்களை எடுக்கிறீர்களா?
"00:11:58,635 --> 00:12:00,177",Could we get off that subject?,நாம் அந்த விஷயத்திலிருந்து விடுபட முடியுமா?
"00:12:00,678 --> 00:12:03,680","I want us to be friends, Harry. I want us to trust each other.","நாங்கள் நண்பர்களாக இருக்க வேண்டும் என்று நான் விரும்புகிறேன், ஹாரி. நாம் ஒருவரையொருவர் நம்ப வேண்டும் என்று நான் விரும்புகிறேன்."
"00:12:03,848 --> 00:12:05,474",Then be honest with me.,பிறகு என்னுடன் நேர்மையாக இருங்கள்.
"00:12:05,975 --> 00:12:08,352","If you knew who he was, would you tell me?","அவர் யார் என்று தெரிந்தால், நீ என்னிடம் சொல்வாயா?"
"00:12:31,960 --> 00:12:33,460",May.,மே.
"00:12:33,628 --> 00:12:35,170","Oh, what, Ben?","ஓ, என்ன, பென்?"
"00:12:36,506 --> 00:12:38,465",Wait.,காத்திரு.
"00:12:38,675 --> 00:12:40,092","-Aunt May. -Oh, my.","-அத்தை மே. - ஓ, என்."
"00:12:40,510 --> 00:12:45,722","Oh, Peter. Oh, for a second there, I thought I was years ago.","ஓ, பீட்டர். ஓ, ஒரு நொடி அங்கே, நான் பல ஆண்டுகளுக்கு முன்பு என்று நினைத்தேன்."
"00:12:47,934 --> 00:12:49,852","Everybody's gone, aren't they?","எல்லோரும் போய்விட்டார்கள், இல்லையா?"
"00:12:50,311 --> 00:12:51,979",Did they have a good time?,அவர்களுக்கு நல்ல நேரம் கிடைத்ததா?
"00:12:52,480 --> 00:12:53,730",I'm sure they did.,அவர்கள் செய்தார்கள் என்று நான் உறுதியாக நம்புகிறேன்.
"00:12:55,567 --> 00:12:59,403",-You okay? -Of course. But you go home.,- நீங்கள் நலமா? -நிச்சயமாக. ஆனால் நீ வீட்டுக்கு போ.
"00:13:00,029 --> 00:13:05,200",And be careful. l don't like that scooter thing you drive around.,மற்றும் கவனமாக இருங்கள். எனக்கு அது பிடிக்கவில்லை நீங்கள் ஓட்டும் ஸ்கூட்டர் பொருள்.
"00:13:05,952 --> 00:13:07,161",I'm worried about you.,நான் உன்னைப் பற்றி கவலைப்படுகிறேன்.
"00:13:07,579 --> 00:13:12,541",You're so alone. And l saw the letter from the bank.,நீங்கள் தனியாக இருக்கிறீர்கள். நான் வங்கியிலிருந்து கடிதத்தைப் பார்த்தேன்.
"00:13:12,709 --> 00:13:15,169","Oh, my. You did?","ஓ, என். நீ செய்தாய்?"
"00:13:15,670 --> 00:13:17,004","Oh, well.",அப்படியா நல்லது.
"00:13:17,172 --> 00:13:18,589",So?,அதனால்?
"00:13:19,174 --> 00:13:20,841",I'm a little behind.,நான் கொஞ்சம் பின் தங்கி இருக்கிறேன்.
"00:13:21,843 --> 00:13:23,552",Everybody is.,எல்லோரும் தான்.
"00:13:24,220 --> 00:13:27,222","Anyway, I don't want to talk about it anymore.","ஆனா, எனக்கு வேண்டாம் இனி அதை பற்றி பேச."
"00:13:27,390 --> 00:13:31,101","I'm tired, and you better start back home.","நான் சோர்வாக இருக்கிறேன், நீங்கள் வீட்டிற்குத் திரும்புவது நல்லது."
"00:13:32,896 --> 00:13:35,397","Here, kiddo. Happy birthday.","இதோ, குட்டி. பிறந்தநாள் வாழ்த்துக்கள்."
"00:13:35,773 --> 00:13:37,399",You need it more than I do.,என்னை விட உங்களுக்கு இது தேவை.
"00:13:37,567 --> 00:13:40,068","-No, I can't take that from you. -Yes, you can!","- இல்லை, என்னால் அதை உங்களிடமிருந்து எடுக்க முடியாது. -ஆமாம் உன்னால் முடியும்!"
"00:13:40,236 --> 00:13:42,279",You can take this money from me.,இந்த பணத்தை நீங்கள் என்னிடம் இருந்து எடுக்கலாம்.
"00:13:42,447 --> 00:13:45,199","For God's sake, it's not much. Now, take it!","கடவுளின் பொருட்டு, அது அதிகம் இல்லை. இப்போது, ​​அதை எடுத்துக்கொள்!"
"00:13:45,366 --> 00:13:47,868",And don't you dare leave it here.,நீங்கள் அதை இங்கே விட்டுவிட தைரியம் இல்லை.
"00:13:48,036 --> 00:13:49,953","Oh, l'm sorry.","ஓ, மன்னிக்கவும்."
"00:13:51,164 --> 00:13:54,708",It's just that l miss your uncle Ben so much.,நான் மிஸ் பண்ணுவது தான் உங்கள் மாமா பென் மிகவும்.
"00:13:56,836 --> 00:14:01,757",Can you believe that it's two years next month since he was taken?,இரண்டு வருடங்கள் என்றால் நம்ப முடிகிறதா அவர் எடுக்கப்பட்டதிலிருந்து அடுத்த மாதம்?
"00:14:04,093 --> 00:14:06,303",I think to myself at times...,சில சமயங்களில் நானே நினைத்துக் கொள்கிறேன்...
"00:14:07,472 --> 00:14:11,767","...were I to face the one responsible for what happened, l'd....","... பொறுப்பானவரை நான் எதிர்கொள்ள வேண்டுமா? என்ன நடந்தது என்பதற்காக, நான்...."
"00:14:12,810 --> 00:14:14,853","Oh, l don't know what l'd do.","ஓ, நான் என்ன செய்வேன் என்று எனக்குத் தெரியவில்லை."
"00:14:21,402 --> 00:14:22,986",Now...,இப்போது...
"00:14:24,906 --> 00:14:27,616",...you better take the rest of your cake home.,... நீங்கள் எடுத்துக்கொள்வது நல்லது உங்கள் கேக் வீட்டில் மீதமுள்ளவை.
"00:14:44,008 --> 00:14:46,176",Hey. You're still here.,ஏய். நீங்கள் இன்னும் இங்கே இருக்கிறீர்கள்.
"00:14:47,261 --> 00:14:48,929",I saw your billboard on Bleecker.,ப்ளீக்கரில் உங்கள் விளம்பரப் பலகையைப் பார்த்தேன்.
"00:14:49,138 --> 00:14:52,391",Isn't it funny? I'm really kind of embarrassed.,வேடிக்கையாக இல்லையா? நான் உண்மையிலேயே வெட்கப்படுகிறேன்.
"00:14:52,558 --> 00:14:56,645",Don't be. lt's nice. I get to see you every day now.,இருக்காதே. நன்றாக இருக்கிறது. இனி தினமும் உன்னைப் பார்க்கிறேன்.
"00:14:59,357 --> 00:15:01,692","I liked seeing you tonight, Peter.","இன்றிரவு உன்னைப் பார்த்தது எனக்குப் பிடித்திருந்தது, பீட்டர்."
"00:15:03,945 --> 00:15:05,696","Oh, boy, yeah.","ஓ, பையன், ஆமாம்."
"00:15:06,322 --> 00:15:09,282","""Oh, boy, yeah"" what?","""ஓ, பையன், ஆமாம்"" என்ன?"
"00:15:13,788 --> 00:15:15,455",Nothing.,ஒன்றுமில்லை.
"00:15:19,711 --> 00:15:21,670",Do you want to say something?,நீங்கள் ஏதாவது சொல்ல விரும்புகிறீர்களா?
"00:15:27,677 --> 00:15:29,261",I...,நான்...
"00:15:35,184 --> 00:15:36,476",...was...,... இருந்தது...
"00:15:37,478 --> 00:15:40,731",...wondering if you're still in the Village.,... நீங்கள் இன்னும் இருக்கிறீர்களா என்று ஆச்சரியமாக இருக்கிறது கிராமத்தில்.
"00:15:49,866 --> 00:15:51,908",You're such a mystery.,நீங்கள் ஒரு மர்மம்.
"00:16:02,170 --> 00:16:03,962",Peter.,பீட்டர்.
"00:16:05,381 --> 00:16:06,882",What?,என்ன?
"00:16:11,888 --> 00:16:13,597",Happy birthday.,பிறந்தநாள் வாழ்த்துக்கள்.
"00:16:22,273 --> 00:16:24,441",I'm seeing somebody now.,நான் இப்போது ஒருவரைப் பார்க்கிறேன்.
"00:16:25,068 --> 00:16:27,444","You mean, like a boyfriend?",காதலனைப் போல என்கிறீர்களா?
"00:16:27,612 --> 00:16:30,280","Well, like I like him.","சரி, நான் அவரை விரும்புகிறேன் போல."
"00:16:38,081 --> 00:16:41,333","That's good, you know? Companionship....","அது நல்லது, தெரியுமா? தோழமை...."
"00:16:43,044 --> 00:16:44,711",May be more than that.,அதைவிட அதிகமாக இருக்கலாம்.
"00:16:45,797 --> 00:16:47,380",More?,மேலும்?
"00:16:48,091 --> 00:16:49,549",I don't know.,எனக்கு தெரியாது.
"00:16:50,885 --> 00:16:53,095",I'm coming to see your play tomorrow night.,உங்கள் நாடகத்தைப் பார்க்க வருகிறேன் நாளை இரவு.
"00:16:56,140 --> 00:16:59,101",-You're coming? -l'll be there.,- நீங்கள் வருகிறீர்களா? - நான் அங்கே இருப்பேன்.
"00:17:00,103 --> 00:17:01,770",Don't disappoint me.,என்னை ஏமாற்ற வேண்டாம்.
"00:17:03,231 --> 00:17:04,898",I won't.,நான் மாட்டேன்.
"00:17:19,080 --> 00:17:20,622",Rent.,வாடகை.
"00:17:24,460 --> 00:17:27,129","-Hi. -Hi. What's ""hi""?","-வணக்கம். -வணக்கம். ""ஹாய்"" என்றால் என்ன?"
