en_dialogue,Timeline,tamil_dialogue
Five.,"00:02:17,906 --> 00:02:18,941",ஐந்து.
Oppenheimer still divides America.,"00:02:19,808 --> 00:02:21,542",ஓபன்ஹைமர் இன்னும் அமெரிக்காவை பிரிக்கிறது.
The committee is gonna want to know where you stood.,"00:02:21,575 --> 00:02:23,946",குழு விரும்புகிறது நீங்கள் எங்கு நின்றீர்கள் என்பதை அறிய.
Senator Thurmond asked me to say,"00:02:23,979 --> 00:02:26,081",செனட்டர் தர்மண்ட் என்னிடம் சொல்லும்படி கேட்டார்
not to feel that you're on trial.,"00:02:26,114 --> 00:02:27,950",அதை உணரக்கூடாது நீங்கள் விசாரணையில் இருக்கிறீர்கள்.
"Oh, funny, I didn't till you just said that.","00:02:27,983 --> 00:02:31,519","ஓ, வேடிக்கை, நான் செய்யவில்லை நீங்கள் அதை சொல்லும் வரை."
"- Really, Mr. Strauss... - It's Admiral.","00:02:31,552 --> 00:02:33,155","- உண்மையில், மிஸ்டர் ஸ்ட்ராஸ்... - இது அட்மிரல்."
"Um, Admiral Strauss. This is a formality.","00:02:33,188 --> 00:02:36,124","உம், அட்மிரல் ஸ்ட்ராஸ். இது ஒரு சம்பிரதாயம்."
President Eisenhower has asked you to be in his cabinet.,"00:02:36,158 --> 00:02:38,659",ஜனாதிபதி ஐசனோவர் கேட்டுள்ளார் நீங்கள் அவருடைய அமைச்சரவையில் இருக்க வேண்டும்.
Senate really has no choice but to confirm you.,"00:02:38,693 --> 00:02:40,561",செனட் உண்மையில் இல்லை தேர்வு ஆனால் உங்களை உறுதிப்படுத்துவது.
And if they bring up Oppenheimer?,"00:02:40,594 --> 00:02:42,831",மற்றும் அவர்கள் கொண்டு வந்தால் ஓபன்ஹெய்மர் வரை?
"When they bring up Oppenheimer, you answer honestly.","00:02:42,864 --> 00:02:45,233","அவர்கள் ஓபன்ஹைமரை வளர்க்கும்போது, நீங்கள் நேர்மையாக பதிலளிக்கிறீர்கள்."
No senator can deny you did your duty.,"00:02:45,267 --> 00:02:47,668",எந்த செனட்டரும் மறுக்க முடியாது நீங்கள் உங்கள் கடமையை செய்தீர்கள்.
It'll be uncomfortable. (chuckles awkwardly),"00:02:47,702 --> 00:02:49,838",அது சங்கடமாக இருக்கும். (சங்கடமாக சிரிக்கிறார்)
(clamoring),"00:02:53,108 --> 00:02:54,742",(குழப்பம்)
ROGER ROBB: Why did you leave the United States?,"00:02:56,945 --> 00:02:59,647",ரோஜர் ராப்: ஏன் செய்தாய் அமெரிக்காவை விட்டு வெளியேறவா?
"I, uh... I wanted to study the new physics.","00:03:01,749 --> 00:03:05,153","நான், ஓ... நான் விரும்பினேன் புதிய இயற்பியல் படிக்க."
GRAY: Was there nowhere here?,"00:03:05,187 --> 00:03:06,721",கிரே: இங்கே எங்கும் இல்லையா?
I thought Berkeley had the leading,"00:03:06,754 --> 00:03:08,756",நான் பெர்க்லி என்று நினைத்தேன் முன்னணியில் இருந்தது
theoretical physics department.,"00:03:08,789 --> 00:03:10,624",தத்துவார்த்த இயற்பியல் துறை.
Yes. Once I built it.,"00:03:10,658 --> 00:03:13,228",ஆம். ஒருமுறை நான் கட்டினேன்.
But first I had to go to Europe.,"00:03:13,261 --> 00:03:14,863",ஆனால் முதலில் நான் ஐரோப்பா செல்ல வேண்டியிருந்தது.
I went to Cambridge to study under Patrick Blackett.,"00:03:14,896 --> 00:03:18,266",படிக்க கேம்பிரிட்ஜ் போனேன் பேட்ரிக் பிளாகெட்டின் கீழ்.
Were you happier there than in America?,"00:03:18,300 --> 00:03:20,902",நீங்கள் மகிழ்ச்சியாக இருந்தீர்களா அமெரிக்காவை விட அங்கு?
- Happier? - Yes.,"00:03:20,936 --> 00:03:23,071",- மகிழ்ச்சியா? - ஆம்.
(unsettling music playing),"00:03:23,105 --> 00:03:25,639",(அமைதியற்ற இசை ஒலித்தல்)
"No. No, I, uh...","00:03:27,042 --> 00:03:30,045","இல்லை. இல்லை, நான், ஓ..."
"<i>I was homesick, um...</i>",,
emotionally immature...,"00:03:35,750 --> 00:03:37,718",உணர்ச்சி முதிர்ச்சியற்ற...
<i>troubled by visions of a hidden universe.</i>,,
(soft blast),"00:03:44,059 --> 00:03:45,526",(மென்மையான வெடிப்பு)
(rumbling),"00:03:48,063 --> 00:03:50,832",(உரைச்சல்)
Useless in the lab.,"00:03:55,070 --> 00:03:56,905",ஆய்வகத்தில் பயனற்றது.
(glass shattering),"00:03:56,938 --> 00:03:58,539",(கண்ணாடி நொறுங்குதல்)
"Christ, Oppenheimer.","00:04:01,943 --> 00:04:04,046","கிறிஸ்து, ஓபன்ஹைமர்."
Have you had any sleep?,"00:04:04,079 --> 00:04:06,148",உங்களுக்கு தூக்கம் வந்ததா?
Start again.,"00:04:07,949 --> 00:04:09,184",மீண்டும் தொடங்க.
"I need to go to the lecture, sir.","00:04:09,217 --> 00:04:11,719","நான் செல்ல வேண்டும் விரிவுரை, ஐயா."
Why?,"00:04:11,752 --> 00:04:13,155",ஏன்?
It's Niels Bohr.,"00:04:13,188 --> 00:04:15,090",நீல்ஸ் போர் தான்.
"BLACKETT: Damn, completely forgot.","00:04:17,893 --> 00:04:19,593","பிளாக்கெட்: அடடா, முற்றிலும் மறந்துவிட்டது."
All right. (clears throat) Let's go.,"00:04:19,627 --> 00:04:21,830",எல்லாம் சரி. (தெளிவுபடுத்துகிறது தொண்டை) போகலாம்.
"- Oh, no, not you, Oppenheimer. - (students laughing)","00:04:24,166 --> 00:04:26,077","- ஓ, இல்லை, நீங்கள் அல்ல, ஓப்பன்ஹைமர். - (மாணவர்கள் சிரிக்கிறார்கள்)"
You finish coating those plates.,"00:04:26,101 --> 00:04:27,211",நீங்கள் அந்த தட்டுகளை பூசி முடிக்கிறீர்கள்.
STUDENT 1: You see them?,"00:04:27,235 --> 00:04:29,071",மாணவர் 1: நீங்கள் அவர்களைப் பார்க்கிறீர்களா?
(students laughing),"00:04:29,104 --> 00:04:30,906",(மாணவர்கள் சிரிக்கிறார்கள்)
STUDENT 2: Don't forget to clean up!,"00:04:34,642 --> 00:04:36,610",மாணவர் 2: வேண்டாம் சுத்தம் செய்ய மறந்து விடுங்கள்!
(cabinet door closes),"00:05:02,670 --> 00:05:04,139",(அமைச்சரவை கதவு மூடுகிறது)
"BOHR: <i>Quantum physics is not a step forward,</i>",,
it is a new way to understand reality.,"00:05:11,745 --> 00:05:15,250",இது ஒரு புதிய வழி யதார்த்தத்தை புரிந்து கொள்ளுங்கள்.
"Einstein's opened the door, now we are peering through,","00:05:15,283 --> 00:05:18,854","ஐன்ஸ்டீன் கதவைத் திறந்தார். இப்போது நாம் உற்று நோக்குகிறோம்,"
seeing a world inside our world.,"00:05:18,887 --> 00:05:21,789",நம் உலகில் ஒரு உலகத்தைப் பார்க்கிறோம்.
A world of energy and paradox that not everyone can accept.,"00:05:21,823 --> 00:05:27,229",ஆற்றல் மற்றும் முரண்பாடான உலகம் எல்லோரும் ஏற்றுக்கொள்ள முடியாது.
(unsettling music continues),"00:05:28,864 --> 00:05:31,867",(அமைதியற்ற இசை தொடர்கிறது)
- (music fades out) - (bell tolling),"00:05:57,791 --> 00:05:59,693",- (இசை மங்குகிறது) - (மணி அடித்தல்)
(indistinct chatter),"00:06:03,431 --> 00:06:05,200",(தெளிவற்ற உரையாடல்)
"Yeah, definitely.","00:06:09,337 --> 00:06:10,771","ஆம், நிச்சயமாக."
- (panting) - Are you all right?,"00:06:10,805 --> 00:06:12,174",- (மூச்சுத்திணறல்) - நீங்கள் நன்றாக இருக்கிறீர்களா?
"Niels, meet J. Robert Oppenheimer.","00:06:13,408 --> 00:06:15,243","நீல்ஸ், ஜே. ராபர்ட் ஓபன்ஹைமர்."
"BOHR: What's the ""J"" stand for?","00:06:15,277 --> 00:06:16,777","போஹர்: என்ன ""ஜே"" என்பது?"
"Nothing, apparently.","00:06:16,811 --> 00:06:18,779","எதுவும் இல்லை, வெளிப்படையாக."
You were at my lecture.,"00:06:18,813 --> 00:06:19,915",நீங்கள் என் விரிவுரையில் இருந்தீர்கள்.
You asked the only good question.,"00:06:19,948 --> 00:06:21,349",நீங்கள் மட்டும் கேட்டீர்கள் நல்ல கேள்வி.
BLACKETT: No one's denying his insight.,"00:06:21,383 --> 00:06:23,118",பிளாக்கெட்: யாரும் இல்லை அவரது நுண்ணறிவை மறுக்கிறது.
It's his laboratory work that leaves a little to be desired.,"00:06:23,151 --> 00:06:25,229",அது அவருடைய ஆய்வக வேலை விரும்புவதற்கு கொஞ்சம் விட்டு விடுகிறது.
(swallows) I heard you give the same lecture...,"00:06:25,253 --> 00:06:27,093",(விழுங்குகிறது) நான் உன்னைக் கேட்டேன் அதே விரிவுரையை கொடுங்கள்...
"At Harvard, yes, and you asked the same question.","00:06:27,122 --> 00:06:30,325","ஹார்வர்டில், ஆம், நீங்களும் அதே கேள்வியை கேட்டார்."
Why ask again?,"00:06:30,358 --> 00:06:31,459",மீண்டும் ஏன் கேட்க வேண்டும்?
Hadn't liked your answer.,"00:06:31,493 --> 00:06:33,094",உங்கள் பதில் பிடிக்கவில்லை.
Did you like it better yesterday?,"00:06:34,462 --> 00:06:36,198",உங்களுக்கு பிடித்ததா நேற்று சிறந்ததா?
A lot.,"00:06:36,231 --> 00:06:37,499",நிறைய.
You can lift the stone without being ready,"00:06:37,532 --> 00:06:39,434",கல்லைத் தூக்கலாம் தயாராக இல்லாமல்
for the snake that's revealed.,"00:06:39,467 --> 00:06:41,836",வெளிப்பட்ட பாம்புக்காக.
Now it seems you're ready.,"00:06:41,870 --> 00:06:44,005",இப்போது நீங்கள் தயாராக இருப்பதாகத் தெரிகிறது.
- But you don't enjoy the lab? - (continues panting),"00:06:44,039 --> 00:06:46,341",- ஆனால் நீங்கள் ஆய்வகத்தை அனுபவிக்கவில்லையா? - (தொடரும் மூச்சிரைப்பு)
So get out of Cambridge with its beakers and potions.,"00:06:46,374 --> 00:06:49,244",எனவே கேம்பிரிட்ஜில் இருந்து வெளியேறுங்கள் அதன் குவளைகள் மற்றும் மருந்து.
Go somewhere they let you think.,"00:06:49,277 --> 00:06:52,247","எங்காவது செல்லுங்கள், அவர்கள் உங்களை சிந்திக்க அனுமதிக்கிறார்கள்."
(whispers): Where?,"00:06:53,248 --> 00:06:54,883",(கிசுகிசுக்கள்): எங்கே?
Göttingen.,"00:06:55,517 --> 00:06:56,518",கோட்டிங்கன்.
- Born? - Born.,"00:06:56,551 --> 00:06:58,486",- பிறந்ததா? - பிறந்தார்.
"Get to Germany, study under Max Born.","00:06:58,520 --> 00:07:00,488","ஜெர்மனி செல்ல, Max Born கீழ் படிப்பு."
Learn the ways of theory.,"00:07:00,522 --> 00:07:03,158",கோட்பாட்டின் வழிகளைக் கற்றுக்கொள்ளுங்கள்.
I'll send word.,"00:07:03,191 --> 00:07:04,226",நான் செய்தி அனுப்புகிறேன்.
(gasps),"00:07:04,259 --> 00:07:05,827",(மூச்சுத்திணறல்)
- Wormhole. (exhales) - (apple clatters in trashcan),"00:07:05,860 --> 00:07:07,963",- வார்ம்ஹோல். (மூச்சு வெளியேறுகிறது) - (குப்பைத் தொட்டியில் ஆப்பிள் சத்தம்)
How's your mathematics?,"00:07:07,996 --> 00:07:09,364",உங்கள் கணிதம் எப்படி இருக்கிறது?
Not good enough for the physicist he wants to be.,"00:07:09,397 --> 00:07:11,366",க்கு போதுமானதாக இல்லை அவர் இயற்பியலாளர் ஆக விரும்புகிறார்.
Algebra's like sheet music.,"00:07:11,399 --> 00:07:13,969",அல்ஜீப்ரா தாள் இசை போன்றது.
"The important thing isn't ""Can you read music?""","00:07:14,002 --> 00:07:16,471","முக்கிய விஷயம் இல்லை ""உங்களுக்கு இசை படிக்க முடியுமா?"""
"It's ""Can you hear it?""","00:07:16,504 --> 00:07:17,505","அது ""நீங்கள் கேட்கிறீர்களா?"""
"Can you hear the music, Robert?","00:07:17,539 --> 00:07:20,842","ராபர்ட், நீங்கள் இசையைக் கேட்கிறீர்களா?"
"Yes, I can.","00:07:21,810 --> 00:07:23,378","ஆம், என்னால் முடியும்."
(classical music playing),"00:07:23,411 --> 00:07:25,947",(கிளாசிக்கல் இசை வாசித்தல்)
- (rumbling) - (metallic clinking),"00:07:28,116 --> 00:07:30,784",- (உரைச்சல்) - (உலோக கிளினிங்)
(intense classical music continues),"00:08:09,958 --> 00:08:13,061",(தீவிர கிளாசிக்கல் இசை தொடர்கிறது)
(music tempo increasing),"00:08:41,556 --> 00:08:43,358",(இசையின் வேகம் அதிகரிக்கிறது)
(music ends),"00:08:58,239 --> 00:08:59,074",(இசை முடிகிறது)
The senator from Wyoming.,"00:08:59,107 --> 00:09:00,608",வயோமிங்கிலிருந்து செனட்டர்.
"Admiral Strauss, I'm interested in your relationship","00:09:01,576 --> 00:09:04,045","அட்மிரல் ஸ்ட்ராஸ், நான் உங்கள் உறவில் ஆர்வம்"
with Dr. J. Robert Oppenheimer.,"00:09:04,079 --> 00:09:06,948",டாக்டர். ஜே. ராபர்ட் ஓப்பன்ஹைமர் உடன்.
You met him in 1947?,"00:09:06,981 --> 00:09:08,583",நீங்கள் அவரை 1947 இல் சந்தித்தீர்களா?
Correct.,"00:09:08,616 --> 00:09:09,584",சரி.
You were commissioner,"00:09:09,617 --> 00:09:11,386",நீங்கள் கமிஷனராக இருந்தீர்கள்
of the Atomic Energy Commission?,"00:09:11,419 --> 00:09:12,987",அணுசக்தி ஆணையத்தின்?
"I was, but I-I actually met Robert in my capacity","00:09:13,021 --> 00:09:16,958","நான் இருந்தேன், ஆனால் உண்மையில் நான் நான் ராபர்ட்டை சந்தித்தேன்"
as board member of the Institute for Advanced Study,"00:09:16,991 --> 00:09:19,661",வாரிய உறுப்பினராக மேம்பட்ட படிப்புக்கான நிறுவனம்
at Princeton because,"00:09:19,694 --> 00:09:21,496",பிரின்ஸ்டனில் ஏனெனில்
"after the war, he was world-renowned","00:09:21,529 --> 00:09:24,165","போருக்குப் பிறகு, அவர் உலகப் புகழ் பெற்றது"
"as the great man of physics, and I was determined","00:09:24,199 --> 00:09:26,601","இயற்பியலின் மாபெரும் மனிதராக, மற்றும் நான் உறுதியாக இருந்தேன்"
to get him to run the Institute.,"00:09:26,634 --> 00:09:29,337",அவரை இன்ஸ்டிடியூட் நடத்த வைக்க வேண்டும்.
(birds chirping),"00:09:29,371 --> 00:09:31,473",(பறவைகள் கிண்டல்)
(soft music playing),"00:09:31,506 --> 00:09:34,175",(மென்மையான இசை ஒலிக்கிறது)
Dr. Oppenheimer. An honor.,"00:09:38,513 --> 00:09:41,583",டாக்டர் ஓபன்ஹெய்மர். ஒரு மரியாதை.
Mr. Strauss.,"00:09:41,616 --> 00:09:42,951",திரு. ஸ்ட்ராஸ்.
"It's pronounced ""straws.""","00:09:42,984 --> 00:09:44,285","இது ""ஸ்ட்ராஸ்"" என்று உச்சரிக்கப்படுகிறது."
"ROBERT: Oh-ppenheimer, Oppenheimer.","00:09:45,186 --> 00:09:46,654","ராபர்ட்: ஓ-பென்ஹெய்மர், ஓபன்ஹெய்மர்."
"Whatever way you say it, they know I'm Jewish.","00:09:46,688 --> 00:09:48,556","நீங்கள் எப்படிச் சொன்னாலும், நான் யூதர் என்று அவர்களுக்குத் தெரியும்."
(Strauss chuckles),"00:09:48,590 --> 00:09:50,058",(ஸ்ட்ராஸ் சிரிக்கிறார்)
I'm president of Temple Emanu-El in Manhattan.,"00:09:50,091 --> 00:09:52,694",நான் கோவில் தலைவர் மன்ஹாட்டனில் உள்ள இமானு-எல்.
"""Straws"" is just the Southern pronunciation.","00:09:52,727 --> 00:09:54,996","""ஸ்ட்ராஸ்"" என்பது தான் தெற்கு உச்சரிப்பு."
"- Ah. - Anyway,","00:09:55,029 --> 00:09:56,064","- ஆ. - எப்படியும்,"
welcome to the Institute.,"00:09:56,097 --> 00:09:57,532",நிறுவனத்திற்கு வரவேற்கிறோம்.
I think you could be very happy here.,"00:09:57,565 --> 00:09:59,200",உங்களால் முடியும் என்று நினைக்கிறேன் இங்கே மிகவும் மகிழ்ச்சியாக இருங்கள்.
"Yes, well, you'll love the commute.","00:09:59,234 --> 00:10:01,169","ஆம், நீங்கள் செய்வீர்கள் பயணத்தை விரும்புகிறேன்."
The position comes with that house,"00:10:01,202 --> 00:10:02,537",பதவி வரும் அந்த வீட்டோடு
for you and your wife,"00:10:02,570 --> 00:10:04,038",உங்களுக்கும் உங்கள் மனைவிக்கும்
"and your, is it two children?","00:10:04,072 --> 00:10:06,241","உங்கள், அது இரண்டு குழந்தைகளா?"
"Yes, two.","00:10:06,274 --> 00:10:07,075","ஆம், இரண்டு."
I'm a great admirer of your work.,"00:10:07,108 --> 00:10:10,044",நான் ஒரு பெரிய ரசிகன் உங்கள் வேலையின்.
"And you're a physicist by training, Mr. Strauss?","00:10:10,078 --> 00:10:12,280","மேலும் நீங்கள் ஒரு இயற்பியலாளர் பயிற்சி மூலம், Mr. ஸ்ட்ராஸ்?"
"I'm sorry, uh, common room 4:00 tea.","00:10:12,313 --> 00:10:14,382","மன்னிக்கவும், அட, பொதுவான அறை 4:00 தேநீர்."
"No, I'm not trained in physics or anything else.","00:10:14,416 --> 00:10:17,185","இல்லை, நான் பயிற்சி பெறவில்லை இயற்பியல் அல்லது வேறு ஏதாவது."
- I'm a self-made man. - Ah.,"00:10:17,218 --> 00:10:19,053",- நான் சுயமாக உருவாக்கிய மனிதன். - ஆ.
- I can relate to that. - Really?,"00:10:19,087 --> 00:10:21,089",- நான் அதை தொடர்புபடுத்த முடியும். - உண்மையில்?
"Yes, my father was one.","00:10:21,122 --> 00:10:23,458","ஆம், என் தந்தை ஒருவர்."
And this would be your office.,"00:10:23,491 --> 00:10:27,061",இது உங்கள் அலுவலகமாக இருக்கும்.
I'm told he's there most afternoons.,"00:10:36,237 --> 00:10:38,173",அவர் அங்கே இருக்கிறார் என்று சொல்லியிருக்கிறேன் பெரும்பாலான பிற்பகல்.
"You know, I've always wondered","00:10:38,206 --> 00:10:40,308","உங்களுக்கு தெரியும், நான் எப்போதும் ஆச்சரியப்பட்டேன்"
why you didn't involve him in the Manhattan Project.,"00:10:40,341 --> 00:10:43,945",நீங்கள் ஏன் அவரை ஈடுபடுத்தவில்லை மன்ஹாட்டன் திட்டத்தில்.
Greatest scientific mind of our time.,"00:10:44,712 --> 00:10:48,216",மிகப் பெரிய அறிவியல் நம் காலத்தின் மனம்.
Of his time.,"00:10:48,249 --> 00:10:50,118",அவரது காலத்தின்.
Einstein published his Theory of Relativity,"00:10:50,151 --> 00:10:52,187",ஐன்ஸ்டீன் தனது பதிப்பை வெளியிட்டார் சார்பியல் கோட்பாடு
more than 40 years ago now.,"00:10:52,220 --> 00:10:55,156",இப்போது 40 ஆண்டுகளுக்கு முன்பு.
But never embraced the quantum world it revealed.,"00:10:56,224 --> 00:10:58,660",ஆனால் ஒருபோதும் தழுவவில்லை குவாண்டம் உலகம் அது வெளிப்படுத்தியது.
"""God doesn't play dice.""","00:10:58,693 --> 00:11:00,228","""கடவுள் பகடை விளையாடுவதில்லை."""
Precisely.,"00:11:00,261 --> 00:11:02,230",துல்லியமாக.
"You never thought of studying physics formally, Mr. Strauss?","00:11:02,263 --> 00:11:05,066","நீ படிக்க நினைக்கவே இல்லை இயற்பியல் முறைப்படி, திரு. ஸ்ட்ராஸ்?"
"Well, I had offers, but I chose to sell shoes.","00:11:05,099 --> 00:11:07,469","சரி, எனக்கு சலுகைகள் இருந்தன, ஆனால் நான் காலணிகள் விற்கத் தேர்ந்தெடுத்தேன்."
Lewis Strauss was once a lowly shoe salesman.,"00:11:07,502 --> 00:11:11,005",லூயிஸ் ஸ்ட்ராஸ் ஒரு காலத்தில் இருந்தார் ஒரு குறைந்த காலணி விற்பனையாளர்.
"No, just a shoe salesman.","00:11:11,773 --> 00:11:13,675","இல்லை, ஒரு ஷூ விற்பனையாளர்."
Huh.,"00:11:13,708 --> 00:11:15,977",ஹூ.
- I'd love to introduce you. - No need.,"00:11:17,245 --> 00:11:20,014",- நான் உங்களை அறிமுகப்படுத்த விரும்புகிறேன். - தேவை இல்லை.
I have known him for years.,"00:11:21,115 --> 00:11:22,584",அவரை எனக்கு பல வருடங்களாக தெரியும்.
(soft music continues),"00:11:29,157 --> 00:11:31,559",(மென்மையான இசை தொடர்கிறது)
Albert.,"00:11:43,806 --> 00:11:45,507",ஆல்பர்ட்.
What was that? What did you say to him?,"00:11:50,111 --> 00:11:54,315",அது என்னது? என்ன நீ அவனிடம் சொன்னாயா?
"Oh, he's fine.","00:11:56,451 --> 00:11:57,485","ஓ, அவர் நலமாக இருக்கிறார்."
"Mr. Strauss, there are things in my past","00:11:59,354 --> 00:12:02,657","திரு. ஸ்ட்ராஸ், அங்கே என் கடந்த கால விஷயங்கள்"
you ought to be aware of.,"00:12:02,690 --> 00:12:04,192",நீங்கள் அறிந்திருக்க வேண்டும்.
"Well, as chairman of the AEC,","00:12:04,225 --> 00:12:06,127","சரி, AEC இன் தலைவராக,"
I have access to your security file.,"00:12:06,160 --> 00:12:07,629",எனக்கு அணுகல் உள்ளது உங்கள் பாதுகாப்பு கோப்பு.
I've read it.,"00:12:07,662 --> 00:12:08,663",நான் அதைப் படித்தேன்.
- You're not worried? - No.,"00:12:08,696 --> 00:12:10,265",- நீங்கள் கவலைப்படவில்லையா? - இல்லை.
Why would I be worried after everything,"00:12:10,298 --> 00:12:11,675",நான் ஏன் கவலைப்பட வேண்டும் எல்லாவற்றிற்கும் பிறகு
you've done for your country?,"00:12:11,699 --> 00:12:13,167",நீங்கள் உங்கள் நாட்டுக்காக செய்தீர்களா?
"Well, times change, Mr. Strauss.","00:12:13,201 --> 00:12:14,669","சரி, காலம் மாறுகிறது, மிஸ்டர் ஸ்ட்ராஸ்."
"Well, the purpose of this institute","00:12:14,702 --> 00:12:16,538","சரி, நோக்கம் இந்த நிறுவனத்தின்"
is to provide a haven for independent minds.,"00:12:16,571 --> 00:12:19,240",புகலிடத்தை வழங்குவதாகும் சுதந்திர மனதுக்கு.
That's you. You are the man for the job.,"00:12:20,174 --> 00:12:23,177",அதுதான் நீ. நீங்கள் வேலைக்கான மனிதன்.
"Well, then I'll consider it.","00:12:23,211 --> 00:12:25,814","சரி, நான் அதை பரிசீலிக்கிறேன்."
I'll see you at the AEC meeting tomorrow.,"00:12:25,848 --> 00:12:28,116",நான் உன்னை சந்திக்கிறேன் நாளை AEC கூட்டம்.
(scoffs),"00:12:31,419 --> 00:12:32,487",(ஏளனம்)
This is one of the most prestigious,"00:12:32,520 --> 00:12:34,088",இது ஒன்று மிகவும் மதிப்புமிக்க
appointments in the country.,"00:12:34,122 --> 00:12:35,858",நாட்டில் நியமனங்கள்.
"Yes, with a great commute.","00:12:35,891 --> 00:12:38,092","ஆம், சிறந்த பயணத்துடன்."
That's why I'm considering it.,"00:12:38,126 --> 00:12:40,428",அதனால்தான் பரிசீலித்து வருகிறேன்.
"SENATOR McGEE: <i>So, Dr. Oppenheimer brought</i>",,
<i>your attention to his past associations</i>,,
<i>before you appointed him?</i>,,
Yes.,"00:12:45,868 --> 00:12:47,302",ஆம்.
And it didn't concern you?,"00:12:47,335 --> 00:12:49,170",அது உங்களுக்கு கவலையில்லையா?
"Just then, I was entirely consumed","00:12:49,203 --> 00:12:50,738","அப்போதுதான், நான் இருந்தேன் முற்றிலும் நுகரப்படும்"
with what he must have said to Einstein to sour him on me.,"00:12:50,772 --> 00:12:54,542",அவர் என்ன சொல்லியிருக்க வேண்டும் ஐன்ஸ்டீனுக்கு என் மீது புளிப்பு.
(laughter),"00:12:54,576 --> 00:12:57,078",(சிரிப்பு)
But later?,"00:12:58,146 --> 00:12:59,347",ஆனால் பிறகு?
"Well, we all know what happened later.","00:12:59,380 --> 00:13:01,316","சரி, நாம் அனைவரும் அறிவோம் பின்னர் என்ன நடந்தது."
