en_dialogue,Timeline,tamil_dialogue
"Spider, get a spare! - I'm only going to the village!","00:03:54,860 --> 00:03:57,154","சிலந்தி, உதிரி எடு! - நான் கிராமத்திற்கு மட்டுமே செல்கிறேன்!"
He was not part of our family.,"00:03:58,697 --> 00:04:00,469",அவர் எங்கள் குடும்பத்தில் அங்கம் வகிக்கவில்லை.
He was like a stray cat.,"00:04:00,504 --> 00:04:02,242",அவன் ஒரு வழி தவறிய பூனை போல இருந்தான்.
Always there somewhere.,"00:04:02,284 --> 00:04:04,119",எப்போதும் எங்காவது இருக்கும்.
Inseparable from our children.,"00:04:04,786 --> 00:04:06,663",எங்கள் குழந்தைகளிடமிருந்து பிரிக்க முடியாதது.
"For Neytiri, he will always be a stranger.","00:04:10,375 --> 00:04:13,670","நெய்த்திரிக்கு, அவர் எப்போதும் அந்நியராக இருப்பார்."
One of them.,"00:04:13,795 --> 00:04:15,339",அவர்களில் ஒருவர்.
He belongs with his kind.,"00:04:15,422 --> 00:04:17,925",அவர் தனது வகையைச் சேர்ந்தவர்.
He's mine! I took it first.,"00:04:22,429 --> 00:04:24,640",அவன் என்னுடையவன்! நான் முதலில் எடுத்தேன்.
Why should I leave it to you? -He's mine! - It took me several years,"00:04:24,723 --> 00:04:27,726",நான் ஏன் அதை உன்னிடம் விட்டுவிட வேண்டும்? -அவர் என்னுடையவர்! - இது எனக்கு பல ஆண்டுகள் ஆனது
let my tongue enter my head.,"00:04:27,768 --> 00:04:29,268",என் நாக்கு என் தலையில் நுழையட்டும்.
"Lo'ak, liar! Give it to me! - But now that I hear him,","00:04:29,269 --> 00:04:31,204","இதோ, பொய்யன்! என்னிடம் கொடு! - ஆனால் இப்போது நான் அவரைக் கேட்கிறேன்,"
it comes to me like native. -I hate you!,"00:04:31,371 --> 00:04:33,857",பூர்வீகம் போல் எனக்கு வருகிறது. - நான் உன்னை வெறுக்கிறேன்!
"I hate you endlessly, Lo'ak! Penisolics!","00:04:34,816 --> 00:04:38,695","நான் உன்னை முடிவில்லாமல் வெறுக்கிறேன், லோக்! ஆண்குறிகள்!"
Enough! Don't let me come there.,"00:04:39,947 --> 00:04:42,616",போதும்! என்னை அங்கே வர விடாதே.
He'll come out from behind those big rocks.,"00:04:42,950 --> 00:04:45,369",அந்தப் பெரிய பாறைகளுக்குப் பின்னால் இருந்து வெளியே வருவார்.
There it is.,"00:04:45,577 --> 00:04:48,747",அது இருக்கிறது.
There. Go get her!,"00:04:49,289 --> 00:04:50,799",அங்கு. போய் அவளை அழைத்து வா!
"Netejam, the mighty fisherman.","00:04:52,835 --> 00:04:54,920","நெதேஜம், வல்லமைமிக்க மீனவர்."
There. Well done.,"00:04:55,087 --> 00:04:57,005",அங்கு. நன்றாக முடிந்தது.
It's big. - At the stones.,"00:05:00,843 --> 00:05:03,345",அது பெரியது. - கற்களில்.
Where you said.,"00:05:04,346 --> 00:05:05,931",எங்கே சொன்னாய்.
How tall is he? - He's this tall. -He's tall!,"00:05:05,973 --> 00:05:09,351",அவர் எவ்வளவு உயரம்? - அவர் மிகவும் உயரமானவர். - அவர் உயரமானவர்!
Time flies.,"00:05:09,393 --> 00:05:10,903",நேரம் பறக்கிறது.
Like a dream.,"00:05:11,103 --> 00:05:12,813",கனவு போல.
"Kiri. -Brother, come on.","00:05:13,939 --> 00:05:15,433","கிரி. - தம்பி, வா."
Come on.,"00:05:15,434 --> 00:05:17,276",வாருங்கள்.
"Smile, you idiot.","00:05:17,526 --> 00:05:19,036","சிரி, முட்டாள்."
Like a night out.,"00:05:24,283 --> 00:05:25,776",ஒரு இரவு போல.
Time without children.,"00:05:25,777 --> 00:05:27,287",குழந்தைகள் இல்லாத காலம்.
But the problem with luck...,"00:05:59,026 --> 00:06:00,944",ஆனால் அதிர்ஷ்டத்தின் பிரச்சனை...
It can disappear in a split second.,"00:06:03,238 --> 00:06:05,115",இது ஒரு நொடியில் மறைந்துவிடும்.
A new star in the night.,"00:06:11,205 --> 00:06:13,373",இரவில் ஒரு புதிய நட்சத்திரம்.
That can only mean one thing.,"00:06:14,583 --> 00:06:16,835",அது ஒன்றை மட்டுமே குறிக்கும்.
Ships. They slow down.,"00:06:23,509 --> 00:06:25,761",கப்பல்கள். அவை வேகத்தைக் குறைக்கின்றன.
And the Skymen are coming back.,"00:06:34,937 --> 00:06:37,022",மற்றும் ஸ்கைமேன் மீண்டும் வருகிறார்கள்.
Translated by: Bambula,"00:06:39,107 --> 00:06:44,404",மொழிபெயர்த்தவர்: பம்புலா
ONE YEAR LATER,"00:08:55,410 --> 00:08:59,540",ஒரு வருடம் கழித்து
Pulse 168.,"00:09:06,755 --> 00:09:08,265",துடிப்பு 168.
Here it is.,"00:09:08,298 --> 00:09:09,842",இதோ.
You are fine.,"00:09:09,925 --> 00:09:11,425",நீங்கள் நலமாக இருக்கிறீர்கள்.
Just lie still.,"00:09:11,426 --> 00:09:12,936",சும்மா கிடக்கு.
Keep calm.,"00:09:12,942 --> 00:09:14,452",அமைதியாக இருங்கள்.
Yes. Pupillary reaction is good.,"00:09:15,597 --> 00:09:17,766",ஆம். மாணவர்களின் எதிர்வினை நல்லது.
Get it out of his face.,"00:09:17,933 --> 00:09:19,443",அதை அவன் முகத்திலிருந்து அகற்று.
Colonel...,"00:09:19,810 --> 00:09:21,320",கர்னல்...
can you hear me Colonel?,"00:09:21,395 --> 00:09:23,272",உன்னால் கேட்க முடியுமா கர்னலா?
"You must lie down, sir.","00:09:26,191 --> 00:09:27,776",நீங்க படுத்துக்கோங்க சார்.
Sedate him! -Get out of here.,"00:09:33,448 --> 00:09:35,576",அவரை அமைதிப்படுத்து! - இங்கிருந்து வெளியேறு.
Go Go! - Call security!,"00:09:35,701 --> 00:09:37,619",போ போ! - பாதுகாப்பு அழைப்பு!
Catch him! - Catch him!,"00:09:37,661 --> 00:09:39,171",அவனைப் பிடி! - அவனைப் பிடி!
Hold it! -Calm down!,"00:09:39,955 --> 00:09:41,707",பிடி! - அமைதி!
"Colonel, stop! Colonel, it's me!","00:09:41,748 --> 00:09:44,334","கர்னல், நிறுத்து! கர்னல், நான் தான்!"
Corporal Waynfleet!,"00:09:44,668 --> 00:09:46,178",கார்போரல் வேய்ன்ஃப்ளீட்!
Lyle?,"00:09:49,715 --> 00:09:51,225",லைல்?
That's you? -Yes sir. And Zee Dog.,"00:09:52,384 --> 00:09:57,014",அது நீதானா? -ஆமாம் சார். மற்றும் ஜீ நாய்.
And Fike...,"00:09:57,764 --> 00:09:59,641",மற்றும் ஃபைக்...
I'm all right. Let me go.,"00:10:02,227 --> 00:10:03,737",நான் நலமாக இருக்கிறேன். என்னை விடுங்கள்.
I'm all right.,"00:10:04,229 --> 00:10:06,106",நான் நலமாக இருக்கிறேன்.
Well...,"00:10:26,543 --> 00:10:28,420",சரி...
Isn't this horrible?,"00:10:29,004 --> 00:10:31,215",இது கொடுமை இல்லையா?
Get ready. Two minutes until landing on Pandora. Safe for Delta V.,"00:10:40,015 --> 00:10:45,103",தயாராகுங்கள். தரையிறங்குவதற்கு இரண்டு நிமிடங்கள் பண்டோரா மீது. டெல்டா விக்கு பாதுகாப்பானது.
OK. Umbilical cord removed.,"00:10:46,104 --> 00:10:48,065",சரி. தொப்புள் கொடி அகற்றப்பட்டது.
Oxygen saturation 89.,"00:10:48,524 --> 00:10:50,034",ஆக்ஸிஜன் செறிவு 89.
"In case you haven't figured it out yet, you are Colonel Miles Quaritch.","00:10:51,527 --> 00:10:55,489","நீங்கள் இன்னும் கண்டுபிடிக்கவில்லை என்றால், நீங்கள் கர்னல் மைல்ஸ் குவாரிச்."
"Only younger, taller, bluer...","00:10:55,531 --> 00:10:58,033","இளையவர், உயரம், நீலம்..."
And not nearly as gorgeous.,"00:10:58,450 --> 00:11:00,369",மற்றும் கிட்டத்தட்ட அழகாக இல்லை.
I'm going on a mission in two hours against a Na'vi stronghold.,"00:11:00,953 --> 00:11:04,540",நான் இரண்டு மணி நேரத்தில் ஒரு பணிக்குச் செல்கிறேன் ஒரு Na'vi கோட்டைக்கு எதிராக.
The heads thought it was smart to make a copy of this just in case.,"00:11:04,581 --> 00:11:09,336",தலைகள் புத்திசாலித்தனம் என்று நினைத்தார்கள் ஒரு சந்தர்ப்பத்தில் இதை நகலெடுக்க.
"And if you're watching this, well...","00:11:09,628 --> 00:11:11,713",நீங்கள் இதைப் பார்த்தால் சரி...
That means I pulled my paws.,"00:11:11,880 --> 00:11:13,966",அதாவது நான் என் பாதங்களை இழுத்தேன்.
"Parker, what should I say now?","00:11:15,968 --> 00:11:19,137","பார்க்கர், நான் இப்போது என்ன சொல்ல வேண்டும்?"
Just remind him how this works.,"00:11:19,638 --> 00:11:21,557",இது எவ்வாறு செயல்படுகிறது என்பதை அவருக்கு நினைவூட்டுங்கள்.
Here is.,"00:11:21,640 --> 00:11:23,150",இதோ.
You see this? These are all your memories and personality.,"00:11:23,934 --> 00:11:26,562",இதைப் பார்க்கிறீர்களா? இவை அனைத்தும் உங்கள் நினைவுகள் மற்றும் ஆளுமை.
We're going to send this back to Earth where are you growing in the lab right now.,"00:11:26,770 --> 00:11:30,774",இதை மீண்டும் பூமிக்கு அனுப்பப் போகிறோம் நீங்கள் இப்போது ஆய்வகத்தில் எங்கே வளர்கிறீர்கள்.
"We're going to transfer this to you, and then...","00:11:30,816 --> 00:11:32,526","நாங்கள் இதை உங்களுக்கு மாற்றப் போகிறோம், பின்னர்..."
Do I do this or do you? - Hurry up.,"00:11:32,609 --> 00:11:34,862",நான் இதைச் செய்கிறேனா அல்லது நீ செய்வாயா? - சீக்கிரம்.
"Anyway, the idea is to switch awareness of the most experienced operatives...","00:11:36,196 --> 00:11:41,785",எப்படியும் மாற வேண்டும் என்ற எண்ணம் மிகவும் அனுபவம் வாய்ந்த செயற்பாட்டாளர்கள் பற்றிய விழிப்புணர்வு...
"As Corporal Wainfleet is there,","00:11:41,827 --> 00:11:44,580","கார்போரல் வைன்ஃப்லீட் இருப்பதால்,"
"and your humble narrator, into recombinant bodies.","00:11:44,621 --> 00:11:49,418","மற்றும் உங்கள் தாழ்மையான கதைசொல்லி, மறுசீரமைப்பு உடல்களில்."
"You're recombinant now, Colonel, filled with my memories and charm.","00:11:50,002 --> 00:11:54,298","நீங்கள் இப்போது மீண்டும் இணைந்திருக்கிறீர்கள், கர்னல், என் நினைவுகள் மற்றும் வசீகரம் நிறைந்தது."
"You will not remember my death, because it hasn't happened yet,","00:11:55,257 --> 00:11:58,677",என் மரணத்தை நீங்கள் நினைவில் கொள்ள மாட்டீர்கள் ஏனென்றால் அது இன்னும் நடக்கவில்லை
and won't.,"00:11:58,927 --> 00:12:00,437",மற்றும் மாட்டேன்.
That's right. -You bet.,"00:12:00,679 --> 00:12:02,189",அது சரிதான். - நீங்கள் பந்தயம் கட்டுகிறீர்கள்.
"Whatever happened,","00:12:02,347 --> 00:12:03,891","என்ன நடந்தாலும்,"
"if you are even a little clone of me, you will crave revenge.","00:12:04,850 --> 00:12:07,519","நீங்கள் எனக்கு ஒரு சிறிய குளோன் என்றால், பழிவாங்க ஆசைப்படுவீர்கள்."
And Jake Sully will be at the top of that list.,"00:12:07,936 --> 00:12:10,439",மேலும் அந்த பட்டியலில் ஜேக் சுல்லி முதலிடத்தில் இருப்பார்.
"Remember, boy...","00:12:14,067 --> 00:12:15,577","நினைவில் கொள்ளுங்கள், பையன் ..."
A Marine cannot be defeated.,"00:12:15,777 --> 00:12:17,404",ஒரு கடற்படை வீரரை தோற்கடிக்க முடியாது.
"They can kill us, but we will regroup in hell.","00:12:17,779 --> 00:12:21,658","அவர்கள் நம்மை கொல்லலாம், ஆனால் நாம் மீண்டும் நரகத்தில் ஒன்றுபடுவோம்."
Always loyal.,"00:12:23,076 --> 00:12:24,586",எப்போதும் விசுவாசமானவர்.
"Ground team, move!","00:12:52,981 --> 00:12:54,491","தரை அணி, நகர்த்து!"
Take this! Go!,"00:13:47,995 --> 00:13:49,830",இதை எடு! போ!
"Here we go. Two minutes, people. Here we go.","00:13:53,959 --> 00:13:56,003","இதோ போகிறோம். இரண்டு நிமிடங்கள், மக்கள். இதோ போகிறோம்."
"Bro, we gotta get down there. -By no means! Dad will skin us!","00:14:00,382 --> 00:14:04,178","அண்ணா, நாம் அங்கே இறங்க வேண்டும். - எந்த வகையிலும் இல்லை! அப்பா நம்மை தோலுரிப்பார்!"
Come on. Don't be lukewarm.,"00:14:04,636 --> 00:14:06,146",வாருங்கள். மந்தமாக இருக்க வேண்டாம்.
"Lo'ak! Come back here, you...","00:14:06,847 --> 00:14:08,724","லோக்! இங்கே திரும்பி வா, நீ..."
"We're taking the whole crate! We take frames for bullets, rocket launchers, stingers.","00:14:12,561 --> 00:14:15,898","நாங்கள் முழு பெட்டியையும் எடுத்துக்கொள்கிறோம்! நாங்கள் பிரேம்களை எடுக்கிறோம் தோட்டாக்கள், ராக்கெட் லாஞ்சர்கள், ஸ்டிங்கர்கள்."
"Brother, let's go. Come on! - Lo'ak!","00:14:19,484 --> 00:14:20,994","தம்பி, போகலாம். வாருங்கள்! - லோக்!"
"Okay, let's go!","00:14:21,021 --> 00:14:22,438","சரி, போகலாம்!"
Lo'ak!,"00:14:22,439 --> 00:14:23,946",லோக்!
Move! Take it!,"00:14:23,947 --> 00:14:25,457",நகர்த்தவும்! எடு!
"Take this weapon! Boy, go!","00:14:25,949 --> 00:14:27,492","இந்த ஆயுதத்தை எடு! பையன், போ!"
You don't even know how to use it.,"00:14:30,162 --> 00:14:31,747",அதை எப்படி பயன்படுத்துவது என்று கூட உங்களுக்குத் தெரியாது.
My dad taught me.,"00:14:32,706 --> 00:14:34,249",என் அப்பா எனக்குக் கற்றுக் கொடுத்தார்.
A fighter jet is coming!,"00:14:42,007 --> 00:14:43,459",போர் விமானம் வருகிறது!
Retreat!,"00:14:43,460 --> 00:14:44,970",பின்வாங்க!
"Brother, come on!","00:14:50,766 --> 00:14:52,643","தம்பி, வா!"
"Lo'ak, where are you?","00:15:01,902 --> 00:15:03,396","லோக், நீ எங்கே இருக்கிறாய்?"
We don't care!,"00:15:03,397 --> 00:15:04,907",நாங்கள் கவலைப்படவில்லை!
Easy easy. Are you OK?,"00:15:05,531 --> 00:15:07,041",எளிதாக எளிதாக. நீங்கள் நலமா?
Yes. -Where's your brother?,"00:15:07,282 --> 00:15:08,792",ஆம். - உங்கள் சகோதரர் எங்கே?
There. -Where is he? Where?,"00:15:09,159 --> 00:15:10,669",அங்கு. - அவர் எங்கே? எங்கே?
Get out of here! Go!,"00:15:10,674 --> 00:15:12,184",இங்கிருந்து வெளியேறு! போ!
Oh no.,"00:15:16,708 --> 00:15:18,585",அடடா.
No no.,"00:15:19,878 --> 00:15:21,421",இல்லை இல்லை.
God.,"00:15:22,297 --> 00:15:24,216",கடவுள்.
Dad?,"00:15:28,929 --> 00:15:30,806",அப்பாவா?
"What are you doing here, boy? Where was your mind?","00:15:32,474 --> 00:15:34,726","நீ இங்கே என்ன செய்கிறாய், பையன்? உன் மனம் எங்கே இருந்தது?"
I'm sorry.,"00:15:35,853 --> 00:15:37,688",மன்னிக்கவும்.
"I'm very sorry, sir.","00:15:38,564 --> 00:15:40,074","நான் மிகவும் வருந்துகிறேன், ஐயா."
You're not in Kansas anymore.,"00:15:43,694 --> 00:15:45,737",நீங்கள் இப்போது கன்சாஸில் இல்லை.
Let's go to Pandora.,"00:15:47,072 --> 00:15:49,449",பண்டோராவுக்குப் போவோம்.
I know that everyone to themselves you are asking the same question.,"00:15:50,075 --> 00:15:55,205",எல்லோரும் தங்களுக்கு என்று எனக்குத் தெரியும் நீங்கள் அதே கேள்வியை கேட்கிறீர்கள்.
Why so blue?,"00:15:58,000 --> 00:15:59,510",ஏன் இவ்வளவு நீலம்?
"Because of the sins of our past life,","00:16:03,672 --> 00:16:05,549","நாம் செய்த பாவங்களின் காரணமாக,"
we are resurrected in form our enemy.,"00:16:05,757 --> 00:16:08,177",நாம் வடிவத்தில் உயிர்த்தெழுந்தோம் எங்கள் எதிரி.
"This gives us their size, strength, speed.","00:16:08,677 --> 00:16:12,598","இது அவற்றின் அளவை நமக்குத் தருகிறது, வலிமை, வேகம்."
And with our training...,"00:16:12,973 --> 00:16:15,017",மற்றும் எங்கள் பயிற்சியுடன் ...
It's a pretty potent mix.,"00:16:15,392 --> 00:16:17,227",இது மிகவும் சக்திவாய்ந்த கலவையாகும்.
Did we get the assignment yet? -You bet.,"00:16:18,812 --> 00:16:21,315",எங்களுக்கு இன்னும் பணி கிடைத்ததா? - நீங்கள் பந்தயம் கட்டுகிறீர்கள்.
Our task is to find and kill,"00:16:22,107 --> 00:16:24,443",கண்டுபிடித்து கொல்வதே எங்கள் பணி
the leader of the Na'vi rebels.,"00:16:24,985 --> 00:16:27,446",நவி கிளர்ச்சியாளர்களின் தலைவர்.
The one they call Toruk Makto.,"00:16:27,946 --> 00:16:30,824",அவர்கள் டோருக் மக்டோ என்று அழைக்கப்படுபவர்.
Jake Sully. -That!,"00:16:31,742 --> 00:16:33,285",ஜேக் சுல்லி. -அது!
"Attack, attack!","00:16:41,877 --> 00:16:43,670","தாக்குதல், தாக்குதல்!"
You're mine!,"00:16:44,004 --> 00:16:45,547",நீ என்னுடையவன்!
Knock! Come on!,"00:16:45,756 --> 00:16:47,299",தட்டுங்கள்! வாருங்கள்!
I'm definitely faster when I'm blue. -You idiot. -Not seriously.,"00:16:47,716 --> 00:16:51,053",நான் நீல நிறமாக இருக்கும்போது நான் நிச்சயமாக வேகமாக இருக்கிறேன். - முட்டாள். - தீவிரமாக இல்லை.
And animals respect me more. They don't see me as a man.,"00:16:51,345 --> 00:16:54,264",மேலும் விலங்குகள் என்னை அதிகமாக மதிக்கின்றன. அவர்கள் என்னை ஒரு மனிதனாக பார்க்கவில்லை.
Stop. You are a man?,"00:16:54,389 --> 00:16:56,266",நிறுத்து. நீங்கள் ஒரு மனிதனா?
They're coming!,"00:17:06,610 --> 00:17:08,120",அவர்கள் வருகிறார்கள்!
"HIGH CAMP, OMATIKAY STREET","00:17:08,153 --> 00:17:11,281","உயர் முகாம், ஓமதிகே தெரு"
"They're coming! Run, Spider!","00:17:12,574 --> 00:17:14,576","அவர்கள் வருகிறார்கள்! ஓடு, சிலந்தி!"
The warband is back!,"00:17:14,952 --> 00:17:16,912",போர்க்கப்பல் திரும்பியது!
Come on. -Here we go. Come on.,"00:17:16,995 --> 00:17:19,665",வாருங்கள். -இதோ செல்கிறோம். வாருங்கள்.
"Mum! - Tuk... -Mum. - Knock, Knock.","00:17:34,304 --> 00:17:37,349","அம்மா! - டக்... - அம்மா. - தட்டுங்கள், தட்டுங்கள்."
Choir!,"00:17:39,518 --> 00:17:41,028",பாடகர் குழு!
You should be scouts.,"00:17:43,063 --> 00:17:44,606",நீங்கள் சாரணர்களாக இருக்க வேண்டும்.
"Notice the enemies, and report.","00:17:44,648 --> 00:17:46,142","எதிரிகளைக் கவனியுங்கள், மற்றும் அறிக்கை."
From afar!,"00:17:46,143 --> 00:17:47,653",தூரத்தில் இருந்து!
Does any of this sound familiar? Come here!,"00:17:47,985 --> 00:17:50,028",இதில் ஏதேனும் தெரிந்திருக்கிறதா? இங்கே வா!
"Jesus. I'll give it to you two geniuses to complete the task,","00:17:50,362 --> 00:17:52,489","இயேசு. நான் அதை உங்கள் இருவருக்கும் தருகிறேன் பணியை முடிக்க மேதைகள்,"
and you disobey a direct order.,"00:17:52,573 --> 00:17:54,083",மற்றும் நீங்கள் ஒரு நேரடி உத்தரவை மீறுகிறீர்கள்.
"Kiri, can you help grandma around the wounded? Please?","00:17:54,867 --> 00:17:57,703","கிரி, பாட்டிக்கு உதவ முடியுமா காயமடைந்தவர்களைச் சுற்றி? தயவுசெய்து?"
"My brother is wounded. -It's fine. - Tuk, go with her. Come on. -Dad.","00:17:57,786 --> 00:18:01,540","எனது சகோதரர் காயமடைந்துள்ளார். - பரவாயில்லை. - டக், அவளுடன் போ. வாருங்கள். - அப்பா."
"Sir. I take full responsibility. - Yes, you take over. That's right.","00:18:01,790 --> 00:18:05,377","ஐயா. நான் முழுப் பொறுப்பையும் ஏற்கிறேன். - ஆம், நீங்கள் பொறுப்பேற்கிறீர்கள். அது சரிதான்."
Because you are the older brother. You have to act accordingly.,"00:18:06,044 --> 00:18:08,380",ஏனென்றால் நீங்கள் மூத்த சகோதரர். அதன்படி செயல்பட வேண்டும்.
MaJake.,"00:18:09,464 --> 00:18:11,049",மாஜேக்.
"Your son is really bleeding. - Mother, it's okay. I...","00:18:11,175 --> 00:18:15,095","உங்கள் மகனுக்கு உண்மையிலேயே ரத்தம் கொட்டுகிறது. - அம்மா, பரவாயில்லை. நான்..."
"Go get it patched. Come on, willingly.","00:18:16,597 --> 00:18:18,724","போய் அதை ஒட்டவும். வா, விருப்பத்துடன்."
You realize it's because of you your brother almost died.,"00:18:24,188 --> 00:18:27,107",அது உங்களால் தான் என்பதை நீங்கள் புரிந்துகொள்கிறீர்கள் உங்கள் சகோதரர் கிட்டத்தட்ட இறந்துவிட்டார்.
Yes sir.,"00:18:27,608 --> 00:18:29,118",ஆமாம் சார்.
You are punished. You are banned from flying for a month.,"00:18:30,819 --> 00:18:32,988",நீங்கள் தண்டிக்கப்படுகிறீர்கள். நீங்கள் ஒரு மாதம் பறக்க தடை விதிக்கப்பட்டுள்ளது.
Take care of the spawn. For all of them. -Yes sir.,"00:18:33,405 --> 00:18:36,200",முட்டையை கவனித்துக் கொள்ளுங்கள். அவர்கள் அனைவருக்கும். -ஆமாம் சார்.
And get that shit off your face.,"00:18:36,283 --> 00:18:37,793",உங்கள் முகத்தில் இருந்து அந்த மலம் அகற்றவும்.
You want a kiss on the scratch? - Give him this. -Okay.,"00:18:47,920 --> 00:18:49,922",கீறலில் முத்தம் வேண்டுமா? - இதை அவருக்குக் கொடுங்கள். -சரி.
"I would use yala bark. - Here, drink. -Really? And who is Tsahik?","00:18:49,963 --> 00:18:54,593","நான் யாலா பட்டை பயன்படுத்துவேன். - இங்கே, குடிக்கவும். - உண்மையில்? மற்றும் சாஹிக் யார்?"
You are... Move.,"00:18:55,469 --> 00:18:56,979",நீங்கள்... நகர்த்தவும்.
"you are, grandma, but the bark is better.","00:18:57,137 --> 00:18:59,890","நீங்கள், பாட்டி, ஆனால் பட்டை சிறந்தது."
It burns less.,"00:19:02,059 --> 00:19:03,569",இது குறைவாக எரிகிறது.
A mighty warrior.,"00:19:04,102 --> 00:19:05,612",வலிமைமிக்க வீரன்.
What is it?,"00:19:13,028 --> 00:19:14,538",அது என்ன?
Netejam and Lo'ak look up to you.,"00:19:16,615 --> 00:19:19,535",Netejam மற்றும் Lo'ak உங்களை எதிர்பார்க்கிறார்கள்.
It was hard for them.,"00:19:20,577 --> 00:19:22,454",அது அவர்களுக்கு கடினமாக இருந்தது.
I know.,"00:19:23,622 --> 00:19:25,132",எனக்கு தெரியும்.
You are very strict with them.,"00:19:26,917 --> 00:19:28,794",நீங்கள் அவர்களுடன் மிகவும் கண்டிப்பானவர்.
I am their father. That's my job.,"00:19:32,089 --> 00:19:34,007",நான் அவர்களின் தந்தை. அது என் வேலை.
This is not a unit. This is family.,"00:19:35,467 --> 00:19:38,262",இது ஒரு அலகு அல்ல. இது குடும்பம்.
I thought we were out of them.,"00:19:49,898 --> 00:19:51,608",நாங்கள் அவர்களை விட்டு வெளியேறிவிட்டோம் என்று நினைத்தேன்.
Hey buddy. How's it going? - Spiders.,"00:20:00,742 --> 00:20:02,578",ஏய் நண்பா. எப்படி போகிறது? - சிலந்திகள்.
Your face is mine.,"00:20:03,328 --> 00:20:04,838",உன் முகம் என்னுடையது.
I'm here.,"00:20:04,872 --> 00:20:06,382",நான் இங்கே இருக்கிறேன்.
Only for avatars. Go around!,"00:20:06,498 --> 00:20:08,375",அவதாரங்களுக்கு மட்டும். சுற்றி செல்!
Sorry.,"00:20:08,834 --> 00:20:10,293",மன்னிக்கவும்.
