en_dialogue,Timeline,kannada_dialogue
Brock: Watch the doorframe.,"00:06:00,474 --> 00:06:02,704",ಬ್ರಾಕ್: ಡೋರ್‌ಫ್ರೇಮ್ ಅನ್ನು ವೀಕ್ಷಿಸಿ.
I see it. I got it.,"00:06:02,794 --> 00:06:04,512",ನಾನು ಅದನ್ನು ನೋಡುತ್ತೇನೆ. ನನಗೆ ಸಿಕ್ಕಿತು.
(Banging),"00:06:04,594 --> 00:06:06,027",(ಬಡಿಯುವುದು)
"<font color=""","00:06:08,074 --> 00:06:09,666",(ಕ್ರ್ಯಾಕಿಂಗ್)
"We're good... Just chill, boss.","00:06:09,754 --> 00:06:11,631",ನಾವು ಚೆನ್ನಾಗಿದ್ದೇವೆ... ಸುಮ್ಮನೆ ಚಿಲ್ ಮಾಡಿ ಬಾಸ್.
Brock: Make your turn.,"00:06:25,394 --> 00:06:27,225",ಬ್ರಾಕ್: ನಿಮ್ಮ ಸರದಿಯನ್ನು ಮಾಡಿ.
"- Lewis: Cable out, Captain. - Make your turn.","00:06:27,314 --> 00:06:30,306","- ಲೆವಿಸ್: ಕೇಬಲ್ ಔಟ್, ಕ್ಯಾಪ್ಟನ್. - ನಿಮ್ಮ ಸರದಿಯನ್ನು ಮಾಡಿ."
"Brock, we're at the piano. You copy?","00:06:30,394 --> 00:06:32,703","ಬ್ರಾಕ್, ನಾವು ಪಿಯಾನೋದಲ್ಲಿದ್ದೇವೆ. ನೀವು ನಕಲಿಸುತ್ತೀರಾ?"
"Brock: <i>Okay, copy that.</i>",,
"Brock: Right there, that's it!","00:06:41,674 --> 00:06:44,108","ಬ್ರಾಕ್: ಅಲ್ಲಿಯೇ, ಅಷ್ಟೆ!"
- That's the bedroom door! - I see it... I see it.,"00:06:44,194 --> 00:06:47,266",- ಅದು ಮಲಗುವ ಕೋಣೆಯ ಬಾಗಿಲು! - ನಾನು ಅದನ್ನು ನೋಡುತ್ತೇನೆ ... ನಾನು ನೋಡುತ್ತೇನೆ.
We're in!,"00:06:55,754 --> 00:06:56,948",ನಾವಿದ್ದೇವೆ!
"We're in, baby, we're there!","00:06:57,034 --> 00:06:59,753","ನಾವಿದ್ದೇವೆ, ಮಗು, ನಾವು ಅಲ್ಲಿದ್ದೇವೆ!"
Brock: That's Hockley's bed.,"00:06:59,834 --> 00:07:02,109",ಬ್ರಾಕ್: ಅದು ಹಾಕ್ಲಿ ಹಾಸಿಗೆ.
That's where the son of a bitch slept.,"00:07:02,194 --> 00:07:04,754",ಅಲ್ಲೇ ಕೂತರೆ ಮಗ ಮಲಗಿದ್ದ.
Lewis: Somebody left the water running.,"00:07:09,874 --> 00:07:12,593",ಲೂಯಿಸ್: ಯಾರೋ ನೀರು ಹರಿಯುವುದನ್ನು ಬಿಟ್ಟರು.
Hold it. Go back to the right.,"00:07:12,674 --> 00:07:15,234",ಹಿಡಿದುಕೊ. ಬಲಕ್ಕೆ ಹಿಂತಿರುಗಿ.
That wardrobe door... Get closer.,"00:07:21,114 --> 00:07:23,753",ಆ ವಾರ್ಡ್ ರೋಬ್ ಬಾಗಿಲು... ಹತ್ತಿರಕ್ಕೆ ಬನ್ನಿ.
"- You smelling something, boss? - I wanna see what's under it.","00:07:23,834 --> 00:07:27,144","- ನೀವು ಏನನ್ನಾದರೂ ವಾಸನೆ ಮಾಡುತ್ತಿದ್ದೀರಿ, ಬಾಸ್? - ಅದರ ಅಡಿಯಲ್ಲಿ ಏನಿದೆ ಎಂದು ನಾನು ನೋಡಲು ಬಯಸುತ್ತೇನೆ."
"Gimme my hands, man.","00:07:27,234 --> 00:07:28,667","ನನ್ನ ಕೈಗಳನ್ನು ಕೊಡು, ಮನುಷ್ಯ."
All right...!,"00:07:33,834 --> 00:07:35,426",ಸರಿ...!
- Take it easy. It might come apart. - Okay.,"00:07:36,914 --> 00:07:40,509",- ಸುಲಭವಾಗಿ ತೆಗೆದುಕೊಳ್ಳಿ. ಅದು ಬೇರ್ಪಡಬಹುದು. - ಸರಿ.
"Go! Go, go, go!","00:07:40,594 --> 00:07:41,822",ಹೋಗು! ಹೋಗು ಹೋಗು ಹೋಗು!
"Flip it over, flip it over. Go.","00:07:41,914 --> 00:07:43,870","ಅದನ್ನು ತಿರುಗಿಸಿ, ಅದನ್ನು ತಿರುಗಿಸಿ. ಹೋಗು."
"Keep going. Go, go, go.","00:07:43,954 --> 00:07:46,593",ಹೋಗ್ತಾ ಇರು. ಹೋಗು ಹೋಗು ಹೋಗು.
Okay. Drop it.,"00:07:46,674 --> 00:07:47,823",ಸರಿ. ಬೀಳಿಸು.
"Oh, baby, baby... Are you seeing this, boss?","00:07:56,354 --> 00:07:59,710","ಓ, ಮಗು, ಮಗು ... ನೀವು ಇದನ್ನು ನೋಡುತ್ತೀರಾ, ಬಾಸ್?"
"It's payday, boys.","00:08:01,714 --> 00:08:03,705","ಇದು ಸಂಬಳದ ದಿನ, ಹುಡುಗರೇ."
(Cheering),"00:08:15,554 --> 00:08:17,545",(ಉಲ್ಲಾಸ)
Ka-ching!,"00:08:19,434 --> 00:08:21,186",ಕಾ-ಚಿಂಗ್!
"We did it, Bobby!","00:08:21,274 --> 00:08:22,912","ನಾವು ಮಾಡಿದ್ದೇವೆ, ಬಾಬಿ!"
"Lewis: Oh, yeah! Who's the man!","00:08:22,994 --> 00:08:25,952","ಲೆವಿಸ್: ಓಹ್, ಹೌದು! ಮನುಷ್ಯ ಯಾರು!"
"Who's the best, baby?","00:08:26,034 --> 00:08:27,831","ಯಾರು ಉತ್ತಮ, ಮಗು?"
"Say it, say it.","00:08:27,914 --> 00:08:29,313","ಹೇಳು, ಹೇಳು."
"You are, Lewis.","00:08:29,394 --> 00:08:31,271","ನೀವು, ಲೂಯಿಸ್."
(Loud buzzing),"00:08:31,354 --> 00:08:33,424",(ಜೋರಾಗಿ ಝೇಂಕರಿಸುವುದು)
"- Bobby, my cigar. - Right here.","00:08:33,514 --> 00:08:35,470","- ಬಾಬಿ, ನನ್ನ ಸಿಗಾರ್. - ಇಲ್ಲಿಯೇ."
"Okay, crack her open.","00:08:42,714 --> 00:08:44,784","ಸರಿ, ಅವಳನ್ನು ತೆರೆಯಿರಿ."
- Let me get around. Hang on. - You getting it?,"00:08:46,794 --> 00:08:50,548",- ನನಗೆ ತಿರುಗಾಡಲು ಬಿಡಿ. ನಿಲ್ಲಿ. - ನೀವು ಅದನ್ನು ಪಡೆಯುತ್ತೀರಾ?
Shit.,"00:09:13,194 --> 00:09:15,071",ಶಿಟ್.
No diamond.,"00:09:15,714 --> 00:09:17,432",ವಜ್ರವಿಲ್ಲ.
"You know, boss,...","00:09:17,514 --> 00:09:19,391",ಗೊತ್ತಾ ಬಾಸ್...
"..the same thing happened to Geraldo, and his career never recovered.","00:09:19,474 --> 00:09:24,468","..ಜೆರಾಲ್ಡೊಗೆ ಅದೇ ಸಂಭವಿಸಿತು, ಮತ್ತು ಅವರ ವೃತ್ತಿಜೀವನವು ಎಂದಿಗೂ ಚೇತರಿಸಿಕೊಳ್ಳಲಿಲ್ಲ."
Turn the camera off.,"00:09:26,234 --> 00:09:28,190",ಕ್ಯಾಮರಾವನ್ನು ಆಫ್ ಮಾಡಿ.
"Brock, the partners would like to know how it's going.","00:09:28,274 --> 00:09:32,426","ಬ್ರಾಕ್, ಪಾಲುದಾರರು ಅದು ಹೇಗೆ ನಡೆಯುತ್ತಿದೆ ಎಂದು ತಿಳಿಯಲು ಇಷ್ಟಪಡುತ್ತೇನೆ."
"Hey, Dave. Barry. Hi. Look, it wasn't in the safe, but hey...","00:09:32,514 --> 00:09:36,302","ಹೇ, ಡೇವ್. ಬ್ಯಾರಿ. ನಮಸ್ತೆ. ನೋಡಿ, ಅದು ಸೇಫ್‌ನಲ್ಲಿ ಇರಲಿಲ್ಲ, ಆದರೆ ಹೇ..."
..don't worry about it. There's plenty of places it could be.,"00:09:36,394 --> 00:09:40,273",..ಅದರ ಬಗ್ಗೆ ಚಿಂತಿಸಬೇಡಿ. ಅದು ಇರಬಹುದಾದ ಸಾಕಷ್ಟು ಸ್ಥಳಗಳಿವೆ.
"The floor debris, the mother's room...","00:09:40,354 --> 00:09:42,424","ನೆಲದ ಅವಶೇಷಗಳು, ತಾಯಿಯ ಕೋಣೆ..."
"- Purser's safe on ""C"" deck. - Jimmy Hoffa's briefcase.","00:09:42,514 --> 00:09:44,903","- ""C"" ಡೆಕ್‌ನಲ್ಲಿ ಪರ್ಸರ್ಸ್ ಸೇಫ್. - ಜಿಮ್ಮಿ ಹಾಫಾ ಅವರ ಬ್ರೀಫ್ಕೇಸ್."
Brock: A dozen other places.,"00:09:44,994 --> 00:09:46,632","<font color="""
You've got to trust my instincts. I know we're close.,"00:09:46,714 --> 00:09:49,911",ನೀವು ನನ್ನ ಪ್ರವೃತ್ತಿಯನ್ನು ನಂಬಬೇಕು. ನಾವು ಹತ್ತಿರವಾಗಿದ್ದೇವೆ ಎಂದು ನನಗೆ ತಿಳಿದಿದೆ.
We just got to go through a process of elimination.,"00:09:49,994 --> 00:09:53,430",ನಾವು ಹಾದು ಹೋಗಬೇಕಾಗಿದೆ ನಿರ್ಮೂಲನ ಪ್ರಕ್ರಿಯೆ.
Hang on a second.,"00:09:53,514 --> 00:09:55,505",ಸ್ವಲ್ಪ ಕಾಯಿರಿ.
Let me see that.,"00:09:57,474 --> 00:09:59,465",ಅದನ್ನು ನಾನು ನೋಡೋಣ.
"We might have something here, guys.","00:09:59,514 --> 00:10:01,391","ನಾವು ಇಲ್ಲಿ ಏನನ್ನಾದರೂ ಹೊಂದಿರಬಹುದು, ಹುಡುಗರೇ."
Where's the photo of the necklace?,"00:10:02,914 --> 00:10:05,508",ಹಾರದ ಫೋಟೋ ಎಲ್ಲಿದೆ?
- We'll call you right back. - Holy...,"00:10:05,554 --> 00:10:08,193",- ನಾವು ನಿಮಗೆ ಮತ್ತೆ ಕರೆ ಮಾಡುತ್ತೇವೆ. - ಪವಿತ್ರ ...
I'll be goddamned.,"00:10:17,754 --> 00:10:19,745",ನಾನು ದೇವರಾಗುತ್ತೇನೆ.
(TV) <i>Treasure hunter Brock Lovett</i> <i>is best known for finding Spanish gold...</i>,,
It's okay. I'll feed you in a minute.,"00:10:25,714 --> 00:10:28,547",ಪರವಾಗಿಲ್ಲ. ನಾನು ನಿಮಗೆ ಒಂದು ನಿಮಿಷದಲ್ಲಿ ಆಹಾರವನ್ನು ನೀಡುತ್ತೇನೆ.
<i>He's chartered a Russian sub to reach</i> <i>the most famous wreck of all: Titanic.</i>,,
<i>He's with us live via satellite from</i> <i>the Keldysh in the North Atlantic.</i>,,
"<i>- Hello, Brock.</i> <i>- Hello, Tracy.</i>",,
"<i>Everyone knows</i> <i>the stories of Titanic,...</i>",,
"<i>..the nobility,</i> <i>the band playing and all that.</i>",,
"<i>I'm interested in the untold stories,</i> <i>the secrets deep inside the hull.</i>",,
<i>We're using robot technology</i> <i>to go further into the wreck...</i>,,
<i>..than anybody's ever done before.</i>,,
<i>You're at the centre of a controversy...</i>,,
"<i>..over salvage rights, and ethics.</i> <i>Many are calling you a grave robber.</i>",,
"<i>Nobody called the recovery</i> <i>of King Tut ""grave robbing"".</i>",,
"- What is it? - Turn that up, dear.","00:11:06,754 --> 00:11:09,393","- ಏನದು? - ಅದನ್ನು ತಿರುಗಿಸಿ, ಪ್ರಿಯ."
<i>I have museum-trained experts here...</i>,,
<i>..making sure these relics</i> <i>are treated properly.</i>,,
<i>Look at this drawing</i> <i>we found just today.</i>,,
<i>A piece of paper that's been</i> <i>underwater for 84 years...</i>,,
<i>..and my team were able</i> <i>to preserve it intact.</i>,,
<i>Should this have remained unseen</i> <i>at the bottom of the ocean for eternity?</i>,,
Brock! There's a satellite call for you.,"00:11:34,714 --> 00:11:37,672",ಬ್ರಾಕ್! ನಿಮಗಾಗಿ ಉಪಗ್ರಹ ಕರೆ ಇದೆ.
"Bobby, we're launching. You see these submersibles going in?","00:11:37,754 --> 00:11:41,588","ಬಾಬಿ, ನಾವು ಪ್ರಾರಂಭಿಸುತ್ತಿದ್ದೇವೆ. ಈ ಸಬ್‌ಮರ್ಸಿಬಲ್‌ಗಳು ಒಳಗೆ ಹೋಗುವುದನ್ನು ನೀವು ನೋಡಿದ್ದೀರಾ?"
"Trust me, buddy. You wanna take this call.","00:11:41,674 --> 00:11:44,234","ನನ್ನನ್ನು ನಂಬಿರಿ, ಸ್ನೇಹಿತ. ನೀವು ಈ ಕರೆಯನ್ನು ತೆಗೆದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ."
This better be good.,"00:11:45,474 --> 00:11:47,430",ಇದು ಉತ್ತಮವಾಗಿರುವುದು ಉತ್ತಮ.
You gotta speak up. She's kinda old.,"00:11:47,514 --> 00:11:50,472",ನೀವು ಮಾತನಾಡಬೇಕು. ಅವಳು ಸ್ವಲ್ಪ ವಯಸ್ಸಾಗಿದ್ದಾಳೆ.
Great.,"00:11:50,554 --> 00:11:52,306",ಕುವೆಂಪು.
"This is Brock Lovett. How can I help you, Mrs...?","00:11:52,394 --> 00:11:55,466",ಇದು ಬ್ರಾಕ್ ಲೊವೆಟ್. ನಾನು ನಿನಗೆ ಹೇಗೆ ಸಹಾಯ ಮಾಡಲಿ ಶ್ರೀಮತಿ...?
Calvert. Rose Calvert.,"00:11:55,554 --> 00:11:57,670",ಕ್ಯಾಲ್ವರ್ಟ್. ರೋಸ್ ಕ್ಯಾಲ್ವರ್ಟ್.
Mrs Calvert?,"00:11:57,754 --> 00:11:59,551",ಶ್ರೀಮತಿ ಕ್ಯಾಲ್ವರ್ಟ್?
"I was just wondering if you'd found the ""Heart of the Ocean"", Mr Lovett.","00:11:59,634 --> 00:12:04,788","ನೀವು ಕಂಡುಕೊಂಡಿದ್ದೀರಾ ಎಂದು ನಾನು ಆಶ್ಚರ್ಯ ಪಡುತ್ತಿದ್ದೆ ""ಹಾರ್ಟ್ ಆಫ್ ದಿ ಓಷನ್"", ಶ್ರೀ ಲೊವೆಟ್."
I said you wanted to take the call.,"00:12:06,474 --> 00:12:08,704",ನೀವು ಕರೆ ತೆಗೆದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ ಎಂದು ನಾನು ಹೇಳಿದೆ.
"All right. You have my attention, Rose.","00:12:10,754 --> 00:12:13,188","ಸರಿ. ನೀವು ನನ್ನ ಗಮನವನ್ನು ಹೊಂದಿದ್ದೀರಿ, ರೋಸ್."
Can you tell us who the woman in the picture is?,"00:12:13,274 --> 00:12:16,186",ಮಹಿಳೆ ಯಾರು ಎಂದು ನಮಗೆ ಹೇಳಬಲ್ಲಿರಾ? ಚಿತ್ರದಲ್ಲಿದೆ?
"Oh, yes.","00:12:16,274 --> 00:12:17,787",ಹೌದು ಓಹ್.
The woman in the picture is me.,"00:12:17,874 --> 00:12:20,468",ಚಿತ್ರದಲ್ಲಿರುವ ಮಹಿಳೆ ನಾನು.
She's a goddamned liar! Some nutcase seeking money or publicity!,"00:12:35,434 --> 00:12:39,950",ಅವಳು ಸುಳ್ಳುಗಾರ್ತಿ! ಕೆಲವು ಅಡಿಕೆ ಹಣ ಅಥವಾ ಪ್ರಚಾರದ ಹುಡುಕಾಟ!
"God only knows why! Like that Russian babe, Anaesthesia!","00:12:40,034 --> 00:12:43,743","ಏಕೆ ಎಂದು ದೇವರೇ ಬಲ್ಲ! ಆ ರಷ್ಯಾದ ತರುಣಿಯಂತೆ, ಅನಸ್ತೇಷಿಯಾ!"
They're inbound!,"00:12:43,834 --> 00:12:45,825",ಅವರು ಒಳಬರುತ್ತಿದ್ದಾರೆ!
Rose DeWitt Bukater died on Titanic when she was 17.,"00:12:50,274 --> 00:12:53,869",ರೋಸ್ ಡೆವಿಟ್ ಬುಕಾಟರ್ ಟೈಟಾನಿಕ್ನಲ್ಲಿ ನಿಧನರಾದರು ಅವಳು 17 ವರ್ಷದವಳಿದ್ದಾಗ.
Right.,"00:12:53,954 --> 00:12:55,228",ಸರಿ.
"If she'd lived, she'd be over 100 by now.","00:12:55,314 --> 00:12:57,782","ಅವಳು ಬದುಕಿದ್ದರೆ, ಅವಳು ಈಗ 100 ಕ್ಕಿಂತ ಹೆಚ್ಚು ವಯಸ್ಸಿನವಳು."
101 next month.,"00:12:57,874 --> 00:13:00,183",ಮುಂದಿನ ತಿಂಗಳು 101.
So she's a very old goddamned liar!,"00:13:00,274 --> 00:13:03,186",ಆದ್ದರಿಂದ ಅವಳು ತುಂಬಾ ಹಳೆಯ ಸುಳ್ಳುಗಾರ್ತಿ!
I've done the background on this woman...,"00:13:03,274 --> 00:13:06,107",ನಾನು ಹಿನ್ನೆಲೆ ಮಾಡಿದ್ದೇನೆ ಈ ಮಹಿಳೆಯ ಮೇಲೆ...
..back to the '20s when she was working as an actress.,"00:13:06,194 --> 00:13:09,630",..20 ರ ದಶಕಕ್ಕೆ ಹಿಂತಿರುಗಿ ಅವಳು ನಟಿಯಾಗಿ ಕೆಲಸ ಮಾಡುವಾಗ.
An actress!,"00:13:09,714 --> 00:13:11,147",ಒಬ್ಬ ನಟಿ!
"There's your first clue, Sherlock! Her name was Rose Dawson back then.","00:13:11,234 --> 00:13:15,193","ನಿಮ್ಮ ಮೊದಲ ಸುಳಿವು ಇಲ್ಲಿದೆ, ಷರ್ಲಾಕ್! ಆಗ ಆಕೆಯ ಹೆಸರು ರೋಸ್ ಡಾಸನ್."
She marries a guy named Calvert. They move to Cedar Rapids and have kids.,"00:13:15,274 --> 00:13:20,507",ಅವಳು ಕ್ಯಾಲ್ವರ್ಟ್ ಎಂಬ ವ್ಯಕ್ತಿಯನ್ನು ಮದುವೆಯಾಗುತ್ತಾಳೆ. ಅವರು ಸೀಡರ್ ರಾಪಿಡ್ಸ್ಗೆ ತೆರಳುತ್ತಾರೆ ಮತ್ತು ಮಕ್ಕಳನ್ನು ಹೊಂದಿದ್ದಾರೆ.
"Now Calvert's dead, and Cedar Rapids, too.","00:13:20,594 --> 00:13:23,506","ಈಗ ಕ್ಯಾಲ್ವರ್ಟ್ ಸತ್ತಿದ್ದಾನೆ, ಮತ್ತು ಸೀಡರ್ ರಾಪಿಡ್ಸ್ ಕೂಡ."
Everybody who knows about the diamond...,"00:13:23,594 --> 00:13:26,233",ತಿಳಿದಿರುವ ಎಲ್ಲರೂ ವಜ್ರದ ಬಗ್ಗೆ...
"..is supposed to be dead or on this boat, but she knows.","00:13:26,314 --> 00:13:28,225","..ಸತ್ತಿರಬೇಕು ಅಥವಾ ಈ ದೋಣಿಯಲ್ಲಿ, ಆದರೆ ಅವಳು ತಿಳಿದಿದ್ದಾಳೆ."
"Doesn't exactly travel light, does she?","00:13:40,674 --> 00:13:43,552","ನಿಖರವಾಗಿ ಬೆಳಕಿನ ಪ್ರಯಾಣ ಮಾಡುವುದಿಲ್ಲ, ಅವಳು ಮಾಡ್ತಾಳಾ?"
"Mrs Calvert, I'm Brock Lovett.","00:13:45,474 --> 00:13:47,544","ಶ್ರೀಮತಿ ಕ್ಯಾಲ್ವರ್ಟ್, ನಾನು ಬ್ರಾಕ್ ಲೊವೆಟ್."
Welcome to the Keldysh.,"00:13:47,634 --> 00:13:49,625",ಕೆಲ್ಡಿಶ್‌ಗೆ ಸುಸ್ವಾಗತ.
Let's get her inside.,"00:13:51,154 --> 00:13:53,031",ಅವಳನ್ನು ಒಳಗೆ ಕರೆದುಕೊಂಡು ಹೋಗೋಣ.
"Hi, Ms Calvert.","00:13:53,074 --> 00:13:54,393","ಹಾಯ್, ಮಿಸ್ ಕ್ಯಾಲ್ವರ್ಟ್."
- Hi. - Welcome to the Keldysh.,"00:13:54,474 --> 00:13:56,669",- ನಮಸ್ತೆ. - ಕೆಲ್ಡಿಶ್‌ಗೆ ಸುಸ್ವಾಗತ.
Man: Hey.,"00:13:58,514 --> 00:13:59,993",ಮನುಷ್ಯ: ಹೇ.
Hey!,"00:14:00,074 --> 00:14:01,666",ಹೇ!
(Knocking),"00:14:06,074 --> 00:14:07,666",(ಬಡಿಯುವುದು)
Yes?,"00:14:07,714 --> 00:14:08,703",ಹೌದು?
- Are your staterooms all right? - Very nice.,"00:14:08,754 --> 00:14:11,587",- ನಿಮ್ಮ ಸ್ಟೇಟ್‌ರೂಮ್‌ಗಳು ಸರಿಯಾಗಿವೆಯೇ? - ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ.
Have you met my granddaughter Lizzy?,"00:14:11,674 --> 00:14:14,632",ನೀವು ನನ್ನ ಮೊಮ್ಮಗಳು ಲಿಜ್ಜಿಯನ್ನು ಭೇಟಿ ಮಾಡಿದ್ದೀರಾ?
She takes care of me.,"00:14:14,714 --> 00:14:16,670",ಅವಳು ನನ್ನನ್ನು ನೋಡಿಕೊಳ್ಳುತ್ತಾಳೆ.
We met just a few minutes ago.,"00:14:16,754 --> 00:14:19,268",ನಾವು ಕೆಲವೇ ನಿಮಿಷಗಳ ಹಿಂದೆ ಭೇಟಿಯಾದೆವು.
"Remember, Nana? Up on deck?","00:14:19,354 --> 00:14:21,788","ನೆನಪಿದೆ, ನಾನಾ? ಡೆಕ್ ಮೇಲೆ?"
