en_dialogue,Timeline,kannada_dialogue
He was like a stray cat.,"00:04:00,504 --> 00:04:02,242",ಅವನು ದಾರಿತಪ್ಪಿ ಬೆಕ್ಕಿನಂತೆ ಇದ್ದನು.
Always there somewhere.,"00:04:02,284 --> 00:04:04,119",ಯಾವಾಗಲೂ ಎಲ್ಲೋ.
Inseparable from our children.,"00:04:04,786 --> 00:04:06,663",ನಮ್ಮ ಮಕ್ಕಳಿಂದ ಬೇರ್ಪಡಿಸಲಾಗದು.
"For Neytiri, he will always be a stranger.","00:04:10,375 --> 00:04:13,670","ನೇಟಿರಿಗೆ, ಅವನು ಯಾವಾಗಲೂ ಅಪರಿಚಿತನಾಗಿರುತ್ತಾನೆ."
One of them.,"00:04:13,795 --> 00:04:15,339",ಅವುಗಳಲ್ಲಿ ಒಂದು.
He belongs with his kind.,"00:04:15,422 --> 00:04:17,925",ಅವನು ತನ್ನ ರೀತಿಯೊಂದಿಗೆ ಸೇರಿದವನು.
He's mine! I took it first.,"00:04:22,429 --> 00:04:24,640",ಅವನು ನನ್ನವನು! ನಾನು ಅದನ್ನು ಮೊದಲು ತೆಗೆದುಕೊಂಡೆ.
Why should I leave it to you? -He's mine! - It took me several years,"00:04:24,723 --> 00:04:27,726",ನಾನು ಅದನ್ನು ನಿಮಗೆ ಏಕೆ ಬಿಡಬೇಕು? -ಅವರು ಗಣಿ! - ಇದು ನನಗೆ ಹಲವಾರು ವರ್ಷಗಳನ್ನು ತೆಗೆದುಕೊಂಡಿತು
let my tongue enter my head.,"00:04:27,768 --> 00:04:29,268",ನನ್ನ ನಾಲಿಗೆ ನನ್ನ ತಲೆಯನ್ನು ಪ್ರವೇಶಿಸಲಿ.
"Lo'ak, liar! Give it to me! - But now that I hear him,","00:04:29,269 --> 00:04:31,204","Lo'ak, ಸುಳ್ಳುಗಾರ! ಅದನ್ನು ನನಗೆ ಕೊಡಿ! - ಆದರೆ ಈಗ ನಾನು ಅವನನ್ನು ಕೇಳುತ್ತೇನೆ,"
it comes to me like native. -I hate you!,"00:04:31,371 --> 00:04:33,857",ಇದು ಸ್ಥಳೀಯರಂತೆ ನನಗೆ ಬರುತ್ತದೆ. -ನಾನು ನಿಮ್ಮನ್ನು ದ್ವೇಷಿಸುತ್ತೇನೆ!
"I hate you endlessly, Lo'ak! Penisolics!","00:04:34,816 --> 00:04:38,695","ನಾನು ನಿನ್ನನ್ನು ಅನಂತವಾಗಿ ದ್ವೇಷಿಸುತ್ತೇನೆ, ಲೋಕ್! ಶಿಶ್ನಶಾಸ್ತ್ರ!"
Enough! Don't let me come there.,"00:04:39,947 --> 00:04:42,616",ಸಾಕು! ನನ್ನನ್ನು ಅಲ್ಲಿಗೆ ಬರಲು ಬಿಡಬೇಡಿ.
He'll come out from behind those big rocks.,"00:04:42,950 --> 00:04:45,369",ಅವನು ಆ ದೊಡ್ಡ ಬಂಡೆಗಳ ಹಿಂದಿನಿಂದ ಹೊರಬರುತ್ತಾನೆ.
There it is.,"00:04:45,577 --> 00:04:48,747",ಅದು ಇದೆ.
There. Go get her!,"00:04:49,289 --> 00:04:50,799",ಅಲ್ಲಿ. ಅವಳನ್ನು ಕರೆದುಕೊಂಡು ಹೋಗಿ!
"Netejam, the mighty fisherman.","00:04:52,835 --> 00:04:54,920","ನೆಟೆಜಾಮ್, ಪ್ರಬಲ ಮೀನುಗಾರ."
There. Well done.,"00:04:55,087 --> 00:04:57,005",ಅಲ್ಲಿ. ಒಳ್ಳೆಯದು.
It's big. - At the stones.,"00:05:00,843 --> 00:05:03,345",ಇದು ದೊಡ್ಡದಾಗಿದೆ. - ಕಲ್ಲುಗಳಲ್ಲಿ.
Where you said.,"00:05:04,346 --> 00:05:05,931",ನೀವು ಎಲ್ಲಿ ಹೇಳಿದ್ದೀರಿ.
How tall is he? - He's this tall. -He's tall!,"00:05:05,973 --> 00:05:09,351",ಅವನು ಎಷ್ಟು ಎತ್ತರ? - ಅವನು ಈ ಎತ್ತರ. -ಅವರು ಎತ್ತರ!
Time flies.,"00:05:09,393 --> 00:05:10,903",ಸಮಯ ನೊಣಗಳು.
Like a dream.,"00:05:11,103 --> 00:05:12,813",ಕನಸಿನಂತೆ.
"Kiri. -Brother, come on.","00:05:13,939 --> 00:05:15,433","ಕಿರಿ. -ರಾಮು, ಬನ್ನಿ."
Come on.,"00:05:15,434 --> 00:05:17,276",ಬನ್ನಿ.
"Smile, you idiot.","00:05:17,526 --> 00:05:19,036","ಕಿರುನಗೆ, ನೀವು ಈಡಿಯಟ್."
Like a night out.,"00:05:24,283 --> 00:05:25,776",ರಾತ್ರಿಯಂತೆ.
Time without children.,"00:05:25,777 --> 00:05:27,287",ಮಕ್ಕಳಿಲ್ಲದ ಸಮಯ.
But the problem with luck...,"00:05:59,026 --> 00:06:00,944",ಆದರೆ ಅದೃಷ್ಟದ ಸಮಸ್ಯೆ ...
It can disappear in a split second.,"00:06:03,238 --> 00:06:05,115",ಇದು ವಿಭಜಿತ ಸೆಕೆಂಡಿನಲ್ಲಿ ಕಣ್ಮರೆಯಾಗಬಹುದು.
A new star in the night.,"00:06:11,205 --> 00:06:13,373",ರಾತ್ರಿಯಲ್ಲಿ ಹೊಸ ನಕ್ಷತ್ರ.
That can only mean one thing.,"00:06:14,583 --> 00:06:16,835",ಅದು ಕೇವಲ ಒಂದು ವಿಷಯವನ್ನು ಮಾತ್ರ ಅರ್ಥೈಸಬಲ್ಲದು.
Ships. They slow down.,"00:06:23,509 --> 00:06:25,761",ಹಡಗುಗಳು. ಅವರು ನಿಧಾನಗೊಳಿಸುತ್ತಾರೆ.
And the Skymen are coming back.,"00:06:34,937 --> 00:06:37,022",ಮತ್ತು ಸ್ಕೈಮೆನ್ ಹಿಂತಿರುಗುತ್ತಿದೆ.
Translated by: Bambula,"00:06:39,107 --> 00:06:44,404",ಅನುವಾದಿಸಲಾಗಿದೆ: ಬಾಂಬುಲಾ
ONE YEAR LATER,"00:08:55,410 --> 00:08:59,540",ಒಂದು ವರ್ಷದ ನಂತರ
Pulse 168.,"00:09:06,755 --> 00:09:08,265",ನಾಡಿ 168.
Here it is.,"00:09:08,298 --> 00:09:09,842",ಇಲ್ಲಿ ಅದು.
You are fine.,"00:09:09,925 --> 00:09:11,425",ನೀವು ಚೆನ್ನಾಗಿದ್ದೀರಿ.
Just lie still.,"00:09:11,426 --> 00:09:12,936",ಇನ್ನೂ ಸುಳ್ಳು.
Keep calm.,"00:09:12,942 --> 00:09:14,452",ಶಾಂತವಾಗಿರಿ.
Yes. Pupillary reaction is good.,"00:09:15,597 --> 00:09:17,766",ಹೌದು. ಪಪಿಲರಿ ಪ್ರತಿಕ್ರಿಯೆ ಒಳ್ಳೆಯದು.
Get it out of his face.,"00:09:17,933 --> 00:09:19,443",ಅವನ ಮುಖದಿಂದ ಅದನ್ನು ಹೊರತೆಗೆಯಿರಿ.
Colonel...,"00:09:19,810 --> 00:09:21,320",ಕರ್ನಲ್ ...
can you hear me Colonel?,"00:09:21,395 --> 00:09:23,272",ನೀವು ನನ್ನನ್ನು ಕೇಳಬಹುದೇ? ಕರ್ನಲ್?
"You must lie down, sir.","00:09:26,191 --> 00:09:27,776",ನೀವು ಮಲಗಬೇಕು ಸರ್.
Sedate him! -Get out of here.,"00:09:33,448 --> 00:09:35,576",ಅವನನ್ನು ಶಾಂತಗೊಳಿಸಿ! ಇಲ್ಲಿಂದ ಹೊರಹೋಗು.
Go Go! - Call security!,"00:09:35,701 --> 00:09:37,619",ಹೋಗಿ! - ಭದ್ರತೆ ಕರೆ ಮಾಡಿ!
Catch him! - Catch him!,"00:09:37,661 --> 00:09:39,171",ಅವನನ್ನು ಹಿಡಿಯಿರಿ! - ಅವನನ್ನು ಹಿಡಿಯಿರಿ!
Hold it! -Calm down!,"00:09:39,955 --> 00:09:41,707",ಅದನ್ನು ಹಿಡಿದುಕೊಳ್ಳಿ! -ಕಾಮ್ ಡೌನ್!
"Colonel, stop! Colonel, it's me!","00:09:41,748 --> 00:09:44,334","ಕರ್ನಲ್, ನಿಲ್ಲಿಸಿ! ಕರ್ನಲ್, ಇದು ನಾನು!"
Corporal Waynfleet!,"00:09:44,668 --> 00:09:46,178",ಕಾರ್ಪೋರಲ್ ವೇನ್ಫ್ಲೀಟ್!
Lyle?,"00:09:49,715 --> 00:09:51,225",ಲೈಲ್?
That's you? -Yes sir. And Zee Dog.,"00:09:52,384 --> 00:09:57,014",ಅದು ನೀವೇ? -ಹೈಸ್ ಸರ್. ಮತ್ತು go ೀ ಡಾಗ್.
And Fike...,"00:09:57,764 --> 00:09:59,641",ಮತ್ತು ಫೈಕ್ ...
I'm all right. Let me go.,"00:10:02,227 --> 00:10:03,737",ನಾನು ಸರಿ. ನಾನು ಹೋಗಲಿ.
I'm all right.,"00:10:04,229 --> 00:10:06,106",ನಾನು ಸರಿ.
Well...,"00:10:26,543 --> 00:10:28,420",ಚೆನ್ನಾಗಿ ...
Isn't this horrible?,"00:10:29,004 --> 00:10:31,215",ಇದು ಭಯಾನಕವಲ್ಲವೇ?
Get ready. Two minutes until landing on Pandora. Safe for Delta V.,"00:10:40,015 --> 00:10:45,103",ಸಿದ್ಧರಾಗಿ. ಇಳಿಯುವವರೆಗೆ ಎರಡು ನಿಮಿಷಗಳು ಪಂಡೋರಾದಲ್ಲಿ. ಡೆಲ್ಟಾ ವಿ.
OK. Umbilical cord removed.,"00:10:46,104 --> 00:10:48,065",ಸರಿ. ಹೊಕ್ಕುಳಬಳ್ಳಿಯನ್ನು ತೆಗೆದುಹಾಕಲಾಗಿದೆ.
Oxygen saturation 89.,"00:10:48,524 --> 00:10:50,034",ಆಮ್ಲಜನಕ ಶುದ್ಧತ್ವ 89.
"In case you haven't figured it out yet, you are Colonel Miles Quaritch.","00:10:51,527 --> 00:10:55,489","ಒಂದು ವೇಳೆ ನೀವು ಇದನ್ನು ಇನ್ನೂ ಲೆಕ್ಕಾಚಾರ ಮಾಡದಿದ್ದರೆ, ನೀವು ಕರ್ನಲ್ ಮೈಲ್ಸ್ ಕ್ವಾರಿಚ್."
"Only younger, taller, bluer...","00:10:55,531 --> 00:10:58,033","ಕಿರಿಯ, ಎತ್ತರ, ನೀಲಿ ಬಣ್ಣ ಮಾತ್ರ ..."
And not nearly as gorgeous.,"00:10:58,450 --> 00:11:00,369",ಮತ್ತು ಬಹುಕಾಂತೀಯವಲ್ಲ.
I'm going on a mission in two hours against a Na'vi stronghold.,"00:11:00,953 --> 00:11:04,540",ನಾನು ಎರಡು ಗಂಟೆಗಳಲ್ಲಿ ಮಿಷನ್‌ಗೆ ಹೋಗುತ್ತಿದ್ದೇನೆ ನವಿ ಭದ್ರಕೋಟೆಯ ವಿರುದ್ಧ.
The heads thought it was smart to make a copy of this just in case.,"00:11:04,581 --> 00:11:09,336",ಮುಖ್ಯಸ್ಥರು ಇದು ಸ್ಮಾರ್ಟ್ ಎಂದು ಭಾವಿಸಿದ್ದರು ಇದರ ನಕಲನ್ನು ಮಾಡಲು.
"And if you're watching this, well...","00:11:09,628 --> 00:11:11,713",ಮತ್ತು ನೀವು ಇದನ್ನು ನೋಡುತ್ತಿದ್ದರೆ ...
That means I pulled my paws.,"00:11:11,880 --> 00:11:13,966",ಅಂದರೆ ನಾನು ನನ್ನ ಪಂಜಗಳನ್ನು ಎಳೆದಿದ್ದೇನೆ.
"Parker, what should I say now?","00:11:15,968 --> 00:11:19,137","ಪಾರ್ಕರ್, ನಾನು ಈಗ ಏನು ಹೇಳಬೇಕು?"
Just remind him how this works.,"00:11:19,638 --> 00:11:21,557",ಇದು ಹೇಗೆ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ ಎಂಬುದನ್ನು ಅವನಿಗೆ ನೆನಪಿಸಿ.
Here is.,"00:11:21,640 --> 00:11:23,150",ಇಲ್ಲಿದೆ.
You see this? These are all your memories and personality.,"00:11:23,934 --> 00:11:26,562",ನೀವು ಇದನ್ನು ನೋಡುತ್ತೀರಾ? ಇವೆಲ್ಲವೂ ನಿಮ್ಮ ನೆನಪುಗಳು ಮತ್ತು ವ್ಯಕ್ತಿತ್ವ.
We're going to send this back to Earth where are you growing in the lab right now.,"00:11:26,770 --> 00:11:30,774",ನಾವು ಇದನ್ನು ಭೂಮಿಗೆ ಕಳುಹಿಸಲಿದ್ದೇವೆ ನೀವು ಇದೀಗ ಲ್ಯಾಬ್‌ನಲ್ಲಿ ಎಲ್ಲಿ ಬೆಳೆಯುತ್ತಿದ್ದೀರಿ.
"We're going to transfer this to you, and then...","00:11:30,816 --> 00:11:32,526","ನಾವು ಇದನ್ನು ನಿಮಗೆ ವರ್ಗಾಯಿಸಲಿದ್ದೇವೆ, ತದನಂತರ ..."
Do I do this or do you? - Hurry up.,"00:11:32,609 --> 00:11:34,862",ನಾನು ಇದನ್ನು ಮಾಡುತ್ತೇನೆಯೇ ಅಥವಾ ಇಲ್ಲವೇ? - ಯದ್ವಾತದ್ವಾ.
"Anyway, the idea is to switch awareness of the most experienced operatives...","00:11:36,196 --> 00:11:41,785","ಹೇಗಾದರೂ, ಬದಲಾಯಿಸುವ ಆಲೋಚನೆ ಅತ್ಯಂತ ಅನುಭವಿ ಕಾರ್ಯಕರ್ತರ ಅರಿವು ..."
"As Corporal Wainfleet is there,","00:11:41,827 --> 00:11:44,580","ಕಾರ್ಪೋರಲ್ ವೈನ್‌ಫ್ಲೀಟ್ ಇರುವಂತೆ,"
"and your humble narrator, into recombinant bodies.","00:11:44,621 --> 00:11:49,418","ಮತ್ತು ನಿಮ್ಮ ವಿನಮ್ರ ನಿರೂಪಕ, ಪುನರ್ಸಂಯೋಜಕ ದೇಹಗಳಾಗಿ."
"You're recombinant now, Colonel, filled with my memories and charm.","00:11:50,002 --> 00:11:54,298","ನೀವು ಈಗ ಮರುಸಂಘಟಿತರಾಗಿದ್ದೀರಿ, ಕರ್ನಲ್, ನನ್ನ ನೆನಪುಗಳು ಮತ್ತು ಮೋಡಿಯಿಂದ ತುಂಬಿದೆ."
"You will not remember my death, because it hasn't happened yet,","00:11:55,257 --> 00:11:58,677","ನನ್ನ ಸಾವು ನಿಮಗೆ ನೆನಪಿಲ್ಲ, ಏಕೆಂದರೆ ಅದು ಇನ್ನೂ ಸಂಭವಿಸಿಲ್ಲ,"
and won't.,"00:11:58,927 --> 00:12:00,437",ಮತ್ತು ಆಗುವುದಿಲ್ಲ.
That's right. -You bet.,"00:12:00,679 --> 00:12:02,189",ಅದು ಸರಿ. -ನೀವು ಪಂತ.
"Whatever happened,","00:12:02,347 --> 00:12:03,891","ಏನಾಯಿತು,"
"if you are even a little clone of me, you will crave revenge.","00:12:04,850 --> 00:12:07,519","ನೀವು ನನ್ನ ಸ್ವಲ್ಪ ತದ್ರೂಪಿ ಆಗಿದ್ದರೆ, ನೀವು ಸೇಡು ತೀರಿಸಿಕೊಳ್ಳುತ್ತೀರಿ."
And Jake Sully will be at the top of that list.,"00:12:07,936 --> 00:12:10,439",ಮತ್ತು ಜೇಕ್ ಸುಲ್ಲಿ ಆ ಪಟ್ಟಿಯಲ್ಲಿ ಅಗ್ರಸ್ಥಾನದಲ್ಲಿರುತ್ತಾನೆ.
"Remember, boy...","00:12:14,067 --> 00:12:15,577","ನೆನಪಿಡಿ, ಹುಡುಗ ..."
A Marine cannot be defeated.,"00:12:15,777 --> 00:12:17,404",ಸಾಗರವನ್ನು ಸೋಲಿಸಲಾಗುವುದಿಲ್ಲ.
"They can kill us, but we will regroup in hell.","00:12:17,779 --> 00:12:21,658","ಅವರು ನಮ್ಮನ್ನು ಕೊಲ್ಲಬಹುದು, ಆದರೆ ನಾವು ನರಕದಲ್ಲಿ ಮರುಸಂಗ್ರಹಿಸುತ್ತೇವೆ."
Always loyal.,"00:12:23,076 --> 00:12:24,586",ಯಾವಾಗಲೂ ನಿಷ್ಠಾವಂತ.
"Ground team, move!","00:12:52,981 --> 00:12:54,491","ನೆಲದ ತಂಡ, ಸರಿಸಿ!"
Take this! Go!,"00:13:47,995 --> 00:13:49,830",ಇದನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ! ಹೋಗಿ!
"Here we go. Two minutes, people. Here we go.","00:13:53,959 --> 00:13:56,003","ಇಲ್ಲಿ ನಾವು ಹೋಗುತ್ತೇವೆ. ಎರಡು ನಿಮಿಷಗಳು, ಜನರು. ಇಲ್ಲಿ ನಾವು ಹೋಗುತ್ತೇವೆ."
"Bro, we gotta get down there. -By no means! Dad will skin us!","00:14:00,382 --> 00:14:04,178","ಬ್ರೋ, ನಾವು ಅಲ್ಲಿಗೆ ಇಳಿಯಬೇಕು. -ಆದರೆ ಇಲ್ಲ! ಅಪ್ಪ ನಮ್ಮನ್ನು ಚರ್ಮ ಮಾಡುತ್ತಾರೆ!"
Come on. Don't be lukewarm.,"00:14:04,636 --> 00:14:06,146",ಬನ್ನಿ. ಉತ್ಸಾಹವಿಲ್ಲದವರಾಗಿರಬೇಡಿ.
"Lo'ak! Come back here, you...","00:14:06,847 --> 00:14:08,724","Lo'ak! ಇಲ್ಲಿಗೆ ಹಿಂತಿರುಗಿ, ನೀವು ..."
"We're taking the whole crate! We take frames for bullets, rocket launchers, stingers.","00:14:12,561 --> 00:14:15,898","ನಾವು ಇಡೀ ಕ್ರೇಟ್ ಅನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತಿದ್ದೇವೆ! ನಾವು ಚೌಕಟ್ಟುಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತೇವೆ ಗುಂಡುಗಳು, ರಾಕೆಟ್ ಲಾಂಚರ್‌ಗಳು, ಸ್ಟಿಂಗರ್‌ಗಳಿಗಾಗಿ."
"Brother, let's go. Come on! - Lo'ak!","00:14:19,484 --> 00:14:20,994","ಸಹೋದರ, ಹೋಗೋಣ. ಬನ್ನಿ! - lo'ak!"
"Okay, let's go!","00:14:21,021 --> 00:14:22,438","ಸರಿ, ಹೋಗೋಣ!"
Lo'ak!,"00:14:22,439 --> 00:14:23,946",Lo'ak!
Move! Take it!,"00:14:23,947 --> 00:14:25,457",ಸರಿಸಿ! ಅದನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ!
"Take this weapon! Boy, go!","00:14:25,949 --> 00:14:27,492","ಈ ಆಯುಧವನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ! ಹುಡುಗ, ಹೋಗಿ!"
You don't even know how to use it.,"00:14:30,162 --> 00:14:31,747",ಅದನ್ನು ಹೇಗೆ ಬಳಸಬೇಕೆಂದು ನಿಮಗೆ ತಿಳಿದಿಲ್ಲ.
My dad taught me.,"00:14:32,706 --> 00:14:34,249",ನನ್ನ ತಂದೆ ನನಗೆ ಕಲಿಸಿದರು.
A fighter jet is coming!,"00:14:42,007 --> 00:14:43,459",ಫೈಟರ್ ಜೆಟ್ ಬರುತ್ತಿದೆ!
Retreat!,"00:14:43,460 --> 00:14:44,970",ಹಿಮ್ಮೆಟ್ಟುವಿಕೆ!
"Brother, come on!","00:14:50,766 --> 00:14:52,643","ಸಹೋದರ, ಬನ್ನಿ!"
"Lo'ak, where are you?","00:15:01,902 --> 00:15:03,396","Lo'ak, ನೀವು ಎಲ್ಲಿದ್ದೀರಿ?"
We don't care!,"00:15:03,397 --> 00:15:04,907",ನಾವು ಹೆದರುವುದಿಲ್ಲ!
Easy easy. Are you OK?,"00:15:05,531 --> 00:15:07,041",ಸುಲಭ ಸುಲಭ. ನೀವು ಸರಿಯಾಗಿದ್ದೀರಾ?
Yes. -Where's your brother?,"00:15:07,282 --> 00:15:08,792",ಹೌದು. -ನಿಮ್ಮ ಸಹೋದರ ಎಲ್ಲಿ?
There. -Where is he? Where?,"00:15:09,159 --> 00:15:10,669",ಅಲ್ಲಿ. -ಅವರು ಎಲ್ಲಿದ್ದಾರೆ? ಎಲ್ಲಿ?
Get out of here! Go!,"00:15:10,674 --> 00:15:12,184",ಇಲ್ಲಿಂದ ಹೊರಬನ್ನಿ! ಹೋಗಿ!
Oh no.,"00:15:16,708 --> 00:15:18,585",ಓಹ್ ಇಲ್ಲ.
No no.,"00:15:19,878 --> 00:15:21,421",ಇಲ್ಲ.
God.,"00:15:22,297 --> 00:15:24,216",ದೇವರು.
Dad?,"00:15:28,929 --> 00:15:30,806",ಅಪ್ಪಾ?
"What are you doing here, boy? Where was your mind?","00:15:32,474 --> 00:15:34,726","ಹುಡುಗ, ನೀವು ಇಲ್ಲಿ ಏನು ಮಾಡುತ್ತಿದ್ದೀರಿ? ನಿಮ್ಮ ಮನಸ್ಸು ಎಲ್ಲಿದೆ?"
I'm sorry.,"00:15:35,853 --> 00:15:37,688",ಕ್ಷಮಿಸಿ.
"I'm very sorry, sir.","00:15:38,564 --> 00:15:40,074","ಕ್ಷಮಿಸಿ, ಸರ್."
You're not in Kansas anymore.,"00:15:43,694 --> 00:15:45,737",ನೀವು ಇನ್ನು ಮುಂದೆ ಕಾನ್ಸಾಸ್‌ನಲ್ಲಿಲ್ಲ.
Let's go to Pandora.,"00:15:47,072 --> 00:15:49,449",ಪಂಡೋರಾಕ್ಕೆ ಹೋಗೋಣ.
I know that everyone to themselves you are asking the same question.,"00:15:50,075 --> 00:15:55,205",ಪ್ರತಿಯೊಬ್ಬರೂ ತಮ್ಮನ್ನು ತಾವು ತಾವೇ ತಿಳಿದಿದ್ದಾರೆಂದು ನನಗೆ ತಿಳಿದಿದೆ ನೀವು ಅದೇ ಪ್ರಶ್ನೆಯನ್ನು ಕೇಳುತ್ತಿದ್ದೀರಿ.
Why so blue?,"00:15:58,000 --> 00:15:59,510",ಏಕೆ ನೀಲಿ?
"Because of the sins of our past life,","00:16:03,672 --> 00:16:05,549","ನಮ್ಮ ಹಿಂದಿನ ಜೀವನದ ಪಾಪಗಳಿಂದಾಗಿ,"
