Timeline,en_dialogue,kannada_dialogue
"00:14:29,160 --> 00:14:33,121",A thousand miles and poles apart,ಒಂದು ಸಾವಿರ ಮೈಲಿಗಳು ಮತ್ತು ಧ್ರುವಗಳನ್ನು ಹೊರತುಪಡಿಸಿ
"00:14:35,542 --> 00:14:39,711",Where worlds collide and days are dark,ಎಲ್ಲಿ ಪ್ರಪಂಚಗಳು ಘರ್ಷಿಸುತ್ತವೆ ಮತ್ತು ದಿನಗಳು ಕತ್ತಲೆಯಾಗಿವೆ
"00:14:39,796 --> 00:14:42,130",You may have my number,ನೀವು ನನ್ನ ಸಂಖ್ಯೆಯನ್ನು ಹೊಂದಿರಬಹುದು
"00:14:42,257 --> 00:14:44,007",You can take my name,ನೀವು ನನ್ನ ಹೆಸರನ್ನು ತೆಗೆದುಕೊಳ್ಳಬಹುದು
"00:14:45,176 --> 00:14:49,721",But you'll never have my heart,ಆದರೆ ನೀವು ಎಂದಿಗೂ ನನ್ನ ಹೃದಯವನ್ನು ಹೊಂದಿಲ್ಲ
"00:15:11,911 --> 00:15:16,498",And face it all together At Skyfall,ಮತ್ತು ಎಲ್ಲವನ್ನೂ ಒಟ್ಟಿಗೆ ಎದುರಿಸಿ ಸ್ಕೈಫಾಲ್ನಲ್ಲಿ
"00:15:21,421 --> 00:15:24,172",Where you go I go,ನೀವು ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತೀರಿ ನಾನು ಹೋಗುತ್ತೇನೆ
"00:15:24,841 --> 00:15:27,384",What you see I see,ನೀವು ನೋಡುವುದು ನಾನು ನೋಡುತ್ತೇನೆ
"00:15:27,719 --> 00:15:32,889",I know I'd never be me without the security,ನಾನು ಎಂದಿಗೂ ನಾನಲ್ಲ ಎಂದು ನನಗೆ ತಿಳಿದಿದೆ ಭದ್ರತೆ ಇಲ್ಲದೆ
"00:15:34,183 --> 00:15:37,227",Of your loving arms,ನಿಮ್ಮ ಪ್ರೀತಿಯ ತೋಳುಗಳ
"00:15:37,645 --> 00:15:40,188",keeping me from harm,ನನ್ನನ್ನು ಹಾನಿಯಿಂದ ದೂರವಿಡುವುದು
"00:15:40,481 --> 00:15:45,152",Put your hand in my hand and we'll stand,ನಿಮ್ಮ ಕೈ ನನ್ನ ಕೈಯಲ್ಲಿ ಇರಿಸಿ ಮತ್ತು ನಾವು ನಿಲ್ಲುತ್ತೇವೆ
"00:17:45,857 --> 00:17:48,233",It's like being summoned to the headmaster's study.,ಇದು ಕರೆಸಿಕೊಂಡಂತೆ ಮುಖ್ಯೋಪಾಧ್ಯಾಯರ ಅಧ್ಯಯನಕ್ಕೆ.
"00:17:48,359 --> 00:17:50,736",It's a new Chairman. Just standard procedure.,ಇದು ಹೊಸ ಅಧ್ಯಕ್ಷರು. ಕೇವಲ ಪ್ರಮಾಣಿತ ಕಾರ್ಯವಿಧಾನ.
"00:17:50,862 --> 00:17:52,988",Bloody waste of my time is what I call it.,ನನ್ನ ರಕ್ತಸಿಕ್ತ ತ್ಯಾಜ್ಯ ಸಮಯವು ನಾನು ಅದನ್ನು ಕರೆಯುತ್ತೇನೆ.
"00:17:53,156 --> 00:17:55,157",I'm sorry to have to deal with such,ನನಗೆ ಕ್ಷಮಿಸಿ ಅಂತಹವರೊಂದಿಗೆ ವ್ಯವಹರಿಸಲು
"00:17:55,283 --> 00:17:57,242",a delicate subject at our first encounter.,ನಲ್ಲಿ ಒಂದು ಸೂಕ್ಷ್ಮ ವಿಷಯ ನಮ್ಮ ಮೊದಲ ಮುಖಾಮುಖಿ.
"00:17:59,996 --> 00:18:01,329","But, um. . .","ಆದರೆ, ಉಮ್. . ."
"00:18:01,873 --> 00:18:03,665",I have to be frank with you.,ನಾನು ನಿಮ್ಮೊಂದಿಗೆ ಸ್ಪಷ್ಟವಾಗಿ ಹೇಳಬೇಕು.
"00:18:03,833 --> 00:18:05,834",I think that would be a good idea.,ನಾನು ಭಾವಿಸುತ್ತೇನೆ ಒಳ್ಳೆಯದು.
"00:18:08,880 --> 00:18:10,881",The Prime Minister's concerned.,ಪ್ರಧಾನ ಮಂತ್ರಿ ಕಾಳಜಿ.
"00:18:11,674 --> 00:18:14,509","Well, you can tell him my operatives are pursuing every avenue.","ಸರಿ, ನೀವು ಅವನಿಗೆ ಹೇಳಬಹುದು ನನ್ನ ಕಾರ್ಯಕರ್ತರು ಪ್ರತಿ ಅವೆನ್ಯೂವನ್ನು ಮುಂದುವರಿಸುವುದು."
"00:18:14,677 --> 00:18:16,678",Have you considered pulling out the agents?,ನೀವು ಪರಿಗಣಿಸಿದ್ದೀರಾ ಏಜೆಂಟರನ್ನು ಹೊರತೆಗೆಯುವುದೇ?
"00:18:16,763 --> 00:18:18,180",I've considered every option.,ನಾನು ಪ್ರತಿ ಆಯ್ಕೆಯನ್ನು ಪರಿಗಣಿಸಿದ್ದೇನೆ.
"00:18:18,264 --> 00:18:20,599","Forgive me, that sounds like an evasion.","ನನ್ನನ್ನು ಕ್ಷಮಿಸಿ, ಅದು ತಪ್ಪಿಸಿಕೊಳ್ಳುವಿಕೆಯಂತೆ ತೋರುತ್ತದೆ."
"00:18:20,767 --> 00:18:22,684","Forgive me, but why am I here?","ನನ್ನನ್ನು ಕ್ಷಮಿಸಿ, ಆದರೆ ನಾನು ಯಾಕೆ ಇಲ್ಲಿದ್ದೇನೆ?"
"00:18:23,895 --> 00:18:27,773","Three months ago, you lost the computer drive containing the identity","ಮೂರು ತಿಂಗಳ ಹಿಂದೆ, ನೀವು ಸೋತಿದ್ದೀರಿ ಕಂಪ್ಯೂಟರ್ ಡ್ರೈವ್ ಗುರುತನ್ನು ಒಳಗೊಂಡಿರುತ್ತದೆ"
"00:18:27,899 --> 00:18:30,358",of almost every NATO agent embedded in,ಬಹುತೇಕ ಪ್ರತಿಯೊಂದು ನ್ಯಾಟೋ ಏಜೆಂಟ್ ಅನ್ನು ಹುದುಗಿಸಲಾಗಿದೆ
"00:18:30,485 --> 00:18:32,903",terrorist organizations across the globe.,ಭಯೋತ್ಪಾದಕ ಸಂಘಟನೆಗಳು ಜಗತ್ತಿನಾದ್ಯಂತ.
"00:18:33,529 --> 00:18:36,406","A list which, in the eyes of our allies, never existed.","ಒಂದು ಪಟ್ಟಿ, ನಮ್ಮ ಮಿತ್ರರಾಷ್ಟ್ರಗಳ ದೃಷ್ಟಿಯಲ್ಲಿ, ಎಂದಿಗೂ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"00:18:36,741 --> 00:18:40,410","So if you'll forgive me, I think you know why you're here.","ಹಾಗಾಗಿ ನೀವು ನನ್ನನ್ನು ಕ್ಷಮಿಸಿದರೆ, ನಿಮಗೆ ತಿಳಿದಿದೆ ಎಂದು ನಾನು ಭಾವಿಸುತ್ತೇನೆ ನೀವು ಯಾಕೆ ಇಲ್ಲಿದ್ದೀರಿ."
"00:18:40,578 --> 00:18:42,370","Are we to call this ""civilian oversight""?","ನಾವು ಇದನ್ನು ಕರೆಯಬೇಕೇ? ""ನಾಗರಿಕ ಮೇಲ್ವಿಚಾರಣೆ""?"
"00:18:42,580 --> 00:18:46,041","No, we're to call this ""retirement planning.""","ಇಲ್ಲ, ನಾವು ಕರೆ ಮಾಡಬೇಕು ಈ ""ನಿವೃತ್ತಿ ಯೋಜನೆ."""
"00:18:47,752 --> 00:18:49,753",Your country has only the highest respect for you,ನಿಮ್ಮ ದೇಶವನ್ನು ಹೊಂದಿದೆ ಅತ್ಯುನ್ನತ ಗೌರವ ಮಾತ್ರ ನಿಮಗಾಗಿ
"00:18:49,879 --> 00:18:51,880",and your many years of service.,ಮತ್ತು ನಿಮ್ಮ ಅನೇಕ ವರ್ಷಗಳ ಸೇವೆ.
"00:18:52,215 --> 00:18:53,799","When your current posting is completed,","ನಿಮ್ಮ ಪ್ರಸ್ತುತ ಯಾವಾಗ ಪೋಸ್ಟ್ ಪೂರ್ಣಗೊಂಡಿದೆ,"
"00:18:53,883 --> 00:18:57,052",you'll be awarded GCMG with full honors.,ನಿಮಗೆ ಪ್ರಶಸ್ತಿ ನೀಡಲಾಗುವುದು ಪೂರ್ಣ ಗೌರವಗಳೊಂದಿಗೆ ಜಿಸಿಎಂಜಿ.
"00:18:58,554 --> 00:19:00,222",Congratulations.,ಅಭಿನಂದನೆಗಳು.
"00:19:01,057 --> 00:19:02,098",You're firing me.,ನೀವು ನನ್ನನ್ನು ಗುಂಡು ಹಾರಿಸುತ್ತಿದ್ದೀರಿ.
"00:19:02,266 --> 00:19:04,643","No, ma'am, I'm here to oversee the transition period","ಇಲ್ಲ, ಮಾಮ್, ನಾನು ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡಲು ಇಲ್ಲಿದ್ದೇನೆ ಪರಿವರ್ತನೆಯ ಅವಧಿ"
"00:19:04,769 --> 00:19:07,479",leading to your voluntary retirement in two months' time.,ನಿಮ್ಮಕ್ಕೆ ಕಾರಣವಾಗುತ್ತದೆ ಸ್ವಯಂಪ್ರೇರಿತ ನಿವೃತ್ತಿ ಎರಡು ತಿಂಗಳ ಅವಧಿಯಲ್ಲಿ.
"00:19:07,897 --> 00:19:10,398","Your successor has yet to be appointed, so we'll be asking you. . .","ನಿಮ್ಮ ಉತ್ತರಾಧಿಕಾರಿ ಹೊಂದಿದ್ದಾರೆ ಇನ್ನೂ ನೇಮಕಗೊಳ್ಳಬೇಕಾಗಿದೆ, ಆದ್ದರಿಂದ ನಾವು ನಿಮ್ಮನ್ನು ಕೇಳುತ್ತೇವೆ. . ."
"00:19:10,566 --> 00:19:12,275","I'm not an idiot, Mallory.","ನಾನು ಈಡಿಯಟ್ ಅಲ್ಲ, ಮಲ್ಲೊರಿ."
"00:19:12,944 --> 00:19:15,070",I know I can't do this job forever,ನಾನು ಮಾಡಲು ಸಾಧ್ಯವಿಲ್ಲ ಎಂದು ನನಗೆ ತಿಳಿದಿದೆ ಈ ಕೆಲಸ ಶಾಶ್ವತವಾಗಿ
"00:19:15,404 --> 00:19:17,364",but I'll be damned if I'm going to leave the department,ಆದರೆ ನಾನು ಹಾನಿಗೊಳಗಾಗುತ್ತೇನೆ ನಾನು ಹೋಗುತ್ತಿದ್ದರೆ ಇಲಾಖೆಯನ್ನು ಬಿಡಿ
"00:19:17,490 --> 00:19:19,491",in worse shape than I found it.,ಕೆಟ್ಟ ಆಕಾರದಲ್ಲಿ ನಾನು ಅದನ್ನು ಕಂಡುಕೊಂಡಿದ್ದಕ್ಕಿಂತ.
"00:19:19,659 --> 00:19:22,160","M, you've had a great run.","ಎಮ್, ನೀವು ಉತ್ತಮ ಓಟವನ್ನು ಹೊಂದಿದ್ದೀರಿ."
"00:19:22,829 --> 00:19:24,287",You should leave with dignity.,ನೀವು ಘನತೆಯಿಂದ ಹೊರಡಬೇಕು.
"00:19:24,413 --> 00:19:27,582","Oh, to hell with dignity. I'll leave when the job's done.","ಓಹ್, ಘನತೆಯಿಂದ ನರಕಕ್ಕೆ. ನಾನು ಯಾವಾಗ ಬಿಡುತ್ತೇನೆ ಕೆಲಸ ಮುಗಿದಿದೆ."
"00:19:46,644 --> 00:19:47,811",Yes?,ಹೌದು?
"00:19:49,438 --> 00:19:50,480",Now?,ಈಗ?
"00:19:52,441 --> 00:19:56,444","Ma'am, alert from Q-Branch. Someone's trying to decrypt the stolen hard drive.","ಮಾಮ್, ಕ್ಯೂ-ಬ್ರಾಂಚ್‌ನಿಂದ ಎಚ್ಚರಿಕೆ. ಯಾರೋ ಡೀಕ್ರಿಪ್ಟ್ ಮಾಡಲು ಪ್ರಯತ್ನಿಸುತ್ತಿದ್ದಾರೆ ಕದ್ದ ಹಾರ್ಡ್ ಡ್ರೈವ್."
"00:19:56,863 --> 00:19:58,947",We're tracing the encryption signal.,ನಾವು ಪತ್ತೆಹಚ್ಚುತ್ತಿದ್ದೇವೆ ಎನ್‌ಕ್ರಿಪ್ಶನ್ ಸಿಗ್ನಲ್.
"00:19:59,490 --> 00:20:00,615",Localizing now.,ಈಗ ಸ್ಥಳೀಕರಿಸಲಾಗುತ್ತಿದೆ.
"00:20:03,703 --> 00:20:05,120",Centering in the UK.,ಯುಕೆಯಲ್ಲಿ ಕೇಂದ್ರೀಕರಿಸಲಾಗಿದೆ.
"00:20:07,290 --> 00:20:08,540",London.,ಲಂಡನ್.
"00:20:08,875 --> 00:20:10,625",Get us back to base as soon as possible.,ನಮ್ಮನ್ನು ಮತ್ತೆ ಬೇಸ್‌ಗೆ ಪಡೆಯಿರಿ ಆದಷ್ಟು ಬೇಗ.
"00:20:17,967 --> 00:20:19,134",It's coming from Ml6.,ಇದು ML6 ನಿಂದ ಬರುತ್ತಿದೆ.
"00:20:19,302 --> 00:20:20,468",What?,ಏನು?
"00:20:20,553 --> 00:20:22,762",The data packet is linking to our network.,ಡೇಟಾ ಪ್ಯಾಕೆಟ್ ಆಗಿದೆ ನಮ್ಮ ನೆಟ್‌ವರ್ಕ್‌ಗೆ ಲಿಂಕ್ ಮಾಡಲಾಗುತ್ತಿದೆ.
"00:20:23,472 --> 00:20:25,473",Correction. This is behind our firewall.,ತಿದ್ದುಪಡಿ. ಇದು ನಮ್ಮ ಫೈರ್‌ವಾಲ್‌ನ ಹಿಂದೆ ಇದೆ.
"00:20:26,142 --> 00:20:27,100",We should shut down.,ನಾವು ಮುಚ್ಚಬೇಕು.
"00:20:27,226 --> 00:20:28,184","No, track it.","ಇಲ್ಲ, ಅದನ್ನು ಟ್ರ್ಯಾಕ್ ಮಾಡಿ."
"00:20:28,644 --> 00:20:30,395",We have to know where it's coming from.,ನಾವು ತಿಳಿದುಕೊಳ್ಳಬೇಕು ಅದು ಎಲ್ಲಿಂದ ಬರುತ್ತಿದೆ.
"00:20:30,813 --> 00:20:32,314",Strip the headers. Trace the source.,ಹೆಡರ್ಗಳನ್ನು ತೆಗೆದುಹಾಕಿ. ಮೂಲವನ್ನು ಪತ್ತೆಹಚ್ಚಿ.
"00:20:32,648 --> 00:20:34,357",How the hell did they get into our system?,ಅವರು ಹೇಗೆ ನರಕ ಮಾಡಿದರು ನಮ್ಮ ಸಿಸ್ಟಮ್‌ಗೆ ಹೋಗುವುದೇ?
"00:20:34,984 --> 00:20:36,318",Getting trace back now.,ಈಗ ಜಾಡಿನ ಮರಳಿ ಪಡೆಯುತ್ತಿದೆ.
"00:20:41,240 --> 00:20:42,490",lt appears. . .,ಎಲ್ಟಿ ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತದೆ. . .
