en_dialogue,Timeline,kannada_dialogue
"in your indictment of me cannot be fairly understood,","00:01:46,942 --> 00:01:49,845","ನನ್ನ ಮೇಲಿನ ನಿಮ್ಮ ದೋಷಾರೋಪಣೆಯಲ್ಲಿ ಸರಿಯಾಗಿ ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಸಾಧ್ಯವಿಲ್ಲ,"
except in the context of my life and my work.,"00:01:49,878 --> 00:01:53,714",ಸಂದರ್ಭವನ್ನು ಹೊರತುಪಡಿಸಿ ನನ್ನ ಜೀವನ ಮತ್ತು ನನ್ನ ಕೆಲಸ.
SENATE AIDE: How long did he testify?,"00:01:54,682 --> 00:01:56,919",ಸೆನೇಟ್ ಸಹಾಯಕ: ಹೇಗೆ ಅವನು ದೀರ್ಘಕಾಲ ಸಾಕ್ಷಿ ಹೇಳಿದ್ದಾನೆಯೇ?
"Honestly, I forget.","00:01:56,952 --> 00:01:58,686","ಪ್ರಾಮಾಣಿಕವಾಗಿ, ನಾನು ಮರೆತುಬಿಡುತ್ತೇನೆ."
The whole hearing took a month.,"00:02:00,088 --> 00:02:02,057",ಇಡೀ ವಿಚಾರಣೆ ಒಂದು ತಿಂಗಳು ತೆಗೆದುಕೊಂಡಿತು.
"An ordeal, hmm?","00:02:02,090 --> 00:02:03,524","ಅಗ್ನಿಪರೀಕ್ಷೆ, ಹಾಂ?"
"Well, I've only read the transcripts.","00:02:03,557 --> 00:02:05,227","ಸರಿ, ನಾನು ಮಾತ್ರ ಓದಿದ್ದೇನೆ ಪ್ರತಿಗಳು."
(clears throat),"00:02:05,260 --> 00:02:06,727",(ಗಂಟಲು ತೆರವುಗೊಳಿಸುತ್ತದೆ)
Who'd want to justify their whole life?,"00:02:07,795 --> 00:02:09,530",ಯಾರು ಸಮರ್ಥಿಸಲು ಬಯಸುತ್ತಾರೆ ಅವರ ಇಡೀ ಜೀವನ?
You weren't there?,"00:02:09,563 --> 00:02:10,798",ನೀನು ಅಲ್ಲಿ ಇರಲಿಲ್ಲವೇ?
"As chairman, I wasn't allowed to be.","00:02:10,832 --> 00:02:13,135","ಅಧ್ಯಕ್ಷರಾಗಿ, ಐ ಇರಲು ಅವಕಾಶವಿರಲಿಲ್ಲ."
Are they really going to ask about it?,"00:02:13,168 --> 00:02:15,736",ಅವರು ನಿಜವಾಗಿಯೂ ಹೋಗುತ್ತಿದ್ದಾರೆಯೇ ಅದರ ಬಗ್ಗೆ ಕೇಳಲು?
- It was years ago. - Four years ago...,"00:02:15,770 --> 00:02:17,873",- ಇದು ವರ್ಷಗಳ ಹಿಂದೆ. - ನಾಲ್ಕು ವರ್ಷಗಳ ಹಿಂದೆ...
Five.,"00:02:17,906 --> 00:02:18,941",ಐದು.
Oppenheimer still divides America.,"00:02:19,808 --> 00:02:21,542",ಓಪನ್‌ಹೈಮರ್ ಇನ್ನೂ ಅಮೆರಿಕವನ್ನು ವಿಭಜಿಸುತ್ತದೆ.
The committee is gonna want to know where you stood.,"00:02:21,575 --> 00:02:23,946",ಸಮಿತಿ ಬಯಸುತ್ತದೆ ನೀವು ಎಲ್ಲಿ ನಿಂತಿದ್ದೀರಿ ಎಂದು ತಿಳಿಯಲು.
Senator Thurmond asked me to say,"00:02:23,979 --> 00:02:26,081",ಸೆನೆಟರ್ ಥರ್ಮಂಡ್ ಹೇಳಲು ನನ್ನನ್ನು ಕೇಳಿದರು
not to feel that you're on trial.,"00:02:26,114 --> 00:02:27,950",ಎಂದು ಭಾವಿಸಬಾರದು ನೀವು ವಿಚಾರಣೆಯಲ್ಲಿದ್ದೀರಿ.
"Oh, funny, I didn't till you just said that.","00:02:27,983 --> 00:02:31,519","ಓಹ್, ತಮಾಷೆ, ನಾನು ಮಾಡಲಿಲ್ಲ ನೀವು ಅದನ್ನು ಹೇಳುವವರೆಗೆ."
"- Really, Mr. Strauss... - It's Admiral.","00:02:31,552 --> 00:02:33,155","- ನಿಜವಾಗಿಯೂ, ಮಿಸ್ಟರ್ ಸ್ಟ್ರಾಸ್... - ಇದು ಅಡ್ಮಿರಲ್."
"Um, Admiral Strauss. This is a formality.","00:02:33,188 --> 00:02:36,124","ಉಮ್, ಅಡ್ಮಿರಲ್ ಸ್ಟ್ರಾಸ್. ಇದು ಔಪಚಾರಿಕತೆ."
President Eisenhower has asked you to be in his cabinet.,"00:02:36,158 --> 00:02:38,659",ಅಧ್ಯಕ್ಷ ಐಸೆನ್‌ಹೋವರ್ ಕೇಳಿದ್ದಾರೆ ನೀವು ಅವರ ಸಂಪುಟದಲ್ಲಿರುತ್ತೀರಿ.
Senate really has no choice but to confirm you.,"00:02:38,693 --> 00:02:40,561",ಸೆನೆಟ್ ನಿಜವಾಗಿಯೂ ಇಲ್ಲ ಆಯ್ಕೆ ಆದರೆ ನಿಮ್ಮನ್ನು ಖಚಿತಪಡಿಸಲು.
And if they bring up Oppenheimer?,"00:02:40,594 --> 00:02:42,831",ಮತ್ತು ಅವರು ತಂದರೆ ಅಪ್ ಓಪನ್ಹೈಮರ್?
"When they bring up Oppenheimer, you answer honestly.","00:02:42,864 --> 00:02:45,233","ಅವರು ಓಪನ್‌ಹೈಮರ್ ಅನ್ನು ತಂದಾಗ, ನೀವು ಪ್ರಾಮಾಣಿಕವಾಗಿ ಉತ್ತರಿಸುತ್ತೀರಿ."
No senator can deny you did your duty.,"00:02:45,267 --> 00:02:47,668",ಯಾವುದೇ ಸೆನೆಟರ್ ನಿರಾಕರಿಸುವಂತಿಲ್ಲ ನೀವು ನಿಮ್ಮ ಕರ್ತವ್ಯವನ್ನು ಮಾಡಿದ್ದೀರಿ.
It'll be uncomfortable. (chuckles awkwardly),"00:02:47,702 --> 00:02:49,838",ಇದು ಅಹಿತಕರವಾಗಿರುತ್ತದೆ. (ವಿಕಾರವಾಗಿ ನಕ್ಕರು)
(clamoring),"00:02:53,108 --> 00:02:54,742",(ಘೋಷಣೆ)
ROGER ROBB: Why did you leave the United States?,"00:02:56,945 --> 00:02:59,647",ರೋಜರ್ ರಾಬ್: ನೀವು ಯಾಕೆ ಮಾಡಿದ್ದೀರಿ ಯುನೈಟೆಡ್ ಸ್ಟೇಟ್ಸ್ ತೊರೆಯುವುದೇ?
"I, uh... I wanted to study the new physics.","00:03:01,749 --> 00:03:05,153","ನಾನು, ಉಹ್... ನಾನು ಬಯಸಿದ್ದೆ ಹೊಸ ಭೌತಶಾಸ್ತ್ರವನ್ನು ಅಧ್ಯಯನ ಮಾಡಿ."
GRAY: Was there nowhere here?,"00:03:05,187 --> 00:03:06,721",ಗ್ರೇ: ಇಲ್ಲಿ ಎಲ್ಲಿಯೂ ಇರಲಿಲ್ಲವೇ?
I thought Berkeley had the leading,"00:03:06,754 --> 00:03:08,756",ನಾನು ಬರ್ಕ್ಲಿ ಎಂದು ಭಾವಿಸಿದೆ ಮುನ್ನಡೆ ಹೊಂದಿದ್ದರು
theoretical physics department.,"00:03:08,789 --> 00:03:10,624",ಸೈದ್ಧಾಂತಿಕ ಭೌತಶಾಸ್ತ್ರ ವಿಭಾಗ.
Yes. Once I built it.,"00:03:10,658 --> 00:03:13,228",ಹೌದು. ಒಮ್ಮೆ ನಾನು ಅದನ್ನು ನಿರ್ಮಿಸಿದೆ.
But first I had to go to Europe.,"00:03:13,261 --> 00:03:14,863",ಆದರೆ ಮೊದಲು ನಾನು ಯುರೋಪಿಗೆ ಹೋಗಬೇಕಾಗಿತ್ತು.
I went to Cambridge to study under Patrick Blackett.,"00:03:14,896 --> 00:03:18,266",ನಾನು ಓದಲು ಕೇಂಬ್ರಿಜ್‌ಗೆ ಹೋಗಿದ್ದೆ ಪ್ಯಾಟ್ರಿಕ್ ಬ್ಲ್ಯಾಕೆಟ್ ಅಡಿಯಲ್ಲಿ.
Were you happier there than in America?,"00:03:18,300 --> 00:03:20,902",ನೀವು ಹೆಚ್ಚು ಸಂತೋಷವಾಗಿದ್ದೀರಾ ಅಮೆರಿಕಕ್ಕಿಂತ ಅಲ್ಲಿ?
- Happier? - Yes.,"00:03:20,936 --> 00:03:23,071",- ಸಂತೋಷ? - ಹೌದು.
(unsettling music playing),"00:03:23,105 --> 00:03:25,639",(ಅಸ್ಥಿರ ಸಂಗೀತ ನುಡಿಸುವಿಕೆ)
"No. No, I, uh...","00:03:27,042 --> 00:03:30,045","ಇಲ್ಲ. ಇಲ್ಲ, ನಾನು, ಉಹ್..."
"<i>I was homesick, um...</i>",,
emotionally immature...,"00:03:35,750 --> 00:03:37,718",ಭಾವನಾತ್ಮಕವಾಗಿ ಅಪಕ್ವ...
<i>troubled by visions of a hidden universe.</i>,,
(soft blast),"00:03:44,059 --> 00:03:45,526",(ಮೃದುವಾದ ಸ್ಫೋಟ)
(rumbling),"00:03:48,063 --> 00:03:50,832",(ಘನಗುಡುವುದು)
Useless in the lab.,"00:03:55,070 --> 00:03:56,905",ಪ್ರಯೋಗಾಲಯದಲ್ಲಿ ನಿಷ್ಪ್ರಯೋಜಕವಾಗಿದೆ.
(glass shattering),"00:03:56,938 --> 00:03:58,539",(ಗಾಜು ಒಡೆದುಹೋಗುವುದು)
"Christ, Oppenheimer.","00:04:01,943 --> 00:04:04,046","ಕ್ರೈಸ್ಟ್, ಓಪನ್ಹೈಮರ್."
Have you had any sleep?,"00:04:04,079 --> 00:04:06,148",ನೀವು ನಿದ್ರೆ ಮಾಡಿದ್ದೀರಾ?
Start again.,"00:04:07,949 --> 00:04:09,184",ಮತ್ತೆ ಪ್ರಾರಂಭಿಸಿ.
"I need to go to the lecture, sir.","00:04:09,217 --> 00:04:11,719","ನಾನು ಹೋಗಬೇಕಾಗಿದೆ ಉಪನ್ಯಾಸ, ಸರ್."
Why?,"00:04:11,752 --> 00:04:13,155",ಏಕೆ?
It's Niels Bohr.,"00:04:13,188 --> 00:04:15,090",ಅದು ನೀಲ್ಸ್ ಬೋರ್.
"BLACKETT: Damn, completely forgot.","00:04:17,893 --> 00:04:19,593","ಬ್ಲಾಕೆಟ್: ಡ್ಯಾಮ್, ಸಂಪೂರ್ಣವಾಗಿ ಮರೆತುಹೋಗಿದೆ."
All right. (clears throat) Let's go.,"00:04:19,627 --> 00:04:21,830",ಸರಿ. (ತೆರವುಗೊಳಿಸುತ್ತದೆ ಗಂಟಲು) ಹೋಗೋಣ.
"- Oh, no, not you, Oppenheimer. - (students laughing)","00:04:24,166 --> 00:04:26,077","- ಓಹ್, ಇಲ್ಲ, ನೀನಲ್ಲ, ಓಪನ್‌ಹೈಮರ್. - (ವಿದ್ಯಾರ್ಥಿಗಳು ನಗುತ್ತಿದ್ದಾರೆ)"
You finish coating those plates.,"00:04:26,101 --> 00:04:27,211",ನೀವು ಆ ಫಲಕಗಳನ್ನು ಲೇಪಿಸಲು ಮುಗಿಸಿ.
STUDENT 1: You see them?,"00:04:27,235 --> 00:04:29,071",ವಿದ್ಯಾರ್ಥಿ 1: ನೀವು ಅವರನ್ನು ನೋಡಿದ್ದೀರಾ?
(students laughing),"00:04:29,104 --> 00:04:30,906",(ವಿದ್ಯಾರ್ಥಿಗಳು ನಗುತ್ತಿದ್ದಾರೆ)
STUDENT 2: Don't forget to clean up!,"00:04:34,642 --> 00:04:36,610",ವಿದ್ಯಾರ್ಥಿ 2: ಬೇಡ ಸ್ವಚ್ಛಗೊಳಿಸಲು ಮರೆತುಬಿಡಿ!
(cabinet door closes),"00:05:02,670 --> 00:05:04,139",(ಕ್ಯಾಬಿನೆಟ್ ಬಾಗಿಲು ಮುಚ್ಚುತ್ತದೆ)
"BOHR: <i>Quantum physics is not a step forward,</i>",,
it is a new way to understand reality.,"00:05:11,745 --> 00:05:15,250",ಇದು ಹೊಸ ಮಾರ್ಗವಾಗಿದೆ ವಾಸ್ತವವನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಿ.
"Einstein's opened the door, now we are peering through,","00:05:15,283 --> 00:05:18,854","ಐನ್ಸ್ಟೈನ್ ಬಾಗಿಲು ತೆರೆದರು, ಈಗ ನಾವು ಇಣುಕಿ ನೋಡುತ್ತಿದ್ದೇವೆ,"
seeing a world inside our world.,"00:05:18,887 --> 00:05:21,789",ನಮ್ಮ ಪ್ರಪಂಚದೊಳಗಿನ ಜಗತ್ತನ್ನು ನೋಡುವುದು.
A world of energy and paradox that not everyone can accept.,"00:05:21,823 --> 00:05:27,229",ಶಕ್ತಿ ಮತ್ತು ವಿರೋಧಾಭಾಸದ ಜಗತ್ತು ಎಲ್ಲರೂ ಒಪ್ಪಿಕೊಳ್ಳಲು ಸಾಧ್ಯವಿಲ್ಲ ಎಂದು.
(unsettling music continues),"00:05:28,864 --> 00:05:31,867",(ಅಸ್ಥಿರ ಸಂಗೀತ ಮುಂದುವರಿಯುತ್ತದೆ)
- (music fades out) - (bell tolling),"00:05:57,791 --> 00:05:59,693",- (ಸಂಗೀತ ಮಂಕಾಗುವಿಕೆ) - (ಗಂಟೆ ಹೊಡೆಯುವುದು)
(indistinct chatter),"00:06:03,431 --> 00:06:05,200",(ಅಸ್ಪಷ್ಟ ವಟಗುಟ್ಟುವಿಕೆ)
"Yeah, definitely.","00:06:09,337 --> 00:06:10,771","ಹೌದು, ಖಂಡಿತ."
- (panting) - Are you all right?,"00:06:10,805 --> 00:06:12,174",- (ಉಸಿರುಗಟ್ಟುವಿಕೆ) - ನೀನು ಹುಷಾರಾಗಿದ್ದೀಯ?
"Niels, meet J. Robert Oppenheimer.","00:06:13,408 --> 00:06:15,243","ನೀಲ್ಸ್, ಜೆ ಭೇಟಿ. ರಾಬರ್ಟ್ ಒಪೆನ್ಹೈಮರ್."
"BOHR: What's the ""J"" stand for?","00:06:15,277 --> 00:06:16,777","BOHR: ಏನು ""ಜೆ"" ಸ್ಟ್ಯಾಂಡ್?"
"Nothing, apparently.","00:06:16,811 --> 00:06:18,779","ಏನೂ ಇಲ್ಲ, ಸ್ಪಷ್ಟವಾಗಿ."
You were at my lecture.,"00:06:18,813 --> 00:06:19,915",ನೀವು ನನ್ನ ಉಪನ್ಯಾಸದಲ್ಲಿ ಇದ್ದೀರಿ.
You asked the only good question.,"00:06:19,948 --> 00:06:21,349",ನೀವು ಮಾತ್ರ ಕೇಳಿದ್ದೀರಿ ಒಳ್ಳೆಯ ಪ್ರಶ್ನೆ.
BLACKETT: No one's denying his insight.,"00:06:21,383 --> 00:06:23,118",ಬ್ಲಾಕೆಟ್: ಯಾರೂ ಇಲ್ಲ ಅವನ ಒಳನೋಟವನ್ನು ನಿರಾಕರಿಸುವುದು.
It's his laboratory work that leaves a little to be desired.,"00:06:23,151 --> 00:06:25,229",ಇದು ಅವರ ಪ್ರಯೋಗಾಲಯದ ಕೆಲಸ ಅಪೇಕ್ಷಿತವಾಗಿರಲು ಸ್ವಲ್ಪ ಬಿಡುತ್ತದೆ.
(swallows) I heard you give the same lecture...,"00:06:25,253 --> 00:06:27,093",(ನುಂಗುತ್ತಾನೆ) ನಾನು ನಿನ್ನನ್ನು ಕೇಳಿದೆ ಅದೇ ಉಪನ್ಯಾಸ ನೀಡಿ...
"At Harvard, yes, and you asked the same question.","00:06:27,122 --> 00:06:30,325","ಹಾರ್ವರ್ಡ್‌ನಲ್ಲಿ, ಹೌದು, ಮತ್ತು ನೀವು ಅದೇ ಪ್ರಶ್ನೆ ಕೇಳಿದರು."
Why ask again?,"00:06:30,358 --> 00:06:31,459",ಮತ್ತೆ ಯಾಕೆ ಕೇಳಬೇಕು?
Hadn't liked your answer.,"00:06:31,493 --> 00:06:33,094",ನಿಮ್ಮ ಉತ್ತರ ಇಷ್ಟವಾಗಲಿಲ್ಲ.
Did you like it better yesterday?,"00:06:34,462 --> 00:06:36,198",ನಿನಗಿದು ಇಷ್ಟವಾಯಿತೆ ನಿನ್ನೆ ಉತ್ತಮ?
A lot.,"00:06:36,231 --> 00:06:37,499",ಬಹಳ.
You can lift the stone without being ready,"00:06:37,532 --> 00:06:39,434",ನೀವು ಕಲ್ಲನ್ನು ಎತ್ತಬಹುದು ಸಿದ್ಧವಾಗದೆ
for the snake that's revealed.,"00:06:39,467 --> 00:06:41,836",ಬಹಿರಂಗವಾದ ಹಾವಿಗಾಗಿ.
Now it seems you're ready.,"00:06:41,870 --> 00:06:44,005",ಈಗ ನೀವು ಸಿದ್ಧರಾಗಿರುವಂತೆ ತೋರುತ್ತಿದೆ.
- But you don't enjoy the lab? - (continues panting),"00:06:44,039 --> 00:06:46,341",- ಆದರೆ ನೀವು ಪ್ರಯೋಗಾಲಯವನ್ನು ಆನಂದಿಸುವುದಿಲ್ಲವೇ? - (ಉಸಿರುಗಟ್ಟಿಸುವುದನ್ನು ಮುಂದುವರೆಸಿದೆ)
So get out of Cambridge with its beakers and potions.,"00:06:46,374 --> 00:06:49,244",ಆದ್ದರಿಂದ ಕೇಂಬ್ರಿಡ್ಜ್‌ನಿಂದ ಹೊರಬನ್ನಿ ಅದರ ಬೀಕರ್ಗಳು ಮತ್ತು ಮದ್ದುಗಳು.
Go somewhere they let you think.,"00:06:49,277 --> 00:06:52,247",ಎಲ್ಲೋ ಹೋಗಿ ಅವರು ನಿಮಗೆ ಯೋಚಿಸಲು ಅವಕಾಶ ಮಾಡಿಕೊಡುತ್ತಾರೆ.
(whispers): Where?,"00:06:53,248 --> 00:06:54,883",(ಪಿಸುಮಾತು): ಎಲ್ಲಿ?
Göttingen.,"00:06:55,517 --> 00:06:56,518",ಗೊಟ್ಟಿಂಗನ್.
- Born? - Born.,"00:06:56,551 --> 00:06:58,486",- ಹುಟ್ಟು? - ಹುಟ್ಟು.
"Get to Germany, study under Max Born.","00:06:58,520 --> 00:07:00,488","ಜರ್ಮನಿಗೆ ಹೋಗು, ಮ್ಯಾಕ್ಸ್ ಬಾರ್ನ್ ಅಡಿಯಲ್ಲಿ ಅಧ್ಯಯನ."
Learn the ways of theory.,"00:07:00,522 --> 00:07:03,158",ಸಿದ್ಧಾಂತದ ಮಾರ್ಗಗಳನ್ನು ಕಲಿಯಿರಿ.
I'll send word.,"00:07:03,191 --> 00:07:04,226",ನಾನು ಮಾತು ಕಳುಹಿಸುತ್ತೇನೆ.
(gasps),"00:07:04,259 --> 00:07:05,827",(ಉಸಿರು)
- Wormhole. (exhales) - (apple clatters in trashcan),"00:07:05,860 --> 00:07:07,963",- ವರ್ಮ್ಹೋಲ್. (ಹೊರಬಿಡುತ್ತಾನೆ) - (ಕಸಬುಟ್ಟಿಯಲ್ಲಿ ಸೇಬು ಚಪ್ಪರಿಸುತ್ತದೆ)
How's your mathematics?,"00:07:07,996 --> 00:07:09,364",ನಿಮ್ಮ ಗಣಿತ ಹೇಗಿದೆ?
Not good enough for the physicist he wants to be.,"00:07:09,397 --> 00:07:11,366",ಗೆ ಸಾಕಷ್ಟು ಉತ್ತಮವಾಗಿಲ್ಲ ಅವರು ಭೌತಶಾಸ್ತ್ರಜ್ಞರಾಗಲು ಬಯಸುತ್ತಾರೆ.
Algebra's like sheet music.,"00:07:11,399 --> 00:07:13,969",ಬೀಜಗಣಿತವು ಶೀಟ್ ಸಂಗೀತದಂತೆ.
"The important thing isn't ""Can you read music?""","00:07:14,002 --> 00:07:16,471","ಮುಖ್ಯ ವಿಷಯ ಅಲ್ಲ ""ನೀವು ಸಂಗೀತವನ್ನು ಓದಬಹುದೇ?"""
"It's ""Can you hear it?""","00:07:16,504 --> 00:07:17,505","ಅದು ""ನೀವು ಅದನ್ನು ಕೇಳುತ್ತೀರಾ?"""
"Can you hear the music, Robert?","00:07:17,539 --> 00:07:20,842","ನೀವು ಸಂಗೀತವನ್ನು ಕೇಳಬಹುದೇ, ರಾಬರ್ಟ್?"
"Yes, I can.","00:07:21,810 --> 00:07:23,378",ಹೌದು ನನಗೆ ಸಾದ್ಯ.
(classical music playing),"00:07:23,411 --> 00:07:25,947",(ಶಾಸ್ತ್ರೀಯ ಸಂಗೀತ ನುಡಿಸುವಿಕೆ)
- (rumbling) - (metallic clinking),"00:07:28,116 --> 00:07:30,784",- (ಘನಗುಡುವುದು) - (ಲೋಹದ ಕ್ಲಿಂಕಿಂಗ್)
(intense classical music continues),"00:08:09,958 --> 00:08:13,061",(ತೀವ್ರ ಶಾಸ್ತ್ರೀಯ ಸಂಗೀತ ಮುಂದುವರಿಯುತ್ತದೆ)
(music tempo increasing),"00:08:41,556 --> 00:08:43,358",(ಸಂಗೀತದ ಗತಿ ಹೆಚ್ಚುತ್ತಿದೆ)
(music ends),"00:08:58,239 --> 00:08:59,074",(ಸಂಗೀತ ಕೊನೆಗೊಳ್ಳುತ್ತದೆ)
The senator from Wyoming.,"00:08:59,107 --> 00:09:00,608",ವ್ಯೋಮಿಂಗ್‌ನ ಸೆನೆಟರ್.
"Admiral Strauss, I'm interested in your relationship","00:09:01,576 --> 00:09:04,045","ಅಡ್ಮಿರಲ್ ಸ್ಟ್ರಾಸ್, ನಾನು ನಿಮ್ಮ ಸಂಬಂಧದಲ್ಲಿ ಆಸಕ್ತಿ"
with Dr. J. Robert Oppenheimer.,"00:09:04,079 --> 00:09:06,948",ಡಾ. ಜೆ. ರಾಬರ್ಟ್ ಒಪೆನ್‌ಹೈಮರ್ ಅವರೊಂದಿಗೆ.
You met him in 1947?,"00:09:06,981 --> 00:09:08,583",ನೀವು ಅವರನ್ನು 1947 ರಲ್ಲಿ ಭೇಟಿಯಾಗಿದ್ದೀರಾ?
Correct.,"00:09:08,616 --> 00:09:09,584",ಸರಿ.
You were commissioner,"00:09:09,617 --> 00:09:11,386",ನೀವು ಆಯುಕ್ತರಾಗಿದ್ದಿರಿ
of the Atomic Energy Commission?,"00:09:11,419 --> 00:09:12,987",ಪರಮಾಣು ಶಕ್ತಿ ಆಯೋಗದ?
"I was, but I-I actually met Robert in my capacity","00:09:13,021 --> 00:09:16,958","ನಾನು, ಆದರೆ ನಾನು-ನಾನು ನನ್ನ ಸಾಮರ್ಥ್ಯದಲ್ಲಿ ರಾಬರ್ಟ್ ಅವರನ್ನು ಭೇಟಿಯಾದೆ"
as board member of the Institute for Advanced Study,"00:09:16,991 --> 00:09:19,661",ಮಂಡಳಿಯ ಸದಸ್ಯರಾಗಿ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ ಫಾರ್ ಅಡ್ವಾನ್ಸ್ಡ್ ಸ್ಟಡಿ
at Princeton because,"00:09:19,694 --> 00:09:21,496",ಏಕೆಂದರೆ ಪ್ರಿನ್ಸ್ಟನ್ ನಲ್ಲಿ
"after the war, he was world-renowned","00:09:21,529 --> 00:09:24,165","ಯುದ್ಧದ ನಂತರ, ಅವನು ವಿಶ್ವವಿಖ್ಯಾತವಾಗಿತ್ತು"
"as the great man of physics, and I was determined","00:09:24,199 --> 00:09:26,601","ಭೌತಶಾಸ್ತ್ರದ ಮಹಾನ್ ವ್ಯಕ್ತಿಯಾಗಿ, ಮತ್ತು ನಾನು ನಿರ್ಧರಿಸಿದೆ"
to get him to run the Institute.,"00:09:26,634 --> 00:09:29,337",ಅವರು ಸಂಸ್ಥೆಯನ್ನು ನಡೆಸಲು.
(birds chirping),"00:09:29,371 --> 00:09:31,473",(ಪಕ್ಷಿಗಳ ಚಿಲಿಪಿಲಿ)
(soft music playing),"00:09:31,506 --> 00:09:34,175",(ಮೃದು ಸಂಗೀತ ನುಡಿಸುವಿಕೆ)
Dr. Oppenheimer. An honor.,"00:09:38,513 --> 00:09:41,583",ಡಾ. ಓಪನ್‌ಹೈಮರ್. ಒಂದು ಗೌರವ.
Mr. Strauss.,"00:09:41,616 --> 00:09:42,951",ಶ್ರೀ ಸ್ಟ್ರಾಸ್.
"It's pronounced ""straws.""","00:09:42,984 --> 00:09:44,285","ಇದನ್ನು ""ಸ್ಟ್ರಾಸ್"" ಎಂದು ಉಚ್ಚರಿಸಲಾಗುತ್ತದೆ."
"ROBERT: Oh-ppenheimer, Oppenheimer.","00:09:45,186 --> 00:09:46,654","ರಾಬರ್ಟ್: ಓ-ಪೆನ್ಹೈಮರ್, ಓಪನ್ಹೈಮರ್."
"Whatever way you say it, they know I'm Jewish.","00:09:46,688 --> 00:09:48,556","ನೀವು ಯಾವುದೇ ರೀತಿಯಲ್ಲಿ ಹೇಳಿದರೂ, ನಾನು ಯಹೂದಿ ಎಂದು ಅವರಿಗೆ ತಿಳಿದಿದೆ."
(Strauss chuckles),"00:09:48,590 --> 00:09:50,058",(ಸ್ಟ್ರಾಸ್ ನಗುತ್ತಾನೆ)
I'm president of Temple Emanu-El in Manhattan.,"00:09:50,091 --> 00:09:52,694",ನಾನು ದೇವಸ್ಥಾನದ ಅಧ್ಯಕ್ಷ ಮ್ಯಾನ್ಹ್ಯಾಟನ್ನಲ್ಲಿ ಇಮಾನು-ಎಲ್.
